,Symbol,Establishment Date,Vol-Adj Momentum,1 Year CAGR (%),3 Year CAGR (%),5 Year CAGR (%),10 Year CAGR (%),20 Year CAGR (%),Max Period CAGR (%),Max Period Annual Volatility (%),Max Period Sharpe,Max Period Sortino,Max Period MDD (%),Max Period Calmar,5 Year Annual Volatility (%),5 Year Sharpe,5 Year Sortino,5 Year MDD (%),5 Year Calmar,5 Year Peak Date,5 Year Recovery Date,5 Year Recovery Period (days)
iShares MSCI France ETF,EWQ,18/3/1996,22.04913085,22.25885057,11.65722042,10.03548605,11.04135557,5.674193975,7.564487109,24.60626885,0.297824865,0.393604062,-61.40730762,0.119340173,19.26330906,0.448006649,0.679005026,-31.46141322,0.274307148,12/1/2022,12/4/2023,455
Vanguard Value ETF,VTV,30/1/2004,21.08141263,18.48874779,15.46587777,13.34985235,13.47019544,9.352188187,9.552732338,18.63929067,0.422167446,0.512006005,-59.2698782,0.132763926,13.94700026,0.755482443,1.072033695,-17.0389958,0.618388194,20/4/2022,20/7/2023,456
iShares MSCI Sweden ETF,EWD,18/3/1996,21.04924622,26.63734769,17.31905882,8.048097803,11.05220684,7.738816932,8.763551502,29.72593073,0.330629553,0.443316192,-74.2694457,0.132332631,23.53512795,0.324217608,0.511742813,-42.33355514,0.180247155,13/8/2021,18/2/2025,1285
Vanguard Mega Cap Value ETF,MGV,27/12/2007,21.03506596,18.00662977,16.20725327,13.81109285,13.67503866,,9.091739404,19.38636401,0.391464562,0.475454546,-55.70232146,0.136243415,13.61391194,0.799011988,1.132797305,-16.53558,0.657834732,20/4/2022,20/7/2023,456
Avantis U.S. Large Cap Value ETF,AVLV,23/9/2021,20.35911755,22.78056424,17.96840724,,,,13.89465313,17.59615199,0.657649245,0.923216672,-19.5022565,0.593372161,,,,,,,,
Hang Seng Index,^HSI,31/12/1986,19.35768972,21.08234457,6.851831474,-0.910848268,1.541845043,2.793995156,6.269189882,25.58893364,0.250464216,0.31699063,-65.18186042,0.098326623,25.13053336,-0.024793643,-0.037086258,-55.70077249,-0.011186155,26/1/2018,,
Vanguard S&P Mid-Cap Value ETF,VOE,25/8/2006,19.06141298,18.63066022,12.50734094,10.98884937,12.12032076,,9.418236201,21.31561551,0.388632475,0.475721415,-61.54172555,0.134606892,16.24191015,0.542768655,0.781283865,-19.69867269,0.447522524,20/4/2022,22/2/2024,673
iShares S&P U.S. Value ETF,IUSV,4/8/2000,18.94909989,13.46673362,14.07872521,12.66096413,13.20127577,8.842436884,8.44311553,19.07795114,0.363364999,0.45323537,-60.18353843,0.115185313,14.66780283,0.684584492,0.984419652,-17.95154527,0.559358551,20/4/2022,1/2/2023,287
Vanguard High Dividend Yield ETF,VYM,16/11/2006,18.94431772,18.59064511,15.36192439,13.42758695,12.77620661,,9.328852752,18.23917505,0.416113996,0.50842092,-56.98127906,0.133194202,14.03504153,0.758317459,1.085980787,-15.84499435,0.671695855,20/4/2022,30/11/2022,224
Vanguard S&P 500 Value ETF,VOOV,9/9/2010,18.89443641,13.53225536,14.33013439,12.77676412,12.96506436,,12.19850557,16.34327149,0.603047581,0.745273649,-37.30694602,0.264180572,14.55433486,0.69693543,0.993200044,-18.10019797,0.560404458,20/4/2022,1/2/2023,287
S&P 500,^GSPC,30/12/1927,18.65299979,12.94625508,18.54505786,11.93185751,13.99399197,8.857079901,6.292330406,18.93163565,0.258764454,0.324108702,-86.18957938,0.056837896,16.88114009,0.573738622,0.788265063,-25.42509662,0.38093708,3/1/2022,19/1/2024,746
NASDAQ Composite,^IXIC,5/2/1971,18.3001497,14.64611914,23.76967341,10.25402103,18.09542576,12.25512483,10.36941455,20.13211546,0.44199083,0.551410638,-77.93238629,0.114178596,22.58691628,0.409090497,0.57521765,-36.39527991,0.253881625,19/11/2021,29/2/2024,832
iShares U.S. SmallCap Equity Factor ETF,SMLF,30/4/2015,17.13136976,16.00881706,14.42688615,10.3130357,13.39377088,,11.09636927,21.63707551,0.456729524,0.584201816,-41.89219002,0.235898176,21.25390174,0.421397301,0.653679014,-26.27709361,0.340841988,25/11/2024,28/8/2025,276
First Trust Active Factor Large Cap Intl ETF,AFLG,4/12/2019,16.92366787,14.02177097,19.39878178,12.77840401,,,13.51202844,19.4204757,0.596273455,0.720115212,-35.83642474,0.323132517,15.84729169,0.645446468,0.900033376,-23.48385034,0.435557981,29/12/2021,10/1/2024,742
JPMorgan U.S. Momentum Factor ETF,JMOM,9/11/2017,16.85528903,15.95676625,21.99296899,12.46622484,,,14.77760059,20.18600869,0.635827562,0.783222336,-34.31007886,0.374083101,18.76386581,0.553936558,0.778505819,-28.26162611,0.367777537,16/11/2021,30/1/2024,805
Invesco S&P SmallCap Momentum ETF,XSMO,3/3/2005,16.80513935,19.58506553,17.59445977,8.399721362,15.93011507,8.399025881,8.828867402,24.11147086,0.34778349,0.451612362,-58.07450111,0.144393345,23.40783278,0.323151559,0.484100897,-29.62111238,0.255367778,9/11/2021,21/3/2024,863
Vanguard Small-Cap Value ETF,VBR,30/1/2004,16.71139538,17.54233069,12.43327606,10.27289697,12.40167525,8.948643197,9.571655697,22.88253897,0.383431409,0.491596334,-62.00780048,0.141496458,20.03440091,0.440243883,0.673070357,-24.19473291,0.36454308,25/11/2024,10/12/2025,380
Invesco S&P 500 Momentum ETF,SPMO,12/10/2015,16.34864626,18.64420631,30.40939479,17.94090978,19.1130773,,17.6577929,19.78234479,0.770224614,0.886997445,-30.94755213,0.492344235,19.17450582,0.796144704,1.109877022,-22.73617513,0.671426974,4/1/2022,13/12/2023,708
Vanguard U.S. Momentum Factor ETF,VFMO,16/2/2018,15.53936404,21.24819206,21.28007503,10.49041494,,,14.21045161,23.55123213,0.555622916,0.712021271,-36.77425113,0.35583605,21.96689204,0.423691461,0.608836583,-25.79660062,0.360791126,8/11/2021,2/2/2024,816
Avantis U.S. Small Cap Value ETF,AVUV,26/9/2019,15.48137609,21.79631656,13.46598199,13.31793117,,,15.79674105,28.73081756,0.550861725,0.746331373,-49.42347095,0.320226553,23.27087508,0.531568075,0.828201319,-28.78728988,0.429705413,25/11/2024,10/12/2025,380
iShares S&P Small-Cap 600 Value ETF,IJS,28/7/2000,15.45893014,18.18824748,8.383245349,7.781743395,11.66390675,8.368261954,9.788096499,23.87948079,0.385192697,0.532405051,-60.11214763,0.153017351,22.44414503,0.314518314,0.508797353,-28.646007,0.246425083,25/11/2024,10/12/2025,380
Invesco S&P MidCap Momentum ETF,XMMO,3/3/2005,14.17946245,20.0275414,24.24113758,12.14520371,20.32943007,11.80355655,12.2027117,22.26715522,0.494246584,0.629630186,-55.36853946,0.198767486,21.44299501,0.497290003,0.728459104,-27.90907955,0.382075913,8/11/2021,30/1/2024,813
iShares S&P Mid-Cap 400 Value ETF,IJJ,28/7/2000,12.29505597,13.81538369,9.964861526,10.43314998,12.39568249,9.012632467,10.41031707,21.84641399,0.425779756,0.551512272,-58.00373684,0.160364854,19.81091018,0.451777059,0.695864771,-22.67915006,0.39464066,25/11/2024,10/12/2025,380
iShares MSCI USA Momentum Factor ETF,MTUM,18/4/2013,11.83723903,14.25413822,22.23986034,8.699506361,15.78747063,,14.7449695,19.51686685,0.649263703,0.807919696,-34.08227842,0.371794194,20.66911419,0.359298446,0.497083697,-32.28455262,0.230028915,3/11/2021,4/3/2024,852
ProShares Ultra QQQ,QLD,21/6/2006,11.16877321,16.103052,43.7074101,16.15350341,34.01652777,,24.11521577,43.93362062,0.644392409,0.827815997,-83.1288729,0.340561476,45.12920574,0.488313236,0.688338402,-63.684475,0.34603706,19/11/2021,24/5/2024,917
Schwab U.S. Dividend Equity ETF,SCHD,20/10/2011,9.469491945,15.99421343,11.11340849,10.92068225,13.63506715,,13.28967652,15.5178657,0.688931431,0.876138119,-33.36707832,0.320398008,14.60090469,0.584609808,0.870086914,-16.84429507,0.506749143,11/1/2022,28/12/2023,716
ProShares UltraPro QQQ,TQQQ,11/2/2010,7.545486926,13.04650567,58.67417418,13.8984197,42.21494028,,40.95689635,60.9962876,0.822365652,1.05546568,-81.65984617,0.614270712,67.07569847,0.481972871,0.677944107,-81.65984617,0.395894292,19/11/2021,4/12/2024,1111
Invesco Dorsey Wright Momentum ETF,PDP,1/3/2007,7.126875469,15.02837313,19.02975074,7.306844684,13.74591376,,9.661657102,22.3110016,0.391194783,0.486801357,-59.33697043,0.147091221,21.99694317,0.284891522,0.402057889,-33.91483452,0.184778806,8/11/2021,12/7/2024,977
Invesco S&P 500 High Dividend Low Volatility ETF,SPHD,26/10/2012,4.440831154,9.315082755,9.583085248,10.02857661,9.047223716,,9.912532798,16.35103428,0.477032906,0.584690159,-41.3865954,0.18846637,14.32929912,0.52511678,0.773022313,-19.50143992,0.385846145,20/4/2022,15/5/2024,756
