Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2019-06-30,67.66700,49.24600,18.42100,2.10600,4.96600,-0.09200,7.16400,11.25700,0.90100,12.15800,2.77900,9.37900,,9.37900,9.40700,11.25700,11.25700,6.94890,6.94890,1.40000,1.40000,2.62480,27.22300,16.63590,16.63590,17.96740,13.90190,0.46440,2.22860,40.38410,10.17190,10.33570,6.43670,10.17190,0,0
2019-03-31,109.62400,83.05500,26.56900,1.54000,5.46800,-0.16700,7.17500,19.39400,0.61500,20.00900,3.79600,16.21300,,16.21300,16.21100,19.39400,19.39400,6.94890,6.94890,2.33000,2.33000,1.86830,24.23650,17.69140,17.69140,18.25240,14.78780,0.62900,2.44530,36.80490,19.27250,19.48070,9.30300,19.27250,0.00000,
2018-09-30,39.82900,26.85800,12.97100,1.58600,5.04800,0.04600,6.58800,6.38300,0.22100,6.60400,0.92300,5.68100,,5.68100,5.68700,6.38300,6.38300,6.94890,6.94890,0.82000,0.82000,2.71250,32.56670,16.02600,16.02600,16.58090,14.27850,0.44760,2.11690,42.51550,10.44880,10.54070,6.38390,10.44880,0,0
2018-06-30,56.68800,38.81100,17.87700,1.56700,8.51800,-0.30600,10.39100,7.48600,0.28700,7.77300,1.83700,5.93600,,5.93600,5.94900,7.48600,7.48600,6.94890,6.94890,0.86000,0.86000,2.10520,31.53580,13.20560,13.20560,13.71190,10.49430,0.58250,2.24690,40.05450,12.20340,12.32200,6.09950,12.20350,-3.3855,-3.2693
2017-12-31,62.17070,46.24460,15.92610,2.70310,10.26980,,13.06560,2.86050,-0.03130,2.82920,-1.75840,4.58760,,4.58760,4.57810,2.86050,2.86050,6.94800,6.94800,0.65530,0.65530,1.68160,25.61670,4.60100,4.60100,4.55070,7.36380,0.59650,1.61250,55.81470,11.59220,11.87180,4.40130,11.59220,3.3855,3.2693
2017-09-30,20.76200,12.54600,8.21600,0.89600,4.32400,,5.22000,2.99600,0.17300,3.16900,0.80000,2.36900,,2.36900,2.35900,2.99600,2.99600,6.94890,6.94890,0.34000,0.34000,2.47970,39.57230,14.43020,14.43020,15.26350,11.36210,0.31860,1.41620,63.54880,6.96990,6.98430,3.63560,6.96990,0,0
2017-06-30,23.63100,13.52000,10.11100,0.60700,5.68100,,6.28800,3.82300,0.16400,3.98700,0.88900,3.09800,,3.09800,3.10800,3.82300,3.82300,6.94800,6.94800,0.45000,0.45000,2.39980,42.78700,16.17790,16.17790,16.87190,13.15220,0.36820,1.19130,75.55030,9.81930,9.84270,4.82770,9.81930,0,0
2017-03-31,20.89700,12.50000,8.39700,0.50900,4.93600,,5.44500,2.95200,0.07500,3.02700,1.09900,1.92800,,1.92800,1.94200,2.95200,2.95200,6.94880,6.94880,0.28000,0.28000,2.35970,40.18280,14.12640,14.12640,14.48530,9.29320,0.37420,1.53840,58.50410,6.62980,6.64800,3.45220,6.62980,0.00000,
2016-12-31,13.56900,7.44200,6.12700,0.48400,3.95400,-0.00800,4.44600,1.68100,0.41000,2.09900,1.56200,0.53700,,0.53700,0.54100,1.68100,1.68100,6.94900,6.94900,0.08000,0.08000,2.58100,45.15440,12.38860,12.38860,15.46910,3.98700,0.28090,1.31180,68.60930,2.03880,2.04500,1.11170,2.03880,0.2903,0.2705
2016-09-30,13.14300,5.62100,7.52200,0.40400,4.15800,,4.56200,2.96000,-0.01800,2.94200,0.38800,2.55400,,2.55400,2.57700,2.96000,2.96000,6.94900,6.94900,0.37000,0.37000,2.79600,57.23200,22.52150,22.52150,22.38450,19.60740,0.30130,1.32920,67.71060,10.18420,10.21850,5.85460,10.18420,0,0
2016-06-30,7.84800,5.93200,1.91600,0.44400,2.77700,,3.22100,-1.30500,0.25500,-1.05000,0.35500,-1.40500,,-1.40500,-1.39000,-1.30500,-1.30500,6.94800,6.94800,-0.20000,-0.20000,2.95510,24.41390,-16.62840,-16.62840,-13.37920,-17.71150,0.19320,1.95610,46.00920,-6.06470,-6.09020,-3.45860,-6.06470,0,0
2016-03-31,8.13800,5.92300,2.21500,0.30700,2.40500,0.00400,2.70800,-0.49300,-0.65000,-1.15100,0.38700,-1.53800,,-1.53800,-1.52100,-0.49300,-0.49300,6.94880,6.94880,-0.22000,-0.22000,3.03200,27.21800,-6.05800,-6.05800,-14.14350,-18.69010,0.18670,0.97620,92.18970,-6.17770,-6.20460,-3.52850,-6.17770,0.00000,
2015-12-31,6.86000,6.23000,0.63000,0.81000,7.40000,,8.21000,-7.58000,0.52000,-7.29000,0.30000,-7.59000,0.00000,-7.62400,-7.62400,-7.58000,-7.58000,6.95000,6.95000,-1.09500,-1.09500,4.96090,6.12240,-110.49560,-110.49560,-106.26820,-111.13700,0.17970,1.55380,57.92270,-30.45340,-30.58780,-19.97330,-30.45340,-0.7353,-0.7842
2015-09-30,7.60300,6.30000,1.30300,1.08000,2.54000,,3.62000,-2.31700,0.43000,-1.88000,0.29000,-2.17000,,-2.15700,-2.15700,-2.31700,-2.31700,6.95000,6.95000,-0.31000,-0.31000,5.60820,17.09850,-30.47480,-30.47480,-24.72710,-28.37040,0.15930,1.92970,46.63950,-6.19470,-7.51040,-4.52010,-6.19290,0,0
2015-06-30,8.24800,6.62000,1.62800,1.31000,2.69000,,4.00000,-2.37200,0.19900,-2.17000,0.31000,-2.48000,,-2.47300,-2.47300,-2.37200,-2.37200,6.94800,6.94800,-0.35500,-0.35500,5.43470,19.64110,-28.75850,-28.75850,-26.30940,-29.98300,0.16210,2.21130,40.70080,-6.52510,-8.03440,-4.85950,-6.52510,0,0
2015-03-31,7.96400,6.74000,1.22400,1.28000,2.19000,,3.47000,-2.24600,0.17900,-2.06700,0.25200,-2.31900,,-2.31900,-2.30700,-2.24600,-2.24600,6.94890,6.94890,-0.33000,-0.33000,5.79950,15.36920,-28.20190,-28.20190,-25.95430,-28.96790,0.14560,1.96160,45.88150,-5.68660,-7.09390,-4.24100,-5.68520,0.00000,
2014-12-31,-0.01200,5.67000,-5.68200,2.11000,1.26000,,3.61000,-9.29200,-0.50100,-3.55000,8.09000,-11.64000,0.00000,-0.00900,-0.00900,-9.29200,-9.29200,6.90430,6.90430,0.00000,0.00000,5.38840,-4666.66700,77433.33000,77433.33000,29583.33000,75.00000,-0.00020,-0.00210,-42375.00000,-0.01840,-0.02260,-0.01410,-0.01840,-0.7198,5.7978
2014-09-30,8.89500,7.27000,1.62500,1.19000,3.13000,,4.32000,-2.69500,0.20800,-2.49000,0.34000,-2.83000,,-2.82900,-2.82900,-2.69500,-2.69500,6.94900,6.94900,-0.40000,-0.40000,5.11430,18.10010,-30.29790,-30.29790,-27.99330,-31.80440,0.12620,2.33460,38.54980,-5.06260,-6.19440,-4.01390,-5.06260,0,0
2014-06-30,10.13000,8.78000,1.35000,0.96000,3.05000,,4.01000,-2.66000,0.03600,-2.63000,0.35000,-2.98000,,-2.99600,-2.99600,-2.66000,-2.66000,6.94900,6.94900,-0.44000,-0.44000,5.33640,13.32680,-26.25860,-26.25860,-25.96250,-29.57550,0.12950,2.14620,41.93480,-4.80280,-5.92450,-3.82970,-4.80210,0,0
2014-03-31,10.11300,8.89000,1.22300,0.76000,3.16000,,3.92000,-2.69700,0.34700,-2.35000,0.38000,-2.73000,,-2.78900,-2.78900,-2.69700,-2.69700,6.94900,6.94900,-0.40000,-0.40000,5.15170,12.06370,-26.66870,-26.66870,-23.23740,-27.57840,0.12840,2.03480,44.23020,-4.49480,-5.59030,-3.54110,-4.49480,0.00000,
2013-12-31,4.83600,5.62000,-0.78400,1.56000,0.99000,,2.79000,-3.57400,-4.90000,-8.45000,2.93000,-11.38000,0.02000,-11.75800,-11.75800,-3.57400,-3.57400,6.94820,6.94820,-1.68000,-1.68000,5.20440,-15.71550,-73.90410,-73.90410,-174.73120,-243.13480,0.06040,0.81280,110.73200,-18.48450,-23.02780,-14.69570,-18.48160,-0.2778,-0.308
2013-09-30,12.07200,8.59000,3.48200,1.07000,3.64000,,4.71000,-1.22800,-0.10000,-1.34000,0.45000,-1.79000,,-1.66800,-1.66800,-1.22800,-1.22800,6.94900,6.94900,-0.24000,-0.24000,7.32140,28.74420,-10.17230,-10.17230,-11.10010,-13.81710,0.12720,1.91620,46.96820,-2.13080,-2.84110,-1.75690,-2.13030,0,0
2013-06-30,11.37900,7.50000,3.87900,1.83000,4.01000,,5.84000,-1.96100,1.07000,-0.90000,0.64000,-1.54000,,-1.43900,-1.43900,-1.96100,-1.96100,6.95000,6.95000,-0.20000,-0.20000,7.24330,34.01000,-17.23350,-17.23350,-7.90930,-12.64610,0.12490,2.13090,42.23570,-1.90550,-2.55050,-1.57940,-1.90520,0,0
2013-03-31,10.75600,6.74000,4.01600,1.26000,4.01000,,5.27000,-1.25400,0.24000,-1.03000,0.79000,-1.82000,-0.02000,1.48500,1.48500,-1.25400,-1.25400,6.94900,6.94900,0.20000,0.20000,7.15100,37.28150,-11.65860,-11.65860,-9.57610,13.80630,0.11110,1.79870,50.03720,1.85300,2.51060,1.53360,1.85250,0.00000,
2012-12-31,8.10500,2.63000,5.47500,0.67000,1.71000,,2.62000,2.85500,-9.76000,-8.48000,1.21000,-9.69000,0.00000,-12.10800,-12.10800,2.85500,2.85500,6.94900,6.94900,-1.60000,-1.60000,6.46400,48.11850,35.22520,35.22520,-104.62680,-149.38930,0.08560,1.30940,68.73540,-15.60510,-20.13970,-12.78290,-15.60110,0.7296,0.6677
2012-09-30,12.84700,8.30000,4.54700,1.44000,3.40000,,4.84000,-0.29300,-1.75000,-2.07000,0.25000,-2.32000,,-1.27700,-1.27700,-0.29300,-0.29300,6.94900,6.94900,-0.20000,-0.20000,6.99020,35.26120,-2.28070,-2.28070,-16.11270,-9.94010,0.10980,2.10950,42.66370,-1.30010,-2.01610,-1.09150,-1.30000,0,0
2012-06-30,12.45500,8.57000,3.88500,1.23000,4.17000,,5.40000,-1.51500,0.60000,-0.92000,0.47000,-1.39000,,-0.99600,-0.99600,-1.51500,-1.51500,6.94900,6.94900,-0.16000,-0.16000,6.43080,31.15220,-12.16380,-12.16380,-7.38660,-7.99680,0.10780,2.33680,38.51470,-1.02540,-1.65500,-0.86230,-1.02530,0,0
2012-03-31,14.42100,6.01000,8.41100,1.22000,5.98000,,7.20000,1.21100,0.26000,1.46000,0.72000,0.74000,,0.99500,0.99500,1.21100,1.21100,6.94900,6.94900,0.16000,0.16000,5.53480,58.24840,8.39750,8.39750,10.12410,6.89970,0.12190,2.08400,43.18700,1.01420,1.66690,0.84090,1.01410,0.00000,
2011-12-31,10.44900,4.19000,6.25900,1.43000,5.49000,,6.92000,-0.66100,-2.70000,-4.24000,-8.86000,4.62000,0.10900,6.04200,6.04200,-0.66100,-0.66100,7.19270,7.19270,0.84000,0.84000,5.95580,51.48820,-6.32600,-6.32600,-40.57800,57.82370,0.09110,1.88270,47.80360,6.32670,8.00480,5.26810,6.32540,0.1404,-0.6159
2011-09-30,13.41000,5.83000,7.58000,0.50000,4.37000,,4.87000,2.71000,0.84000,3.54000,0.43000,3.11000,-0.09000,3.09900,3.09900,2.71000,2.71000,6.94900,6.94900,0.44000,0.44000,7.77850,56.45040,20.20880,20.20880,26.39820,23.10960,0.11770,2.78220,32.34900,3.25320,5.59490,2.71890,3.25290,0,0
2011-06-30,13.83700,5.91000,7.92700,0.69000,5.38000,,6.07000,1.85700,0.41000,2.26000,0.82000,1.44000,-0.00900,1.63300,1.63300,1.85700,1.85700,6.94900,6.94900,0.24000,0.24000,6.16100,57.23780,13.42050,13.42050,16.33300,11.80170,0.11540,2.67120,33.69230,1.68890,2.94080,1.36220,1.68860,0,0
2011-03-31,12.80200,4.99000,7.81200,0.95000,4.40000,,5.35000,2.46200,0.33000,2.78000,0.74000,2.04000,-0.01000,2.23200,2.23200,2.46200,2.46200,6.94900,6.94900,0.32000,0.32000,6.79980,61.00610,19.23140,19.23140,21.71540,17.43480,0.11140,2.54010,35.43200,2.39590,4.17270,1.94210,2.39560,0.00000,
2010-12-31,8.00100,0.01000,7.99100,-2.12000,7.20000,,5.08000,2.91100,-1.01400,1.60000,0.77000,0.83000,-0.41000,0.60700,0.60700,2.91100,2.91100,7.15330,7.15330,0.08000,0.08000,5.19270,96.11300,36.38300,36.38300,19.99750,7.58660,0.07670,1.08410,83.01460,0.73700,1.24160,0.58210,0.73700,0.8304,0.7717
2010-09-30,12.14800,4.00000,8.14800,0.84000,4.21000,,5.05000,3.09800,0.52200,3.61000,1.07000,2.54000,-0.17000,2.35200,2.35200,3.09800,3.09800,6.94900,6.94900,0.32000,0.32000,10.09800,67.00690,25.50210,25.50210,29.71680,19.36120,0.12860,2.34070,38.45080,3.03010,3.60240,2.49050,3.02900,0,0
2010-06-30,9.75600,4.25000,5.50600,0.70000,4.55000,,5.25000,0.25600,0.95700,1.19000,0.68000,0.51000,-0.10000,0.40100,0.40100,0.25600,0.25600,5.01250,5.01250,0.08000,0.08000,9.52700,56.27310,2.62400,2.62400,12.19760,4.11030,0.10910,2.07570,43.35790,0.54920,0.64920,0.44830,0.54910,0,0
2010-03-31,9.84000,4.30000,5.54000,0.58000,3.83000,,4.41000,1.13000,0.21500,1.33000,0.83000,0.50000,-0.14000,0.33700,0.33700,1.13000,1.13000,6.94900,6.94900,0.04000,0.04000,11.59710,56.19920,11.48370,11.48370,13.51630,3.42480,0.10970,2.06290,43.62810,0.45320,0.53380,0.37560,0.45310,0.00000,
2009-12-31,12.69900,,12.69900,,,,,12.69900,,12.69900,,12.69900,,-0.05800,-0.05800,12.69900,12.69900,4.83330,4.83330,0.00000,0.00000,10.05210,100.00000,100.00000,100.00000,100.00000,-0.45670,0.14020,2.43280,36.99500,-0.07850,-0.09220,-0.06410,-0.07850,2.9007,2.789
2009-09-30,11.81800,4.62000,7.19800,0.40000,5.75000,,6.15000,1.04800,0.09100,1.13000,0.92000,0.21000,-0.18000,0.01400,0.01400,1.04800,1.04800,6.94900,6.94900,0.00000,0.00000,8.02210,60.83940,8.86780,8.86780,9.56170,0.11850,0.13030,1.90310,47.29230,0.01950,0.02290,0.01540,0.01950,0,0
2009-06-30,11.45300,,11.45300,,,,,11.45300,,11.45300,,11.45300,,1.58300,1.58300,11.45300,11.45300,6.94900,6.94900,0.24000,0.24000,10.62700,100.00000,100.00000,100.00000,100.00000,13.82170,0.13620,2.22390,40.46980,2.30990,2.71530,1.88320,2.30930,0,0
2009-03-31,12.99000,4.24000,8.75000,0.27000,4.15000,,4.42000,4.33000,1.16000,5.47000,1.09000,4.38000,-0.25000,4.10000,4.10000,4.33000,4.33000,,,,0.00000,10.23040,67.28250,33.33330,33.33330,42.10930,31.56270,0.16410,2.86120,31.45500,6.37830,7.52570,5.17870,6.37640,0.00000,
