Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-03-31,160.40600,89.31700,71.08900,,4.96500,66.12400,-31.94500,34.17900,8.44400,25.73500,25.73500,,25.73500,72.38300,66.12400,41.50500,43.59600,0.62000,0.59000,4.55360,0.86200,6.24730,44.31820,41.22290,41.22290,21.30780,16.04370,0.11400,6.65590,13.52190,16.07430,-22.61420,1.82830,2.21800,3.84630,2.53450,2.47050
2020-12-31,132.21600,112.04000,20.17610,,64.39100,-44.21490,52.35100,8.13600,3.64900,4.48700,4.48700,-0.00800,4.47900,-38.84990,-44.21500,40.88600,42.09100,0.10000,0.09000,3.88130,0.86140,6.21400,15.25990,-33.44140,-33.44140,6.15360,3.38760,0.11180,4.12380,21.82470,3.40170,-10.05800,0.37930,0.47150,3.18830,2.1715,2.0893
2020-09-30,127.25300,63.68300,63.57000,,0.00000,63.57000,-51.51100,12.05900,-0.82200,12.88100,12.88100,,12.88100,69.08400,63.57000,40.88500,41.77500,0.32000,0.31000,3.99490,0.87660,7.10300,49.95560,49.95560,49.95560,9.47640,10.12240,0.11300,3.61370,24.90520,11.44440,-21.73830,1.14340,1.41240,2.75290,0.8962,0.8327
2020-06-30,131.81600,55.31700,76.49900,,0.00000,76.49900,-54.35100,22.14800,1.06800,21.08000,21.08000,0.99300,22.07300,81.85300,76.49900,40.81000,41.54500,0.54000,0.53000,3.57380,0.89590,8.60570,58.03470,58.03470,58.03470,16.80220,16.74530,0.11690,7.00960,12.83950,22.68080,-27.46870,1.87020,2.36120,2.27330,2.927,2.9016
2020-03-31,167.30000,67.60000,99.70000,,0.00000,99.70000,-61.70000,38.00000,2.00000,36.00000,36.00000,0.30000,36.30000,104.90000,99.70000,40.80000,41.90000,0.89000,0.87000,3.57860,0.92980,13.23550,59.59350,59.59360,59.59360,22.71370,21.69760,0.15680,6.84670,13.14500,60.43210,-33.58270,3.37470,4.24520,1.46080,3.63250,3.54420
2019-12-31,172.00500,96.56200,75.44300,,92.19800,-16.75500,56.14500,39.39000,9.81900,29.57100,29.57100,0.64700,30.21800,-11.60700,-16.75500,44.68500,45.97400,0.72000,0.68000,3.17350,0.93990,15.65030,43.86090,-9.74100,-9.74100,22.90050,17.56810,0.15900,15.05380,5.97850,58.54140,-28.42740,2.73330,3.51590,1.22740,4.072,3.9562
2019-09-30,173.39700,76.75800,96.63900,,0.00000,96.63900,-57.41300,39.22600,11.23900,27.98700,27.98700,-0.59800,27.38900,101.95300,96.63900,44.42200,46.01000,0.62000,0.60000,3.29930,0.95830,22.98210,55.73280,55.73280,55.73280,22.62210,15.79550,0.16230,7.23510,12.43930,79.86020,-23.77200,2.62020,3.33000,0.82760,3.4609,3.4034
2019-06-30,152.29000,71.10900,81.18100,,0.00000,81.18100,-56.06100,25.12000,7.45300,17.66700,17.66700,-0.83400,16.83300,86.52800,81.18100,46.45100,47.10700,0.36000,0.36000,2.86230,0.93050,13.39390,53.30690,53.30690,53.30690,16.49490,11.05330,0.14030,4.05250,22.20840,30.79060,-18.84900,1.62780,2.13910,1.24050,3.6502,3.5852
2019-03-31,175.55400,70.05700,105.49700,,0.00000,105.49700,-66.77800,38.71900,10.04600,28.67300,28.67300,8.37500,37.04800,111.28900,105.49700,46.42400,47.31900,0.80000,0.79000,2.96630,0.95440,20.90980,60.09380,60.09380,60.09380,22.05530,21.10350,0.16980,4.29520,20.95360,78.03450,-25.35150,2.77270,3.56160,0.79140,2.96910,2.90320
2018-12-31,156.90100,75.21900,81.68200,,0.00000,81.68200,-64.33600,17.34600,1.92800,15.41800,15.41800,-29.71600,-14.29800,87.12600,81.68200,45.81500,47.96500,-0.31000,-0.26000,6.93750,1.02430,-42.21430,52.05960,52.05960,52.05960,11.05540,-9.11280,0.17060,9.37230,9.60280,-80.71830,-9.16830,1.67660,1.95850,-0.41160,3.234,3.1166
2018-09-30,141.79000,81.19600,60.59400,,0.00000,60.59400,-120.09800,-59.50400,-16.91400,-42.59000,-42.59000,-4.43200,-47.02200,66.02300,60.59400,45.85300,45.85300,-1.03000,-1.03000,8.69160,0.98880,88.25220,42.73500,42.73500,42.73500,-41.96630,-33.16310,0.14240,8.66530,10.38630,-431.77190,25.45570,-4.27730,-4.83770,0.21450,2.6544,2.5408
2018-06-30,150.82200,73.47400,77.34800,,0.00000,77.34800,-53.45200,23.89600,5.17800,18.71800,18.71800,-2.74300,15.97500,82.80600,77.34800,45.65000,47.99600,0.35000,0.33000,5.34990,0.92250,11.90390,51.28430,51.28430,51.28430,15.84380,10.59200,0.18370,242.08990,0.37180,35.41790,-15.37680,2.28030,2.74470,1.15460,2.636,2.6069
2018-03-31,173.96000,68.11400,105.84600,,0.00000,105.84600,-69.46600,36.38000,11.46700,24.91300,24.91300,-1.62100,23.29200,111.51000,105.84600,45.50600,47.41600,0.51000,0.50000,5.78160,0.93630,14.68820,60.84500,60.84500,60.84500,20.91290,13.38930,0.22150,,,58.55130,-18.43010,3.17210,3.73220,0.93390,2.61840,2.58590
2017-12-31,141.45100,63.35900,78.09200,,0.00000,78.09200,-48.56700,29.52500,11.65800,17.86700,17.86700,,6.41100,83.26500,78.09200,38.35100,39.27700,0.15000,0.15000,5.07560,0.99000,99.30020,55.20780,55.20780,55.20780,20.87300,4.53230,0.16450,40.94100,2.19830,250.37840,-10.43390,2.07820,2.49630,0.16010,10.3169,10.2984
2017-09-30,155.77800,75.61200,80.16600,,0.00000,80.16600,-60.48400,19.68200,9.92000,9.76200,9.76200,,9.76200,86.27600,80.16600,37.90800,38.91400,0.26000,0.25000,4.83910,0.89540,8.56390,51.46170,51.46170,51.46170,12.63470,6.26660,0.20440,69.76180,1.29010,14.81560,-8.65360,1.28090,1.54910,1.73880,-0.5209,-0.5491
2017-06-30,151.49800,69.49600,82.00200,,0.00000,82.00200,-55.04100,26.96100,10.61900,16.34200,16.34200,,16.34200,88.02000,82.00200,37.89500,38.98700,0.43000,0.42000,,,,54.12750,54.12750,54.12750,17.79630,10.78690,,,,,,,,,-0.1845,-0.2803
2017-03-31,162.84400,67.93900,94.90500,,0.00000,94.90500,-68.81700,26.08800,9.45000,16.63800,16.63800,,16.63800,100.34300,94.90500,37.89500,38.95900,0.44000,0.43000,,,,58.27970,58.27970,58.27970,16.02020,10.21710,,,,,,,,,1.46120,1.38180
2016-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2016-09-30,135.90000,68.86500,67.03500,,0.00000,67.03500,-41.17500,25.86000,10.08300,15.77700,15.77700,,15.77700,67.03500,67.03500,37.90800,,0.42000,0.00000,,,,49.32670,49.32670,49.32670,19.02870,11.60930,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
