Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,3.00000,3.00000,12.05400,6.24100,-0.88100,-16.17600,-0.00600,-16.18200,-16.18200,-16.18200,,-16.18200,-16.05800,-16.17600,1.78540,1.78540,-9.00000,-9.00000,6.94470,0.05380,100.00000,-539.20000,-539.20000,-539.40000,-539.40000,0.03960,,,-24.81060,-24.81060,-21.36750,-24.81060,30.14300,-2.6994,-2.7373
2021-03-31,0.06200,0.06200,8.09200,5.36500,,-13.39500,-0.00400,-13.39900,-13.39900,-13.39900,,-13.39900,-13.13700,-13.39500,1.70410,1.70410,-7.80000,-7.80000,3.30040,0.07250,100.00000,-21604.84000,-21604.84000,-21611.29000,-21611.29000,0.00060,,,-27.66500,-27.66500,-13.40340,-27.66500,28.38150,-8.48270,-7.62480
2020-12-31,0.13300,0.13300,12.09200,7.26500,,-19.22400,-0.00400,-19.22800,-19.22800,-19.22800,,-19.22800,-18.75400,-19.22400,1.52020,1.52020,-10.80000,-10.80000,3.45100,0.05900,100.00000,-14454.14000,-14454.14000,-14457.14000,-14457.14000,0.00120,1.04720,85.93980,-32.31980,-32.31980,-16.66520,-32.31980,34.94760,-11.2647,-10.3692
2020-09-30,0.40000,0.40000,13.70300,8.03300,-0.44400,-21.78000,2.96800,-18.81200,-18.81200,-18.81200,,-18.81200,-21.19200,-21.78000,1.60480,1.60480,-11.80000,-11.80000,4.31210,0.04660,100.00000,-5445.00000,-5445.00000,-4703.00000,-4703.00000,0.00300,1.00000,90.00000,-24.96480,-24.96480,-14.31640,-24.96480,44.37550,-5.1875,-5.0485
2020-06-30,0.74900,0.74900,13.79400,6.62700,,-19.67200,0.13800,-19.53400,-19.53400,-19.53400,,-19.53400,-19.05900,-19.67200,1.38960,1.38960,-14.00000,-14.00000,3.80710,0.05310,100.00000,-2626.43500,-2626.43500,-2608.01100,-2608.01100,0.00580,0.99730,90.24030,-29.55170,-29.55180,-15.25640,-29.55180,47.45570,-10.1417,-10.1841
2020-03-31,1.01400,1.01400,16.82500,6.89100,2.11300,-20.58900,0.36100,-20.22800,-20.22800,-20.22800,,-20.22800,-19.96300,-20.58900,1.38350,1.38350,-14.60000,-14.60000,6.13260,,100.00000,-2030.47300,-2030.47300,-1994.87200,-1994.87200,0.00720,0.98830,91.06510,-24.80750,-24.80750,-14.44550,-24.80750,58.75700,-21.09220,-22.07240
2019-12-31,1.48100,1.48100,20.68200,7.38500,,-26.58600,0.53000,-26.05600,-26.05600,-26.05600,,-26.05600,-25.93300,-26.58600,1.36900,1.36900,-18.80000,-18.80000,5.54530,,100.00000,-1795.13900,-1795.13900,-1759.35200,-1759.35200,0.00790,1.00470,89.57460,-26.66150,-26.66150,-13.97270,-26.66150,70.82330,-16.3043,-16.3868
2019-09-30,1.39800,1.39800,22.29500,7.11900,,-28.01600,0.69900,-27.31700,-27.31700,-27.31700,,-27.31700,-27.31900,-28.01600,1.37170,1.37170,-20.00000,-20.00000,6.32100,,100.00000,-2004.00600,-2004.00600,-1954.00600,-1954.00600,0.00670,0.97080,92.70390,-22.91750,-22.91750,-13.02650,-22.91750,86.78970,-17.2981,-17.6954
2019-06-30,1.62800,1.62800,25.75900,8.92300,,-33.05400,0.80000,-32.25400,-32.25400,-32.25400,,-32.25400,-32.22900,-33.05400,1.36970,1.36970,-23.60000,-23.60000,6.60220,,100.00000,-2030.34400,-2030.34400,-1981.20400,-1981.20400,0.00690,0.87670,102.65970,-22.84440,-22.84440,-13.69580,-22.84440,103.01700,-16.028,-19.1281
2019-03-31,,,26.40400,10.97700,,-37.38100,,-37.38100,-37.38100,-37.38100,,-37.38100,-36.85600,-37.38100,1.36900,1.36900,-27.40000,-27.40000,0.05370,,,,,,,,,,,482.21110,-382.49260,482.21110,-5.65800,-25.03360,-26.35870
2018-12-31,,,22.45200,8.45000,,-30.90200,,-30.90200,-30.90200,-30.90200,0.00000,-30.90200,-30.43600,-30.90200,1.36900,1.36900,-41.00000,-41.00000,0.04930,,,,,,,,,,295.85450,295.85450,-417.53820,295.85450,,-16.9117,-18.2381
2018-09-30,,,21.49900,7.78700,,-29.28600,,-29.28600,-29.28600,-29.28600,,-29.28600,-28.94600,-29.28600,1.36900,1.36900,-21.40000,-21.40000,,,,,,,,,,,,,,,,-18.4835,-19.3309
2018-06-30,,,22.25100,7.53000,,-29.78100,,-29.78100,-29.78100,-29.78100,,-29.78100,-29.41500,-29.78100,1.36900,1.36900,-21.80000,-21.80000,,,,,,,,,,,,,,,,-35.8269,-36.1644
2018-03-31,,,21.51400,3.76900,,-25.28300,,-25.28300,-25.28300,-25.28300,,-25.28300,-24.92700,-25.28300,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
