Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,2.74500,2.57500,-5.32000,0.21600,-5.10400,,-5.10400,-5.10400,-5.10400,-5.30700,-5.32000,11.40500,11.40500,-0.44800,-0.44800,16.87230,,-8.91750,-8.91750,-8.37330,-8.91750,5.01850,-0.32540,-0.32660
2021-12-31,2.38300,2.64100,-5.02400,-0.01200,-5.03600,,-5.03600,-5.03600,-5.03600,-5.01300,-5.02400,10.37350,10.37350,-0.46400,-0.46400,23.65590,,-8.19310,-8.19310,-7.82560,-8.19310,5.38960,-0.3611,-0.2785
2021-09-30,1.48700,1.40400,-2.89100,-0.07700,-2.96800,,-2.96800,-2.96800,-2.96800,-2.88200,-2.89100,11.39780,11.39780,-0.26000,-0.26000,40.39390,,-4.53050,-4.53050,-4.40090,-4.53050,5.74770,-0.1936,-0.2856
2021-06-30,1.30700,1.44600,-2.75300,-0.01700,-2.77000,,-2.77000,-2.77000,-2.77000,-2.74600,-2.75300,10.81300,10.81300,-0.25600,-0.25600,31.88280,,-4.07120,-4.07120,-3.92810,-4.07120,5.96940,-0.4731,-0.39
2021-03-31,1.15700,0.54200,-1.69900,-0.00500,-1.70400,,-1.70400,-1.70400,-1.70400,-1.69200,-1.69900,7.83760,7.83760,-0.22000,-0.22000,12.85320,,-3.08900,-3.08900,-2.83420,-3.08900,5.15650,-0.16500,-0.16540
2020-12-31,1.25400,0.68800,-1.94200,-0.00700,-1.95100,,-1.95100,-1.95100,-1.95100,-1.93600,-1.94200,6.83780,6.83780,-0.28000,-0.28000,8.99620,,-18.06150,-18.06150,-15.63800,-18.06150,23.29310,-0.2376,-0.2379
2020-09-30,1.03100,0.19400,-1.22500,-0.00100,-1.22400,,-1.22400,-1.22400,-1.22400,-1.21700,-1.22500,6.97000,6.97000,-0.18000,-0.18000,3.24750,,-22.87420,-22.87420,-15.91890,-22.87420,11.53890,-0.0996,-0.1023
2020-06-30,0.84700,0.25400,-1.10100,0.02000,-1.08100,,-1.08100,-1.08100,-1.08100,-1.09600,-1.10100,6.48800,6.48800,-0.16000,-0.16000,5.52370,,-13.25240,-13.25240,-10.79270,-13.25240,17.58920,-0.1346,-0.1356
2020-03-31,1.55200,0.15200,-1.70400,0.00900,-1.69500,,-1.69500,-1.69500,-1.69500,-1.69900,-1.70400,6.48810,6.48810,-0.26000,-0.26000,4.22850,,-14.66260,-14.66260,-11.16380,-14.66260,24.92770,-0.29480,-0.29640
2019-12-31,1.02700,1.28700,-5.66400,0.06000,-5.60400,,-5.60400,-5.60400,-5.60400,-5.45300,-5.66400,0.43060,0.43060,-7.79200,-7.79200,4.41910,,-37.58800,-37.58800,-28.36750,-37.58800,32.14880,-15.4876,-14.9622
2019-09-30,5.56500,1.70500,-7.27000,0.10200,-7.16800,,-7.16800,-7.16800,-7.16800,-7.24200,-7.27000,0.46370,0.46370,-15.20000,-15.20000,1.59850,,-77.19150,-120.67340,-23.22970,-77.19150,,-7.5623,-8.1121
2019-06-30,2.57600,1.96200,-4.53800,0.09900,-4.43900,,-4.43900,-4.43900,-4.43900,-4.51700,-4.53800,0.46370,0.46370,-9.60000,-9.60000,8.61220,,-17.83950,-17.83950,-14.29350,-17.83950,,-5.6914,-5.6599
2019-03-31,4.13500,1.29100,-5.42600,-4.48700,-9.91300,,-9.91300,-9.91300,-9.91300,-5.40500,-5.42600,0.32920,0.32920,-30.40000,-30.40000,7.02190,,-37.62340,-37.62340,-26.95220,-37.62340,,-9.48310,-9.71090
2018-12-31,1.79200,1.17500,-2.96700,0.48500,-2.48200,-0.15400,-2.32800,-2.32800,-2.32800,-2.94700,-2.96700,0.15790,0.15790,0.00000,0.00000,3.97670,,-23.74300,-23.74300,-18.24310,-23.74300,50.36280,-32.4047,-32.7927
2018-09-30,1.37200,1.13300,-2.50500,-0.06000,-2.56500,0.06800,-2.63300,-2.63300,-2.63300,-2.48900,-2.50500,0.19470,0.19470,-13.60000,-13.60000,1.39770,,-1130.03700,-1130.04400,-17.31900,-1130.04300,,-19.6625,-19.8131
2018-06-30,1.87500,2.28700,-4.16200,-0.80600,-4.96800,0.33000,-5.29800,-5.29800,-5.29800,-4.14500,-4.16200,0.12100,0.12100,-44.00000,-44.00000,1.70520,,-199.11390,-199.11380,-24.15980,-199.11390,,-15.7139,-16.1661
2018-03-31,2.47500,0.92600,-3.40100,-0.07600,-3.47700,0.06200,-3.53900,-3.53900,-3.53900,-3.38800,-3.40100,0.12020,0.12020,-29.60000,-29.60000,0.23300,-0.51230,89.07710,89.07720,-200.63930,89.07720,,-22.27350,-22.63130
2017-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,55.5639,55.782
2017-09-30,1.12500,0.77700,-1.90200,0.03400,-1.86800,0.05700,-1.92500,-1.92500,-1.92500,-1.90200,-1.90200,0.11930,0.11930,-16.00000,-16.00000,,,,,,,,-55.5639,-55.782
2016-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
