Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-12-31,9257.69400,9257.69400,,9257.69400,,9257.69400,,9257.69400,-2582.86300,0.00000,-2582.86300,4071.07800,4071.07800,-0.63000,-0.63000,0.71350,4.37710,100.00000,-27.89960,0.00410,-2.37600,-2.71240,-0.11540,-0.68080,,-4.2268,-4.4928
2014-09-30,11713.98000,11713.98000,8829.56000,2884.42000,,2040.29000,1004.27000,1036.02000,633.32400,0.00000,633.32400,3947.91300,3947.91300,0.16000,0.16000,0.71730,4.94960,19.14390,5.94240,0.00470,0.56970,0.64740,0.02780,0.16100,,0,0
2014-06-30,10291.78000,10291.78000,,10291.78000,,10291.78000,,10291.78000,272.66400,0.00000,272.66400,3659.09100,3659.09100,0.07000,0.07000,0.61330,6.08790,100.00000,2.64930,0.00470,0.24920,0.28350,0.01230,0.09630,,0,0
2014-03-31,11462.40000,11462.40000,8247.86000,3214.54000,,2999.22000,988.15000,2011.07000,1627.96500,0.00000,1627.96500,4089.02800,4089.02800,0.40000,0.40000,0.62960,6.60730,26.76910,14.53020,0.00500,1.51580,1.72150,0.07220,0.56140,,0.00000,
2013-12-31,12248.04000,12248.04000,11894.37000,353.66990,,65.08000,845.92000,-780.84000,-1056.31200,0.00000,-1056.31200,3210.00000,3210.00000,-0.33000,-0.33000,0.73030,5.78480,0.61190,-9.93250,0.00520,-1.05560,-1.19980,-0.05140,-0.28470,,-12.2717,-12.6305
2013-09-30,10405.98000,10405.98000,7881.75000,2524.23000,,1819.70000,691.30000,1128.40000,821.97900,0.00000,821.97900,3193.75000,3193.75000,0.26000,0.26000,0.66250,7.92990,18.83220,8.50670,0.00440,0.91100,0.91100,0.03770,0.30740,,-5.5651,-5.5651
2013-06-30,9802.89900,9802.89900,9962.25000,-159.35060,,218.14000,158.22000,59.92000,-258.26500,0.00000,-258.26500,3000.00000,3000.00000,-0.09000,-0.09000,0.67620,8.57640,1.85040,-2.19080,0.00500,-0.27960,-0.32150,-0.01100,-0.09050,,5.5651,5.5651
2013-03-31,12100.21000,12100.21000,9325.30000,2774.91000,,2384.92000,762.86000,1622.06000,1303.55400,0.00000,1303.55400,3130.59700,3130.59700,0.42000,0.42000,0.69000,8.76900,20.51310,11.21210,0.00470,1.36580,1.36580,0.05260,0.42330,,0.00000,
2012-12-31,10337.62000,10337.62000,,10337.62000,,10337.62000,,10337.62000,-610.00000,0.00000,-610.00000,2242.64700,2242.64700,-0.27000,-0.27000,0.77900,6.97650,100.00000,-5.90080,0.00440,-0.61130,-0.69920,-0.02580,-0.13510,,-9.6945,-10.1214
2012-09-30,6390.41100,6390.41100,8161.76000,-1771.34900,,-74.25000,93.21000,-167.46000,-436.03900,0.00000,-436.03900,2999.92200,2999.92200,-0.15000,-0.15000,0.69710,6.04690,-0.68390,-4.01620,0.00430,-0.43320,-0.43320,-0.01730,-0.13120,,-24.6204,-24.6204
2012-06-30,10739.32000,10739.32000,8861.82000,1877.50000,,1954.16000,660.36000,1293.80000,640.27200,0.00000,640.27200,1995.09800,1995.09800,0.32000,0.32000,0.69780,8.47060,16.81890,5.51060,0.00450,0.63480,0.72420,0.02480,0.19180,,24.6204,24.6204
2012-03-31,8953.45200,8953.45200,,8953.45200,,8953.45200,,8953.45200,-546.81300,0.00000,-546.81300,1872.64700,1872.64700,-0.29000,-0.29000,,,100.00000,-6.10730,,,,,,,0.00000,
2011-12-31,-20755.48000,-20755.48000,-2334.63300,-18420.85000,,-2997.43100,3093.28000,-6090.71100,559.96000,0.00000,559.96000,3068.27100,3068.27100,0.18000,0.18000,0.70340,7.60450,-7.57180,1.41450,0.01580,0.53530,0.60860,0.02230,0.15880,,15.2054,14.4451
2011-09-30,44431.20000,44431.20000,24966.65000,19464.55000,,8166.39000,,8166.39000,1858.57800,0.00000,1858.57800,2971.64900,2971.64900,0.63000,0.63000,,,18.37990,4.18300,,,,,,,0,0
2011-06-30,10617.48000,10617.48000,9050.48000,1567.00000,,1613.65000,,1613.65000,789.93000,0.00000,789.93000,3038.19200,3038.19200,0.26000,0.26000,0.70030,6.33190,13.20250,6.46300,0.00500,0.78080,0.90560,0.03240,0.23400,,0,0
2011-03-31,10933.23000,10933.23000,7752.04000,3181.19000,,2649.65000,,2649.65000,1986.84100,0.00000,1986.84100,3547.93000,3547.93000,0.56000,0.56000,,,24.23480,18.17250,,,,,,,0.00000,
2010-12-31,13730.13000,13730.13000,,13730.13000,,13730.13000,,13730.13000,1737.09900,0.00000,1737.09900,2978.02200,3151.16300,0.58000,0.55000,0.74830,9.33280,100.00000,12.65170,0.00600,1.80430,2.09720,0.07540,0.45410,,9.1694,8.5751
2010-09-30,7996.47000,7996.47000,,7996.47000,,9331.00000,,9331.00000,79.10100,0.00000,79.10100,3062.50000,6125.00000,0.03000,0.01000,,,81.20870,0.68840,,,,,,,0,0
2010-06-30,13548.19000,13548.19000,,13548.19000,,13548.19000,,13548.19000,2170.00100,0.00000,2170.00100,2939.65500,3100.00000,0.74000,0.70000,0.71300,6.21280,100.00000,16.01690,0.00570,2.38150,2.78360,0.09160,0.68350,,0,0
2010-03-31,12300.98000,12300.98000,,12300.98000,,12300.98000,,12300.98000,1627.42000,0.00000,1627.42000,2868.27900,3066.09100,0.57000,0.53000,,,100.00000,13.23000,,,,,,,0.00000,
2009-12-31,11756.38000,11756.38000,,11756.38000,,11756.38000,,11756.38000,11225.71000,0.00000,11225.71000,2822.25000,2822.25000,3.98000,3.98000,0.73440,8.51520,100.00000,95.48610,0.00540,12.25910,14.42910,0.51990,3.25570,,23.2168,22.7851
2009-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
2009-03-31,11719.70000,11719.70000,,11719.70000,,11719.70000,,11719.70000,1518.52800,0.00000,1518.52800,3163.60000,3163.60000,0.48000,0.48000,,,100.00000,12.95710,,,,,,,0.00000,
