Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.94000,0.94000,4.36900,1.73500,,-5.16400,0.03500,-5.12900,-5.12900,-5.12900,-5.12900,-5.02700,-5.16400,22.14400,22.14400,-0.23000,-0.23000,12.93950,0.00000,0.00060,100.00000,-549.36170,-549.36170,-545.63830,-545.63830,0.01260,-7.45090,-7.45090,-6.87880,-7.45070,3.10860,-0.26110,-0.26140
2021-12-31,0.02300,0.02300,5.41600,2.65500,,-8.04800,0.03800,-8.01000,-8.01000,-8.01000,-8.01000,-7.91100,-8.04800,20.56840,20.56840,-0.36000,-0.36000,11.65920,0.00000,0.00090,100.00000,-34991.13000,-34991.12000,-34825.90000,-34825.90000,0.00030,-10.89130,-10.89130,-9.96420,-10.89090,3.32120,-0.2803,-0.2805
2021-09-30,0.23300,0.23300,4.70800,1.99400,,-6.46900,0.04600,-6.42300,-6.42300,-6.42300,-6.42300,-6.33600,-6.46900,21.53950,21.53950,-0.30000,-0.30000,19.87140,0.00000,0.00110,100.00000,-2776.39500,-2776.39500,-2756.65300,-2756.65200,0.00280,-8.00030,-8.00030,-7.60310,-7.99990,3.64420,-0.2287,-0.2317
2021-06-30,0.26600,0.26600,3.63100,1.71000,,-5.07500,0.05400,-5.02100,-5.02100,-5.02100,-5.02100,-4.94600,-5.07500,20.23130,20.23130,-0.25000,-0.25000,21.47460,0.00020,0.00140,100.00000,-1907.89500,-1907.89500,-1887.59400,-1887.59400,0.00310,-6.23730,-6.23730,-5.94520,-6.23580,3.81670,-0.1985,-0.2014
2021-03-31,0.62200,0.62200,4.27600,1.71800,,-5.37200,0.05200,-5.32000,-5.32000,-5.32000,-5.32000,-5.24700,-5.37200,18.37540,18.37540,-0.29000,-0.29000,17.71060,0.00060,0.00190,100.00000,-863.66560,-863.66560,-855.30550,-855.30550,0.00830,-7.52090,-7.52090,-7.08420,-7.51640,3.67540,-0.30700,-0.30730
2020-12-31,,,4.63800,1.79700,,-6.43500,0.05500,-6.38000,-6.38000,-6.38000,-6.38000,-6.31500,-6.43500,12.13430,12.13430,-0.08000,-0.08000,13.61970,0.00110,0.00250,,,,,,,-10.40460,-10.40460,-9.60890,-10.39340,3.49730,-0.7863,-0.8066
2020-09-30,,,3.78800,1.82500,,-5.61300,0.07300,-5.54000,-5.54000,-5.54000,-5.54000,-5.50200,-5.61300,15.43290,15.43290,-0.36000,-0.36000,10.50860,0.00190,0.00460,,,,,,,-12.19540,-12.19540,-10.96440,-12.17210,3.34340,-0.0843,-0.0848
2020-06-30,,,3.50800,1.15400,,-4.66200,0.03700,-4.62500,-4.62500,-4.62500,-4.62600,-4.55400,-4.66200,11.37930,11.37930,-0.41000,-0.41000,11.70700,0.00210,0.00680,,,,,,,-9.10900,-9.10900,-8.26510,-9.08950,3.85500,0.0986,0.0986
2020-03-31,,,4.15100,1.53200,,-5.68300,0.01300,-5.67000,-5.67000,-5.67000,-5.67000,-5.57500,-5.68300,5.79900,5.79900,-0.98000,-0.98000,1.44500,0.04130,0.15830,,,,,,,-187.74810,-187.74830,-67.79050,-180.00000,0.51870,-1.00950,-1.00950
2019-12-31,,,3.37400,1.26100,,-4.63500,0.03100,-4.60400,-4.60400,-4.60400,-4.60400,-4.53100,-4.63500,4.97570,4.97570,-0.68850,-0.68850,1.88770,0.02610,0.10830,,,,,,,-81.57310,-81.57330,-39.45160,-79.44780,1.02810,-1.292,-1.2941
2019-09-30,,,4.83000,1.82200,,-6.65200,0.05300,-6.59900,-6.59900,-6.59900,-6.59900,-6.54500,-6.65200,5.44500,5.44500,-1.21000,-1.21000,2.62610,0.01690,0.02750,,,,,,,-66.41640,-66.41640,-40.44060,-65.29130,1.81160,-0.8726,-0.8717
2019-06-30,,,4.01000,1.07600,,-5.08600,0.05900,-5.02700,-5.02700,-5.02700,-5.02800,-4.98100,-5.08600,5.05100,5.05100,-1.00000,-1.00000,3.85190,0.01200,0.02340,,,,,,,-32.01820,-32.01820,-23.03970,-31.63310,2.90980,-0.7422,-0.7409
2019-03-31,,,4.33600,1.36300,,-5.69900,0.02900,-5.67000,-5.67000,-5.67000,-5.67000,-5.59500,-5.69900,3.90270,3.90270,-1.50150,-1.50150,1.75320,0.03790,0.08610,,,,,,,-106.12650,-106.12650,-46.34240,-102.10230,1.34670,-1.40650,-1.41950
2018-12-31,,,5.07170,1.29190,,-6.36360,0.04380,-6.31970,-6.31970,-6.31970,-6.31970,-6.35090,-6.36360,3.53120,3.53120,-1.50150,-1.50150,2.36340,0.00150,0.02980,,,,,,,-71.71100,-71.71100,-42.44460,-71.60250,2.28730,-1.3986,-1.4025
2018-09-30,,,4.22700,1.97020,,-6.19730,0.04920,-6.14810,-6.14810,-6.14810,-6.14810,-6.18400,-6.19730,3.67850,3.67850,-1.80180,-1.80180,3.67680,,,,,,,,,-53.09190,-53.09190,-39.15400,-53.09190,3.14790,-1.7956,-1.8116
2018-06-30,,,3.32960,1.58320,,-4.91280,0.05000,-4.86280,-4.86280,-4.86280,-4.86280,-4.90000,-4.91280,3.67510,3.67510,-1.20120,-1.20120,4.19360,,,,,,,,,-28.07890,-28.07890,-21.53150,-28.07890,4.70830,-0.7775,-0.7824
2018-03-31,,,4.46640,1.88720,,-6.35370,0.03030,-6.32330,-6.32330,-6.32330,-6.32330,-6.34170,-6.35370,2.94490,2.94490,-2.10210,-2.10210,4.32460,,,,,,,,,-29.07610,-29.07610,-22.47050,-29.07610,5.92000,-1.85380,-1.85620
2017-12-31,,,3.67150,1.58160,,-5.20690,0.04380,-5.16310,-5.16310,-5.16310,-5.16310,-5.19720,-5.20690,2.22260,2.22260,-1.50150,-1.50150,3.82320,,,,,,,,,-37.76630,-37.76630,-28.15640,-37.76630,5.12720,-2.0866,-2.088
2017-09-30,,,5.02660,1.65740,,-6.69500,0.37220,-6.32290,-6.32290,-6.32290,-6.32290,-6.68400,-6.69500,2.41570,2.41570,-2.70270,-2.70270,6.01100,,,,,,,,,-34.75630,-34.75630,-29.10900,-34.75630,6.82660,-1.1515,-1.1526
2017-06-30,,,4.44820,2.74080,,-7.20330,0.14960,-7.05370,-7.05370,-7.05370,-7.05370,-7.18900,-7.20330,1.93760,1.93760,-3.60360,-3.60360,3.03600,,,,,,,,,-79.51820,-79.51810,-54.35720,-79.51810,4.55210,-3.5713,-3.5754
2017-03-31,,,4.57350,3.21120,,-7.80560,-0.25600,-8.06160,-8.06160,-8.06160,-8.06160,-7.78470,-7.80560,1.86120,1.86120,-4.20420,-4.20420,3.37420,,,,,,,,,-62.61400,-62.61400,-44.18540,-62.61400,6.76510,-2.88780,-2.89230
2016-12-31,,,4.22910,2.65540,,-6.82680,0.13110,-6.69570,-6.69570,-6.69570,-6.69570,-6.80700,-6.82680,1.61380,1.61380,-3.60360,-3.60360,4.95300,,,,,,,,,-37.18110,-37.18110,-29.72050,-37.18110,9.69120,-2.4533,-2.4636
2016-09-30,,,5.68580,1.39490,,-7.10080,0.50210,-6.59870,-6.59870,-6.59870,-6.59870,-7.08070,-7.10080,1.58680,1.58680,-4.20420,-4.20420,5.65460,,,,,,,,,-46.35820,-46.35820,-38.22680,-46.35820,8.95260,-3.3343,-3.3344
2016-06-30,,,4.14790,2.75040,,-6.91790,0.29380,-6.62410,-6.62410,-6.62410,-6.62410,-6.89840,-6.91790,1.54750,1.54750,-4.20420,-4.20420,8.60480,,0.00470,,,,,,,-34.71000,-34.71000,-30.70610,-34.71000,12.11800,-3.8667,-3.8748
2016-03-31,,,3.76550,2.21850,,-6.00200,1.59870,-4.40330,-4.40330,-4.40330,-4.40330,-5.98390,-6.00200,1.47370,1.47370,-3.00300,-3.00300,7.05380,,0.00890,,,,,,,-21.95260,-21.95260,-18.86250,-21.95260,13.40790,-3.22770,-3.24640
2015-12-31,,,2.78710,2.12270,,-4.91990,-1.62060,-6.54050,-6.54050,-6.54050,-6.54050,-4.90990,-4.91990,1.27070,1.27070,-4.80480,-4.80480,5.74000,,0.01210,,,,,,,-29.76480,-29.76480,-24.59990,-29.76480,14.97450,-3.9585,-3.9765
2015-09-30,,,2.82810,1.79490,,-4.63980,0.69360,-3.94620,-3.94620,-3.94620,-3.94620,-4.62300,-4.63980,1.37090,1.37090,-3.00300,-3.00300,11.56210,,,,,,,,,-17.23650,-17.23650,-15.75350,-17.23650,16.40190,-1.5567,-1.5755
2015-06-30,,,3.83800,3.55040,,-7.40450,-0.05920,-7.46370,-7.46370,-7.46370,-7.46370,-7.38830,-7.40450,1.22050,1.22050,-6.00600,-6.00600,8.59070,,0.00400,,,,,,,-32.06140,-32.06140,-28.34640,-32.06140,17.26690,-3.8294,-3.8302
2015-03-31,,,4.04870,3.80640,,-7.86550,4.79070,-3.07490,-3.07490,-3.07490,-3.07490,-7.85510,-7.86550,1.10740,1.10740,-2.70270,-2.70270,5.51670,,0.01150,,,,,,,-18.69850,-18.69850,-15.33210,-18.69850,13.83080,-5.24920,-5.24920
2014-12-31,,,4.40550,2.45290,,-6.87260,1.44650,-5.42610,-5.42610,-5.42610,-5.42610,-6.85850,-6.87260,0.91120,0.91120,-5.10510,-3.90390,0.78030,,-0.14750,,,,,,,282.23520,282.23640,-71.68740,282.23650,-1.92630,-5.9449,-5.9524
2014-09-30,,,4.14140,2.88920,,-7.04490,0.96790,-6.07700,-6.07700,-6.07700,-6.07700,-7.03060,-7.04490,0.94900,0.94900,-6.30630,-6.30630,1.21480,,,,,,,,,-256.21050,-256.21030,-48.23680,-256.21030,2.40480,-5.5629,-5.6144
2014-06-30,,,2.13060,2.28590,,-4.42460,7.93970,3.51510,3.51510,3.51510,3.51510,-4.41660,-4.42460,0.85900,1.19420,4.20420,3.00300,1.37440,,0.01270,,,,,,,81.18010,81.18010,22.75650,81.18010,4.71090,-1.2738,-1.3793
2014-03-31,,,1.58980,2.54720,,-4.13840,-12.56110,-16.69950,-16.69950,-16.69950,-16.69950,-4.13700,-4.13840,0.84010,0.84010,-19.81980,-19.81980,0.32680,,-0.00700,,,,,,,123.99250,123.99260,-254.56920,123.99260,-15.82230,-2.96510,-2.96710
2013-12-31,,,0.73610,0.74660,,-1.48430,-4.39550,-5.87980,-5.87980,-5.87980,-5.87980,-1.48430,-1.48430,0.75770,0.75770,-7.50750,-7.50750,0.78520,,-0.10120,,,,,,,377.02220,377.02280,-101.98010,377.02280,-1.90650,-2.0093,-2.021
2013-09-30,,,0.77820,0.83070,,-1.60900,0.18800,-1.42090,-1.42090,-1.42090,-1.42090,-1.60900,-1.60900,0.78590,0.78590,-1.80180,-1.80180,1.17340,,,,,,,,,-235.12280,-235.12280,-35.08440,-235.12280,0.76710,-1.7898,-1.7985
2013-06-30,,,0.50930,0.96640,,-1.47560,-1.30840,-2.78400,-2.78400,-2.78400,-2.78400,-1.47560,-1.47560,0.73860,0.73860,-3.90390,-3.90390,1.50130,,0.01930,,,,,,,-145.39010,-145.39010,-48.54760,-145.39010,2.43820,-1.2597,-1.2597
2013-03-31,,,1.08570,0.93310,-0.00410,-2.02300,1.33390,-0.68900,-0.68900,-0.68900,-0.68900,-2.02300,-2.02300,0.71240,0.71240,-0.90090,-0.90090,1.19630,,0.13560,,,,,,,-125.09390,-125.09390,-20.52490,-125.09390,0.77320,-3.24610,-3.24760
2012-12-31,,,0.73000,2.99000,,-3.72020,0.82000,-2.89000,-2.89000,-2.89000,-2.89000,-3.59850,-3.72020,0.03680,0.03680,-109.90990,-109.90990,1.24610,,0.12220,,,,,,,-252.26130,-252.26180,-49.92380,-252.26190,1.60820,0.3999,0.4024
2012-09-30,,,1.67730,0.72200,,-2.39950,-0.61300,-3.01250,-3.01250,-3.01250,-3.01250,-2.09870,-2.39950,0.02670,0.02670,-112.91290,-112.91290,,,,,,,,,,,,,,,-138.832,-138.8977
2012-06-30,,,0.60130,0.23790,,-0.83930,-0.72330,-1.56260,-1.56260,-1.56260,-1.56260,-0.53690,-0.83930,0.56680,0.56680,-2.70270,-2.70270,,,,,,,,,,,,,,,-1.2082,-1.2077
2012-03-31,,,0.44490,0.56030,,-1.00530,0.09640,-0.90890,-0.90890,-0.90890,-0.90890,-0.71030,-1.00530,0.45630,0.45630,-2.10210,-2.10210,,,,,,,,,,,,,,,-2.07750,-2.08010
2011-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2009-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
