Date,revenue,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2019-10-31,1.66010,1.66010,1.66010,-0.14410,1.51610,1.51610,1.51610,1.51610,1.66010,1.66010,9.19100,9.19100,0.16000,0.16000,1.08190,100.00000,100.00000,100.00000,91.32170,91.32160,1.04350,1259.18900,1259.19000,95.29630,1259.18900,0.01310
2019-07-31,2.14620,2.14620,2.14620,-0.12380,2.02250,2.02250,2.02250,2.02250,2.14620,2.14620,9.19100,9.19100,0.22000,0.22000,1.03700,100.00000,100.00000,100.00000,94.23350,94.23350,1.02360,2702.70800,2702.70800,96.45660,2702.70800,0.00810
2019-04-30,2.23540,2.23540,2.23540,-0.23360,2.00180,2.00180,2.00180,2.00180,2.23540,2.23540,9.19100,9.19100,0.22000,0.22000,1.03670,100.00000,100.00000,100.00000,89.54990,89.54990,1.06640,2694.25800,2694.26000,95.49310,2694.25800,0.00810
2019-01-31,2.30300,2.30300,2.30300,-0.26520,2.03780,2.03780,2.03780,2.03780,2.30300,2.30300,9.19100,9.19100,0.22000,0.22000,1.04670,100.00000,100.00000,100.00000,88.48390,88.48390,1.08820,2156.98000,2156.97800,96.28530,2156.98000,0.01030
2018-10-31,1.47420,1.47420,1.47420,-0.14930,1.32490,1.32490,1.32490,1.32490,1.47420,1.47420,9.19100,9.19100,0.15000,0.15000,1.05700,100.00000,100.00000,100.00000,89.87310,89.87310,1.01170,1685.21800,1685.21800,90.92050,1685.21800,0.00860
2018-07-31,1.90010,1.90010,1.90010,-0.13250,1.76760,1.76760,1.76760,1.76760,1.90010,1.90010,9.19100,9.19100,0.19000,0.19000,1.07580,100.00000,100.00000,100.00000,93.02920,93.02920,1.01150,1336.01700,1336.01700,94.09710,1336.01700,0.01440
2018-04-30,2.05400,2.05400,2.05400,-0.23370,1.82030,1.82030,1.82030,1.82030,2.05400,2.05400,9.19100,9.19100,0.20000,0.20000,1.06350,100.00000,100.00000,100.00000,88.62310,88.62310,1.10600,1641.60000,1641.59900,98.02040,1641.60000,0.01210
2018-01-31,1.77020,1.77020,1.77020,-0.27520,1.49510,1.49510,1.49510,1.49510,1.77020,1.77020,9.19100,9.19100,0.16000,0.16000,1.02350,100.00000,100.00000,100.00000,84.45660,84.45660,1.10700,4066.82300,4066.81500,93.49180,4066.82300,0.00400
2017-10-31,2.14430,2.14430,2.14430,-0.13340,2.01080,2.01080,2.01080,2.01080,2.14430,2.14430,9.19060,9.19060,0.22000,0.22000,1.05150,100.00000,100.00000,100.00000,93.77690,93.77690,1.00860,1932.05800,1932.06100,94.58240,1932.05800,0.01130
2017-07-31,1.97440,1.97440,1.97440,-0.13370,1.84070,1.84070,1.84070,1.84070,1.97440,1.97440,9.19100,9.19100,0.20000,0.20000,1.06270,100.00000,100.00000,100.00000,93.22610,93.22610,1.01080,1598.13000,1598.13000,94.23530,1598.13000,0.01250
2017-04-30,1.91880,1.91880,1.91880,-0.21890,1.69990,1.69990,1.69990,1.69990,1.91880,1.91880,9.19100,9.19100,0.18000,0.18000,1.06450,100.00000,100.00000,100.00000,88.59090,88.59090,1.03230,1509.66200,1509.66200,91.45130,1509.66100,0.01230
2017-01-31,1.72470,1.72470,1.72470,-0.24970,1.47500,1.47500,1.47500,1.47500,1.72470,1.72470,9.19060,9.19060,0.16000,0.16000,1.11530,100.00000,100.00000,100.00000,85.52380,85.52380,1.12180,928.23830,928.23890,95.93650,928.23830,0.01730
2016-10-31,1.23380,1.23380,1.23380,-0.15550,1.07830,1.07830,1.07830,1.07830,1.23380,1.23380,9.19060,9.19060,0.12000,0.12000,1.05660,100.00000,100.00000,100.00000,87.39660,87.39660,1.05870,1725.90600,1725.90300,92.52980,1725.90600,0.00680
2016-07-31,1.56100,1.56100,1.56100,-0.17220,1.38880,1.38880,1.38880,1.38880,1.56100,1.56100,9.19100,9.19100,0.15000,0.15000,1.06310,100.00000,100.00000,100.00000,88.96690,88.96690,1.06510,1595.32700,1595.32700,94.75680,1595.32700,0.00950
2016-04-30,2.33370,2.33370,2.33370,-0.23330,2.10040,2.10040,2.10040,2.10040,2.33370,2.33370,9.19100,9.19100,0.23000,0.23000,1.03480,100.00000,100.00000,100.00000,90.00260,90.00260,1.02240,2733.24800,2733.20800,92.01680,2733.24800,0.00840
2016-01-31,1.83250,1.83250,1.83250,-0.25880,1.57370,1.57370,1.57370,1.57370,1.83250,1.83250,9.19060,9.19060,0.17000,0.17000,1.12390,100.00000,100.00000,100.00000,85.87790,85.87790,1.10880,863.60030,863.60070,95.21810,863.60030,0.01980
2015-10-31,2.25010,2.25010,2.25010,-0.15310,2.09700,2.09700,2.09700,2.09700,2.25010,2.25010,9.19060,9.19060,0.23000,0.23000,1.03740,100.00000,100.00000,100.00000,93.19460,93.19460,1.02610,2653.33200,2653.33200,95.62620,2653.33200,0.00860
2015-07-31,3.45960,3.45960,3.45960,-0.14730,3.31230,3.31230,3.31230,3.31230,3.45960,3.45960,9.19100,9.19100,0.36000,0.36000,1.02900,100.00000,100.00000,100.00000,95.74120,95.74120,1.01620,3453.52200,3453.52100,97.29130,3453.19800,0.01040
2015-04-30,3.23810,3.23810,3.23810,-0.16360,3.07450,3.07450,3.07450,3.07450,3.23810,3.23810,9.19100,9.19100,0.33000,0.33000,1.03040,100.00000,100.00000,100.00000,94.94650,94.94650,1.03620,3333.97900,3333.98000,98.38030,3333.97900,0.01000
2015-01-31,3.44270,3.44270,3.44270,-0.34580,3.09690,3.09690,3.09690,3.09690,3.44270,3.44270,9.19060,9.19060,0.34000,0.34000,1.01570,100.00000,100.00000,100.00000,89.95570,89.95570,1.05370,6118.33200,6118.33400,94.78450,6118.33200,0.00550
2014-10-31,3.82220,3.82220,3.82220,-0.16440,3.65780,3.65780,3.65780,3.65780,3.82220,3.82220,9.19060,9.19060,0.39000,0.39000,1.04750,100.00000,100.00000,100.00000,95.69890,95.69880,1.01800,2146.49900,2146.50100,97.41790,2146.49900,0.01850
2014-07-31,4.46280,4.46280,4.46280,-0.17490,4.28800,4.28800,4.28800,4.28800,4.46280,4.46280,9.19060,9.19060,0.47000,0.47000,1.02290,100.00000,100.00000,100.00000,96.08200,96.08200,1.03200,4422.70300,4422.70800,99.15280,4422.70200,0.01050
2014-04-30,5.34640,5.34640,5.34640,-0.20640,5.14000,5.14000,5.14000,5.14000,5.34640,5.34640,9.19100,9.19100,0.56000,0.56000,1.00710,100.00000,100.00000,100.00000,96.13860,96.13860,1.03150,14029.15000,14029.05000,99.16330,14029.15000,0.00400
2014-01-31,5.29550,5.29550,5.29550,-0.33670,4.95880,4.95880,4.95880,4.95880,5.29550,5.29550,9.19060,9.19060,0.54000,0.54000,1.00870,100.00000,100.00000,100.00000,93.64130,93.64130,1.05780,11434.52000,11434.54000,99.05160,11434.52000,0.00470
2013-10-31,5.01470,5.01470,5.01470,-0.15440,4.86040,4.86040,4.86040,4.86040,5.01470,5.01470,9.19060,9.19060,0.52000,0.52000,1.00970,100.00000,100.00000,100.00000,96.92140,96.92140,1.01960,10237.09000,10237.15000,98.81820,10237.30000,0.00520
2013-07-31,4.68740,4.68740,4.68740,-0.22800,4.45940,4.45940,4.45940,4.45940,4.68740,4.68740,9.19100,9.19100,0.49000,0.49000,1.01290,100.00000,100.00000,100.00000,95.13660,95.13660,1.02760,7671.93100,7671.93500,97.76110,7671.93100,0.00630
2013-04-30,6.04840,6.04840,6.04840,-0.20580,5.84250,5.84250,5.84250,5.84250,6.04840,6.04840,9.19100,9.19100,0.64000,0.64000,1.01740,100.00000,100.00000,100.00000,96.59710,96.59710,1.01070,5720.75000,5720.75100,97.63440,5720.75000,0.01110
2013-01-31,5.79580,5.79580,5.79580,-0.32280,5.47300,5.47300,5.47300,5.47300,5.79580,5.79580,9.19060,9.19060,0.60000,0.60000,1.02610,100.00000,100.00000,100.00000,94.43010,94.43010,1.04170,3866.15700,3866.15800,98.36450,3866.15700,0.01540
2012-10-31,4.84610,4.84610,4.84610,-0.16660,4.67950,4.67950,4.67950,4.67950,4.84610,4.84610,9.19060,9.19060,0.51000,0.51000,1.01940,100.00000,100.00000,100.00000,96.56240,96.56240,1.01420,5142.29500,5142.29100,97.93410,5142.29500,0.00990
2012-07-31,5.84680,5.84680,5.84680,-0.25770,5.58910,5.58910,5.58910,5.58910,5.84680,5.84680,9.19100,9.19100,0.61000,0.61000,1.01760,100.00000,100.00000,100.00000,95.59180,95.59180,1.02490,5662.07900,5662.07800,97.96880,5662.07900,0.01070
2012-04-30,6.44160,6.44160,6.44160,-0.17950,6.26210,6.26210,6.26210,6.26210,6.44160,6.44160,9.19100,9.19100,0.68000,0.68000,1.01850,100.00000,100.00000,100.00000,97.21310,97.21310,1.01200,5404.05800,5404.05300,98.37620,5404.05800,0.01260
2012-01-31,6.53830,6.53830,6.53830,-0.45900,6.07930,6.07930,6.07930,6.07930,6.53830,6.53830,9.19100,9.19100,0.66000,0.66000,1.01700,100.00000,100.00000,100.00000,92.97980,92.97980,1.05980,5881.35700,5881.36000,98.54290,5881.35700,0.01120
2011-10-31,6.04210,6.04210,6.04210,-0.96790,5.07420,5.07420,5.07420,5.86610,6.04210,6.04210,9.19060,9.19060,0.64000,0.64000,1.01530,100.00000,100.00000,100.00000,83.98130,97.08860,1.01180,5644.89700,5644.89600,84.96840,5644.89600,0.00980
2011-07-31,6.74470,6.74470,6.74470,0.01160,6.75620,6.75620,6.75620,6.56660,6.74470,6.74470,9.19100,9.19100,0.71000,0.71000,1.01620,100.00000,100.00000,100.00000,100.17140,97.36020,1.01710,6390.68800,6390.68500,101.88800,6390.68800,0.01150
2011-04-30,6.96550,6.96550,6.96550,0.00130,6.96680,6.96680,6.96680,6.67900,6.96550,6.96550,9.19100,9.19100,0.73000,0.73000,1.00960,100.00000,100.00000,100.00000,100.01870,95.88670,1.02830,10815.84000,10815.83000,102.85320,10815.84000,0.00700
2011-01-31,5.39630,5.39630,5.39630,0.00240,5.39870,5.39870,5.39870,5.08410,5.39630,5.39630,9.19100,9.19100,0.55000,0.55000,1.01870,100.00000,100.00000,100.00000,100.04420,94.21560,1.04790,5709.91400,5709.90300,104.84120,5709.91400,0.01030
2010-10-31,5.34200,5.34200,5.34200,-0.17320,5.16880,5.16880,5.16880,5.16880,5.34200,5.34200,9.19060,9.19060,0.57000,0.57000,1.01270,100.00000,100.00000,100.00000,96.75790,96.75790,1.02500,7923.39800,7923.38200,99.17240,7923.39800,0.00710
2010-07-31,4.48280,4.48280,4.48280,-0.16640,4.31640,4.31640,4.31640,4.31640,4.48280,4.48280,9.19100,9.19100,0.47000,0.47000,1.01000,100.00000,100.00000,100.00000,96.28800,96.28800,1.02750,10006.59000,10006.67000,98.93940,10006.59000,0.00470
2010-04-30,4.92600,4.92600,4.92600,-0.30730,4.61870,4.61870,4.61870,4.61870,4.92600,4.92600,9.19100,9.19100,0.50000,0.50000,1.00990,100.00000,100.00000,100.00000,93.76080,93.76080,1.04070,9982.06400,9982.08700,97.57540,9982.06300,0.00500
2010-01-31,4.89440,4.89440,4.89440,-0.27810,4.61630,4.61630,4.61630,4.61630,4.89440,4.89440,9.19100,9.19100,0.50000,0.50000,1.02500,100.00000,100.00000,100.00000,94.31760,94.31760,1.03910,4022.21100,4022.21300,98.00910,4022.21000,0.01250
2009-10-31,3.65190,3.65190,3.65190,-0.16560,3.48630,3.48630,3.48630,3.48630,3.65190,3.65190,9.19060,9.19060,0.38000,0.38000,1.02690,100.00000,100.00000,100.00000,95.46510,95.46520,1.01830,3717.78300,3717.78000,97.21480,3717.78300,0.01020
2009-07-31,5.46630,5.46630,5.46630,-0.22280,5.24350,5.24350,5.24350,5.24350,5.46630,5.46630,9.19100,9.19100,0.57000,0.57000,1.01870,100.00000,100.00000,100.00000,95.92430,95.92430,1.00660,5249.68700,5249.68200,96.55860,5249.68700,0.01090
2009-04-30,9.42480,9.42480,9.42480,-0.30190,9.12290,9.12290,9.12290,9.12290,9.42480,9.42480,9.19100,9.19100,0.99000,0.99000,1.02050,100.00000,100.00000,100.00000,96.79640,96.79640,1.01500,4881.63600,4881.63600,98.24820,4881.63600,0.02030
2009-01-31,10.18100,10.18100,10.18100,-0.33450,9.84650,9.84650,9.84650,9.84650,10.18100,10.18100,9.19100,9.19100,1.07000,1.07000,1.01670,100.00000,100.00000,100.00000,96.71440,96.71440,1.02790,6053.18200,6053.20600,99.41220,6053.18200,0.01770
