Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,29.90100,21.09300,8.80800,14.22400,-3.11300,17.33700,-8.52900,-8.52900,-1.51800,-7.01100,-7.01100,-7.01100,-7.69800,-8.52900,1.89000,1.89000,-3.71000,-3.71000,-28.52410,-28.52410,-28.52410,-23.44740,0.11770,-3.81770,-4.04100,-2.75900,-3.81770,97.11630,1.05770,0.72010
2019-12-31,52.88400,21.44100,31.44300,13.63800,-3.23400,16.87200,14.57100,14.57100,3.19100,11.38000,11.38000,11.38000,15.37800,14.57100,1.88800,1.89600,6.03000,6.00000,27.55280,27.55280,27.55280,21.51880,0.20040,5.94680,6.28430,4.31240,5.94680,101.30330,5.7795,5.6188
2019-09-30,47.93900,20.91500,27.02400,13.92600,-3.07900,17.00500,10.01900,10.01900,2.06700,7.95200,7.95200,7.95200,10.77400,10.01900,1.88900,1.89500,4.21000,4.20000,20.89950,20.89950,20.89950,16.58780,0.18010,4.05940,4.28700,2.98820,4.05940,103.70040,4.8508,4.6756
2019-06-30,42.73300,18.67200,24.06100,13.91300,-3.22800,17.14100,6.92000,6.92000,1.42000,5.50000,5.50000,5.50000,7.64200,6.92000,1.88900,1.89600,2.91000,2.90000,16.19360,16.19360,16.19360,12.87060,0.16660,2.92090,3.09390,2.14430,2.92090,99.67970,0.8481,0.674
2019-03-31,39.94600,15.28400,24.66200,13.83500,-2.51400,16.34900,8.31300,8.31300,1.68700,6.62600,6.62600,6.62600,9.00500,8.31300,1.88700,1.89600,3.51000,3.49000,20.81060,20.81060,20.81060,16.58740,0.15790,3.62610,3.85060,2.61910,3.62610,96.73320,-0.44670,-0.56170
2018-12-31,32.28600,16.34600,15.94000,12.52800,-2.94200,15.47000,0.47000,0.47000,0.33700,0.13300,0.13300,0.13500,1.15000,0.47000,1.88700,1.89700,0.07000,0.07000,1.45570,1.45570,1.45570,0.41810,0.13220,0.07570,0.08070,0.05440,0.07570,93.07840,4.7807,4.6368
2018-09-30,48.26100,19.48700,28.77400,13.30400,-2.91000,16.21400,12.56000,12.56000,1.92700,10.63300,10.63300,10.63400,13.26100,12.56000,1.88700,1.89700,5.64000,5.61000,26.02520,26.02520,26.02520,22.03440,0.18100,5.43770,5.75890,3.98870,5.43770,103.62530,4.864,4.8435
2018-06-30,41.93600,16.99100,24.94500,13.12400,-3.00700,16.13100,8.81400,8.81400,1.89400,6.92000,6.92000,6.94700,9.59900,8.81400,1.88700,1.89700,3.68000,3.66000,21.01770,21.01770,21.01770,16.56570,0.16560,3.71820,3.95250,2.73300,3.71820,98.62900,3.4839,3.0126
2018-03-31,33.77600,12.61900,21.15700,13.40900,-2.52300,15.93200,5.22500,5.22500,1.05200,4.17300,4.17300,4.17600,6.04100,5.22500,1.88600,1.89700,2.21000,2.20000,15.46960,15.46960,15.46960,12.36380,0.13800,2.31750,2.47090,1.70550,2.31750,95.42240,-0.27360,-0.58670
2017-12-31,40.57400,18.66900,21.90500,12.14200,-3.20600,15.34800,6.55700,6.55700,-3.07700,9.63400,9.63400,9.62900,7.36400,6.55700,1.88600,1.89600,5.11000,5.08000,16.16060,16.16060,16.16060,23.73200,0.16300,5.41480,5.78400,3.87040,5.41480,94.33780,0.5427,0.2701
2017-09-30,43.13500,19.49600,23.63900,12.14400,-2.57800,14.72200,8.91700,8.91700,2.99000,5.92700,5.92700,5.92700,9.71100,8.91700,1.88700,1.89600,3.14000,3.13000,20.67230,20.67230,20.67230,13.74060,0.17040,3.44330,3.69640,2.34090,3.44330,91.21950,6.9499,6.752
2017-06-30,40.12500,16.73800,23.38700,11.92600,-3.11500,15.04100,8.34600,8.34600,2.67200,5.67400,5.67400,5.67500,9.13000,8.34600,1.88700,1.89700,3.01000,2.99000,20.80000,20.80000,20.80000,14.14330,0.16860,3.41330,3.67390,2.38450,3.41330,88.09240,1.7293,1.2555
2017-03-31,37.79300,17.05100,20.74200,11.89700,-2.39400,14.29100,6.45100,6.45100,1.98500,4.46600,4.46600,4.47600,7.21500,6.45100,1.88600,1.89500,2.37000,2.36000,17.06930,17.06930,17.06930,11.84350,0.16210,2.78620,3.01220,1.91500,2.78620,84.98810,1.27020,0.72030
2016-12-31,38.79660,18.34360,20.45300,6.46880,-6.35680,12.82560,7.62730,7.62730,2.57600,5.05130,5.05130,5.05260,8.30210,7.62730,1.90800,1.91500,2.63000,2.62000,19.65980,19.65980,19.65980,13.02340,0.16950,3.25610,3.53540,2.20640,3.25610,82.34390,3.9816,3.6317
2016-09-30,41.00170,17.67130,23.33040,11.12140,-0.83090,11.95220,11.37820,11.37820,3.24900,8.12920,8.12920,8.12690,11.89070,11.37820,1.88900,1.89600,4.30000,4.29000,27.75050,27.75050,27.75050,19.82100,0.18380,5.34400,5.34400,3.64360,5.34400,80.74140,4.9113,4.7463
2016-06-30,33.82770,16.32230,17.50550,10.11990,-0.84350,10.96340,6.54200,6.54200,2.01200,4.53000,4.53000,4.52940,7.11400,6.54200,1.92300,1.92900,2.36000,2.35000,19.33930,19.33930,19.33930,13.38960,0.15840,3.05700,3.05700,2.12120,3.05700,77.34220,2.0954,1.7323
2016-03-31,24.86200,11.54880,13.31320,10.21490,-0.51480,10.72980,2.58350,2.58350,0.77900,1.80450,1.80450,1.81400,3.12520,2.58350,1.93400,1.94100,0.94000,0.93000,10.39120,10.39120,10.39120,7.29640,0.11990,1.25820,1.25820,0.87030,1.25820,74.23100,0.79600,0.43910
2015-12-31,28.87520,14.63780,14.23740,10.40000,-0.65240,11.05250,3.18490,3.18490,0.97800,2.20690,2.20690,2.19630,3.82360,3.18490,1.98400,1.99000,1.12000,1.11000,11.03000,11.03000,11.03000,7.60630,0.13650,1.54570,1.55900,1.04340,1.54570,73.21900,2.3605,2.1551
2015-09-30,34.54130,17.60230,16.93900,9.66510,-0.83730,10.50250,6.43650,6.43650,1.94100,4.49550,4.49550,4.49100,6.82250,6.43650,1.96790,1.97220,2.28000,2.28000,18.63420,18.63420,18.63420,13.00170,0.17050,3.22670,3.22670,2.21950,3.22670,71.33800,3.8809,3.2893
2015-06-30,35.48180,19.02950,16.45230,9.78970,-0.87610,10.66580,5.78650,5.78650,1.66600,4.12050,4.12050,4.12050,6.19960,5.78650,2.00500,2.00900,2.06000,2.05000,16.30840,16.30840,16.30840,11.61300,0.17720,2.95040,2.95040,2.05820,2.95040,69.79450,2.4624,2.2087
2015-03-31,28.30180,15.38320,12.91870,9.86940,-0.68010,10.54950,2.36910,2.36910,0.64300,1.72610,1.72610,1.72610,2.77370,2.36910,2.01300,2.01900,0.86000,0.86000,8.37090,8.37090,8.37090,6.09900,0.14370,1.24760,1.24760,0.87620,1.24760,68.83280,-0.20300,-0.49280
2014-12-31,31.93540,18.44170,13.49380,8.95580,-0.68350,9.63930,3.85450,3.85440,1.16000,2.69440,2.69440,2.69440,4.27630,3.85450,2.03200,2.03800,1.33000,1.33000,12.06950,12.06950,12.06950,8.43720,0.16130,1.95870,1.95870,1.36060,1.95870,67.99990,2.3661,2.192
2014-09-30,29.50820,15.94810,13.56020,9.27300,-0.68860,9.96160,3.59850,3.59850,1.00400,2.59450,2.59450,2.59450,3.93410,3.59850,2.02880,2.03260,1.28000,1.28000,12.19490,12.19490,12.19490,8.79240,0.15090,1.92660,1.92660,1.32710,1.92660,66.37070,2.6864,2.4028
2014-06-30,33.22160,18.64070,14.58090,9.10560,-0.79630,9.90180,4.67900,4.67900,1.28100,3.39800,3.39800,3.37360,4.91170,4.67900,2.03500,2.03900,1.66000,1.65000,14.08440,14.08440,14.08440,10.15490,0.17370,2.55680,2.55680,1.77670,2.55680,65.50130,0.6444,0.415
2014-03-31,28.45410,17.83170,10.62240,8.76160,-0.50430,9.26590,1.35650,1.35650,0.37100,0.98550,0.98550,0.98640,1.83250,1.35650,2.03700,2.04400,0.48000,0.48000,4.76740,4.76740,4.76740,3.46680,0.15350,0.76470,0.76470,0.53180,0.76470,63.26640,-0.94520,-1.23600
2013-12-31,32.10460,19.76760,12.33700,8.50250,-1.18970,9.69230,2.64470,2.64470,0.80200,1.84270,1.84270,1.81000,2.99910,2.64470,2.05600,2.07700,0.89000,0.88000,8.23790,8.23790,8.23790,5.63780,0.17050,1.43890,1.43890,0.97860,1.43890,62.86800,0.9334,0.764
2013-09-30,33.60520,15.10560,18.49970,9.45140,-0.77170,10.22310,8.27650,8.27650,2.73300,5.54350,5.54350,5.51580,8.59340,8.27650,2.06900,2.07400,2.67000,2.66000,24.62870,24.62870,24.62870,16.41350,0.17770,4.35680,4.35680,2.93060,4.35680,61.55680,4.144,3.8957
2013-06-30,33.69340,18.60570,15.08770,8.45230,-0.76530,9.21770,5.87010,5.87010,1.84600,4.02410,4.02410,4.00570,6.07810,5.87010,2.06400,2.08900,1.94000,1.92000,17.42200,17.42200,17.42200,11.88860,0.18660,3.30380,3.30380,2.22910,3.30380,58.72700,1.4861,1.3609
2013-03-31,26.84830,13.10040,13.74790,8.40960,-0.58690,8.99650,4.75140,4.75140,1.36500,3.38640,3.38640,3.37670,5.05370,4.75140,2.04500,2.08400,1.65000,1.62000,17.69730,17.69730,17.69730,12.57710,0.15420,2.83370,2.83370,1.94470,2.83370,58.40830,0.80510,0.67400
2012-12-31,34.30710,20.39130,13.91580,8.39580,-0.72290,9.11860,4.79720,4.79720,1.65000,3.14720,3.14720,3.16270,5.08560,4.79720,2.08200,2.11700,1.53000,1.50000,13.98300,13.98300,13.98300,9.21870,0.19960,2.74530,2.74530,1.83060,2.74530,56.11300,1.3347,1.2499
2012-09-30,32.27740,19.27250,13.00490,7.72020,-0.56690,8.28700,4.71790,4.71790,1.47900,3.23890,3.23890,3.15820,4.95560,4.71790,2.07200,2.10900,1.52000,1.50000,14.61680,14.61680,14.61680,9.78450,0.18990,2.83740,2.83740,1.90510,2.83740,55.33150,2.0529,1.9611
2012-06-30,26.08030,13.01190,13.06840,7.81970,-0.62900,8.44870,4.61970,4.61970,1.24700,3.37270,3.37270,3.34950,4.84110,4.61970,2.09900,2.13300,1.60000,1.57000,17.71340,17.71340,17.71340,12.84300,0.15890,3.01480,3.01480,2.05530,3.01480,53.29720,1.0468,0.9969
2012-03-31,22.41430,12.82350,9.59080,7.06360,-0.58210,7.64560,1.94510,1.94510,0.51300,1.43210,1.43210,1.43210,2.16270,1.94510,2.10100,2.12900,0.68000,0.67000,8.67810,8.67810,8.67810,6.38940,0.14100,1.31960,1.31960,0.90120,1.31960,51.74080,-0.33170,-0.34270
2011-12-31,20.82710,11.30220,9.52490,6.36220,-0.51020,6.87240,2.65250,2.65250,0.77300,1.87950,1.87950,1.87950,2.85870,2.65250,2.15100,2.16900,0.86000,0.86000,12.73560,12.73570,12.73560,9.02410,0.13190,1.76450,1.76450,1.18980,1.76450,50.52760,0.3857,0.3721
2011-09-30,26.11690,15.51150,10.60540,6.55380,-0.59010,7.14390,3.46150,3.46150,1.02100,2.44050,2.44050,2.44050,3.65050,3.46150,2.12400,2.14300,1.15000,1.14000,13.25380,13.25380,13.25380,9.34440,0.16800,2.35000,2.35000,1.56950,2.35000,48.93900,2.2912,2.2257
2011-06-30,23.71920,14.52380,9.19540,6.49410,-0.66250,7.15660,2.03880,2.03880,0.44400,1.59480,1.59480,1.59480,2.25690,2.03880,2.13400,2.15500,0.75000,0.74000,8.59560,8.59560,8.59560,6.72370,0.15460,1.55780,1.55780,1.03970,1.55780,48.11000,0.7578,0.7114
2011-03-31,20.02200,11.60120,8.42080,6.56610,-0.50850,7.07460,1.34620,1.34620,0.32700,1.01920,1.01920,1.01920,1.56010,1.34620,2.23400,2.23900,0.46000,0.46000,6.72360,6.72360,6.72360,5.09040,0.13430,1.00520,1.00520,0.68340,1.00520,47.02780,0.71800,0.69130
2010-12-31,22.23150,11.67200,10.55950,6.50140,-0.46850,6.97000,3.58960,3.58960,1.22100,2.36860,2.36860,2.36860,3.81110,3.58960,2.28500,2.28900,1.04000,1.03000,16.14620,16.14620,16.14620,10.65400,0.14480,2.27900,2.27900,1.54320,2.27900,45.52290,1.038,0.974
2010-09-30,19.16170,10.45160,8.71010,6.23830,-0.46370,6.70200,2.00810,2.00810,0.55900,1.44910,1.44910,1.44910,2.21050,2.00810,2.28430,2.28580,0.63000,0.63000,10.47980,10.47980,10.47980,7.56250,0.12710,1.41430,1.41430,0.96120,1.41430,44.86120,1.0275,0.9962
2010-06-30,16.21880,6.58880,9.63000,6.16320,-0.46420,6.62740,3.00260,3.00260,0.46500,2.53760,2.53760,2.53760,3.22930,3.00260,2.28600,2.29300,1.11000,1.11000,18.51290,18.51290,18.51290,15.64580,0.11140,2.55410,2.55410,1.74280,2.55410,43.47990,0.219,0.2144
2010-03-31,13.69740,6.91190,6.78560,6.35750,-0.41260,6.77010,0.01540,0.01540,-0.00200,0.01740,0.01740,0.01740,0.23950,0.01540,2.28500,2.29500,0.01000,0.01000,0.11250,0.11250,0.11250,0.12710,0.09490,0.01790,0.01790,0.01210,0.01790,42.61120,-0.43810,-0.46610
2009-12-31,14.64260,7.78400,6.85860,6.24170,-0.44060,6.68230,0.17630,0.17630,-0.13300,0.30930,0.30930,0.30930,0.37040,0.17630,2.29200,2.29900,0.14000,0.14000,1.20400,1.20400,1.20400,2.11230,0.10000,0.31800,0.31800,0.21120,0.31800,42.56420,1.5391,1.5391
2009-09-30,16.36260,8.77250,7.59010,6.05380,-0.44420,6.49810,1.09200,1.09200,0.12300,0.96900,0.96900,0.96900,1.29640,1.09200,2.29100,2.29100,0.42000,0.42000,6.67400,6.67400,6.67400,5.92230,0.11250,0.99420,0.99420,0.66620,0.99420,42.63810,1.7465,1.7054
2009-06-30,21.62060,11.58360,10.03700,6.58870,-0.57980,7.16850,2.86850,2.86850,0.75300,2.11550,2.11550,2.11550,3.15320,2.86850,2.29700,2.29700,0.92000,0.92000,13.26730,13.26730,13.26730,9.78450,0.15260,2.24330,2.24330,1.49310,2.24330,41.05500,0.8399,0.8123
2009-03-31,18.68240,9.57930,9.10310,6.97130,-0.35280,7.32410,1.77900,1.77900,0.34400,1.43500,1.43500,1.43500,2.06760,1.77900,2.29400,2.29600,0.63000,0.62000,9.52210,9.52210,9.52210,7.68080,0.13540,1.56790,1.56790,1.03970,1.56790,39.89500,-0.91490,-0.91510
