Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,128.65100,99.03000,29.62100,17.96500,17.96500,11.65600,0.26400,11.92000,-6.80700,18.72700,18.72700,,18.72700,11.95200,11.65600,88.16500,99.80800,0.21000,0.19000,2.41420,,23.02430,9.06020,9.06020,9.26540,14.55640,0.41220,0.91390,98.47600,9.15560,9.76320,6.00080,9.15560,2.28900,-0.0748,-0.0791
2021-03-31,122.13300,93.22600,28.90700,17.10000,17.10000,11.80700,-0.01100,11.79600,-3.37000,15.16600,15.16600,,15.16600,12.22900,11.80700,87.40400,100.10600,0.17000,0.15000,2.25550,,23.66850,9.66730,9.66730,9.65830,12.41760,0.41460,1.04690,85.97140,8.21480,8.82950,5.14820,8.21480,2.10430,0.00530,0.00160
2020-12-31,100.30100,79.63500,20.66600,19.50500,19.50500,1.16100,0.01500,1.17600,-37.89600,39.07200,39.07200,,39.07200,1.62500,1.16100,85.72300,99.05600,0.45000,0.39000,2.44550,,20.60400,1.15750,1.15750,1.17250,38.95480,0.39500,1.32560,67.89330,23.40380,25.39550,15.38710,23.40380,1.91770,0.0658,0.0648
2020-09-30,98.92800,78.09200,20.83600,16.00800,16.00800,4.82800,-0.00600,4.82200,,4.82200,4.82200,,4.82200,5.29000,4.82800,86.26500,98.97000,0.06000,0.05000,2.48890,,21.06180,4.88030,4.88030,4.87430,4.87430,0.48960,1.26340,71.23550,3.78890,4.23340,2.38650,3.78890,1.47060,0.1316,0.1314
2020-06-30,64.60500,52.65000,11.95500,13.02700,13.02700,-1.07200,0.00800,-1.06400,,-1.06400,-1.06400,,-1.06400,-0.61200,-1.07200,85.28100,85.28100,-0.01000,-0.01000,2.76940,,18.50480,-1.65930,-1.65930,-1.64690,-1.64690,0.36390,0.99400,90.54470,-0.88990,-1.00450,-0.59930,-0.88990,1.39380,0.0463,0.0439
2020-03-31,81.02400,64.42200,16.60200,13.17100,13.17100,3.43100,0.31400,3.74500,0.11600,3.62900,3.62900,,3.62900,3.95100,3.43100,84.53800,99.66500,0.04000,0.04000,2.74210,,20.49020,4.23460,4.23460,4.62210,4.47890,0.44980,1.23020,73.15830,2.99700,3.38580,2.01450,2.99700,1.42720,0.12180,0.11490
2019-12-31,65.12200,53.35300,11.76900,10.62500,10.62500,1.14400,-5.62100,-4.47700,-0.07700,-4.40000,-4.40000,,-1.91000,1.68300,1.14400,20.73500,20.73500,0.38610,0.38610,3.66240,,18.07220,1.75670,1.75670,-6.87480,-2.93300,0.43290,1.38380,65.03650,-3.85050,-4.39930,-2.92490,-3.85050,1.35730,-0.6033,-0.655
2019-09-30,61.19600,48.87600,12.32000,9.25100,9.25100,3.06900,-11.25400,-8.18500,0.02500,-8.21000,-8.21000,,-8.21000,3.60400,3.06900,7.47200,7.47250,-1.10000,-1.10000,0.92660,,20.13200,5.01500,5.01500,-13.37510,-13.41590,0.84350,1.38020,65.20570,8.99730,7.75440,-11.31620,8.99730,-9.08230,0.9013,0.8604
2019-06-30,56.16800,44.71600,11.45200,9.09800,9.09800,2.35400,-0.77000,1.58400,0.06400,1.52000,1.52000,,1.52000,2.90300,2.35400,5.17200,5.17200,0.29390,0.29390,0.98820,-0.03490,20.38880,4.19100,4.19100,2.82010,2.70620,0.89040,1.26960,70.88900,-1.69810,-1.45440,2.40960,-1.69810,-19.46800,0.0361,-0.0055
2019-03-31,47.19700,37.23300,9.96400,6.85400,6.85400,3.11000,-0.58900,2.52100,,2.52100,2.52100,,0.03100,3.62000,3.11000,5.15700,15.12100,0.01000,0.01000,,,21.11150,6.58940,6.58940,5.34140,0.06570,,,,,,,,,-0.40810,-0.41640
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.3241,0.3953
2018-09-30,27.79800,22.75100,5.04700,5.63400,5.63400,-0.58700,-0.94500,-1.53200,-0.39500,-1.13700,-1.13700,0.00100,-1.13700,-0.11300,-0.58700,5.62800,5.62800,-0.20000,-0.20000,,,18.15600,-2.11170,-2.11170,-5.51120,-4.09020,,,,,,,,,-0.3241,-0.3953
2018-06-30,,,,,,,,0.00000,0.00000,,0.00000,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
