Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-06-30,1.56300,0.42500,1.13800,6.97200,6.54600,,13.51800,-12.38000,1.47200,-10.90800,-10.90800,,-10.90800,-10.90800,-12.15500,-12.38000,0.02840,0.02840,-400.00000,-400.00000,2.84440,,,72.80870,-792.06670,-792.06670,-697.88870,-697.88870,0.03150,0.23270,1.62310,55.45110,-34.19010,-41.03220,-21.94990,-34.19010,,-368.4722,-372.9843
2019-03-31,1.73700,0.41700,1.32000,5.37200,5.16100,,10.53300,-9.21300,-0.65700,-9.87000,-9.87000,,-9.87000,-9.87000,-8.98200,-9.21300,0.02840,0.02840,-300.00000,-300.00000,4.09360,,,75.99310,-530.39730,-530.39730,-568.22110,-568.22110,0.02990,0.32380,1.22410,73.52330,-23.57020,-27.00040,-16.97800,-23.57020,,-265.53630,-265.74780
2018-12-31,1.35900,0.58400,0.77500,5.77800,5.04000,,10.81800,-10.04300,2.35900,-7.68400,-7.68400,,-7.68400,-7.68400,-10.02000,-10.04300,0.02310,0.02310,-300.00000,-300.00000,5.47040,,,57.02720,-738.99970,-738.99970,-565.41590,-565.41590,0.02180,0.75940,1.41860,63.44370,-15.01190,-16.75320,-12.31190,-15.01190,1804.29300,-372.594,-372.822
2018-09-30,2.20600,0.59800,1.60800,6.62400,4.72000,,11.34400,-9.73600,-0.34700,-10.08300,-10.08300,,-10.08300,-10.08300,-9.71400,-9.73600,0.02350,0.02350,-400.00000,-400.00000,4.34350,,,72.89210,-441.34170,-441.34170,-457.07160,-457.07160,0.04130,1.27510,1.14900,78.33180,-25.30680,-29.17700,-18.89050,-25.30680,,-279.5642,-279.6285
2018-06-30,2.35000,0.72500,1.62500,6.04400,5.13800,,11.18200,-9.55700,-1.56100,-11.11800,-11.11800,,-11.11800,-11.11800,-9.53400,-9.55700,0.02130,0.02130,-500.00000,-500.00000,3.26200,,,69.14890,-406.68080,-406.68080,-473.10640,-473.10640,0.06210,1.05070,1.30850,68.78300,-42.91670,-53.91590,-29.37540,-42.91670,,-392.9927,-393.0857
2018-03-31,2.44500,0.93000,1.51500,6.41600,5.09400,,11.51000,-9.99500,0.06000,-9.93500,-9.93500,,-9.93500,-9.93500,-9.97300,-9.99500,0.02130,0.02130,-500.00000,-500.00000,4.19760,,,61.96320,-408.79350,-408.79350,-406.33950,-406.33950,0.05270,1.66070,1.35160,66.58900,-27.37590,-32.04220,-21.41440,-27.37590,,-445.42010,-446.02980
2017-12-31,2.00100,0.91900,1.08200,8.29200,6.35600,-0.80000,15.44800,-14.36600,3.95300,-10.41300,-10.41300,,-10.41300,-10.41300,-14.34300,-14.36600,0.01770,0.01770,-599.99980,-599.99980,4.36820,,,54.07300,-717.94130,-717.94120,-520.38980,-520.38980,0.03490,1.40740,1.30960,68.72560,-23.10660,-26.17650,-18.15920,-23.10660,2118.71200,-752.713,-752.652
2017-09-30,1.52300,0.93500,0.58800,8.10600,6.44700,,14.55300,-13.96500,-1.54700,-15.51200,-15.51200,,-15.51200,-15.51200,-13.93900,-13.96500,0.01720,0.01720,-899.99990,-899.99990,3.64180,,,38.60800,-916.94030,-916.94030,-1018.51600,-1018.51600,0.03030,4.23080,1.08860,82.67240,-45.67590,-55.64640,-30.83960,-45.67590,,-614.283,-616.668
2017-06-30,0.48300,0.27200,0.21100,8.43400,5.31600,,13.75000,-13.53900,2.51600,-11.02300,-11.02300,,-11.02300,-11.02300,-13.52100,-13.53900,0.01720,0.01720,-600.00000,-600.00000,5.26040,,,43.68530,-2803.10500,-2803.10500,-2282.19500,-2282.19500,0.00780,0.44590,0.62080,144.96890,-22.58670,-25.78300,-17.78330,-22.58670,,-561.5375,-567.4815
2017-03-31,,,,8.13700,1.92000,-0.04500,,-10.10200,1.50600,-8.59600,-8.59600,,-8.59600,-8.59600,-10.08800,-10.10200,0.01700,0.01700,-500.00000,-500.00000,10.93310,,,,,,,,,,,,-14.58280,-16.25080,-12.34970,-14.58280,,-606.81950,-606.81950
2016-12-31,0.10000,,0.10000,7.49600,1.59600,,,-8.99200,0.64200,-8.35000,-8.35000,,-8.35000,-8.35000,-8.98000,-8.99200,0.01290,0.01290,-654.39980,-554.39980,12.66150,,,100.00000,-8991.99800,-8991.99800,-8350.00000,-8350.00000,0.00130,,1.01010,89.10000,-13.31720,-14.75110,-11.25160,-13.31720,3800.75100,-779.87,-782.169
2016-09-30,,,,7.03800,1.41600,,,-8.45400,-0.49000,-8.94400,-8.94400,,-8.94400,-8.94400,-8.44300,-8.45400,0.01270,0.01270,-701.60000,-701.60000,5.83600,,,,,,,,,,,,-22.09210,-25.98110,-18.29790,-22.09210,,-578.4275,-579.2134
2016-06-30,0.00100,,0.00100,6.03100,1.16400,,,-7.19400,0.64200,-6.55200,-6.55200,,-6.55200,-6.55200,-7.18300,-7.19400,0.01270,0.01280,-500.00000,-600.00000,7.38890,,,,,,,,0.00000,,,,-13.37690,-15.26560,-11.64660,-13.37690,,-448.7218,-449.9697
2016-03-31,,,,4.67600,1.22700,,,-5.90300,0.37900,-5.52400,-5.52400,,-5.52400,-5.52400,-5.89300,-5.90300,0.01270,0.01270,-434.00000,-434.00000,9.89110,,,,,,,,,,,,-10.05520,-11.30180,-8.97410,-10.05520,,-391.80670,-394.08790
2015-12-31,,,,4.96000,1.82400,,,-6.78400,0.21200,-6.57000,-6.57000,-3.29000,-6.56000,-6.56000,-6.78000,-6.78400,0.01310,0.01310,-500.00000,-500.00000,10.97390,,,,,,,,,,,,-10.91930,-12.14430,-9.81620,-10.91930,4726.37800,-397.6038,-397.307
2015-09-30,0.00100,,0.00100,3.90100,0.69200,,,-4.59200,1.30000,-3.29200,-3.29200,,-3.29200,-3.29200,-4.58300,-4.59200,0.01230,0.01230,-300.00000,-400.00000,15.78990,,,,,,,,0.00000,,,,-4.97430,-5.48300,-4.58880,-4.97360,,-152.9667,-153.3236
2015-06-30,0.00100,,0.00100,5.09000,0.80100,,,-5.89000,-0.70600,-6.59600,-6.59600,,-6.59600,-6.59600,-5.88200,-5.89000,0.00990,0.00990,-699.99990,-699.99990,6.99500,,,,,,,,0.00000,,,,-23.88990,-30.65060,-19.18560,-23.88130,,-449.7858,-450.2762
2015-03-31,0.00100,,0.00100,3.82900,0.92700,,,-4.75500,0.11300,-4.64200,-4.64200,,-4.64200,-4.64200,-4.74600,-4.75500,0.00940,0.00940,-500.00000,-500.00000,6.39190,,,,,,,,0.00000,,,,-13.70130,-16.71590,-11.26150,-13.70130,,-359.94870,-360.16220
2014-12-31,0.00100,,0.00100,3.72000,1.02000,,,-4.73900,-0.61000,-5.33000,-5.33000,0.00000,-5.32800,-5.32800,-4.77900,-4.73900,0.00880,0.00880,-600.00000,-600.00000,15.12210,,,,,,,,0.00000,,,,-21.30350,-23.78570,-18.46790,-21.30350,2845.92600,-648.6361,-653.0616
2014-09-30,0.00400,,0.00400,4.10000,0.91000,,,-5.00600,0.77000,-4.23000,-4.23000,0.00000,-4.23600,-4.23600,-5.00600,-5.00600,0.00850,0.00850,-500.00000,-500.00000,12.23260,,,100.00000,-125150.00000,-125150.00000,-105750.00000,-105900.00000,0.00010,,,,-14.15300,-15.45420,-12.35710,-14.15300,,-458.1817,-458.3021
2014-06-30,0.00400,,0.00400,3.15000,0.96000,,,-4.10600,-0.41000,-4.52000,-4.52000,0.00000,-4.52400,-4.52400,-4.09600,-4.10600,0.00880,0.00880,-520.00000,-520.00000,9.82960,,,100.00000,-102650.00000,-102650.00000,-113000.00000,-113100.00000,0.00010,,,,-13.43630,-14.50930,-11.52910,-13.43630,,-473.7722,-474.8825
2014-03-31,7.00500,1.05000,5.95500,1.73000,1.02000,,2.75000,3.20500,0.18000,3.37000,3.37000,0.00000,3.37700,3.37700,3.25500,3.20500,0.00820,0.00870,410.00000,390.00000,31.86070,,,84.93930,45.75300,45.75300,48.10850,48.20840,0.17260,,,,9.11720,9.49930,8.32180,9.11470,,191.95400,189.65520
2013-12-31,0.00100,,0.00100,2.58000,0.93000,,,-3.50900,0.04900,-3.45000,-3.45000,0.00000,-3.44000,-3.44000,-3.49900,-3.50900,0.00640,0.00640,-500.00000,-500.00000,5.22820,,,,,,,,0.00010,,,,-28.88330,-33.14070,-23.98880,-28.85910,,-367.9816,-367.9563
2013-09-30,0.00300,,0.00300,2.20000,0.54000,,,-2.73700,0.04700,-2.69000,-2.69000,0.00000,-2.69900,-2.69900,-2.73700,-2.73700,0.00630,0.00630,-430.00000,-430.00000,7.54170,,,100.00000,-91233.33000,-91233.33000,-89666.67000,-89966.66000,0.00020,,,,-18.90060,-21.16860,-16.65020,-18.88730,,-325.0129,-325.1486
2013-06-30,0.00400,,0.00400,1.98000,0.54000,,,-2.51600,0.00700,-2.51000,-2.51000,0.00000,-2.51200,-2.51200,-2.51200,-2.51600,0.00620,0.00620,-400.00000,-400.00000,8.68180,,,100.00000,-62900.00000,-62900.00000,-62749.99000,-62800.00000,0.00020,,,,-16.48290,-18.32240,-14.76780,-16.47210,,-359.042,-371.0997
2013-03-31,0.00400,,0.00400,1.34000,0.67000,,,-2.00600,0.03700,-1.97000,-1.97000,0.00000,-1.97700,-1.97700,-2.00000,-2.00600,0.00660,0.00660,-300.00000,-300.00000,12.90230,,,100.00000,-50150.00000,-50150.00000,-49250.00000,-49425.00000,0.00020,,,,-11.39480,-12.34080,-10.57790,-11.38830,,-265.15150,-254.54540
2012-12-31,0.00400,,0.00400,,,,,0.00400,,0.00400,0.00400,,-3.35200,-3.35200,0.00400,0.00400,0.00530,0.00530,-700.00000,-700.00000,17.34580,,,100.00000,100.00000,100.00000,100.00000,-83799.99000,0.00020,,,,-17.63280,-18.95930,-16.68490,-17.63280,,-1281.132,-1282.641
2012-09-30,0.00300,,0.00300,,,,,0.00300,,0.00300,0.00300,,-1.96700,-1.96700,0.00300,0.00300,0.00530,0.00530,-400.00000,-400.00000,,,,100.00000,100.00000,100.00000,100.00000,-65566.67000,,,,,,,,,,0,0
2012-06-30,0.00500,,0.00500,,,,,0.00500,,0.00500,0.00500,,-2.27300,-2.27300,0.00500,0.00500,0.00520,0.00520,-430.00000,-430.00000,,,,100.00000,100.00000,100.00000,100.00000,-45460.00000,,,,,,,,,,0,0
2012-03-31,0.00400,,0.00400,,,,,0.00400,,0.00400,0.00400,,-2.73400,-2.73400,0.00400,0.00400,0.00550,0.00550,-500.00000,-500.00000,,,,100.00000,100.00000,100.00000,100.00000,-68349.99000,,,,,,,,,,0.00000,
