Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,2.13900,0.67260,1.46630,0.79250,0.79250,0.67390,0.04830,0.72210,0.12980,0.59230,0.59230,-1.33610,-0.74380,0.68830,0.67390,305.45150,305.45150,0.00000,0.00000,5.19240,0.06670,68.55290,31.50410,31.50410,33.76140,-34.77530,0.10660,1.89040,47.60850,3.91620,3.92560,2.95220,3.91620,9.16970,0.02030,0.02030
2021-12-31,3.11880,0.24010,2.87870,1.00930,1.00930,1.86940,0.04520,1.88760,0.64330,1.24430,1.24430,,1.27130,1.89750,1.86940,305.45150,305.45150,-3.68370,-3.68370,5.48070,0.07610,92.30290,59.94010,59.94010,60.52250,40.76210,0.16020,0.33680,267.24690,8.56400,8.58630,6.39060,8.56400,0.04760,1.4737,1.556
2021-09-30,4.59870,2.10510,2.49360,1.03910,1.03910,1.45450,0.05990,1.54140,0.10410,1.43730,1.43730,,1.41030,1.45610,1.45450,1.64940,1.64940,1.85190,1.85190,5.59770,0.05170,54.22340,31.62820,31.62820,33.51790,30.66690,0.26050,0.68440,131.50640,11.11730,11.15340,8.14130,11.11730,7.83800,-1.1575,-1.138
2021-06-30,3.88290,0.19050,3.69240,1.76750,1.76740,1.92500,0.11510,2.04010,0.19800,1.84200,1.84200,,1.84200,1.92810,1.92500,1.64940,1.64940,1.85190,1.85190,6.35580,0.04870,95.09490,49.57580,49.57580,52.53970,47.43960,0.24690,0.93250,96.51880,16.00630,16.06690,11.71350,16.00630,6.97700,0.0114,-0.0918
2021-03-31,2.78090,0.14630,2.63460,1.88920,1.88920,0.74540,0.08350,0.82890,0.17690,0.65210,0.65210,,0.65210,0.74850,0.74540,1.64940,1.64940,0.00000,0.00000,4.45660,0.04770,94.73890,26.80500,26.80500,29.80810,23.44850,0.19350,0.94860,94.87250,6.86840,6.90160,4.53840,6.86840,5.75590,-0.33990,-0.33990
2020-12-31,3.38310,0.18790,3.19520,1.19660,1.19660,1.99860,0.04040,2.03890,0.67460,1.36440,1.36440,,1.36440,1.99860,1.99860,1.64250,1.64250,,0.00000,4.78390,0.04680,94.44450,59.07490,59.07490,60.26790,40.32850,0.24980,1.29360,69.57410,15.34040,15.42540,10.07450,15.34040,5.39210,1.3331,1.3331
2020-09-30,2.01210,0.42760,1.58450,0.40710,0.40710,1.17740,0.03890,1.21630,0.47540,0.74090,0.74090,,0.74090,1.17740,1.17740,1.66700,1.66700,0.00000,0.00000,5.53280,0.05840,78.74620,58.51520,58.51520,60.45050,36.82190,0.17950,1.53910,58.47570,10.38990,10.50360,6.60830,10.38990,4.32320,0.1085,0.1085
2020-06-30,0.85530,,0.85530,0.27260,,0.58270,0.00010,0.58280,0.01260,0.57030,0.57030,,0.57030,0.58270,0.58270,1.63470,1.63470,0.00000,0.00000,8.21060,0.07730,100.00000,68.12700,68.12700,68.14110,66.67340,0.13960,1.83870,48.94750,10.58330,10.69180,9.30830,10.58330,9.80750,0.1371,0.1371
2020-03-31,0.02110,,0.02110,0.02510,,-0.00400,0.00350,-0.00050,,-0.00050,-0.00050,,-0.00050,-0.00400,-0.00400,1.63020,1.63020,0.00000,0.00000,11.88870,0.08630,100.00000,-18.98430,-18.98430,-2.18790,-2.18790,0.00400,,,-0.00960,-0.00970,-0.00880,-0.00960,8.78250,-0.87100,-0.87100
2019-12-31,,,,0.15840,,-0.15840,,-0.15840,,-0.15840,-0.15840,,-0.15840,-0.15840,-0.15840,1.62120,1.62120,,0.00000,3.68940,0.36520,,,,,,,,,-3.29680,-3.29680,-2.40320,-3.29680,2.96360,-0.0804,-0.0804
2019-09-30,,,,0.11090,,-0.11090,,-0.11090,,-0.11090,-0.11090,,-0.11090,-0.11090,-0.11090,1.62040,1.62040,0.00000,0.00000,0.87040,-4.38010,,,,,,,,,336.22600,336.22630,-50.07470,336.22610,-0.06100,-0.0011,-0.0011
2019-06-30,,,,0.14410,,-0.14410,,-0.14410,,-0.14410,-0.14410,,-0.14410,-0.14410,-0.14410,0.54000,0.54000,0.00000,0.00000,,,,,,,,,,,,,,,,0.0008,0.0008
2019-03-31,,,,0.00400,,-0.00400,,-0.00400,,-0.00400,-0.00400,,-0.00400,-0.00400,-0.00400,0.54000,0.54000,0.00000,0.00000,,,,,,,,,,,,,,,,0.00000,
