Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,23.61500,2.75100,20.86400,15.11300,6.83200,,22.52700,-1.66300,0.83100,-0.83200,0.35300,-1.18500,-1.18500,,-1.18500,-0.09600,-1.66300,21.99400,21.99400,-0.05000,-0.05000,6.56210,88.35060,-7.04210,-7.04210,-3.52320,-5.01800,0.07980,0.94740,94.99260,-0.47540,-0.63910,-0.40050,-0.47540,11.33060,0.29180,0.25580
2019-12-31,28.31200,2.82300,25.48900,14.25000,7.03500,,22.03100,3.45800,0.99200,4.45000,1.38800,3.06200,3.06200,,3.06200,5.16800,3.45800,21.93200,22.32300,0.13000,0.14000,6.76900,90.02900,12.21390,12.21390,15.71770,10.81520,0.09530,1.00020,89.98410,1.21920,1.64040,1.03090,1.21920,11.50040,0.2407,0.2045
2019-09-30,23.47100,2.76700,20.70400,13.87300,6.34100,,20.97100,-0.26700,0.60300,0.33600,-0.43900,0.77500,0.77500,,0.77500,1.53400,-0.26700,21.95300,22.40400,0.04000,0.03000,6.80310,88.21100,-1.13760,-1.13760,1.43160,3.30190,0.07990,0.87540,102.81500,0.31080,0.42830,0.26370,0.31080,11.34280,0.1353,0.078
2019-06-30,18.40000,2.49300,15.90700,12.39000,5.49000,,18.09000,-2.18300,0.89600,-1.28700,0.22500,-1.51200,-1.51200,,-1.51200,-1.01800,-2.18300,21.93600,21.93600,-0.07000,-0.07000,8.46080,86.45110,-11.86410,-11.86410,-6.99460,-8.21740,0.06460,0.83560,107.70160,-0.61800,-0.77180,-0.53100,-0.61800,11.17460,-0.1556,-0.1888
2019-03-31,16.96900,2.02300,14.94600,12.33000,5.33800,,17.87800,-2.93200,0.80000,-2.13200,0.16500,-2.29700,-2.29700,,-2.29700,-1.78500,-2.93200,21.91700,21.91700,-0.10000,-0.10000,8.00510,88.07830,-17.27860,-17.27860,-12.56410,-13.53650,0.05920,0.87690,102.63360,-0.93640,-1.17020,-0.80080,-0.93640,11.16430,0.21300,0.18460
2018-12-31,21.40100,1.98500,19.41600,11.99900,5.02000,,17.24400,2.17200,0.01300,2.18500,-0.11800,2.30300,2.30300,,2.30300,3.64100,2.17200,22.03400,22.50300,0.10000,0.11000,8.15040,90.72480,10.14910,10.14910,10.20980,10.76120,0.07720,0.81820,109.99670,0.93660,1.17160,0.83060,0.93660,11.28510,0.2007,0.1831
2018-09-30,21.41300,2.00600,19.40700,11.89700,5.13300,,17.25500,2.15200,0.83100,2.98300,0.44000,2.54300,2.54300,,2.54300,3.35800,2.15200,21.99700,22.42800,0.12000,0.11000,7.09740,90.63190,10.05000,10.05000,13.93080,11.87600,0.07780,2.82610,31.84650,1.04060,1.30560,0.92390,1.04060,11.15830,0.0102,-0.018
2018-06-30,17.49400,1.98800,15.50600,11.84300,6.23200,,18.16700,-2.66100,0.77700,-1.88400,0.20600,-2.09000,-2.09000,,-2.09000,-1.57700,-2.66100,22.12900,22.12900,-0.09000,-0.09000,7.19130,88.63610,-15.21090,-15.21090,-10.76940,-11.94700,0.06370,1.89210,47.56720,-0.85530,-1.07480,-0.76050,-0.85530,11.09190,0.0913,0.0101
2018-03-31,17.56900,1.97200,15.59700,12.01600,6.13000,,18.50500,-2.90800,0.92700,-1.98100,0.20100,-2.18200,-2.18200,,-2.18200,-1.73700,-2.90800,22.14800,22.14800,-0.10000,-0.10000,6.97980,88.77570,-16.55190,-16.55190,-11.27550,-12.41960,0.06130,1.26380,71.21520,-0.86310,-1.07690,-0.76150,-0.86310,11.37730,0.08050,0.06000
2017-12-31,21.60100,1.92300,19.67800,9.97200,6.25000,,16.53100,3.14700,0.87900,4.02600,0.86300,3.16300,3.16300,,3.16300,4.29500,3.14700,21.77100,22.56100,0.14000,0.13000,6.97850,91.09760,14.56880,14.56880,18.63800,14.64280,0.07800,1.30960,68.72180,1.29280,1.61120,1.14270,1.29280,11.08910,0.3044,0.2683
2017-09-30,24.04400,1.72600,22.31800,10.03100,5.76800,,16.10800,6.21000,0.82100,7.03100,1.18100,5.85000,5.85000,,5.85000,7.33100,6.21000,21.94600,22.68300,0.27000,0.26000,8.43820,92.82150,25.82770,25.82770,29.24220,24.33040,0.09000,1.86600,48.23030,2.44820,3.07420,2.18960,2.44820,10.87600,0.3125,0.2662
2017-06-30,20.57500,1.60800,18.96700,10.50900,5.97900,,16.79700,2.17000,0.75500,2.92500,-0.98300,3.90800,3.90800,,3.90800,3.27400,2.17000,21.71200,22.56300,0.18000,0.17000,7.87010,92.18470,10.54680,10.54680,14.21630,18.99390,0.08030,1.98050,45.44400,1.70170,2.16290,1.52490,1.70170,10.49270,0.1842,0.148
2017-03-31,21.28700,1.69600,19.59100,9.87300,5.06300,,15.24500,4.34600,0.57100,4.91700,0.81000,4.10700,4.10700,,4.10700,5.40200,4.34600,21.39800,22.18700,0.19000,0.19000,5.85420,92.03270,20.41620,20.41620,23.09860,19.29350,0.08460,1.54510,58.24820,1.86530,2.40320,1.63230,1.86530,10.22610,0.28350,0.21880
2016-12-31,21.19600,1.63300,19.56300,7.76700,5.35800,,13.43400,6.12900,0.42200,6.55100,1.35000,5.20100,5.20100,,5.20100,7.14600,6.12900,20.85000,21.56500,0.25000,0.24000,6.40460,92.29570,28.91580,28.91580,30.90680,24.53770,0.08740,1.40890,63.87810,2.45850,3.21130,2.14480,2.45850,9.94410,0.5807,0.5628
2016-09-30,17.84600,1.42200,16.42400,7.34600,4.98100,,12.63600,3.78800,0.61500,4.40300,1.01500,3.38800,3.38800,,3.38800,4.75200,3.78800,21.02500,21.88300,0.16000,0.15000,6.58280,92.03180,21.22610,21.22610,24.67220,18.98470,0.07610,1.03460,86.99430,1.65530,2.18900,1.44490,1.65530,9.64450,0.1504,0.0922
2016-06-30,17.10300,1.40300,15.70000,7.81100,4.93300,,13.05300,2.64700,0.56100,3.20800,0.49700,2.71100,2.71100,,2.71100,3.50900,2.64700,20.60400,21.37100,0.13000,0.13000,7.69120,91.79680,15.47680,15.47680,18.75690,15.85100,0.07770,1.58730,56.70060,1.39690,1.88440,1.23170,1.39690,9.32790,-0.0719,-0.0868
2016-03-31,16.50800,1.62800,14.88000,7.91400,4.83500,,13.05800,1.82200,0.44100,2.26300,0.46300,1.80000,1.80000,,1.80000,2.67800,1.82200,20.52000,20.92600,0.09000,0.09000,6.17010,90.13810,11.03710,11.03710,13.70850,10.90380,0.07710,2.46060,36.57680,0.96120,1.31620,0.84030,0.96120,9.16430,0.01130,-0.00840
2015-12-31,16.07100,1.40800,14.66300,6.93800,5.17300,,12.43500,2.22800,0.42600,2.65400,0.35000,2.30400,2.30400,,2.30400,3.09600,2.22800,20.48000,20.98900,0.12000,0.11000,5.58540,91.23890,13.86350,13.86350,16.51420,14.33640,0.07560,3.95060,22.78140,1.23810,1.70330,1.08350,1.23810,9.06450,0.5479,0.5003
2015-09-30,16.23500,1.28100,14.95400,6.57100,4.56700,,11.46300,3.49100,0.40100,3.89200,0.58300,3.30900,3.30900,,3.30900,4.36800,3.49100,20.44800,20.81100,0.16000,0.16000,5.98660,92.10960,21.50290,21.50290,23.97290,20.38190,0.07800,1.77680,50.65170,1.80570,2.50480,1.58930,1.80570,8.98490,0.2653,0.2445
2015-06-30,13.35900,1.55000,11.80900,7.24100,4.21400,,11.77900,0.03000,0.26900,0.29900,0.13100,0.16800,0.16800,,0.16800,0.89200,0.03000,20.56400,20.98400,0.01000,0.01000,4.99830,88.39730,0.22460,0.22460,2.23820,1.25760,0.06440,1.42270,63.26070,0.09290,0.12980,0.08100,0.09290,8.83140,0.1422,0.1246
2015-03-31,13.83400,1.18500,12.64900,7.36300,4.39800,,12.08600,0.56300,-0.02700,0.53600,0.05000,0.48600,0.48600,,0.48600,1.42300,0.56300,20.41800,20.95800,0.02000,0.02000,5.50450,91.43420,4.06970,4.06970,3.87450,3.51310,0.06550,1.21610,74.00900,0.26590,0.37110,0.23020,0.26590,8.86930,-0.03210,-0.05010
2014-12-31,13.82100,1.26300,12.55800,7.32800,4.54400,,12.19500,0.36300,0.03200,0.39500,2.32900,-1.93400,-1.93400,,-1.93400,1.16600,0.36300,20.62200,20.62200,-0.09000,-0.09000,5.69000,90.86170,2.62640,2.62640,2.85800,-13.99320,0.06680,1.65580,54.35430,-1.08020,-1.52370,-0.93430,-1.08020,8.84110,0.1481,0.1161
2014-09-30,14.09800,1.25500,12.84300,6.45300,4.83400,,11.61300,1.23000,-0.33800,0.89200,0.23600,0.65600,0.65600,,0.65600,2.02000,1.23000,20.35500,20.66700,0.03000,0.03000,5.85490,91.09800,8.72460,8.72460,6.32710,4.65310,0.06700,1.70080,52.91600,0.36560,0.51690,0.31170,0.36560,8.89100,0.2291,0.2003
2014-06-30,9.21500,1.37000,7.84500,6.05100,4.05800,,10.10900,-2.26400,0.41700,-1.84700,-0.32100,-1.52600,-1.52600,,-1.52600,-1.79500,-2.26400,20.77800,20.77800,-0.07000,-0.07000,11.68050,85.13290,-24.56860,-24.56860,-20.04340,-16.56000,0.04590,1.81760,49.51710,-0.84120,-1.05300,-0.76060,-0.84120,8.89240,-0.1578,-0.1621
2014-03-31,13.67400,1.11200,12.56200,5.99600,4.43300,,10.42900,2.13300,0.46000,2.59300,0.60800,1.98500,1.98500,,1.98500,2.59300,2.13300,21.15900,21.59000,0.09000,0.09000,10.60430,91.86780,15.59890,15.59890,18.96300,14.51660,0.06430,4.45990,20.17990,1.03720,1.28160,0.93410,1.03720,9.09970,0.22230,0.21870
2013-12-31,13.96600,1.36400,12.60200,4.93700,4.90300,,9.84000,2.76200,0.66100,3.42300,0.29500,3.12800,3.12800,,3.12800,3.27000,2.76200,22.00900,22.46500,0.13000,0.13000,10.27090,90.23340,19.77660,19.77660,24.50950,22.39730,0.06580,2.48110,36.27450,1.63860,2.02590,1.47320,1.63860,9.01210,0.4861,0.4839
2013-09-30,10.00500,1.13100,8.87400,5.61900,4.38200,,10.00100,-1.12700,0.61700,-0.51000,-0.18700,-0.32300,-0.32300,,-0.32300,-0.53200,-1.12700,22.07200,22.07200,-0.01000,-0.01000,11.42510,88.69570,-11.26440,-11.26440,-5.09750,-3.22840,0.04590,1.09420,82.25490,-0.16250,-0.19910,-0.14810,-0.16250,9.04170,0.0619,0.0525
2013-06-30,12.81300,1.09300,11.72000,5.62100,4.28400,,9.90500,1.81500,0.70700,2.52200,0.34700,2.17500,2.17500,,2.17500,2.35200,1.81500,22.08700,22.54600,0.10000,0.10000,10.95480,91.46960,14.16530,14.16530,19.68310,16.97500,0.05880,1.39480,64.52350,1.09580,1.34270,0.99740,1.09580,9.00630,0.0325,0.0176
2013-03-31,12.11600,1.57500,10.54100,5.03900,4.19300,,9.23200,1.30900,0.72900,2.03800,0.33300,1.70500,1.70500,,1.70500,1.84300,1.30900,22.19700,22.67000,0.08000,0.08000,10.33500,87.00070,10.80390,10.80390,16.82070,14.07230,0.05540,1.65070,54.52300,0.86200,1.05700,0.77940,0.86200,8.93740,0.02960,0.01640
2012-12-31,12.96700,1.02500,11.94200,4.69500,4.82900,,9.52400,2.41800,0.72700,3.14500,0.39000,2.75500,2.75500,,2.75500,2.87700,2.41800,22.79800,23.35700,0.12000,0.13000,10.32480,92.09530,18.64730,18.64730,24.25390,21.24630,0.05990,2.08070,43.25440,1.40510,1.72650,1.27350,1.40510,8.83710,0.2462,0.232
2012-09-30,12.00600,1.04600,10.96000,4.63700,4.17500,,8.81200,2.14800,0.73100,2.87900,0.28500,2.59400,2.59400,,2.59400,2.51300,2.14800,22.52600,23.01900,0.12000,0.11000,12.62290,91.28770,17.89110,17.89110,23.97970,21.60590,0.05630,1.99600,45.09000,1.32820,1.63350,1.21670,1.32820,8.71190,0.1311,0.1247
2012-06-30,13.59200,1.01100,12.58100,5.42500,3.95300,,9.37800,3.20300,0.97400,4.17700,0.69800,3.47900,3.47900,,3.47900,3.63000,3.20300,22.87300,23.44900,0.15000,0.15000,12.41030,92.56180,23.56530,23.56530,30.73130,25.59590,0.06460,2.89070,31.13450,1.80270,2.22310,1.65320,1.80270,8.56240,0.1884,0.1834
2012-03-31,15.11200,0.87000,14.24200,5.48600,4.15800,,9.64400,4.59800,0.94800,5.54600,0.68900,4.85700,4.85700,,4.85700,5.13900,4.59800,23.50700,24.23900,0.21000,0.20000,11.46030,94.24300,30.42620,30.42620,36.69930,32.14000,0.06920,2.75820,32.63040,2.43330,2.97780,2.22340,2.43330,8.60440,0.23170,0.22810
2011-12-31,15.95200,0.92400,15.02800,5.73000,4.38300,,10.11300,4.91500,0.87300,5.78800,0.93500,4.85300,4.85300,,4.85300,5.53400,4.91500,23.17300,24.15300,0.21000,0.21000,11.82080,94.20760,30.81120,30.81120,36.28390,30.42250,0.07280,3.11810,28.86410,2.41540,2.95160,2.21460,2.41540,8.53380,0.3774,0.3702
2011-09-30,14.84700,0.81100,14.03600,5.15800,4.15600,,9.31400,4.72200,0.78400,5.50600,0.57100,4.93500,4.93500,,4.93500,5.37900,4.72200,23.39000,24.25300,0.21000,0.20000,12.88570,94.53760,31.80440,31.80440,37.08490,33.23900,0.07050,3.31040,27.18730,2.55180,3.14540,2.34250,2.55180,8.25440,0.1727,0.1724
2011-06-30,14.38800,0.87600,13.51200,5.40500,4.05900,,9.46400,4.04800,0.70700,4.75500,0.63200,4.12300,4.12300,,4.12300,4.70700,4.04800,23.10700,24.16500,0.18000,0.17000,10.16230,93.91160,28.13460,28.13460,33.04840,28.65580,0.06900,3.97240,22.65640,2.19420,2.72310,1.97810,2.19420,8.04830,0.1518,0.1465
2011-03-31,15.05200,0.94800,14.10400,5.25000,3.97800,,9.22800,4.87600,0.54500,5.42100,0.77000,4.65100,4.65100,,4.65100,5.51500,4.87600,22.69200,23.88800,0.20000,0.19000,10.63480,93.70180,32.39440,32.39440,36.01520,30.89960,0.07710,12.84300,7.00770,2.63250,3.31800,2.38320,2.63250,7.74040,0.41940,0.41630
2010-12-31,13.02600,1.13400,11.89200,4.66600,3.45900,,8.12500,3.76700,0.50400,4.27100,0.06400,4.20700,4.20700,,4.20700,4.37000,3.76700,21.25100,22.43000,0.20000,0.19000,10.08240,91.29440,28.91910,28.91910,32.78830,32.29700,0.06980,2.20560,40.80610,2.49720,3.18780,2.25450,2.49720,7.47950,0.243,0.2423
2010-09-30,10.67500,1.00100,9.67400,4.12900,3.25700,,7.38600,2.28800,0.49300,2.78100,-0.20800,2.98900,2.98900,,2.98900,2.84000,2.28800,21.24400,22.35600,0.14000,0.13000,9.55410,90.62300,21.43330,21.43330,26.05150,28.00000,0.06200,2.13500,42.15460,1.92750,2.52070,1.73570,1.92750,7.22690,0.2125,0.2015
2010-06-30,10.60900,0.86300,9.74600,4.50500,3.34600,,7.85100,1.89500,0.54100,2.43600,0.31300,2.12300,2.12300,,2.12300,2.40300,1.89500,21.06100,22.06900,0.10000,0.10000,10.10040,91.86540,17.86220,17.86220,22.96160,20.01130,0.06550,1.91290,47.04870,1.44210,1.91750,1.30990,1.44210,6.97920,0.1317,0.1224
2010-03-31,10.60100,0.71400,9.88700,4.60900,3.35400,,7.96300,1.92400,0.55700,2.48100,0.42200,2.05900,2.05900,,2.05900,2.39200,1.92400,20.65400,21.91100,0.10000,0.09000,9.57140,93.26480,18.14920,18.14920,23.40350,19.42270,0.06560,1.57210,57.24650,1.41920,1.89630,1.27340,1.41920,6.92070,0.13790,0.12650
2009-12-31,10.18500,0.90600,9.27900,4.42900,3.35000,,7.77900,1.50000,2.35800,3.85800,0.94800,2.91000,2.91000,,2.91000,1.88500,1.50000,19.71700,20.41100,0.14000,0.13000,9.52670,91.10460,14.72750,14.72750,37.87920,28.57140,0.06550,1.69890,52.97500,2.09210,2.83630,1.87210,2.09210,6.80880,0.1747,0.1722
2009-09-30,9.65900,0.84900,8.81000,4.06100,3.15300,,7.21400,1.59600,0.55100,2.14700,0.39400,1.75300,1.75300,,1.75300,1.91600,1.59600,19.68900,20.49200,0.09000,0.09000,10.74050,91.21030,16.52350,16.52350,22.22800,18.14890,0.06610,1.51780,59.29810,1.32710,1.83390,1.19990,1.32710,6.64630,0.0776,0.0704
2009-06-30,9.11000,1.15200,7.95800,3.99600,3.20800,,7.20400,0.75400,2.37500,3.12900,0.81400,2.31500,2.31500,,2.31500,0.99700,0.75400,19.51500,20.01400,0.12000,0.12000,10.01300,87.35460,8.27660,8.27660,34.34690,25.41160,0.06450,1.64320,54.77060,1.81920,2.55080,1.63940,1.81920,6.51820,-0.0087,-0.0131
2009-03-31,9.51300,1.21000,8.30300,4.07500,3.10800,,7.18300,1.12000,0.47600,1.59600,0.22800,1.36800,1.36800,,1.36800,1.31200,1.12000,19.55700,19.75400,0.07000,0.07000,9.06020,87.28060,11.77340,11.77340,16.77700,14.38030,0.06940,2.08940,43.07470,1.11270,1.58260,0.99800,1.11270,6.30790,0.05080,0.04700
