Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-03-31,1.46400,1.46400,14.07200,4.91400,-17.52200,0.64800,-16.87400,-0.22600,-16.64800,-16.64800,-16.64800,-17.11300,-17.52200,25.79200,25.79200,-0.65000,-0.65000,14.55890,100.00000,-1196.85800,-1196.85800,-1152.59600,-1137.15800,0.00840,,,-13.56840,-13.56840,-9.50830,-13.56840,4.74610,-0.55420,-0.66840
2016-12-31,2.36200,2.36200,12.72400,3.48100,-13.84300,-0.47600,-14.31900,0.35500,-14.67400,-14.67400,-14.67400,-13.55400,-13.84300,25.30200,25.30200,-0.58000,-0.58000,12.95360,100.00000,-586.07090,-586.07100,-606.22340,-621.25310,0.01250,,,-10.79590,-10.79590,-7.74080,-10.79590,5.30990,-0.5207,-0.6738
2016-09-30,3.30800,3.30800,10.30900,3.37000,-10.37100,1.07200,-9.29900,-0.30300,-8.99600,-8.99600,-8.99600,-10.06700,-10.37100,25.37400,25.37400,-0.35000,-0.35000,9.95620,100.00000,-313.51270,-313.51270,-281.10640,-271.94680,0.01640,,,-6.03260,-6.03260,-4.45380,-6.03260,5.86660,-0.3972,-0.4169
2016-06-30,3.72000,3.72000,10.48400,2.85400,-9.61800,0.28300,-9.33500,,-9.33500,-9.33500,-9.33500,-9.27000,-9.61800,25.22800,25.22800,-0.37000,-0.37000,10.39860,100.00000,-258.54840,-258.54840,-250.94080,-250.94080,0.01770,,,-5.99540,-5.99540,-4.44920,-5.99540,6.16020,-0.3828,-0.3904
2016-03-31,4.83000,4.83000,8.73200,3.56500,-7.46700,0.27900,-7.18800,,-7.18800,-7.18800,-7.18800,-7.10000,-7.46700,25.07700,25.07700,-0.29000,-0.29000,8.91360,100.00000,-154.59630,-154.59630,-148.81990,-148.81990,0.02200,,,-4.39370,-4.39370,-3.26760,-4.39370,6.51180,-0.37830,-0.39670
2015-12-31,4.93700,4.93700,9.22000,3.15700,-7.44000,0.15700,-7.28300,,-7.28300,-7.28300,-8.81700,-7.08500,-7.44000,4.19120,4.19120,17.84000,17.84000,8.18580,100.00000,-150.69890,-150.69890,-147.51880,-178.59030,0.02150,,,-4.30760,-4.30760,-3.17400,-4.30760,6.78170,-28.7613,-28.3168
2015-09-30,4.93700,4.93700,6.48100,2.47500,-4.01900,0.10200,-3.91700,,-3.91700,-3.91700,-6.91400,-3.70800,-4.01900,1.31700,1.31700,-5.25000,-5.25000,4.64830,100.00000,-81.40570,-81.40570,-79.33970,-140.04460,0.02970,,,8.30950,-3.85080,-2.35350,-3.85080,74.24740,-12.1392,-12.2567
2015-06-30,4.88400,4.88400,6.45500,2.39600,-3.96700,0.07200,-3.89500,,-3.89500,-3.89500,-6.74600,-3.71200,-3.96700,1.13500,1.13500,-5.94000,-5.94000,,100.00000,-81.22440,-81.22440,-79.75020,-138.12450,,,,,,,,,-13.7693,-14.1921
2015-03-31,2.57600,2.57600,5.52300,1.88100,-4.82800,-9.74900,-14.57700,,-14.57700,-14.57700,-15.81300,-4.69700,-4.82800,1.00100,1.00100,-15.79000,-15.79000,,100.00000,-187.42240,-187.42240,-565.87730,-613.85870,,,,,,,,,64.52350,64.37360
2014-12-31,,,,,,,,,,-5.19700,-5.19700,0.10700,,0.79000,0.79000,-6.58000,-6.58000,3.37830,,,,,,,,,24.94960,-452.30630,-45.20310,-452.30630,1.41010,-4.6579,-5.5367
2014-09-30,,,2.39900,1.25700,-3.65600,-0.34900,-4.00500,,-4.00500,-4.00500,-4.41100,-3.65600,-3.65600,0.68400,0.68400,-6.45000,-6.45000,,,,,,,,,,,,,,,-10.4181,-13.3114
2014-06-30,,,,,,,,,,-4.86400,-4.86400,,,0.60000,0.60000,-8.11000,-8.11000,,,,,,,,,,,,,,,0,0
2014-03-31,,,,,,,,,,-3.21100,-3.21100,,,0.46300,0.46300,-6.93000,-6.93000,,,,,,,,,,,,,,,0.00000,
2013-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
