Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,2.62510,0.88540,,-3.51060,-0.04520,-3.55580,-3.55580,-3.55580,-3.55580,-3.20000,-3.51060,110.88950,110.88950,-0.03000,-0.03000,28.92000,,,,,,,,,-13.25820,-13.70050,-12.67660,-13.25820,0.24140,-0.02300,-0.02460
2021-12-31,,,,4.71490,2.67930,,-7.39430,-0.71450,-8.10870,-8.10870,-8.10870,-8.10870,-6.99090,-7.39430,105.22400,105.22400,-0.08000,-0.08000,14.92140,,,,,,,,,-32.17200,-33.29230,-29.78020,-32.17200,0.22800,-0.058,-0.0606
2021-09-30,,,,3.60080,0.64940,,-4.25020,0.00200,-4.24810,-4.24810,-4.24810,-4.24810,-4.02540,-4.25020,107.73050,107.73050,-0.04000,-0.04000,19.09030,,,,,,,,,-28.36140,-30.10220,-26.33690,-28.36140,0.13820,-0.0112,-0.013
2021-06-30,,,,2.79750,0.65870,,-3.45620,-1.08320,-4.53950,-4.53950,-4.53950,-4.53950,-3.23540,-3.45620,104.12580,104.12580,-0.04000,-0.04000,29.42520,,,,,,,,,-26.77080,-28.25430,-25.22750,-26.77080,0.15800,-0.0161,-0.0174
2021-03-31,,,,1.36280,0.53300,,-1.89580,0.16070,-1.73500,-1.73500,-1.73500,-1.73500,-1.69920,-1.89580,99.78840,99.78840,-0.02000,-0.02000,17.86150,,,,,,,,,-18.23510,-20.14170,-16.52890,-18.23510,0.09350,-0.01260,-0.01740
2020-12-31,,,,1.18670,0.39530,,-1.58200,-0.02460,-1.60660,-1.60660,-1.60660,-1.60660,-1.38690,-1.58200,91.85900,91.85900,-0.01000,-0.01000,4.15180,,,,,,,,,-27.81740,-33.06100,-21.80840,-27.81740,0.05910,-0.0151,-0.0163
2020-09-30,,,,1.15660,0.43290,,-1.58950,-0.02840,-1.61790,-1.61790,-1.61790,-1.61790,-1.39620,-1.58950,92.76860,92.76860,-0.02000,-0.02000,2.35450,,,,,,,,,-35.86790,-45.01400,-25.18830,-35.86800,0.04800,-0.0121,-0.0125
2020-06-30,,,,1.05750,0.57480,,-1.63230,-0.03170,-1.66390,-1.66390,-1.66390,-1.66390,-1.43530,-1.63230,90.64190,90.64190,-0.02000,-0.02000,2.41760,,,,,,,,,-35.80550,-44.72600,-25.36260,-35.80550,0.05060,-0.0109,-0.011
2020-03-31,,,,1.18980,0.60640,,-1.79620,-0.03100,-1.82720,-1.82720,-1.82720,-1.82720,-1.59700,-1.79620,88.39840,88.39840,-0.02000,-0.02000,2.75150,,,,,,,,,-38.90070,-48.46270,-28.54160,-38.90070,0.05240,-0.01500,-0.01500
2019-12-31,,,,0.96340,0.48590,,-1.44930,-0.03390,-1.48310,-1.48310,-1.48310,-1.48310,-1.24980,-1.44930,83.29950,83.29950,-0.01000,-0.01000,2.61510,,,,,,,,,-30.22070,-37.37550,-21.73160,-30.22080,0.05610,-0.0149,-0.0151
2019-09-30,,,,1.13440,0.44160,,-1.57590,-0.03330,-1.60920,-1.60920,-1.60920,-1.60920,-1.37560,-1.57590,84.08350,84.08350,-0.02000,-0.02000,2.79470,,,,,,,,,-33.80470,-42.00690,-24.37230,-33.80480,0.05590,-0.0127,-0.014
2019-06-30,,,,1.06950,0.50420,,-1.57370,-0.04210,-1.61580,-1.61580,-1.61580,-1.61580,-1.41360,-1.57370,82.37200,82.37200,-0.02000,-0.02000,3.06300,,,,,,,,,-33.49650,-41.51480,-23.70980,-33.49650,0.05800,-0.0153,-0.016
2019-03-31,,,,1.15210,0.56840,,-1.72050,-0.29830,-2.01880,-2.01880,-2.01880,-2.01880,-1.58170,-1.72050,80.43500,80.43500,-0.03000,-0.03000,7.84420,,,,,,,,,-41.94920,-51.99290,-32.97970,-41.94920,0.05900,-0.01430,-0.01480
2018-12-31,,,,0.96380,0.26320,,-1.22700,-0.03680,-1.26380,-1.26380,-1.26380,-1.26380,-1.08370,-1.22700,76.39580,76.39580,-0.02000,-0.02000,6.86120,,,,,,,,,-25.75440,-31.84280,-23.18200,-25.75440,0.06200,-0.0134,-0.0153
2018-09-30,,,,0.98480,0.45880,,-1.44350,-0.05420,-1.49770,-1.49770,-1.49770,-1.49770,-1.30260,-1.44350,76.98530,76.98530,-0.02000,-0.02000,6.02120,,,,,,,,,-31.08180,-38.53650,-28.59730,-31.08180,0.06210,-0.0145,-0.0145
2018-06-30,,,,0.94440,0.50990,,-1.45420,-0.04380,-1.49810,-1.49810,-1.49810,-1.49810,-1.33100,-1.45420,75.52860,75.52860,-0.02000,-0.02000,3.62860,,,,,,,,,-32.74650,-41.29110,-28.61570,-32.74650,0.06010,-0.0156,-0.0205
2018-03-31,,,,0.90170,0.57460,,-1.47630,-0.03710,-1.51340,-1.51340,-1.51340,-1.51340,-1.41790,-1.47630,74.54390,74.54390,-0.02000,-0.02000,4.28430,,,,,,,,,-31.95440,-36.72800,-26.90170,-31.95440,0.06310,-0.01410,-0.02090
2017-12-31,,,,1.13030,0.36090,,-1.49120,-0.09750,-1.58870,-1.58870,-1.58870,-1.58870,-1.37980,-1.49120,70.87660,70.87660,-0.02000,-0.02000,6.26930,,,,,,,,,-31.66790,-36.01700,-27.15810,-31.66790,0.06770,-0.021,-0.0223
2017-09-30,,,,0.82130,0.38460,,-1.20590,-0.07460,-1.28050,-1.28050,-1.28050,-1.28050,-1.14420,-1.20590,70.87180,70.87180,-0.02000,-0.02000,9.98130,,,,,,,,,-32.97350,-39.34660,-30.45140,-32.97350,0.05380,-0.0134,-0.0139
2017-06-30,,,,0.83900,0.79840,,-1.63750,-0.02910,-1.66660,-1.66660,-1.66660,-1.66660,-1.53350,-1.63750,69.87450,69.87450,-0.02000,-0.02000,6.63450,,,,,,,,,-53.53690,-67.04380,-47.60780,-53.53690,0.04410,-0.0152,-0.0158
2017-03-31,,,,0.72850,0.46040,,-1.18890,-0.02470,-1.21360,-1.21360,-1.21360,-1.21360,-1.14010,-1.18890,68.94870,68.94870,-0.02000,-0.02000,11.31990,,,,,,,,,-38.10650,-48.38030,-35.80390,-38.10650,0.04570,-0.01190,-0.01210
2016-12-31,,,,0.68980,0.40380,,-1.09360,-0.01170,-1.10530,-1.10530,-1.10530,-1.10530,-1.04370,-1.09360,66.20150,66.20150,-0.02000,-0.02000,16.37230,,,,,,,,,-36.12620,-46.21640,-34.67670,-36.12620,0.04490,-0.0133,-0.0138
2016-09-30,,,,0.58900,0.35430,,-0.94330,-0.02210,-0.96540,-0.96540,-0.96540,-0.96540,-0.89520,-0.94330,66.15930,66.15930,-0.01000,-0.01000,11.58200,,,,,,,,,-28.84280,-35.80210,-27.11550,-28.84280,0.04990,-0.0098,-0.0109
2016-06-30,,,,0.59260,0.44680,,-1.03930,0.00010,-1.03930,-1.03930,-1.03930,-1.03930,-0.99120,-1.03930,65.60170,65.60170,-0.02000,-0.02000,20.09500,,,,,,,,,-32.15690,-39.90300,-31.05290,-32.15690,0.04930,-0.0142,-0.0139
2016-03-31,,,,0.60330,0.45600,,-1.05930,-0.23790,-1.29720,-1.29720,-1.29720,-1.29720,-1.00990,-1.05930,65.48390,65.48390,-0.02000,-0.02000,24.31600,,,,,,,,,-31.56540,-37.24030,-30.60310,-31.56540,0.06260,-0.01030,-0.01070
2015-12-31,,,,0.51240,0.28550,,-0.79800,0.00010,-0.79790,-0.79790,-0.79790,-0.79790,-0.74470,-0.79800,60.32650,60.32650,-0.01000,-0.01000,38.80450,,,,,,,,,-15.93560,-18.18670,-15.61450,-15.93560,0.07680,-0.0135,-0.0141
2015-09-30,,,,1.04800,0.88200,,-1.92990,0.00010,-1.92990,-1.92990,-1.92990,-1.92990,-1.88490,-1.92990,61.24780,61.24780,-0.03000,-0.03000,14.46160,,,,,,,,,-58.06900,-71.34480,-55.35360,-58.06900,0.05430,-0.0108,-0.0111
2015-06-30,,,,0.61950,0.43280,,-1.05230,0.00010,-1.05230,-1.05230,-1.05230,-1.05230,-1.01120,-1.05230,58.95000,58.95000,-0.02000,-0.02000,21.28220,,,,,,,,,-25.21840,-29.55990,-24.34460,-25.21840,0.06810,-0.0207,-0.0224
2015-03-31,,,,0.64520,0.42020,,-1.06550,0.00010,-1.06540,-1.06540,-1.06540,-1.06540,-1.02500,-1.06550,58.39300,58.39300,-0.02000,-0.02000,7.19250,,,,,,,,,-33.45670,-41.38820,-30.22010,-33.45670,0.05450,-0.01200,-0.01410
2014-12-31,,,,0.90420,0.33170,,-1.23590,-0.00010,-1.23600,-1.23600,-1.23600,-1.23600,-1.19480,-1.23590,55.63800,55.63800,-0.02000,-0.02000,14.84920,,,,,,,,,-30.46270,-35.85290,-28.88350,-30.46270,0.06950,-0.0206,-0.0209
2014-09-30,,,,0.74150,0.41930,,-1.16070,-0.01390,-1.17460,-1.17460,-1.17460,-1.17460,-1.12220,-1.16070,57.85400,57.85400,-0.02000,-0.02000,8.73340,,,,,,,,,-24.02270,-27.39990,-21.78540,-24.02270,0.08380,-0.0077,-0.0096
2014-06-30,,,,0.61850,0.39290,,-1.01140,0.00010,-1.01130,-1.01130,-1.01130,-1.01130,-0.97380,-1.01140,53.47900,53.47900,-0.02000,-0.02000,16.96130,,,,,,,,,-25.68300,-30.05580,-24.49870,-25.68300,0.07030,-0.0182,-0.0188
2014-03-31,0.00250,,0.00250,0.58550,0.40220,,-0.98520,-0.00270,-0.98790,-0.98790,-0.98790,-0.98790,-0.95120,-0.98520,52.76500,52.76500,-0.02000,-0.02000,6.53460,100.00000,-39406.84000,-39406.84000,-39514.04000,-39514.04000,0.00090,,,-37.63110,-48.03510,-33.62630,-37.63110,0.04950,-0.00990,-0.01100
2013-12-31,,,,0.50110,0.33400,,-0.83520,-0.00780,-0.84300,-0.84300,-0.84300,-0.84300,-0.80180,-0.83520,51.67220,51.67220,-0.02000,-0.02000,19.66760,,,,,,,,,-26.99630,-32.68570,-25.97980,-26.99630,0.05930,-0.017,-0.0171
2013-09-30,,,,0.58040,0.41740,,-0.99780,0.00010,-0.99770,-0.99770,-0.99770,-0.99770,-0.96370,-0.99780,52.04700,52.04700,-0.02000,-0.02000,7.20710,,,,,,,,,-30.73610,-36.85060,-27.48580,-30.73610,0.06240,-0.0127,-0.0128
2013-06-30,,,,0.53110,0.43340,,-0.96450,-0.18470,-1.14920,-1.14920,-1.14920,-1.14920,-0.93150,-0.96450,51.72560,51.72560,-0.02000,-0.02000,16.27510,,,,,,,,,-28.22350,-32.24310,-26.83610,-28.22350,0.07820,-0.0146,-0.0148
2013-03-31,,,,0.45540,0.44760,,-0.90300,-0.01950,-0.92250,-0.92250,-0.92250,-0.92250,-0.87670,-0.90300,50.46200,50.46200,-0.02000,-0.02000,16.08890,,,,,,,,,-22.81270,-25.99870,-21.68150,-22.81270,0.07910,-0.01060,-0.01230
2012-12-31,,,,1.07000,0.62000,,-1.69000,-0.01990,-1.70000,-1.70000,-1.70000,-1.70000,-1.66060,-1.69000,48.77900,48.77900,-0.03000,-0.03000,19.48690,,,,,,,,,-46.43490,-53.58520,-44.54490,-46.43480,0.07300,-0.0125,-0.0133
2012-09-30,,,,0.49070,0.47910,,-0.96980,0.00010,-0.96970,-0.96970,-0.96970,-0.96970,-0.95140,-0.96980,49.50700,49.50700,-0.02000,-0.02000,,,,,,,,,,,,,,,-0.0117,-0.0135
2012-06-30,,,,0.45530,0.55390,,-1.00910,-0.01850,-1.02760,-1.02760,-1.02760,-1.02760,-0.99660,-1.00910,49.05600,49.05600,-0.02000,-0.02000,,,,,,,,,,,,,,,-0.0117,-0.0141
2012-03-31,,,,0.47240,0.29720,,-0.76960,-0.10170,-0.87130,-0.87130,-0.87130,-0.87130,-0.76010,-0.76960,46.73200,46.73200,-0.02000,-0.02000,,,,,,,,,,,,,,,-0.01250,-0.01280
2010-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2010-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
