Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,5.10900,3.05200,,-8.16100,-0.33000,-8.49100,,-8.49100,-8.49100,-8.49100,-8.05300,-8.16100,7.16700,7.16700,-1.18000,-1.18000,3.01270,0.34010,0.51550,,,,,,,-28.92330,-28.92330,-12.68200,-19.08520,4.09270,-0.99160,-0.99200
2021-12-31,,,,4.71500,2.62300,,-7.33800,-0.44100,-7.77900,,-7.77900,-7.77900,-7.77900,-7.23600,-7.33800,3.79000,3.79000,11.92000,11.92000,3.44370,0.29440,0.41720,,,,,,,-21.53830,-21.53830,-10.62150,-15.19750,5.22680,-4.1736,-4.1931
2021-09-30,,,,4.63000,3.10600,,-7.73600,-0.37400,-8.11000,,-8.11000,-8.11000,-8.11000,-7.62900,-7.73600,6.71800,6.71800,-1.21000,-1.21000,10.08500,0.25630,0.34470,,,,,,,-18.62830,-18.62830,-12.07890,-13.85350,6.30870,4.0091,4.0838
2021-06-30,,,,4.22900,2.55600,,-6.78500,-0.27300,-7.05800,,-7.05800,-7.05800,-7.05800,-6.69800,-6.78500,0.92500,0.92500,-7.63000,-7.63000,7.19770,0.23660,0.31000,,,,,,,-14.66930,-14.66930,-9.34870,-11.19800,7.24940,5.7615,5.6983
2021-03-31,,,,3.59200,1.53500,,-5.12700,-0.22800,-5.35500,,-5.35500,-5.35500,-5.35500,-5.04900,-5.12700,0.50700,0.50700,-10.55000,-10.55000,6.39420,,0.00920,,,,,,,-20.89510,-20.89510,-16.88900,-20.89510,20.17690,-12.44580,-12.47340
2020-12-31,,,,-1.51600,-1.99300,,3.50900,-0.05900,3.45000,,3.45000,3.45000,3.45000,3.59300,3.50900,0.46800,0.46800,-8.64490,-8.64490,6.15300,,,,,,,,,-5.01500,19.25870,15.08990,19.25870,33.99240,-10.1739,-10.1878
2020-09-30,,,,4.27100,1.16300,,-5.43400,0.00300,-5.43100,,-5.43100,-5.43100,-5.43100,-5.35300,-5.43400,0.48400,0.48400,-11.22000,-11.22000,6.47230,0.00290,0.00850,,,,,,,-13.64090,-13.64090,-11.12040,-13.60100,31.41640,-8.3624,-8.3747
2020-06-30,,,,4.09400,1.14400,,-5.23800,0.00900,-5.22900,,-5.22900,-5.22900,-5.22900,-5.34400,-5.23800,0.45800,0.45800,-11.42000,-11.42000,5.36110,0.00370,0.00830,,,,,,,-11.63450,-11.63450,-9.15250,-11.59120,35.46440,-13.841,-13.9006
2020-03-31,,,,7.54000,4.59500,,-12.13500,0.13700,-11.99800,,-11.99800,-11.99800,-11.99800,-11.85500,-12.13500,1.23050,1.23050,-9.74510,-9.74510,5.76430,0.00200,0.00670,,,,,,,-21.95870,-21.95870,-17.63250,-21.91460,43.11900,-8.25730,-8.27840
2019-12-31,,,,8.35000,4.48100,,-12.83100,0.13200,-12.69900,,-12.69900,-12.69900,-12.69900,-12.55000,-12.83100,0.91430,0.91430,-12.89360,-12.89360,5.68150,0.00280,0.00630,,,,,,,-21.21060,-21.21060,-16.93880,-21.15130,49.13870,-12.0991,-12.1267
2019-09-30,,,,7.30800,4.44300,,-11.75100,0.11900,-11.63200,,-11.63200,-11.63200,-11.63200,-11.36200,-11.75100,0.89520,0.89520,-13.04350,-13.04350,5.10340,0.00480,0.00930,,,,,,,-25.94750,-25.94750,-19.89090,-25.82190,49.88490,-9.2631,-9.3593
2019-06-30,,,,5.98100,4.17900,,-10.16000,0.28900,-9.87100,,-9.87100,-9.87100,-9.87100,-9.86200,-10.16000,0.89240,0.89240,-11.09450,-11.09450,5.90280,0.00500,0.00870,,,,,,,-17.93910,-17.93910,-14.44730,-17.84890,61.50930,-11.8276,-12.1268
2019-03-31,,,,6.20400,4.45300,,-10.65700,0.29100,-10.36600,,-10.36600,-10.36600,-10.36600,-10.57300,-10.65700,0.89100,0.89100,-11.69420,-11.69420,7.83370,0.00510,0.00810,,,,,,,-16.27670,-16.27670,-13.95060,-16.19410,71.47870,-11.89820,-11.90940
2018-12-31,,,,4.58500,5.10900,,-9.69400,-0.16400,-9.85800,,-9.85800,-9.85800,-10.54900,-9.68500,-9.69400,0.10320,0.10320,87.70610,87.70610,8.49770,0.00520,0.00780,,,,,,,-13.48160,-13.48160,-11.72540,-13.41130,82.06930,75.3457,86.484
2018-09-30,,,,3.87100,3.93500,,-7.80600,-0.08500,-7.89100,,-7.89100,-7.89100,-7.53600,-7.79800,-7.80600,0.04740,0.04740,-159.07050,-159.07050,12.62200,,,,,,,,,-17.57030,-17.57030,-16.02750,-17.57030,281.77520,-99.7319,-100.0063
2018-06-30,,,,3.20000,1.78600,,-4.98600,-0.05600,-5.04200,,-5.04200,-5.04200,-4.84600,-4.97700,-4.98600,0.04740,0.04740,-102.24890,-102.24890,11.41250,,,,,,,,,-10.04180,-10.04180,-9.07930,-10.04180,315.34720,-99.2672,-99.394
2018-03-31,,,,2.76900,1.61900,,-4.38800,0.00200,-4.38600,,-4.38600,-4.38600,-4.26100,-4.38200,-4.38800,0.04740,0.04740,-89.95500,-89.95500,11.75140,,,,,,,,,-7.65000,-7.65000,-6.95870,-7.65000,360.38580,-105.51770,-116.60370
2017-12-31,,,,63.59300,-16.98000,,-42.20000,0.23200,-42.17100,,-42.13800,-42.13800,-42.13000,-43.58400,-42.40300,0.01750,0.01750,-4557.25500,-4557.25500,4.82470,0.11980,0.17570,,,,,,,32.78640,-957.89950,-212.68930,-843.09720,268.09770,-922.804,-922.3266
2017-09-30,0.05600,0.02900,0.02700,4.01600,5.05600,9.43300,-9.40600,0.05000,-9.35600,0.01100,-9.36700,-9.36700,-9.36700,-9.03600,-9.40600,0.15880,0.15880,-58.44150,-58.44150,8.71690,,,48.21430,-16796.43000,-16796.43000,-16707.14000,-16726.79000,0.00070,-12.95790,-12.95790,-11.41970,-12.95790,455.07770,-64.7892,-64.858
2017-06-30,0.08400,0.27400,-0.19000,4.99700,10.75100,17.74000,-17.93000,-0.24300,-18.17300,0.01300,-18.18600,-18.18600,-18.18600,-17.37600,-17.93000,0.15870,0.15870,-114.63530,-114.63530,7.53820,,,-226.19050,-21345.24000,-21345.24000,-21634.53000,-21650.00000,0.00090,-22.41280,-22.41280,-19.37050,-22.41280,511.08230,-76.1391,-76.3027
2017-03-31,0.06300,0.26900,-0.20600,5.76400,7.12900,14.38100,-14.58700,-0.29900,-14.88600,0.00900,-14.89500,-14.89500,-14.89500,-14.09900,-14.58700,0.15860,0.15860,-94.40560,-94.40560,9.55060,,,-326.98410,-23153.97000,-23153.97000,-23628.57000,-23642.86000,0.00060,-15.72500,-15.72500,-14.00970,-15.72500,597.02640,-95.76370,-96.23670
2016-12-31,0.12100,1.43300,-1.31200,4.70900,10.94700,21.05600,-22.36800,-0.29100,-22.65900,-0.01600,-22.64300,-22.64300,-22.64300,-21.72300,-22.36800,0.14300,0.14300,-134.86510,-134.86510,8.81550,,,-1084.29700,-18485.95000,-18485.95000,-18726.45000,-18713.22000,0.00100,-20.92350,-20.92350,-18.47760,-20.92350,682.47350,-136.1015,-147.5786
2016-09-30,0.19700,1.55900,-1.36200,4.99000,12.61200,17.60200,-18.96400,-0.23500,-19.19900,0.09200,-19.29100,-19.29100,-19.29100,-18.27700,-18.96400,0.15820,0.15820,-121.37860,-121.37860,11.84570,,,-691.37060,-9626.39600,-9626.39600,-9745.68500,-9792.38600,0.00140,-14.85330,-14.85330,-13.54720,-14.85330,819.87050,-61.0842,-61.1925
2016-06-30,0.18900,1.23300,-1.04400,5.98700,11.21000,17.19700,-18.24100,-0.27700,-18.51800,0.05000,-18.56800,-18.56800,-18.56800,-17.47500,-18.24100,0.13360,0.13360,-139.36060,-139.36060,13.97680,,,-552.38100,-9651.32300,-9651.32300,-9797.88400,-9824.33900,0.00120,-12.66950,-12.66950,-11.69840,-12.66950,926.38850,-107.5775,-111.0269
2016-03-31,0.14600,1.17600,-1.03000,5.95500,14.45400,20.40900,-21.43900,-0.24400,-21.68300,0.07500,-21.75800,-21.75800,-21.75800,-20.64000,-21.43900,0.12150,0.12150,-179.82010,-179.82010,9.54850,,,-705.47940,-14684.25000,-14684.25000,-14851.37000,-14902.74000,0.00120,-19.99010,-19.99010,-17.82570,-19.99010,895.90700,-126.87390,-129.92020
2015-12-31,0.15700,1.15800,-1.00100,4.66700,14.57200,19.23900,-20.24000,-0.28600,-20.52600,,-20.60100,-20.60100,-20.60100,-19.37800,-20.24000,0.12050,0.12050,-168.58140,-168.58140,11.55040,,,-637.57970,-12891.72000,-12891.72000,-13073.88000,-13121.66000,0.00110,-16.24040,-16.24040,-14.86220,-16.24040,1044.53700,-96.0935,-120.3388
2015-09-30,0.07500,0.94000,-0.86500,3.99800,12.90900,16.90700,-17.77200,-0.15000,-17.92200,,-17.92200,-17.92200,-17.92200,-17.08200,-17.77200,0.12130,0.12130,-148.35160,-148.35160,14.73410,,,-1153.33300,-23696.00000,-23696.00000,-23896.00000,-23896.00000,0.00050,-12.56930,-12.56930,-11.72850,-12.56930,1175.01800,-102.6719,-112.334
2015-06-30,0.03000,0.11600,-0.08600,4.02100,13.06700,17.08800,-17.17400,-0.31600,-17.49000,,-17.49000,-17.49000,-17.49000,-16.72200,-17.17400,0.12100,0.12100,-143.85610,-143.85610,20.94790,,,-286.66670,-57246.67000,-57246.67000,-58300.00000,-58300.00000,0.00020,-11.16100,-11.16100,-10.63520,-11.16100,1292.00200,-96.8651,-103.064
2015-03-31,0.01500,0.03500,-0.02000,5.74700,11.04600,16.79300,-16.81300,-0.39300,-17.20600,,-17.20600,-17.20600,-17.20600,-16.41500,-16.81300,0.11830,0.11830,-146.10390,-146.10390,25.92440,,,-133.33330,-112086.70000,-112086.70000,-114706.70000,-114706.70000,0.00010,-10.17540,-10.17540,-9.78850,-10.17540,1406.14600,-121.68700,-124.97560
2014-12-31,,,,7.27300,11.01600,,-18.28900,-0.60100,-18.89000,,-18.89000,-18.89000,-18.89000,-17.86800,-18.28900,0.10080,0.10080,-184.31570,-184.31570,6.08200,,,,,,,,,-34.14370,-34.14370,-28.80800,-34.14370,516.32500,-113.8287,-127.7653
2014-09-30,,,,5.32500,7.07400,,-12.39900,-0.52400,-12.92300,,-12.92300,-12.92300,-12.92300,-12.03200,-12.39900,0.10570,0.10570,-121.37860,-121.37860,8.36240,,,,,,,,,-18.83130,-18.83130,-16.67510,-18.83130,648.47170,-79.7039,-82.5525
2014-06-30,,,,4.53400,5.06100,,-9.59500,-0.29800,-9.89300,,-9.89300,-9.89300,-9.89300,-9.27700,-9.59500,0.10480,0.10480,-94.40560,-94.40560,11.71180,,,,,,,,,-12.57100,-12.57100,-11.52640,-12.57100,749.69840,-52.022,-63.067
2014-03-31,,,,4.65200,2.99800,,-7.65000,-0.16400,-7.81400,,-7.81400,-7.81400,-7.81400,-7.43500,-7.65000,0.08550,0.08550,-92.15780,-92.15780,14.32640,,,,,,,,,-9.04380,-9.04380,-8.42360,-9.04380,831.91380,-58.03630,-58.03630
2013-12-31,,,,7.28400,3.72900,,-11.01300,0.01300,-11.00000,,-11.00000,-11.00000,-11.00000,-10.77400,-11.01300,0.07190,0.07190,-146.10390,-146.10390,7.80690,,,,,,,,,-26.37830,-26.37830,-23.13600,-26.37830,534.36800,-74.9199,-78.236
2013-09-30,,,,3.26200,3.66300,,-6.92500,0.03400,-6.89100,,-6.89100,-6.89100,-6.89100,-6.67300,-6.92500,0.07580,0.07580,-89.91010,-89.91010,23.37990,,,,,,,,,-14.06210,-14.06210,-13.45240,-14.06210,645.16390,-53.9018,-57.4685
2013-06-30,,,,2.57600,3.44500,,-6.02100,0.02500,-5.99600,,-5.99600,-5.99600,-5.99600,-5.85000,-6.02100,0.07500,0.07500,-80.91910,-80.91910,30.49780,,,,,,,,,-11.01940,-11.01940,-10.66150,-11.01940,724.26670,-54.5374,-54.5562
2013-03-31,,,,2.68000,2.49500,,-5.17500,0.01800,-5.15700,,-5.15700,-5.15700,-5.15700,-5.02000,-5.17500,0.05940,0.05940,-87.66230,-87.66230,28.74120,,,,,,,,,-8.73150,-8.73150,-8.43100,-8.73150,794.42710,-68.31680,-71.41600
2012-12-31,,,,2.43100,1.77800,,-4.20900,0.01700,-4.19200,,-4.19200,-4.19200,-4.19200,-4.09000,-4.20900,0.02580,0.02580,521.47850,521.47850,15.32360,,,,,,,,,-13.64540,-13.64540,-12.77500,-13.64540,547.04250,-199.7527,-211.3237
2012-09-30,,,,1.59500,1.52500,,-3.12000,0.00200,-3.11800,,-3.11800,-3.11800,-3.11800,-3.09100,-3.12000,0.03310,0.03310,-94.40560,-94.40560,18.58880,,,,,,,,,-9.06080,-9.06080,-8.58340,-9.06080,621.13250,455.8377,500.7757
2012-06-30,,,,1.35100,1.88300,,-3.23400,,-3.23400,,-3.23400,-3.23400,-3.23400,-3.23400,-3.23400,0.00690,0.00690,-469.78010,-469.78010,18.93700,,,,,,,,,40.33930,-9.74830,-9.24400,-9.74830,4795.44500,-554.737,-550.9006
2012-03-31,,,,0.94600,2.02000,,-2.96600,,-2.96600,,-2.96600,-2.96600,-2.96600,-2.96600,-2.96600,0.00620,0.00620,-481.01890,-481.01890,,,,,,,,,,,,,,,-132.94730,-202.99650
2011-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,117.0943,117.0943
2011-09-30,,,,0.40400,0.37000,,-0.77400,,-0.77400,,-0.77400,-0.77400,-0.87500,-0.77400,-0.77400,0.00440,0.00440,-200.04990,-200.04990,,,,,,,,,,,,,,,-117.0943,-117.0943
