Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.72160,0.60440,0.11720,1.97890,-1.00000,2.97900,-2.86170,-0.05810,-2.91980,-2.91980,-2.91980,,-2.91980,-2.83630,-2.86170,23.13410,23.13410,-0.13000,-0.13000,10.59790,0.00410,16.24260,-396.56410,-396.56410,-404.60890,-404.60890,0.05430,1.27750,2.06960,43.48720,-25.05280,-29.22310,-21.96100,-25.05280,0.52620,-0.11730,-0.11560
2021-12-31,1.54440,1.21770,0.32680,6.96980,,17.26980,-16.94310,-0.00190,-16.94500,-16.94500,-16.94500,,-16.94500,-16.52620,-16.94310,16.60380,16.60380,-0.88000,-0.88000,10.37530,0.00290,21.15740,-1097.05600,-1097.05700,-1097.18100,-1097.18100,0.08190,4.00190,2.22120,40.51950,-102.06330,-113.56410,-89.81060,-102.06330,0.69040,-0.2027,-0.2037
2021-09-30,0.68790,0.68580,0.00220,3.60920,,3.60920,-3.60710,-1.20140,-4.80840,-4.80840,-4.80840,,-4.80840,-2.43530,-3.60710,19.82200,19.82200,-0.24000,-0.24000,25.78690,0.00280,0.31380,-524.33750,-524.33750,-698.97280,-698.97280,0.02190,1.07650,0.79510,113.18960,-16.22970,-17.46540,-15.28950,-16.22970,1.26920,0.0319,0.0321
2021-06-30,0.59510,0.41390,0.18120,3.83930,,3.83930,-3.65810,-0.49290,-4.15110,-4.15110,-4.15110,,-4.15110,-3.17650,-3.65810,11.35980,11.35980,-0.37000,-0.37000,1.84170,0.56200,30.44510,-614.72270,-614.72270,-697.55630,-697.55630,0.09410,1.62280,1.43350,62.78240,-111.67560,-182.34860,-65.63320,-111.67560,0.32330,-0.1727,-0.1772
2021-03-31,0.04880,0.02350,0.02540,2.88830,,2.88820,-2.86290,0.66710,-2.19580,-2.19580,-2.19580,,-2.19580,-2.84130,-2.86290,11.16970,11.16970,-0.20000,-0.20000,5.51440,0.01910,51.98790,-5861.07400,-5861.07400,-4495.27700,-4495.27700,0.00960,0.09410,3.85680,23.33560,-49.55260,-73.90290,-43.20720,-49.55260,0.39350,-0.11230,-0.11230
2020-12-31,0.31190,0.19130,0.12070,3.82540,,4.86570,-4.74510,-0.02170,-4.76670,-4.76670,-4.76670,,-4.76670,-3.65790,-4.74510,7.32570,7.32570,-0.64000,-0.64000,2.33300,0.29610,38.68450,-1521.17300,-1521.17300,-1528.11500,-1528.11600,0.04780,0.84660,1.22270,73.60480,-108.49430,-164.83630,-73.04690,-108.49430,0.41230,-0.1822,-0.1818
2020-09-30,0.17830,0.09660,0.08170,0.65040,,0.65040,-0.56870,-0.03860,-0.60730,-0.60730,-0.60730,,-0.60730,-0.52180,-0.56870,6.89300,6.89300,-0.09000,-0.09000,0.21180,-3.09110,45.82780,-318.88580,-318.88580,-340.53270,-340.53270,0.10100,0.32880,7.93270,11.34550,76.77510,30.60960,-34.38810,76.77510,-0.11480,-0.0692,-0.0693
2020-06-30,0.45770,0.23680,0.22090,0.61810,,0.61810,-0.39720,-0.03610,-0.43340,-0.43340,-0.43340,,-0.43340,-0.35050,-0.39720,6.98300,6.98300,-0.06000,-0.06000,,,48.26060,-86.79670,-86.79670,-94.69220,-94.69220,,,,,,,,,,-0.0561,-0.0561
2020-03-31,0.11770,0.09990,0.01780,0.48230,,0.48230,-0.46440,-0.01740,-0.48180,-0.48180,-0.48180,,-0.48180,-0.44360,-0.46440,6.98300,6.98300,-0.07000,-0.07000,,,15.14010,-394.49660,-394.49660,-409.25020,-409.25020,,,,,,,,,,-0.06550,-0.07180
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0616,0.0616
2019-09-30,0.00510,0.00310,0.00190,0.12900,,0.12900,-0.12700,-0.00090,-0.12790,-0.12790,-0.12790,,-0.12790,-0.12700,-0.12700,6.15800,6.15800,-0.02000,-0.02000,,,38.39780,-2506.55100,-2506.55100,-2523.59900,-2523.59900,,,,,,,,,,-0.0616,-0.0616
