Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-03-31,19.11200,0.97000,18.14200,-5.21000,11.91800,6.22400,-2.44200,3.78200,3.78200,4.21200,4.21200,13.03100,6.22400,13.72800,13.72800,0.31000,0.31000,0.57760,1.36740,32.56590,32.56590,19.78860,22.03850,0.03910,2.17530,2.37880,0.86130,0.91890,14.08400,0.62890,0.49530
2018-12-31,18.73200,0.97900,17.75300,-4.95200,11.29800,6.45500,-2.60800,3.84700,3.84700,4.41300,4.41300,13.38500,6.45500,13.72200,13.72200,0.32000,0.32000,0.56810,1.31550,34.45980,34.45980,20.53710,23.55860,0.03870,2.22190,2.43540,0.91220,0.95960,14.44750,0.7066,0.5993
2018-09-30,18.82800,0.97500,17.85300,-5.11800,11.35000,6.50300,-2.48000,4.02300,4.02300,4.37400,4.37400,12.66900,6.50300,13.72600,13.72600,0.32000,0.32000,0.56140,1.28010,34.53900,34.53900,21.36710,23.23140,0.03860,2.15090,2.36380,0.89710,0.94340,14.79380,0.7303,0.5448
2018-06-30,20.11100,0.94800,19.16300,-5.44500,11.55600,7.60700,-2.22700,5.38000,5.38000,5.80500,5.80500,13.65100,7.60700,13.72000,13.72000,0.42000,0.42000,0.54590,1.20230,37.82510,37.82510,26.75150,28.86480,0.04100,2.79100,3.07570,1.18230,1.26730,15.13320,0.9072,0.7426
2018-03-31,18.53900,0.90400,17.63500,-5.20800,11.49500,6.14000,3.03500,9.17500,9.17500,9.60400,9.60400,12.36100,6.14000,13.71800,13.71800,0.70000,0.70000,0.53770,1.16290,33.11940,33.11940,49.49030,51.80430,0.03790,4.54400,5.00260,1.96170,2.10090,15.38700,0.78430,0.63950
2017-12-31,18.25900,0.92900,17.33000,-5.00600,11.36100,5.96900,-0.36200,5.60700,5.60700,6.06400,6.06400,12.24300,5.96900,13.62500,13.62500,0.44000,0.44000,0.54910,1.21770,32.69070,32.69070,30.70810,33.21100,0.03730,2.87990,3.19150,1.23750,1.29860,15.33030,0.9077,0.5902
2017-09-30,18.19400,0.90800,17.28600,-4.85800,11.17900,6.10700,-2.53100,3.57600,3.57600,3.96000,3.96000,12.40900,6.10700,13.62100,13.62100,0.29000,0.29000,0.54950,1.21970,33.56600,33.56600,19.65480,21.76540,0.03650,1.85650,2.06640,0.79360,0.83640,15.53020,0.9711,0.657
2017-06-30,18.14500,0.87400,17.27100,-4.97900,11.27400,5.99700,-2.46200,3.53500,3.53500,4.03300,4.03300,12.27400,5.99700,13.58300,13.58300,0.30000,0.30000,0.56680,1.30830,33.05040,33.05040,19.48200,22.22650,0.03630,1.92920,2.14990,0.80690,0.83580,15.36320,0.7986,-0.2145
2017-03-31,17.75000,0.86600,16.88400,-4.77500,10.92000,5.96400,24.52100,30.48500,30.48500,31.56200,31.56200,12.06300,5.96400,13.58000,13.58000,2.32000,2.32000,0.56040,1.27460,33.60000,33.60000,171.74650,177.81410,0.03530,14.74140,16.49250,6.28250,6.48080,15.74290,0.69910,1.21990
2016-12-31,17.59300,0.88300,16.71000,-4.66800,10.75200,5.95800,-2.57200,3.38600,3.38600,4.44600,4.44600,11.98700,5.95800,13.46400,13.46800,0.33000,0.33000,0.62270,1.65060,33.86570,33.86580,19.24630,25.27140,0.03350,2.32440,2.65490,0.84730,0.87690,14.06550,0.8327,0.5551
2016-09-30,16.80100,0.83200,15.96900,-4.99400,10.88700,5.08200,-2.37400,2.70800,2.70800,3.81800,3.81800,10.92000,5.08200,13.57500,13.57500,0.28000,0.28000,0.60560,1.53530,30.24820,30.24820,16.11810,22.72480,0.03290,1.95450,2.21550,0.74810,0.77090,14.36560,0.6989,0.4537
2016-06-30,16.46100,0.78100,15.68000,-4.60400,10.14700,5.53300,-2.23700,3.29600,3.29600,4.52300,4.52300,11.04700,5.53300,13.39700,13.40400,0.34000,0.34000,0.57920,1.37620,33.61280,33.61280,20.02310,27.47710,0.03380,2.25940,2.52380,0.92790,0.95080,14.73150,0.8098,0.6389
2016-03-31,16.22600,0.76700,15.45900,-4.48200,9.91800,5.54100,-2.17200,3.36900,3.36900,4.42800,4.42800,10.94300,5.54100,13.30700,13.31400,0.33000,0.33000,0.58470,1.40780,34.14890,34.14890,20.76300,27.28950,0.03440,2.31760,2.58450,0.93990,0.96250,14.33540,0.68300,0.54480
2015-12-31,16.01300,0.74300,15.27000,-4.27000,9.56100,5.70900,-2.06700,3.64200,3.64200,4.35200,4.35200,10.96700,5.70900,13.29300,13.30100,0.33000,0.33000,0.56400,1.29360,35.65230,35.65230,22.74400,27.17790,0.03490,2.23130,2.48280,0.94920,0.97280,14.63510,0.818,0.6086
2015-09-30,15.68600,0.70800,14.97800,-4.46100,9.88500,5.09300,-2.01500,3.07800,3.07800,3.63900,3.63900,10.47700,5.09300,13.29800,13.30200,0.27000,0.27000,0.53600,1.15540,32.46840,32.46840,19.62260,23.19900,0.03580,1.82640,2.04010,0.82960,0.84740,14.95130,0.7124,2.0161
2015-06-30,16.04900,0.69300,15.35600,-4.88500,10.75500,4.60100,6.73000,11.33100,11.33100,12.00400,12.00400,10.44400,4.60100,13.28600,13.29600,0.90000,0.90000,0.53260,1.13960,28.66850,28.66850,70.60250,74.79590,0.03610,5.89640,6.61710,2.70150,2.75580,15.29210,0.7209,-0.4664
2015-03-31,16.20200,0.66600,15.53600,-4.77900,10.30200,5.23400,-2.13000,3.10400,3.10400,3.69600,3.69600,10.72200,5.23400,13.28300,13.29400,0.28000,0.28000,0.53880,1.16830,32.30470,32.30470,19.15810,22.81200,0.03670,1.84850,2.08010,0.83690,0.85250,15.03170,0.61900,0.45590
2014-12-31,15.92300,0.66200,15.26100,-4.47900,10.50900,4.75200,10.81900,15.57100,15.57100,16.22800,16.22800,10.74400,4.75200,12.92700,12.93400,1.26000,1.26000,0.51030,1.04190,29.84360,29.84360,97.78940,101.91550,0.03710,7.93230,8.94310,3.78390,3.88470,15.38090,0.6863,0.2927
2014-09-30,15.25800,0.65300,14.60500,-4.66000,9.90700,4.69800,22.94400,27.64200,27.64200,28.14100,28.14100,9.90700,4.69800,12.91100,12.91800,2.18000,2.18000,0.57700,1.36420,30.79040,30.79040,181.16400,184.43440,0.03490,15.68370,18.23630,6.44160,6.63390,13.87590,0.6644,0.8034
2014-06-30,14.31700,0.62000,13.69700,-4.17500,8.95700,4.74000,-2.01100,2.72900,2.72900,3.40800,3.40800,9.45700,4.74000,12.90200,12.90800,0.26000,0.26000,0.57740,1.36650,33.10750,33.10750,19.06130,23.80390,0.03730,2.14030,2.48080,0.88820,0.90440,12.31570,0.643,1.1214
2014-03-31,14.28800,0.61000,13.67800,-3.99500,8.82100,4.85700,-1.67600,3.18100,3.18100,3.77400,3.77400,9.60200,4.85700,12.84800,12.85400,0.29000,0.29000,0.57010,1.32610,33.99360,33.99360,22.26340,26.41380,0.03680,2.30240,2.68200,0.97260,0.98980,12.68890,0.54190,-0.05640
2013-12-31,13.44500,0.61000,12.83500,-3.39700,8.03700,4.79800,-1.85000,2.94800,2.94800,3.49800,3.49800,9.35200,4.79800,12.68900,12.70100,0.28000,0.28000,0.54700,1.20740,35.68610,35.68610,21.92640,26.01710,0.03600,2.11190,2.41490,0.93740,0.95670,12.88050,0.6518,0.9223
2013-09-30,13.44800,0.60300,12.84500,-3.67500,8.25200,4.59300,-1.80500,2.78800,2.78800,3.30300,3.30300,9.08600,4.59300,12.68100,12.69400,0.26000,0.26000,0.55450,1.24490,34.15380,34.15380,20.73170,24.56130,0.03580,2.01370,2.32850,0.88010,0.89700,12.91370,0.5784,0.1863
2013-06-30,13.50200,0.58500,12.91700,-3.79300,8.51500,4.40200,-1.92200,2.48000,2.48000,2.94100,2.94100,9.03700,4.40200,12.67500,12.68800,0.23000,0.23000,0.54810,1.21270,32.60260,32.60260,18.36770,21.78200,0.03550,1.74440,2.02180,0.77260,0.78840,13.27450,0.6329,0.508
2013-03-31,13.88500,0.57100,13.31400,-3.74700,8.56100,4.75300,-1.89500,2.85800,2.85800,3.42700,3.42700,9.48100,4.75300,12.67100,12.68700,0.27000,0.27000,0.53440,1.14780,34.23120,34.23120,20.58340,24.68130,0.03660,1.97570,2.30320,0.90300,0.91990,13.66900,0.60080,0.56660
2012-12-31,13.32300,0.52500,12.79800,-3.34800,8.08000,4.71800,-0.77000,3.94800,3.94800,4.51000,4.51000,9.30200,4.71800,12.66100,12.66900,0.36000,0.36000,0.52690,1.11360,35.41250,35.41250,29.63300,33.85120,0.03480,2.53730,2.97780,1.17740,1.20050,14.00780,0.6593,-0.8323
2012-09-30,13.61000,0.54000,13.07000,-3.59200,8.85500,4.21500,-1.87400,2.34100,2.34100,2.98600,2.98600,9.22700,4.21500,12.66600,12.67600,0.24000,0.24000,0.52380,1.09980,30.96990,30.96990,17.20060,21.93980,0.03510,1.64880,1.92080,0.76960,0.78520,14.27690,0.6164,0.6316
2012-06-30,13.66600,0.52100,13.14500,-4.32500,9.32600,3.81900,-1.95600,1.86300,1.86300,2.46700,2.46700,8.67600,3.81900,12.65800,12.66400,0.19000,0.19000,0.51520,1.06290,27.94530,27.94530,13.63240,18.05210,0.03500,1.32820,1.56120,0.63130,0.64390,14.64470,0.6005,0.4432
2012-03-31,13.35100,0.53300,12.81800,-3.99000,9.21000,3.60800,5.35200,8.96000,8.96000,9.51400,9.51400,8.71400,3.60800,12.65200,12.65700,0.75000,0.75000,0.50790,1.03200,27.02420,27.02420,67.11110,71.26060,0.03380,4.98330,5.89660,2.40580,2.45240,15.06840,0.55360,0.54740
2011-12-31,8.65800,0.53200,8.12600,-7.18900,9.65400,-1.52800,63.47300,61.94500,61.94500,62.62600,62.62600,0.84100,-1.52800,12.64400,12.64900,4.96000,4.95000,0.48060,0.92530,-17.64840,-17.64840,715.46560,723.33110,0.02330,33.14510,38.93100,16.88360,17.21530,14.91630,0.4409,-2.72
2011-09-30,7.39400,0.52500,6.86900,-1.87900,3.67800,3.19100,-0.71800,2.47300,2.47300,3.34800,3.34800,4.99000,3.19100,12.64800,12.65100,0.26000,0.26000,0.43950,0.78430,43.15660,43.15660,33.44600,45.28000,0.03040,2.49720,2.49720,1.37870,1.39950,10.58600,0.4341,0.1181
2011-06-30,6.76600,0.48000,6.28600,-1.41400,2.95300,3.33300,-0.36800,2.96500,2.96500,3.69200,3.69200,4.87200,3.33300,12.64200,12.65100,0.29000,0.29000,0.38490,0.62590,49.26100,49.26100,43.82210,54.56700,0.02970,2.67060,2.67060,1.62110,1.64260,10.91750,0.406,0.6289
2011-03-31,6.67600,0.47100,6.20500,-0.97100,2.47400,3.73100,-0.37800,3.35300,3.35300,4.12800,4.12800,5.23400,3.73100,12.63800,12.64200,0.33000,0.33000,0.35110,0.54110,55.88680,55.88680,50.22470,61.83340,0.03010,2.90490,2.90490,1.86210,1.88490,11.22920,0.40860,0.42220
2010-12-31,6.59000,0.47500,6.11500,-1.16500,2.67300,3.44200,-0.36400,3.07800,3.07800,4.12200,4.12200,4.95000,3.44200,12.25900,12.26200,0.34000,0.34000,0.31710,0.46430,52.23070,52.23060,46.70710,62.54930,0.03050,2.83280,2.85400,1.90710,1.93450,11.50000,0.4484,0.4344
2010-09-30,7.17100,0.47400,6.69700,-1.48800,3.08700,3.61000,-0.55800,3.05200,3.05200,3.38700,3.38700,5.20900,3.61000,12.32300,12.32500,0.27000,0.27000,0.35790,0.55750,50.34170,50.34170,42.56030,47.23190,0.03160,2.35850,2.35850,1.49090,1.51440,11.49490,0.415,0.3749
2010-06-30,7.47300,0.46600,7.00700,-1.43400,3.04400,3.96300,-0.52200,3.44100,3.44100,4.27400,4.27400,5.57300,3.96300,12.11100,12.11300,0.35000,0.35000,0.37020,0.58780,53.03090,53.03090,46.04580,57.19260,0.03310,3.04960,3.04960,1.89360,1.92060,11.43710,0.5153,0.5082
2010-03-31,7.64400,0.43700,7.20700,-1.35200,2.92100,4.28600,-0.49500,3.79100,3.79100,4.52700,4.52700,5.85500,4.28600,12.07700,12.07900,0.37000,0.37000,0.37120,0.59030,56.07010,56.07010,49.59450,59.22290,0.03430,3.26940,3.26940,2.02900,2.05590,11.45100,0.50100,0.48320
2009-12-31,8.08700,0.41500,7.67200,-1.46700,3.11900,4.55300,-0.57200,3.98100,3.98100,4.55700,4.55700,6.20500,4.55300,11.89100,11.89700,0.39000,0.39000,0.37380,0.59690,56.30020,56.30020,49.22720,56.34970,0.03530,3.22770,3.22770,1.99150,2.02130,11.67870,0.5032,0.4142
2009-09-30,7.92400,0.41200,7.51200,-1.46800,3.09100,4.42100,-0.60000,3.82100,3.82100,4.57100,4.57100,6.04400,4.42100,11.88400,11.88800,0.38000,0.38000,0.37910,0.61040,55.79250,55.79250,48.22060,57.68550,0.03500,3.30490,3.30490,2.02040,2.05220,11.63240,0.5637,0.4358
2009-06-30,8.02300,0.38900,7.63400,-1.53600,3.12200,4.51200,-0.66900,3.84300,3.84300,4.80200,4.80200,6.09800,4.51200,11.87600,11.88000,0.40000,0.40000,0.38410,0.62350,56.23830,56.23830,47.89980,59.85290,0.03470,3.40940,3.40940,2.07400,2.10000,11.83770,0.55,0.4039
2009-03-31,7.88000,0.39000,7.49000,-1.50600,3.04400,4.44600,-0.60700,3.83900,3.83900,4.64600,4.64600,5.98400,4.44600,11.86000,11.87200,0.39000,0.39000,0.36920,0.58520,56.42130,56.42130,48.71830,58.95940,0.03430,3.25640,3.25640,2.02410,2.05430,12.02150,0.48310,0.26600
