Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,10032.00000,637.00000,9395.00000,6025.00000,-660.00000,6685.00000,2710.00000,2710.00000,492.00000,2218.00000,2218.00000,,2060.00000,3364.00000,2710.00000,1604.00000,1627.00000,1.28000,1.27000,0.78420,0.69860,4.97970,93.65030,27.01360,27.01360,27.01360,20.53430,0.01110,0.16860,533.91750,2.95620,2.98920,0.24570,0.80010,51.46010,8.484,8.1957
2019-06-30,10244.00000,630.00000,9614.00000,6121.00000,-590.00000,6711.00000,2903.00000,2903.00000,657.00000,2246.00000,2246.00000,,2031.00000,3578.00000,2903.00000,1634.00000,1655.00000,1.24000,1.23000,0.77350,0.70490,5.09210,93.85010,28.33850,28.33850,28.33850,19.82620,0.01150,0.19190,468.98570,3.02190,3.05950,0.25180,0.80020,49.94260,6.4982,6.2046
2019-03-31,10286.00000,593.00000,9693.00000,6185.00000,-553.00000,6738.00000,2955.00000,2955.00000,487.00000,2468.00000,2468.00000,,2336.00000,3613.00000,2955.00000,1658.00000,1677.00000,1.41000,1.39000,0.80380,0.69960,4.93030,94.23490,28.72840,28.72840,28.72840,22.71050,0.01170,0.19530,460.82350,3.36370,3.37520,0.28170,0.90540,48.57190,10.16160,9.84620
2018-12-31,8548.00000,598.00000,7950.00000,5499.00000,-594.00000,6093.00000,1857.00000,1857.00000,300.00000,1557.00000,1557.00000,1.00000,1361.00000,2326.00000,1857.00000,1708.00000,1738.00000,0.82000,0.81000,0.80850,0.69970,4.76060,93.00420,21.72440,21.72440,21.72440,15.92190,0.01000,0.16040,561.16280,2.13620,2.14600,0.18240,0.57440,47.89070,-4.1837,-4.4687
2018-09-30,9872.00000,559.00000,9313.00000,5896.00000,-566.00000,6462.00000,2851.00000,2851.00000,696.00000,2155.00000,2155.00000,-1.00000,2019.00000,3319.00000,2851.00000,1697.00000,1727.00000,1.19000,1.17000,0.79870,0.70450,5.02210,94.33750,28.87970,28.87970,28.87970,20.45180,0.01140,0.16230,554.65060,3.01170,3.02860,0.24900,0.79530,46.39840,8.4331,8.1645
2018-06-30,10610.00000,609.00000,10001.00000,6222.00000,-670.00000,6892.00000,3109.00000,3109.00000,640.00000,2469.00000,2469.00000,-2.00000,2267.00000,3626.00000,3109.00000,1720.00000,1748.00000,1.32000,1.30000,0.83330,0.70480,5.02900,94.26010,29.30250,29.30250,29.30250,21.36660,0.01210,0.17190,523.49290,3.42980,3.45400,0.28190,0.90520,46.01260,-7.188,-7.476
2018-03-31,11077.00000,627.00000,10450.00000,6378.00000,-652.00000,7030.00000,3420.00000,3420.00000,714.00000,2706.00000,2706.00000,-2.00000,2575.00000,3810.00000,3420.00000,1740.00000,1771.00000,1.48000,1.45000,0.82080,0.71040,5.15030,94.33960,30.87480,30.87480,30.87480,23.24640,0.01290,0.16570,543.03060,3.81290,3.84620,0.31520,0.98600,44.80950,7.14170,6.91020
2017-12-31,9500.00000,537.00000,8963.00000,5826.00000,-666.00000,6492.00000,2471.00000,2471.00000,1810.00000,661.00000,661.00000,2.00000,473.00000,2884.00000,2471.00000,1780.00000,1821.00000,0.28000,0.27000,0.77320,0.71050,5.16360,94.34740,26.01050,26.01050,26.01050,4.97890,0.01120,0.16910,532.29790,0.94500,0.95220,0.07760,0.24390,43.88270,2.2285,1.9813
2017-09-30,9197.00000,522.00000,8675.00000,5620.00000,-573.00000,6193.00000,2482.00000,2482.00000,697.00000,1785.00000,1785.00000,6.00000,1688.00000,2933.00000,2482.00000,1776.00000,1818.00000,0.95000,0.93000,0.73900,0.70520,5.04100,94.32420,26.98710,26.98710,26.98710,18.35380,0.01080,0.16910,532.23000,2.49320,2.51290,0.20910,0.65680,44.20150,3.0348,2.7824
2017-06-30,9503.00000,525.00000,8978.00000,5734.00000,-602.00000,6336.00000,2642.00000,2642.00000,846.00000,1796.00000,1796.00000,-5.00000,1587.00000,3097.00000,2642.00000,1791.00000,1830.00000,0.89000,0.87000,0.73030,0.69720,5.05260,94.47540,27.80180,27.80180,27.80180,16.70000,0.01130,0.17300,520.10210,2.51380,2.53640,0.21360,0.68010,43.47030,-7.7861,-7.991
2017-03-31,9745.00000,509.00000,9236.00000,5884.00000,-544.00000,6428.00000,2808.00000,2808.00000,815.00000,1993.00000,1993.00000,-22.00000,1840.00000,3242.00000,2808.00000,1801.00000,1842.00000,1.02000,1.00000,0.69540,0.68590,5.03290,94.77680,28.81480,28.81480,28.81480,18.88150,0.01170,0.20160,446.48130,2.82440,2.85320,0.23940,0.79160,42.70330,0.04890,-0.14120
2016-12-31,9021.00000,480.00000,8541.00000,5601.00000,-694.00000,6295.00000,2246.00000,2246.00000,566.00000,1680.00000,1680.00000,,1510.00000,2625.00000,2246.00000,1849.00000,1887.00000,0.83000,0.81000,0.77830,0.68230,4.86540,94.67910,24.89750,24.89750,24.89750,16.73870,0.01110,0.19420,463.51840,2.41180,2.47500,0.20610,0.69170,41.66140,-1.333,-1.5084
2016-09-30,8909.00000,491.00000,8418.00000,5511.00000,-526.00000,6037.00000,2381.00000,2381.00000,749.00000,1632.00000,1632.00000,8.00000,1518.00000,2859.00000,2381.00000,1838.00000,1879.00000,0.83000,0.81000,0.70570,0.67630,4.77180,94.48870,26.72580,26.72580,26.72580,17.03900,0.01090,0.17330,519.36130,2.30050,2.36070,0.20050,0.67330,41.81370,-4.402,-4.5631
2016-06-30,8909.00000,484.00000,8425.00000,5474.00000,-468.00000,5942.00000,2483.00000,2483.00000,833.00000,1650.00000,1650.00000,-4.00000,1425.00000,2947.00000,2483.00000,1866.00000,1899.00000,0.76000,0.75000,0.73420,0.67600,4.88040,94.56730,27.87070,27.87070,27.87070,15.99510,0.01070,0.16860,533.66600,2.32870,2.39270,0.19910,0.68220,40.87330,6.4065,6.2313
2016-03-31,7792.00000,465.00000,7327.00000,5102.00000,-487.00000,5589.00000,1738.00000,1738.00000,578.00000,1160.00000,1160.00000,-3.00000,1055.00000,2153.00000,1738.00000,1883.00000,1915.00000,0.56000,0.55000,0.76690,0.67840,4.73500,94.03230,22.30490,22.30490,22.30490,13.53950,0.00960,0.17410,517.01490,1.66540,1.71390,0.14370,0.48340,39.81590,2.18120,2.01670
2015-12-31,7738.00000,457.00000,7281.00000,5297.00000,-545.00000,5842.00000,1439.00000,1439.00000,496.00000,943.00000,943.00000,-7.00000,753.00000,1849.00000,1439.00000,1909.00000,1953.00000,0.41000,0.39000,0.74500,0.66870,4.59300,94.09410,18.59650,18.59650,18.59650,9.73120,0.00980,0.17040,528.12480,1.37340,1.41560,0.11980,0.41010,39.67870,1.8005,1.5921
2015-09-30,7767.00000,485.00000,7282.00000,4959.00000,-849.00000,5808.00000,1474.00000,1474.00000,423.00000,1051.00000,1051.00000,-2.00000,939.00000,1843.00000,1474.00000,1904.00000,1949.00000,0.49000,0.48000,0.84080,0.67720,5.20230,93.75560,18.97770,18.97770,18.97770,12.08960,0.00930,0.15510,580.18540,1.52540,1.57420,0.12600,0.44390,39.43100,0.2271,0.0488
2015-06-30,9743.00000,487.00000,9256.00000,5971.00000,-558.00000,6529.00000,2727.00000,2727.00000,894.00000,1833.00000,1833.00000,-2.00000,1665.00000,3060.00000,2727.00000,1919.00000,1960.00000,0.87000,0.85000,0.81010,0.67510,5.39090,95.00150,27.98930,27.98930,27.98930,17.08920,0.01180,0.17060,527.59420,2.67410,2.76380,0.22200,0.78280,38.89590,2.3377,2.1845
2015-03-31,9907.00000,463.00000,9444.00000,5917.00000,-672.00000,6589.00000,2855.00000,2855.00000,387.00000,2468.00000,2468.00000,-5.00000,2314.00000,3176.00000,2855.00000,1924.12200,1962.99600,1.20000,1.18000,0.78580,0.67330,5.43410,95.32650,28.81800,28.81800,28.81800,23.35720,0.01190,0.17460,515.39010,3.63230,3.75050,0.29770,1.06830,38.27960,-6.65050,-6.81360
2014-12-31,7764.00000,468.00000,7296.00000,6669.00000,-3558.00000,10227.00000,-2931.00000,-2931.00000,-1353.00000,-1578.00000,-1578.00000,-8.00000,-1746.00000,-2518.00000,-2931.00000,1924.00000,1971.00000,-0.90000,-0.89000,0.77080,0.67940,5.48310,93.97220,-37.75120,-37.75120,-37.75120,-22.48840,0.00970,0.15860,567.55410,-2.38790,-2.53060,-0.19690,-0.70170,36.95780,-3.3512,-3.5841
2014-09-30,8907.00000,437.00000,8470.00000,5642.00000,-608.00000,6250.00000,2220.00000,2220.00000,463.00000,1757.00000,1757.00000,-5.00000,1629.00000,2356.00000,2220.00000,1922.99600,1970.92200,0.85000,0.83000,0.79910,0.67310,5.66590,95.09370,24.92420,24.92420,24.92420,18.28900,0.01090,0.16240,554.11590,2.58420,2.72960,0.21570,0.77620,37.79180,0.9439,0.8832
2014-06-30,8608.00000,458.00000,8150.00000,5665.00000,-553.00000,6218.00000,1932.00000,1932.00000,15.00000,1917.00000,1917.00000,0.00000,1820.00000,2218.00000,1932.00000,1928.25000,1969.69800,0.94000,0.92000,0.77920,0.67430,6.13330,94.67940,22.44420,22.44420,22.44420,21.14310,0.01040,0.15780,570.41470,2.85350,3.06900,0.23190,0.86470,36.75280,0.531,0.3203
2014-03-31,8996.00000,443.00000,8553.00000,5691.00000,-492.00000,6183.00000,2370.00000,2370.00000,785.00000,1585.00000,1585.00000,-1.00000,1449.00000,2696.00000,2370.00000,1924.27000,1969.65300,0.75000,0.74000,0.79420,0.68580,6.46590,95.07560,26.34500,26.34500,26.34500,16.10720,0.01080,0.14870,605.32900,2.36400,2.62170,0.19060,0.70870,35.63850,2.42730,2.42830
2013-12-31,7872.00000,411.00000,7461.00000,5552.00000,-2095.00000,7647.00000,-186.00000,-186.00000,-368.00000,182.00000,182.00000,-9.00000,36.00000,241.00000,-186.00000,1905.82400,1956.52000,0.02000,0.02000,0.76610,0.68990,6.91720,94.77900,-2.36280,-2.36280,-2.36280,0.45730,0.00950,0.13790,652.86580,0.27660,0.30770,0.02190,0.08180,35.49340,9.3329,9.1407
2013-09-30,7956.00000,416.00000,7540.00000,5343.00000,-832.00000,6175.00000,1365.00000,1365.00000,363.00000,1002.00000,1002.00000,16.00000,880.00000,1733.00000,1365.00000,1909.35100,1964.81300,0.46000,0.45000,0.79150,0.69810,7.18650,94.77120,17.15690,17.15690,17.15690,11.06080,0.00960,0.13790,652.82800,1.52120,1.72350,0.12040,0.44330,34.93540,-0.8697,-1.0514
2013-06-30,8515.00000,456.00000,8059.00000,5568.00000,-695.00000,6263.00000,1796.00000,1796.00000,574.00000,1222.00000,1222.00000,-31.00000,803.00000,2152.00000,1796.00000,1907.73700,1951.36300,0.42000,0.41000,0.81320,0.70900,7.47330,94.64470,21.09220,21.09220,21.09220,9.43040,0.01060,0.13210,681.45270,1.89150,2.18560,0.15220,0.53780,33.74320,7.1136,6.9505
2013-03-31,8150.00000,428.00000,7722.00000,5613.00000,-526.00000,6139.00000,1583.00000,1583.00000,333.00000,1250.00000,1250.00000,-19.00000,936.00000,1943.00000,1583.00000,1901.20500,1940.26400,0.49000,0.48000,0.81520,0.71420,7.56010,94.74850,19.42330,19.42330,19.42330,11.48470,0.01020,0.13090,687.65530,1.93610,2.24240,0.15600,0.54060,33.70020,2.31670,2.18110
2012-12-31,7032.00000,368.00000,6664.00000,5209.00000,-515.00000,5724.00000,940.00000,940.00000,86.00000,854.00000,854.00000,-66.00000,572.00000,1303.00000,940.00000,1885.77400,1918.81100,0.29000,0.30000,0.81530,0.72160,7.41740,94.76680,13.36750,13.36750,13.36750,8.13420,0.00900,0.10940,822.79860,1.33600,1.55290,0.10940,0.36340,33.14420,0.8533,0.6275
2012-09-30,5280.00000,359.00000,4921.00000,5421.00000,-983.00000,6404.00000,-1483.00000,-1483.00000,-525.00000,-958.00000,-958.00000,2.00000,-1047.00000,-1058.00000,-1483.00000,1889.30100,1889.30100,-0.55000,-0.55000,0.83670,0.72100,7.39920,93.20080,-28.08710,-28.08710,-28.08710,-19.82960,0.00690,0.08300,1083.71600,-1.50480,-1.75320,-0.12520,-0.41010,32.99680,2.9137,2.6838
2012-06-30,6942.00000,405.00000,6537.00000,5128.00000,-472.00000,5600.00000,937.00000,937.00000,224.00000,713.00000,713.00000,37.00000,564.00000,1355.00000,937.00000,1885.17900,1911.70900,0.30000,0.29000,0.87260,0.70080,6.52080,94.16600,13.49760,13.49760,13.49760,8.12450,0.00930,0.12180,738.73380,1.01670,1.16810,0.09530,0.29770,36.22780,4.8741,4.759
2012-03-31,6924.00000,403.00000,6521.00000,5835.00000,-484.00000,6319.00000,202.00000,202.00000,54.00000,148.00000,148.00000,-14.00000,-119.00000,577.00000,202.00000,1876.96200,1876.96200,-0.06000,-0.06000,0.81750,0.71460,7.03030,94.17970,2.91740,2.91740,2.91740,-1.71870,0.00890,0.12600,714.16380,0.21420,0.24780,0.01890,0.05980,35.68250,4.26220,4.14930
2011-12-31,5636.00000,379.00000,5257.00000,5259.00000,-444.00000,5703.00000,-446.00000,-446.00000,-295.00000,-151.00000,-151.00000,-33.00000,-264.00000,-229.00000,-446.00000,1654.70900,1675.27200,-0.04000,-0.04000,0.82670,0.72440,6.77240,93.27540,-7.91340,-7.91340,-7.91340,-4.68420,0.00750,0.11580,777.18410,-0.22020,-0.25550,-0.02010,-0.05940,36.36660,3.3544,3.1582
2011-09-30,9810.00000,443.00000,9367.00000,5059.00000,-623.00000,5682.00000,3685.00000,3685.00000,1415.00000,2270.00000,2270.00000,23.00000,2153.00000,4113.00000,3685.00000,1848.24600,1868.74400,1.16000,1.15000,0.85390,0.72960,6.97590,95.48420,37.56370,37.56370,37.56370,21.94700,0.01230,0.17960,501.19270,3.30970,3.84650,0.28560,0.87580,36.36450,9.3608,9.2738
2011-06-30,9207.00000,410.00000,8797.00000,6079.00000,-748.00000,6827.00000,1970.00000,1970.00000,538.00000,1432.00000,1432.00000,-26.00000,-558.00000,2350.00000,1970.00000,1464.29600,1464.29600,-0.38000,-0.38000,0.84050,0.74210,7.92260,95.54690,21.39680,21.39680,21.39680,-6.06060,0.01110,0.15740,571.76930,2.14900,2.51560,0.17240,0.54190,35.32500,-2.6355,-2.8529
2011-03-31,7574.00000,401.00000,7173.00000,5667.00000,-605.00000,6272.00000,901.00000,901.00000,-244.00000,1145.00000,1145.00000,-15.00000,736.00000,1280.00000,901.00000,1456.01600,1472.30800,0.51000,0.50000,0.80970,0.74680,8.41570,94.70560,11.89600,11.89600,11.89600,9.71750,0.00910,0.12850,700.25080,2.01190,2.07490,0.13690,0.43600,43.04550,-0.89790,-1.17570
2010-12-31,7415.00000,365.00000,7050.00000,5262.00000,-609.00000,5871.00000,1179.00000,1179.00000,90.00000,1089.00000,1089.00000,-23.00000,696.00000,761.00000,1179.00000,1361.67100,1411.26900,0.44000,0.62000,0.79120,0.74640,8.14560,95.07760,15.90020,15.90020,15.90020,9.38640,0.00920,0.13690,657.24880,1.95130,2.01660,0.13480,0.42230,43.25800,15.4377,15.141
2010-09-30,6780.00000,332.00000,6448.00000,5090.00000,-557.00000,5647.00000,801.00000,801.00000,-23.00000,824.00000,824.00000,-183.00000,-91.00000,1447.00000,801.00000,1377.23000,1443.10100,-0.07000,-0.07000,0.77570,0.74980,8.67380,95.10330,11.81420,11.81420,11.81420,-1.34220,0.00810,0.12800,703.07520,1.47180,1.52570,0.09790,0.31440,43.34600,-3.4725,-3.7774
2010-06-30,7963.00000,371.00000,7592.00000,5352.00000,-537.00000,5889.00000,1703.00000,1703.00000,240.00000,1463.00000,1463.00000,521.00000,1578.00000,2740.00000,1703.00000,1317.68600,1748.20900,1.20000,1.09000,0.79480,0.75550,9.22950,95.34100,21.38640,21.38640,21.38640,19.81670,0.00980,0.17130,525.36350,2.95190,3.08090,0.18070,0.60460,42.34700,3.8376,3.6731
2010-03-31,9072.00000,348.00000,8724.00000,5730.00000,-479.00000,6209.00000,2515.00000,2515.00000,436.00000,2079.00000,2079.00000,-68.00000,1411.00000,2669.00000,2515.00000,1314.60800,1626.20700,1.07000,0.99000,0.77210,0.77420,9.98170,96.16400,27.72270,27.72270,27.72270,15.55340,0.01110,0.21450,419.56350,4.56100,4.83350,0.25360,0.85070,39.45670,12.97560,12.89070
2009-12-31,6718.00000,390.00000,6328.00000,5138.00000,-339.00000,5477.00000,851.00000,851.00000,96.00000,755.00000,755.00000,15.00000,429.00000,1246.00000,851.00000,1185.41500,1185.41500,0.51000,0.52000,0.82200,0.78560,9.67300,94.19470,12.66750,12.66750,12.66750,6.38580,0.00870,0.15100,595.85140,1.74840,1.86130,0.09790,0.30670,38.79190,-0.1595,-0.812
2009-09-30,8468.00000,285.00000,8183.00000,6170.00000,-520.00000,6690.00000,1493.00000,1493.00000,521.00000,972.00000,972.00000,-179.00000,498.00000,1959.00000,1493.00000,1294.29800,1300.07000,0.39000,0.38000,0.75140,0.79000,9.92190,96.63440,17.63110,17.63110,17.63110,5.88100,0.01100,0.20100,447.67240,2.28020,2.45650,0.12630,0.39090,38.43110,-2.1781,-2.3021
2009-06-30,5197.00000,267.00000,4930.00000,4993.00000,-521.00000,5514.00000,-584.00000,-584.00000,-319.00000,-265.00000,-265.00000,298.00000,-1256.00000,-376.00000,-584.00000,1138.44400,1138.44400,-1.10000,-1.10000,0.79060,0.78400,8.36210,94.86240,-11.23730,-11.23730,-11.23730,-24.16780,0.00770,0.11590,776.80200,-0.63300,-0.67820,-0.03910,-0.11120,37.86260,-4.2824,-4.819
2009-03-31,2897.00000,248.00000,2649.00000,3010.00000,-269.00000,3279.00000,-630.00000,-630.00000,-595.00000,-35.00000,-35.00000,-155.00000,-578.00000,-475.00000,-630.00000,1011.74100,1011.74100,-0.57000,-0.57000,0.85540,0.78730,7.96540,91.43940,-21.74660,-21.74660,-21.74660,-19.95170,0.00460,0.07410,1213.89700,-0.11670,-0.07590,-0.00560,-0.01510,45.49430,-32.14360,-33.25750
