Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,14.25500,14.25500,2.69710,0.26380,11.82160,-15.25240,-3.43080,-3.43080,-3.43080,-3.43080,12.06530,11.82160,22.80780,22.80780,-0.15000,-0.15000,1.60700,1.45930,100.00000,82.92960,82.92960,-24.06740,-24.06740,0.01190,0.41180,218.55050,-0.75540,-0.75540,-0.28530,-0.75540,19.91100,-0.36420,-0.36420
2021-12-31,13.26560,13.26560,2.98200,0.28070,10.56440,-6.61190,3.95240,3.95240,3.95240,3.95240,10.93260,10.56440,15.49460,15.49460,0.10000,0.10000,1.59230,1.43530,100.00000,79.63720,79.63720,29.79470,29.79460,0.01090,0.61820,145.58330,0.87290,0.87290,0.32470,0.87290,20.06190,-24.0189,-24.0189
2021-09-30,8.87590,8.87590,2.20890,0.18630,6.85340,-2.12730,4.72610,4.72610,4.72610,4.72610,7.03520,6.85340,14.42910,14.42910,0.33000,0.33000,1.53470,1.35670,100.00000,77.21350,77.21350,53.24640,53.24640,0.00990,0.89770,100.25700,1.51030,1.51030,0.52620,1.51030,20.70450,-2.3358,-2.3358
2021-06-30,7.86920,7.86920,1.90090,0.16830,6.13670,-1.09950,5.03720,5.03720,5.03720,5.03720,6.31730,6.13670,13.09590,13.09590,0.38000,0.38000,1.58410,1.51930,100.00000,77.98350,77.98350,64.01090,64.01090,0.01070,1.18880,75.70660,1.84900,1.84900,0.68180,1.84900,20.64610,-0.3378,-0.3378
2021-03-31,9.67490,9.67490,1.93920,0.16080,7.89640,-2.55240,5.34400,5.34400,5.34400,5.34400,8.07510,7.89640,12.75030,12.75030,0.42000,0.42000,1.56530,1.57340,100.00000,81.61780,81.61780,55.23580,55.23580,0.01330,0.28850,311.98680,2.03350,2.03350,0.73440,2.03350,20.56810,-1.57610,-1.57610
2020-12-31,9.68040,9.68040,1.61300,0.02070,8.08810,4.84430,12.93240,12.93240,12.93240,12.93240,7.95130,8.08810,11.15690,11.15690,3.61000,3.61000,1.61100,1.55310,100.00000,83.55170,83.55170,133.59380,133.59380,0.01450,0.71730,125.47450,5.10870,5.10870,1.93750,5.10870,20.15000,-6.9445,-6.9445
2020-09-30,7.92600,7.92600,1.97690,0.01180,5.96090,9.43830,15.39920,15.39920,15.39920,15.39920,5.55490,5.96090,12.37350,12.37350,1.24000,1.24000,1.54640,1.52200,100.00000,75.20730,75.20730,194.28700,194.28700,0.01140,0.23280,386.57340,6.26420,6.26420,2.21330,6.26420,19.78660,-1.9297,-1.9297
2020-06-30,6.40910,6.40910,1.51130,-0.00080,4.89700,27.03400,31.93100,31.93100,31.93100,31.93100,5.00720,4.89700,12.05780,12.05780,2.65000,2.65000,1.59100,1.44200,100.00000,76.40710,76.40710,498.21570,498.21570,0.01030,1.76880,50.88080,13.78290,13.78290,5.11990,13.78290,18.81510,-1.1281,-1.1281
2020-03-31,1.45310,1.45310,0.79890,-0.16380,0.49050,-34.01940,-33.52890,-33.52890,-33.52890,-33.52890,0.52760,0.49050,6.56790,6.56790,-5.10000,-5.10000,1.63520,0.45620,100.00000,33.75130,33.75130,-2307.33100,-2307.33100,0.00310,0.44130,203.96020,-18.22940,-18.22940,-7.08100,-18.22940,16.15810,-45.85270,-45.85270
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-09-30,15.78820,15.78820,4.28710,-0.15280,11.34840,2.45290,13.80130,13.80130,13.80130,13.80130,11.34840,11.34840,10.66990,10.66990,1.29000,1.29000,,,100.00000,71.87870,71.87870,87.41490,87.41490,,,,,,,,,0,0
2019-06-30,7.86220,7.86220,2.54430,0.06950,5.38740,-6.98540,-1.59790,-1.59790,-1.59790,-1.59790,5.38740,5.38740,9.69030,9.69030,-0.16000,-0.16000,,,100.00000,68.52310,68.52310,-20.32420,-20.32420,,,,,,,,,0,0
