Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-04-30,12058.00000,7928.00000,4130.00000,377.00000,838.00000,-335.00000,1818.00000,2312.00000,2312.00000,530.00000,1782.00000,1790.00000,1790.00000,3096.00000,2580.00000,312.80000,315.20000,5.72000,5.68000,2.29380,0.68840,3.13750,34.25110,19.17400,21.39660,19.17400,14.84490,0.15270,1.31210,1.57370,57.18860,11.85750,16.89320,2.26640,3.69510,48.39360,5.2138,6.4381
2021-01-31,9112.00000,5805.00000,3307.00000,366.00000,769.00000,-373.00000,1779.00000,1528.00000,1528.00000,308.00000,1220.00000,1224.00000,1224.00000,2337.00000,1799.00000,313.50000,316.10000,3.90000,3.87000,2.34020,0.69940,3.26320,36.29280,16.76910,19.74320,16.76910,13.43280,0.12070,0.97460,1.46830,61.29720,8.68950,12.81680,1.62160,2.61210,44.94020,0.45240,1.42040
2020-10-31,9731.00000,6471.00000,3260.00000,443.00000,1010.00000,-412.00000,2144.00000,1116.00000,1116.00000,330.00000,786.00000,758.00000,757.00000,1899.00000,1395.00000,313.50000,316.60000,2.40000,2.38000,2.23930,0.71660,3.55360,33.50120,11.46850,14.33560,11.46850,7.77930,0.12960,1.29450,1.79470,50.14700,5.85600,8.88000,1.00940,1.65940,41.26810,10.7888,11.5632
2020-07-31,8925.00000,5835.00000,3090.00000,370.00000,752.00000,-408.00000,1820.00000,1270.00000,1270.00000,457.00000,813.00000,811.00000,811.00000,2107.00000,1560.00000,313.00000,315.80000,2.59000,2.57000,2.26230,0.72530,3.76020,34.62190,14.22970,17.47900,14.22970,9.08680,0.11550,1.03270,1.32890,67.72440,6.29120,9.42370,1.04960,1.72820,41.13600,10.3926,11.2146
2020-04-30,9253.00000,6294.00000,2959.00000,406.00000,906.00000,-377.00000,2031.00000,928.00000,928.00000,245.00000,683.00000,666.00000,666.00000,1799.00000,1270.00000,313.20000,316.20000,2.13000,2.11000,2.19630,0.74310,4.22610,31.97880,10.02920,13.72530,10.02920,7.19770,0.11970,1.01990,1.27980,70.32310,5.61310,8.72070,0.86130,1.44190,37.92440,4.0556,5.0123
2020-01-31,7631.00000,5077.00000,2554.00000,425.00000,809.00000,-415.00000,1985.00000,569.00000,569.00000,50.00000,519.00000,518.00000,517.00000,1443.00000,905.00000,313.50000,317.20000,1.65000,1.63000,2.12190,0.71870,3.76350,33.46880,7.45640,11.85950,7.45640,6.77500,0.10630,0.78320,1.12800,79.78640,4.34200,6.78370,0.72120,1.22160,38.03970,-1.60150,-1.11290
2019-10-31,9896.00000,6735.00000,3161.00000,488.00000,944.00000,-516.00000,2336.00000,825.00000,825.00000,104.00000,721.00000,722.00000,721.00000,1710.00000,1213.00000,316.50000,320.60000,2.31000,2.28000,2.03810,0.72590,3.97070,31.94220,8.33670,12.25750,8.33670,7.28580,0.13550,1.12720,1.46330,61.50670,6.32390,10.14050,0.98890,1.73370,36.45970,9.3792,9.7285
2019-07-31,10036.00000,6870.00000,3166.00000,431.00000,896.00000,-352.00000,2053.00000,1113.00000,1113.00000,221.00000,892.00000,899.00000,899.00000,1993.00000,1487.00000,315.90000,319.80000,2.84000,2.81000,1.99450,0.70440,3.70270,31.54640,11.09010,14.81670,11.09010,8.95780,0.13650,1.01820,1.20230,74.85350,7.32680,11.50650,1.22260,2.16560,38.96810,5.9033,6.1706
2019-04-30,11342.00000,7755.00000,3587.00000,457.00000,947.00000,-359.00000,2114.00000,1473.00000,1473.00000,343.00000,1130.00000,1136.00000,1135.00000,2337.00000,1824.00000,317.90000,322.20000,3.57000,3.52000,1.93620,0.70320,3.75030,31.62580,12.98710,16.08180,12.98710,10.00710,0.15590,1.08290,1.25600,71.65400,9.52700,15.30380,1.56190,2.82730,37.61560,0.4762,1.2773
2019-01-31,7984.00000,5432.00000,2552.00000,407.00000,764.00000,-351.00000,1875.00000,677.00000,677.00000,184.00000,493.00000,500.00000,498.00000,1533.00000,1030.00000,318.50000,322.70000,1.56000,1.54000,1.98300,0.71080,3.79930,31.96390,8.47950,12.90080,8.47950,6.23750,0.11420,0.73390,1.11140,80.98200,4.41190,7.37680,0.71510,1.27590,35.58320,-5.11620,-4.88690
2018-10-31,9416.50000,6381.20000,3035.30000,470.00000,897.80000,-365.10000,2055.90000,979.40040,979.40000,203.40000,776.00000,785.00000,785.00000,1784.40000,1302.40000,322.60000,327.30000,2.46000,2.45000,1.91540,0.70690,3.74250,32.23380,10.40090,13.83110,10.40090,8.33640,0.13430,1.03780,1.39260,64.62910,6.95240,11.84370,1.11970,2.03750,35.45560,7.6156,7.7474
2018-07-31,10308.00000,7152.00000,3156.00000,416.00000,913.00000,-346.00000,1966.00000,1190.00000,1190.00000,289.00000,901.00000,911.00000,910.00000,1975.20000,1481.00000,323.50000,328.00000,2.81000,2.78000,1.91280,0.72140,4.08740,30.61700,11.54440,14.36750,11.54440,8.82810,0.14860,1.14630,1.36780,65.79740,8.78830,15.87660,1.31290,2.44870,32.22520,1.6575,2.1149
2018-04-30,10720.00000,7333.30000,3386.70000,415.20000,939.20000,-344.90000,2003.00100,1383.69900,1383.70000,177.10000,1206.60000,1209.70000,1208.10000,2174.99900,1687.39900,324.20000,329.20000,3.73000,3.67000,1.91130,0.71610,3.98990,31.59240,12.90760,15.74070,12.90770,11.26960,0.15340,1.06450,1.34950,66.69070,11.60940,21.83930,1.73130,3.29630,32.13220,0.3086,1.0069
2018-01-31,6913.50000,4704.50000,2209.00000,356.80000,705.00000,-343.00000,1691.10000,517.90040,517.90000,1057.50000,-539.60000,-534.70000,-535.10000,1267.40000,804.20040,322.80000,322.80000,-1.66000,-1.66000,1.97880,0.74040,4.38140,31.95200,7.49110,11.63230,7.49110,-7.73990,0.10380,0.71130,1.20140,74.91080,-5.77120,-11.89920,-0.80310,-1.49830,28.61410,-4.01490,-3.50900
2017-10-31,8017.99900,5408.20000,2609.79900,398.69990,847.99990,-348.60000,1842.99900,766.79980,766.80000,222.80000,544.00000,509.99990,510.00000,1451.50000,1014.50000,319.50000,323.30000,1.60000,1.59000,2.12020,0.73030,4.18860,32.54930,9.56350,12.65280,9.56350,6.36070,0.12190,1.38530,1.55360,57.92870,5.33440,6.13780,0.77520,1.43860,29.70570,4.5492,4.973
2017-07-31,7807.80000,5248.60000,2559.20000,336.80000,799.10000,-317.10000,1669.30000,889.89990,889.90000,253.20000,636.70000,642.30000,641.80000,1542.10000,1106.20000,320.80000,325.10000,2.00000,1.97000,2.10030,0.73410,4.37030,32.77750,11.39760,14.16790,11.39760,8.22000,0.12520,1.23410,1.48790,60.48760,7.49050,8.41030,1.03020,1.99170,26.68840,2.7501,3.2916
2017-04-30,8287.00000,5427.70000,2859.30000,325.40000,783.60000,-354.10000,1690.00000,1169.30000,1169.30000,365.80000,803.50010,808.30000,808.30000,1823.60000,1396.20000,319.20000,323.00000,2.53000,2.50000,2.16440,0.75140,4.60650,34.50340,14.11010,16.84810,14.11010,9.75380,0.14050,1.31910,1.52100,59.17280,10.50590,11.89240,1.37070,2.61190,24.05350,1.7975,2.7827
2017-01-31,5625.20000,3781.50000,1843.70000,312.10000,667.30000,-328.20000,1515.70000,328.00000,328.00000,129.20000,198.80000,198.40000,198.90000,951.80000,536.10000,316.70000,319.70000,0.63000,0.62000,2.19580,0.77030,5.05880,32.77570,5.83090,9.53030,5.83090,3.53590,0.09990,0.95500,1.35630,66.35760,2.90260,3.34540,0.35240,0.66680,21.47550,-2.30430,-1.63810
2016-10-31,6519.69900,4330.79900,2188.90000,390.59990,774.49990,-390.60010,1754.49900,434.40140,434.40000,140.30000,294.10000,284.40000,285.90000,1034.60100,633.20180,315.20000,316.60000,0.91000,0.90000,2.13230,0.78400,5.45290,33.57360,6.66290,9.71210,6.66290,4.38520,0.11260,1.29650,1.61130,55.85640,4.35470,5.06860,0.49100,0.94070,20.74800,7.7139,7.9688
2016-07-31,6724.40000,4494.20000,2230.20000,338.80000,709.00000,-276.60000,1525.10000,705.09960,705.10000,226.50000,478.60000,488.60000,488.50000,1302.40000,905.79960,314.30000,315.70000,1.55000,1.55000,2.10150,0.76390,4.99380,33.16580,10.48570,13.47030,10.48570,7.26460,0.11490,1.16690,1.41410,63.64410,6.56750,7.50930,0.83470,1.55070,23.66140,5.1799,5.6015
2016-04-30,7875.40000,5531.00000,2344.40000,345.00000,714.80000,-360.30000,1611.10000,733.30030,733.30000,237.80000,495.50000,494.70000,495.20000,1311.90000,924.30030,315.10000,316.50000,1.57000,1.56000,2.10210,0.77410,5.26690,29.76870,9.31130,11.73660,9.31130,6.28790,0.13320,1.36200,1.34480,66.92690,6.89310,7.95180,0.83680,1.55740,22.83690,1.4614,2.2425
2016-01-31,5524.50000,3840.10000,1684.40000,319.30000,592.90000,-247.80000,1333.20000,351.20020,351.20000,95.50000,255.70000,253.80000,254.30000,898.60020,524.40020,316.40000,317.60000,0.80000,0.80000,2.24430,0.78750,5.47780,30.48960,6.35710,9.49230,6.35710,4.60310,0.09870,0.90370,1.22120,73.69590,3.84320,4.35670,0.45340,0.81660,20.94280,-2.44840,-1.97360
2015-10-31,6715.30100,4670.39900,2044.90200,404.00010,719.00000,-302.00000,1587.90000,457.00200,457.00010,104.60000,352.40010,351.50020,351.70000,973.10210,619.90150,333.60000,336.00000,1.09000,1.09000,2.06460,0.77910,5.45300,30.45130,6.80540,9.23120,6.80540,5.23730,0.11590,1.22360,1.64770,54.62210,5.20160,5.88970,0.60660,1.14910,21.33840,7.6197,7.7427
2015-07-31,7593.70000,5358.00000,2235.70000,346.80000,755.30000,-223.60000,1497.20000,738.50050,738.50000,241.00000,497.50000,511.70000,511.40000,1256.30000,910.00050,331.40000,334.10000,1.54000,1.53000,2.05470,0.75020,4.80830,29.44150,9.72520,11.98360,9.72520,6.73450,0.12890,1.24060,1.49290,60.28720,6.62390,7.36120,0.86830,1.65460,23.53990,4.0226,4.2861
2015-04-30,8170.70000,5694.20000,2476.50000,341.10000,740.00000,-212.90000,1459.50000,1017.00000,1017.00000,324.00000,693.00000,690.80000,690.20000,1522.50000,1182.50000,337.10000,339.70000,2.05000,2.03000,2.11060,0.74290,4.56390,30.30950,12.44690,14.47240,12.44690,8.44730,0.13710,1.23140,1.44950,62.09030,8.44910,9.36220,1.15920,2.17240,24.48850,1.0202,1.5233
2015-01-31,6383.10000,4420.60000,1962.50000,333.20000,659.00000,-222.60000,1394.90000,567.59960,567.60000,170.50000,397.10000,386.90000,386.70000,1090.60000,747.69960,343.10000,345.70000,1.13000,1.12000,2.25590,0.74510,4.43910,30.74530,8.89220,11.71370,8.89220,6.05820,0.10950,0.97650,1.49030,60.39060,4.69040,5.19660,0.66370,1.19580,24.29720,-1.47560,-1.30750
2014-10-31,8964.79900,6097.20000,2867.59900,412.10000,851.29990,-355.10000,1791.10200,1076.49700,1076.50000,416.80000,659.69980,649.89980,649.89980,1598.19700,1249.09600,363.00000,366.10000,1.86000,1.84000,2.16860,0.72900,4.07680,31.98730,12.00800,13.93330,12.00810,7.24950,0.14620,1.44840,1.86450,48.26980,7.16890,7.92030,1.05960,1.94310,26.23850,7.7627,7.4359
2014-07-31,9500.20000,6611.30000,2888.90000,362.10000,820.70000,-260.00000,1596.70000,1292.20000,1292.20000,450.20000,841.99990,850.90000,850.40000,1773.20000,1446.10000,361.90000,365.10000,2.35000,2.33000,2.21610,0.68930,3.39340,30.40880,13.60180,15.22180,13.60180,8.95140,0.15390,1.21550,1.64410,54.73970,7.85510,8.56610,1.37800,2.44030,30.22290,4.1179,4.1714
2014-04-30,9947.90000,6871.80000,3076.10100,354.10000,846.50000,-245.90000,1612.30000,1463.80100,1463.80000,479.00000,984.80000,981.20010,980.30000,1916.80100,1629.60100,366.60000,369.80000,2.67000,2.65000,2.18430,0.68470,3.39900,30.92210,14.71470,16.38140,14.71470,9.85430,0.16340,1.17470,1.56610,57.46920,9.19790,10.05660,1.61220,2.90000,29.32340,-0.2619,0.061
2014-01-31,7654.00000,5195.50000,2458.50000,323.70000,765.90000,-232.30000,1493.60000,964.89990,964.90000,280.50000,684.40000,681.30000,681.10000,1479.70000,1136.60000,371.90000,375.40000,1.83000,1.81000,2.23970,0.68460,3.35480,32.12050,12.60650,14.84980,12.60650,8.89860,0.13270,0.93540,1.55900,57.72980,6.64180,7.28770,1.18160,2.09480,27.74610,-1.98770,-1.91930
2013-10-31,9450.59800,6332.40000,3118.19700,405.30010,947.89990,-333.20000,1874.00200,1244.19500,1244.20000,437.00000,807.20000,807.10000,807.50000,1730.89500,1431.79600,385.30000,389.20000,2.14000,2.12000,2.05210,0.67760,3.35770,32.99470,13.16530,15.15030,13.16530,8.54440,0.15880,1.28320,1.79890,50.02920,7.86060,8.63600,1.35600,2.53440,27.46820,6.8528,6.547
2013-07-31,10009.90000,6837.90000,3172.00000,338.70000,919.80000,-181.60000,1622.70000,1549.30100,1549.30000,553.50000,995.80000,996.60000,996.30000,2018.70100,1731.90100,386.00000,389.60000,2.58000,2.56000,2.17800,0.71640,3.92150,31.68860,15.47770,17.30190,15.47770,9.95310,0.17160,1.22230,1.68990,53.25700,11.59970,13.13700,1.70840,3.29020,22.44140,4.4504,4.1795
2013-04-30,10913.50000,7482.20000,3431.30000,376.80000,956.30000,-163.40000,1687.50000,1743.80000,1743.80000,666.40000,1077.40000,1084.30000,1083.90000,2212.10000,1934.80000,389.20000,393.10000,2.79000,2.76000,2.16610,0.72460,4.10740,31.44090,15.97840,17.72850,15.97840,9.93170,0.18770,1.21210,1.65330,54.43790,13.11630,14.95570,1.86450,3.61200,21.30380,0.2374,0.358
2013-01-31,7421.40000,5014.80000,2406.60000,356.50000,781.50000,-142.40000,1460.50000,946.10010,946.10000,289.00000,657.10000,649.60000,649.60000,1403.30000,1126.20000,388.40000,393.00000,1.67000,1.65000,2.36000,0.74760,4.34780,32.42790,12.74830,15.17500,12.74830,8.75310,0.13450,0.80330,1.41330,63.68180,8.67810,10.06660,1.17750,2.19050,19.21550,-3.17910,-3.29260
2012-10-31,9791.60200,6841.30100,2950.30100,401.30000,948.20010,-278.30000,1827.90000,1122.40000,1122.40000,425.10010,697.30020,688.90020,687.60000,1584.00000,1322.50000,397.10000,401.50000,1.76000,1.74000,2.23760,0.76590,4.72460,30.13090,11.46290,13.50650,11.46290,7.02230,0.17400,1.32330,1.73310,51.92950,10.03940,11.80470,1.22440,2.35000,17.69450,5.7553,5.0259
2012-07-31,9590.40000,6756.00000,2834.40000,367.80000,878.40000,-178.60000,1619.69900,1214.70100,1214.70000,426.80000,787.90000,790.20000,788.00000,1653.60100,1409.60100,394.70000,398.80000,2.00000,1.98000,2.22630,0.74050,4.21140,29.55460,12.66580,14.69800,12.66580,8.21660,0.18030,1.15140,1.61120,55.85770,10.65740,12.39880,1.48540,2.76570,18.93090,0.9269,0.5949
2012-04-30,10008.60000,6834.50000,3174.10000,352.00000,881.40000,-148.00000,1577.10100,1596.99900,1597.00000,541.30000,1055.70000,1058.10000,1056.20000,2048.09900,1792.69900,400.20000,404.70000,2.64000,2.61000,2.09090,0.71680,4.01060,31.71370,15.95630,17.91160,15.95630,10.55290,0.19470,1.11810,1.61550,55.70980,14.30640,16.75140,2.05830,4.05160,18.59530,-0.77,-0.8884
2012-01-31,6766.50000,4576.00000,2190.50000,312.50000,709.00000,-176.60000,1390.20000,800.29980,800.30000,266.20000,534.10000,534.40000,532.90000,1235.70000,992.39980,404.00000,408.40000,1.32000,1.30000,2.02760,0.71400,4.13680,32.37270,11.82740,14.66640,11.82740,7.87560,0.13930,0.80600,1.46220,61.55090,7.88290,9.38380,1.10010,2.25450,16.87100,-3.00390,-3.11850
2011-10-31,8611.69900,5926.20100,2685.49900,346.80000,859.70000,-241.70000,1628.49700,1057.00100,1057.00000,382.99990,673.99970,671.99980,669.89980,1474.30100,1237.30000,417.40000,422.40000,1.63000,1.62000,2.06850,0.71340,3.90170,31.18430,12.27400,14.36770,12.27400,7.77900,0.17860,1.35590,1.84280,48.83810,9.86070,11.81500,1.39400,2.82650,16.78260,4,3.4925
2011-07-31,8371.90000,5792.20000,2579.70000,312.00000,815.80000,-188.50000,1500.60000,1079.10100,1079.10000,369.50000,709.60000,714.80000,712.30000,1492.60100,1263.40100,417.40000,422.00000,1.71000,1.69000,2.02120,0.67820,3.47500,30.81380,12.88960,15.09100,12.88960,8.50820,0.17760,1.23560,1.73060,52.00650,9.48010,11.19780,1.51650,3.05050,18.21590,3.0676,2.8267
2011-04-30,8909.70000,6106.90000,2802.80000,298.50000,828.20000,-143.10000,1462.10000,1340.70000,1340.70000,438.90000,901.79990,906.70000,904.00000,1762.70000,1533.00000,420.70000,426.40000,2.15000,2.12000,2.08930,0.68540,3.50910,31.45790,15.04770,17.20600,15.04760,10.14630,0.19130,1.30290,1.77090,50.82090,12.19730,14.47430,1.94630,3.83780,17.71130,0.5457,0.4536
2011-01-31,6119.20000,4094.10000,2025.10000,268.90000,665.00000,-142.70000,1279.10000,746.00000,746.00000,232.20000,513.80000,514.30000,513.70000,1167.50000,948.50000,421.80000,427.50000,1.22000,1.20000,2.34140,0.71720,3.66860,33.09420,12.19110,15.50040,12.19110,8.39490,0.14270,0.97980,1.46880,61.27270,7.80820,9.42580,1.19900,2.20800,15.64390,-2.10600,-2.14900
2010-10-31,7201.99900,4908.50100,2293.49800,294.40000,842.10000,-214.20000,1543.19800,750.29980,750.30000,295.20000,455.10000,459.40000,456.60000,1191.90000,942.79960,424.00000,428.60000,1.09000,1.06000,2.21040,0.72730,3.86280,31.84530,10.41790,13.09080,10.41790,6.33990,0.16650,1.60250,1.62620,55.34210,7.28810,8.85540,1.06180,1.98720,14.93060,2.7884,2.4482
2010-07-31,6836.90000,4519.60000,2317.30000,256.30000,751.20000,-195.00000,1395.60000,921.69970,921.70000,308.10000,613.60000,619.50000,617.00000,1344.30000,1114.80000,424.50000,429.00000,1.45000,1.44000,2.24270,0.72770,3.89500,33.89400,13.48130,16.30560,13.48130,9.02460,0.16350,1.42330,1.60790,55.97540,10.11300,12.37320,1.48170,2.75330,14.45230,1.5653,1.5334
2010-04-30,7130.90000,4765.20000,2365.70000,266.00000,733.30000,-170.20000,1376.80000,988.89990,988.90000,448.40000,540.50000,549.80000,547.50000,1418.20000,1196.20000,424.40000,429.00000,1.29000,1.28000,2.46210,0.75430,4.17650,33.17530,13.86780,16.77490,13.86780,7.67790,0.17390,1.58690,1.52940,58.84600,9.71480,12.15380,1.34050,2.38680,13.32130,1.7157,1.7705
2010-01-31,4834.80000,3205.50000,1629.30000,235.70000,642.10000,-168.70000,1265.00000,364.29980,364.30000,109.90000,254.40000,245.60000,243.20000,824.19980,582.79980,423.60000,427.50000,0.57000,0.57000,2.33170,0.77420,4.96790,33.69940,7.53500,12.05430,7.53500,5.03020,0.11860,1.16460,1.22920,73.22040,4.92580,6.38700,0.60220,1.11250,11.75920,-0.74460,-0.75350
2009-10-31,5334.10100,3898.70000,1435.40100,258.60000,794.20010,-188.60000,1490.59900,-55.19780,-55.20010,161.50000,-216.70010,-222.80010,-222.70000,703.30230,194.00060,422.80000,424.40000,-0.52000,-0.52000,2.31410,0.78290,5.09050,26.90990,-1.03480,3.63700,-1.03490,-4.17500,0.12970,1.62630,1.51550,59.38810,-4.61970,-6.10410,-0.54170,-1.00290,11.39490,3.5397,3.2511
2009-07-31,5884.60000,4057.60000,1827.00000,243.30000,659.50000,-166.20000,1318.30000,508.70020,508.70000,87.90000,420.80000,419.50000,420.00000,980.50020,758.00020,422.90000,424.80000,0.99000,0.99000,2.14410,0.69240,3.33470,31.04710,8.64460,12.88110,8.64460,7.13730,0.14220,1.34360,1.48470,60.61690,5.64780,7.00100,1.01360,1.73720,17.56170,3.9241,3.7263
2009-04-30,6747.80000,4756.40000,1991.40000,255.70000,688.00000,-166.40000,1379.50000,611.89990,611.90000,137.10000,474.80000,472.20000,472.30000,1095.10000,881.29990,422.70000,423.70000,1.12000,1.11000,2.07030,0.71030,3.75090,29.51180,9.06810,13.06060,9.06810,6.99930,0.16140,1.33950,1.33440,67.44470,6.87050,8.63100,1.12960,1.99050,16.25750,1.0257,0.8407
2009-01-31,5145.90000,3542.50000,1603.40000,219.40000,638.90000,-196.80000,1329.60000,273.80030,273.80000,73.50000,200.30000,204.00000,203.90000,765.20030,548.30030,422.50000,423.70000,0.48000,0.48000,1.99840,0.71650,3.94960,31.15880,5.32070,10.65510,5.32070,3.96240,0.12450,0.92330,1.22240,73.62270,3.10990,3.94840,0.49350,0.88180,15.51960,-3.81280,-4.15320
