Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1140.53500,671.88100,468.65410,58.67400,-260.94900,361.39800,107.25600,-13.63300,93.62300,15.92900,77.69400,77.69400,75.51100,158.11300,107.25600,89.35500,103.45400,0.85000,0.73000,0.28990,0.70800,2.46280,41.09070,9.40400,9.40400,8.20870,6.62070,0.35600,9.76530,26.49350,-17.93220,2.42540,7.73630,3.28820,1.42220,1.03380
2021-12-31,1047.08300,616.15700,430.92580,63.02600,-248.61500,352.44000,78.48580,-13.75100,64.73480,1.55700,63.17780,63.17780,60.69900,127.07280,78.48570,88.98100,107.80300,0.67000,0.59000,0.35830,0.77820,3.55870,41.15490,7.49570,7.49570,6.18240,5.79700,0.31780,7.78840,28.34990,-12.66070,1.91780,6.28660,2.49680,0.9104,0.5839
2021-09-30,1010.46300,594.54600,415.91710,58.88000,-301.37300,401.08000,14.83700,-14.24000,0.59700,-4.45400,5.05100,5.05100,3.44900,61.55000,14.83700,89.22900,107.78300,0.04000,0.03000,0.26820,0.83270,5.04490,41.16100,1.46830,1.46830,0.05910,0.34130,0.31390,8.20820,3.03660,-0.89680,0.15690,0.50790,1.86380,0.2438,-0.0584
2021-06-30,1077.36600,607.10100,470.26500,66.46200,-238.62700,345.62800,124.63700,-17.06300,107.57400,22.68800,84.88600,84.88600,82.54500,171.97500,124.63700,89.07500,109.80500,0.93000,0.75000,0.27050,0.84590,5.55930,43.64950,11.56870,11.56870,9.98490,7.66170,0.33180,10.28920,55.51480,-14.70730,2.61450,8.55750,1.71400,1.3044,1.0375
2021-03-31,987.47300,566.50800,420.96500,57.24800,-231.49300,329.96700,90.99810,-14.60700,76.39100,6.59300,69.79800,69.79800,68.86200,142.25700,90.99810,88.36700,110.64100,0.78000,0.63000,0.29290,0.95450,21.87780,42.63050,9.21520,9.21520,7.73600,6.97360,0.30060,10.50940,153.72290,-10.24810,2.12450,7.00120,0.51100,1.27460,1.11730
2020-12-31,812.50510,495.33220,317.17290,56.62400,-224.99500,324.41080,-7.23800,-17.45300,-24.69100,-10.51600,-14.17500,-14.17500,-14.21100,44.56600,-7.23790,87.46800,87.46800,-0.16000,-0.16000,0.34090,0.98910,94.59520,39.03640,-0.89080,-0.89080,-3.03890,-1.74900,0.24170,7.99850,-129.36930,1.96820,-0.42160,-1.40520,0.12470,0.9596,0.7211
2020-09-30,771.26000,477.40800,293.85200,57.44300,-207.24700,308.10700,-14.25500,-18.29900,-32.55400,-14.77600,-17.77800,-17.77800,-17.63700,36.66100,-14.25500,87.55800,87.55800,-0.20000,-0.20000,0.35540,0.98880,91.42890,38.10030,-1.84830,-1.84830,-4.22090,-2.28680,0.22900,8.11310,-141.60110,2.47530,-0.52790,-1.58050,0.14340,0.6657,0.5281
2020-06-30,578.45900,386.29500,192.16400,55.48700,-202.80500,304.07600,-111.91200,-16.29500,-128.20700,-35.77900,-92.42800,-92.42800,-92.25600,-61.29400,-111.91200,87.49600,87.49600,-1.05000,-1.05000,0.40400,0.97580,41.46830,33.22000,-19.34660,-19.34660,-22.16350,-15.94860,0.16850,6.07740,-316.55540,13.10600,-2.69190,-7.65360,0.33360,-0.3626,-0.5729
2020-03-31,1008.33700,628.96200,379.37500,84.80200,-287.87300,420.94300,-41.56810,-12.50100,-54.06900,-19.65500,-34.41400,-34.41400,-38.10700,16.42400,-41.56810,87.12900,87.12900,-0.44000,-0.44000,0.68310,0.93280,14.16610,37.62380,-4.12240,-4.12240,-5.36220,-3.77920,0.26770,9.23760,-34.36480,5.28980,-0.91370,-2.31060,1.14560,0.32470,-0.06820
2019-12-31,1022.18400,611.16810,411.01610,66.12500,-252.09800,367.83800,43.17810,-12.37000,30.80800,1.52200,29.28600,29.28600,28.00400,100.58610,43.17820,88.83900,89.77700,0.34000,0.33000,0.35390,0.85210,5.90880,40.20960,4.22410,4.22410,3.01390,2.73960,0.28450,7.03620,16.50090,-5.03570,0.81520,2.44100,2.04130,1.4654,1.023
2019-09-30,967.14400,588.92700,378.21700,66.57000,-241.76300,356.25900,21.95800,-13.24500,8.71300,-0.66000,9.37300,9.37300,9.24800,75.35800,21.95800,86.84300,87.30500,0.11000,0.11000,0.26760,0.87830,7.38870,39.10660,2.27040,2.27040,0.90090,0.95620,0.27880,8.02590,6.18380,-1.53280,0.27020,0.75290,1.74510,0.6161,0.3278
2019-06-30,1021.93000,613.89200,408.03800,71.95500,-242.83500,364.57800,43.46000,-12.43600,31.02400,1.21500,29.80900,29.80900,29.02100,99.55100,43.46000,90.19400,90.95300,0.32000,0.32000,0.29740,0.87620,7.24430,39.92820,4.25270,4.25270,3.03580,2.83980,0.29100,8.86640,18.79590,-4.86940,0.84880,2.32740,1.82650,0.5509,0.1642
2019-03-31,1128.13100,671.12600,457.00500,70.58900,-254.44000,374.51100,82.49400,-11.34900,71.14500,5.49600,65.64900,65.64900,64.30000,141.01700,82.49400,91.41500,92.66100,0.70000,0.69000,0.30390,0.80440,4.21740,40.50990,7.31250,7.31250,6.30640,5.69970,0.31760,9.17480,26.01370,-12.50060,1.84790,5.08910,2.75360,0.90530,0.42280
2018-12-31,1013.11300,608.46400,404.64920,70.20400,-262.90400,383.22810,21.42100,-11.71300,9.70800,-2.71700,12.42500,12.42500,10.90700,79.24800,21.42110,92.04200,94.07500,0.12000,0.14000,0.42410,0.95120,19.97150,39.94120,2.11440,2.11440,0.95820,1.07660,0.41100,8.35660,22.66640,-1.66870,0.50410,1.10700,0.60060,1.3992,0.7905
2018-09-30,965.02100,596.51600,368.50500,67.69100,-237.70600,355.96790,12.53710,-11.60100,0.93600,-3.31700,4.25300,4.25300,4.07200,68.68210,12.53710,92.20200,93.32400,0.04000,0.04000,0.36810,0.94920,19.13460,38.18620,1.29910,1.29910,0.09700,0.42200,0.41050,12.29550,7.07160,-0.57670,0.18090,0.35920,0.65480,0.6024,0.0621
2018-06-30,1031.81400,624.71100,407.10300,76.12900,-247.26800,374.17900,32.92400,-11.32500,21.59900,-5.12400,26.72300,26.72300,26.72100,90.15500,32.92400,92.12000,94.36100,0.29000,0.28000,0.39300,0.92410,12.46010,39.45510,3.19090,3.19090,2.09330,2.58970,0.43170,12.84330,29.21510,-3.71880,1.11820,2.21720,0.98950,0.5226,0.1121
2018-03-31,1116.46500,663.19400,453.27100,68.69600,-256.08400,374.90000,78.37100,-10.30900,68.06200,1.92500,66.13700,66.13700,65.39800,138.54900,78.37100,92.26800,95.78200,0.71000,0.68000,0.40650,0.91150,10.53340,40.59880,7.01960,7.01960,6.09620,5.85760,0.45490,13.21580,60.99240,-9.16610,2.69480,5.39890,1.18620,0.53800,0.03330
2017-12-31,1076.38000,644.61280,431.76750,91.89600,-274.77700,416.47620,15.29110,-12.66100,2.63000,-10.21500,12.84500,12.84500,11.95200,73.94310,15.29110,96.36500,99.70700,0.16000,0.16000,0.44280,0.93070,13.76450,40.11290,1.42060,1.42060,0.24430,1.11040,0.42020,12.57440,15.81290,-1.70970,0.50140,1.09510,0.88380,1.7705,1.0887
2017-09-30,955.58700,581.95700,373.63000,66.06300,-254.52200,368.41090,5.21910,-3.17400,2.04500,-3.24800,5.29300,5.29300,5.58300,58.42210,5.21910,92.48500,95.65500,0.06000,0.06000,0.36090,0.96890,32.77540,39.09950,0.54620,0.54620,0.21400,0.58420,0.38640,11.40710,14.44830,-0.65640,0.21400,0.44910,0.40180,0.5434,-0.243
2017-06-30,1036.45800,620.98700,415.47100,77.05600,-249.01000,374.12900,41.34200,-2.52200,38.82000,2.98800,35.83200,35.83200,35.13300,95.89200,41.34200,98.85200,102.42100,0.36000,0.34000,0.34950,0.91450,11.12870,40.08570,3.98880,3.98880,3.74540,3.38970,0.41780,11.79840,35.39730,-4.83340,1.44430,3.02820,1.06550,0.5082,-0.0796
2017-03-31,1154.71100,689.14600,465.56510,71.94100,-270.20000,388.73100,76.83410,-9.19200,67.64200,18.00400,49.63800,49.63800,48.62500,132.33010,76.83410,103.07400,106.41300,0.47000,0.46000,0.32310,0.81310,4.57400,40.31880,6.65400,6.65400,5.85790,4.21100,0.45990,13.18640,22.65040,-7.84590,1.97680,4.23260,2.15950,1.27990,0.73260
2016-12-31,1012.51000,599.93190,412.57790,59.31800,-312.62900,420.57910,-8.00090,-12.78200,-20.78300,-15.72400,-5.05900,-5.05900,-6.64300,51.52520,-8.00090,111.38100,114.31100,-0.05000,-0.05000,0.47430,0.84370,5.57700,40.74800,-0.79020,-0.79020,-2.05260,-0.65610,0.38320,9.19700,-2.58970,0.77800,-0.19150,-0.40480,1.87980,0.9911,0.3772
2016-09-30,1005.38700,612.11200,393.27500,65.07200,-247.91800,361.54110,31.73400,-8.55600,23.17800,1.95000,21.22800,21.22800,20.73300,86.91890,31.73400,109.39900,112.43000,0.19000,0.18000,0.37140,0.83200,5.11610,39.11680,3.15640,3.15640,2.30540,2.06220,0.37800,9.20280,8.86130,-3.43910,0.79800,1.48900,2.27730,0.1759,-0.5101
2016-06-30,1078.58800,655.96600,422.62200,68.56600,-291.71900,409.28900,13.33300,-10.30300,3.03000,11.09500,-8.06500,-8.06500,-9.17700,69.76300,13.33300,113.33000,113.33000,-0.08000,-0.08000,0.40860,0.79650,4.00520,39.18290,1.23620,1.23620,0.28090,-0.85080,0.38740,9.69190,-2.60780,1.50180,-0.28970,-0.53070,2.76460,0.7301,0.1262
2016-03-31,1164.18800,698.09300,466.09500,75.02500,-256.73500,379.41100,86.68400,-39.47400,47.21000,11.32700,35.88300,35.88300,34.47500,145.28300,86.68400,117.93000,120.77600,0.29000,0.29000,0.37440,0.76750,3.61040,40.03610,7.44590,7.44590,4.05520,2.96130,0.40350,9.38860,9.77200,-7.60030,1.24360,2.27170,3.19240,1.08240,0.72170
2015-12-31,1049.29900,629.72330,419.57570,68.78200,-269.79590,387.66070,31.91500,-15.16100,16.75400,-2.26300,19.01700,19.01700,17.70200,89.96100,31.91490,122.35200,125.58500,0.16000,0.15000,0.51420,0.75280,3.12130,39.98630,3.04160,3.04150,1.59670,1.68700,0.34600,7.80290,4.50750,-4.46620,0.62710,1.11410,3.53900,1.1638,0.7824
2015-09-30,1026.72100,625.62800,401.09300,69.62300,-245.29100,362.36900,38.72390,-15.11700,23.60700,6.20200,17.40500,17.40500,16.81100,92.15590,38.72390,121.56700,124.73300,0.14000,0.13000,0.67530,0.76750,3.35240,39.06540,3.77160,3.77160,2.29930,1.63730,0.33190,7.86340,4.16870,-3.93420,0.56270,0.96940,3.48660,0.4187,0.0063
2015-06-30,1099.59700,658.49400,441.10310,75.96200,-255.18100,378.51800,62.58510,-15.44800,47.13700,14.08100,33.05600,33.05600,32.22600,117.28310,62.58510,123.04600,126.24200,0.26000,0.26000,0.63560,0.72310,2.66340,40.11500,5.69160,5.69160,4.28680,2.93070,0.34970,9.13710,6.66520,-8.55950,1.05120,1.84540,4.04440,0.8186,0.3033
2015-03-31,1202.05900,711.45400,490.60500,73.24700,-273.17100,392.90400,97.70090,-14.34500,83.35600,21.27400,62.08200,62.08200,60.58800,154.85090,97.70090,125.30200,128.75900,0.48000,0.47000,0.65850,0.71250,2.52740,40.81370,8.12780,8.12780,6.93440,5.04040,0.37580,9.71320,11.96540,-16.10570,1.94090,3.44010,4.19200,0.74530,0.38010
2014-12-31,1108.48600,664.11310,444.37260,82.64900,-273.68700,403.70490,40.66760,-15.52900,25.13900,1.20500,23.93400,23.93400,22.40900,98.21760,40.66790,125.13900,128.31700,0.18000,0.17000,0.71420,0.69790,2.35380,40.08830,3.66880,3.66880,2.26790,2.02160,0.33210,8.21750,4.30120,-6.45950,0.71700,1.29930,4.41800,1.4699,1.0206
2014-09-30,1065.45400,643.84700,421.60700,75.41700,-298.56100,422.72800,-1.12100,-13.81900,-14.94000,-4.11000,-10.83000,-10.83000,-11.44300,53.68200,-1.12100,125.28900,125.28900,-0.09000,-0.09000,0.65920,0.70660,2.47950,39.57060,-0.10520,-0.10520,-1.40220,-1.07400,0.32940,9.94390,-1.90030,2.78130,-0.33480,-0.55760,4.53650,0.5159,-0.0878
2014-06-30,1110.91200,661.32800,449.58400,72.26200,-266.30400,387.19300,62.39100,-25.88400,36.50700,8.78500,27.72200,27.72200,26.39100,117.84700,62.39100,125.22900,128.37800,0.21000,0.21000,0.64820,0.70460,2.42370,40.46980,5.61620,5.61620,3.28620,2.37560,0.34350,10.12180,4.78400,-7.21190,0.85720,1.41320,4.61370,0.446,-0.0033
2014-03-31,1157.85900,685.03200,472.82700,74.05400,-262.58200,382.80100,90.02600,-16.76200,73.26400,18.16400,55.10000,55.10000,53.73300,145.83100,90.02600,124.54200,127.85100,0.43000,0.42000,0.65580,0.72430,2.65030,40.83630,7.77520,7.77520,6.32750,4.64070,0.36080,10.25510,10.39280,-12.88760,1.71720,2.86490,4.22290,0.31150,0.00480
2013-12-31,1050.55500,640.41300,410.14220,69.52100,-266.64610,379.04100,31.10110,18.30100,49.40200,-11.51200,60.91400,60.91400,58.98200,81.49310,31.10090,122.97200,128.07400,0.47000,0.46000,0.64690,0.74440,2.94000,39.04050,2.96040,2.96040,4.70250,5.61440,0.32040,7.94430,12.61920,-12.51980,1.85800,3.22590,3.86840,1.9671,1.3962
2013-09-30,967.56900,591.71400,375.85500,61.82200,-244.38800,346.34500,29.51000,-17.46700,12.04300,-0.09100,12.13400,12.13400,11.29400,75.06300,29.51000,123.74700,129.43900,0.09000,0.09000,0.73290,0.77400,3.45650,38.84530,3.04990,3.04990,1.24470,1.16730,0.32270,8.36740,2.87050,-3.11400,0.40470,0.64870,3.40110,0.2405,-0.2815
2013-06-30,1018.85600,609.48100,409.37500,65.09400,-235.50600,341.48900,67.88610,-32.73400,35.15200,-41.31200,76.46400,76.46400,74.86800,114.71200,67.88610,122.85800,128.33800,0.61000,0.58000,0.79970,0.78570,3.70130,40.17990,6.66300,6.66300,3.45010,7.34820,0.34190,9.38000,19.33480,-18.27460,2.56560,4.14270,3.18920,0.595,0.1704
2013-03-31,1092.25000,649.85600,442.39400,72.49100,-232.84700,345.53400,96.86010,-21.09700,75.76300,10.70700,65.05600,65.05600,63.22300,145.58300,96.86010,121.23800,126.50700,0.52000,0.50000,0.74440,0.82930,4.90350,40.50300,8.86790,8.86790,6.93640,5.78830,0.36970,9.57950,21.77690,-12.52280,2.20200,3.71660,2.43730,0.14310,-0.16640
2012-12-31,998.38700,602.96300,395.42400,66.62200,-236.22000,341.86980,53.55420,-29.69000,23.86400,3.20100,20.66300,20.66300,18.39800,99.67520,53.55420,111.99900,114.82100,0.13000,0.12000,0.70560,0.86980,6.78660,39.60630,5.36410,5.36410,2.39030,1.84280,0.33100,7.71240,9.38350,-3.42930,0.68500,1.22150,1.81770,2.2539,1.8879
2012-09-30,952.91600,579.43100,373.48500,111.63300,-235.05000,385.03000,-11.54500,-30.04600,-41.59100,-7.83600,-33.75500,-33.75500,-35.86600,32.89100,-11.54500,114.33100,114.33100,-0.31000,-0.31000,0.64750,0.87130,7.18280,39.19390,-1.21150,-1.21150,-4.36460,-3.76380,0.32870,7.02930,-15.39630,5.56830,-1.16450,-1.98190,1.81040,0.1706,-0.2494
2012-06-30,980.86600,586.87200,393.99400,72.21600,-233.81100,345.27400,48.72000,-24.22000,24.50000,3.93600,20.56400,20.56400,17.44000,94.52900,48.72000,106.36100,107.38000,0.16000,0.16000,0.91260,0.94280,16.96010,40.16800,4.96700,4.96700,2.49780,1.77800,0.32690,7.91670,19.50290,-2.84840,0.68530,1.11600,0.98750,0.5178,0.0929
2012-03-31,1055.62600,629.36000,426.26600,76.00200,-220.99600,335.85800,90.40800,-23.77100,66.63700,12.80500,53.83200,53.83200,49.99900,138.88200,90.40800,106.33200,107.05800,0.47000,0.47000,0.94610,0.94890,19.18710,40.38040,8.56440,8.56440,6.31260,4.73640,0.34760,9.20200,56.59140,-7.30920,1.77240,2.89140,0.89300,0.01960,-0.28650
2011-12-31,955.63800,576.85000,378.78800,278.71000,-195.58500,317.85000,60.93810,-21.48000,39.48000,6.23000,33.25000,30.53100,30.53100,108.25200,60.93810,106.22400,106.68900,0.28000,0.28000,0.74050,0.97780,52.34360,39.63840,6.37670,6.37670,4.13130,3.19480,0.28490,8.33320,75.76500,-3.84220,0.91030,1.68060,0.37810,2.0252,0.9156
2011-09-30,928.27500,562.48500,365.79000,76.88100,-230.06000,344.74800,21.04210,-19.44000,1.60200,0.23400,1.36800,1.36800,0.57900,65.35110,21.04210,106.33300,106.73100,0.01000,0.01000,,,,39.40540,2.26680,2.26680,0.17260,0.06240,,,,,,,,0.0392,0.3674
2011-06-30,955.50200,580.31700,375.18500,69.54800,-226.42000,334.43100,40.75400,-20.13300,20.62100,4.17800,16.44300,16.44300,14.00300,86.04700,40.75400,106.13500,106.21400,0.13000,0.13000,,,,39.26580,4.26520,4.26520,2.15810,1.46550,,,,,,,,0.567,-0.3235
2011-03-31,1001.84900,600.57100,401.27800,61.57800,-210.71900,310.58500,90.69300,-21.49600,69.19700,11.08200,58.11500,58.11500,54.89200,137.81700,90.69300,106.09300,106.52600,0.52000,0.52000,,,,40.05370,9.05260,9.05260,6.90690,5.47910,,,,,,,,0.39090,0.16140
2010-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2009-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
