Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa,roi,book-value-per-share
2022-03-31,23.93310,23.93310,0.91860,23.01450,23.01450,23.01450,23.01450,23.01450,23.01450,23.01450,14.57900,14.57900,1.58000,1.58000,5.86830,100.00000,96.16190,96.16190,96.16190,96.16190,1.54590,178.88460,148.65720,178.88460,0.88250
2021-12-31,23.72540,23.72540,0.76430,22.96110,22.96110,22.96110,22.96110,22.96110,22.96110,22.96110,14.57900,14.57900,1.59000,1.59000,11.44910,100.00000,96.77860,96.77860,96.77860,96.77860,1.45380,154.04600,140.70000,154.04600,1.02240
2021-09-30,14.48870,14.48870,0.71200,13.77670,13.77670,13.77670,13.77670,13.77670,13.77670,13.77670,14.57900,14.57900,0.94000,0.94000,4.79320,100.00000,95.08580,95.08580,95.08580,95.08580,1.65390,197.87520,157.26330,197.87520,0.47760
2021-06-30,12.95190,12.95190,0.79290,12.15900,12.15900,12.15900,12.15900,12.15900,12.15900,12.15900,14.57900,14.57900,0.83000,0.83000,4.42070,100.00000,93.87810,93.87810,93.87810,93.87810,1.70970,206.24380,160.50590,206.24380,0.40440
2021-03-31,9.74400,9.74400,0.78500,8.95910,8.95910,8.95910,8.95910,8.95910,8.95910,8.95910,14.57900,14.57900,0.61000,0.61000,5.21430,100.00000,91.94390,91.94390,91.94390,91.94390,1.53390,173.50110,141.03720,173.50110,0.35420
2020-12-31,6.86130,6.86130,0.71450,6.14680,6.14680,6.14680,6.14680,6.14680,6.14680,6.14680,14.57900,14.57900,0.42000,0.42000,4.96170,100.00000,89.58700,89.58700,89.58700,89.58700,1.38510,154.15020,124.09020,154.15020,0.27350
2020-09-30,8.24920,8.24920,0.79620,7.45300,7.45300,7.45300,7.45300,7.45300,7.45300,7.45300,14.57900,14.57900,0.51000,0.51000,7.27210,100.00000,90.34780,90.34780,90.34780,90.34780,1.67910,174.96170,151.70480,174.96170,0.29220
2020-06-30,9.94200,9.94200,0.64020,9.30180,9.30180,9.30180,9.30180,9.30180,9.30180,9.30180,14.57900,14.57900,0.64000,0.64000,5.50030,100.00000,93.56060,93.56060,93.56060,93.56060,1.35520,154.17330,126.79760,154.17330,0.41380
2020-03-31,11.31140,11.31140,0.90630,10.40500,10.40500,10.40500,10.40500,10.40500,10.40500,10.40500,14.57900,14.57900,0.71000,0.71000,2.34990,100.00000,91.98730,91.98730,91.98730,91.98730,1.32410,208.78840,121.80070,208.78840,0.34180
2019-12-31,11.50100,11.50100,0.59130,10.90980,10.90980,10.90980,10.90980,10.90980,10.90980,10.90980,14.57900,14.57900,0.75000,0.75000,5.32100,100.00000,94.85910,94.85910,94.85910,94.85910,1.66400,193.16940,157.84270,193.16940,0.38740
2019-09-30,11.15410,11.15410,0.81790,10.33620,10.33620,10.33620,10.33620,10.33620,10.33620,10.33620,14.57900,14.57900,0.71000,0.71000,2.26390,100.00000,92.66770,92.66770,92.66770,92.66770,1.34560,219.34370,124.69040,219.34370,0.32320
2019-06-30,10.49660,10.49660,0.55500,9.94160,9.94160,9.94160,9.94160,9.94160,9.94160,9.94160,14.57900,14.57900,0.68000,0.68000,2.01930,100.00000,94.71280,94.71280,94.71280,94.71280,1.42750,260.90570,135.20280,260.90570,0.26140
2019-03-31,13.74180,13.74180,0.89340,12.84840,12.84840,12.84840,12.84840,12.84840,12.84840,12.84840,14.57900,14.57900,0.88000,0.88000,3.90660,100.00000,93.49900,93.49900,93.49900,93.49900,1.61780,201.62350,151.26250,201.62350,0.43710
2018-12-31,16.64000,16.64000,0.56320,16.07680,16.64000,16.64000,16.64000,16.13200,16.07680,16.64000,14.66550,14.66550,1.10000,1.10000,2.43550,100.00000,96.61540,100.00000,100.00000,96.94710,1.75820,293.66780,175.81710,293.66790,0.38870
2018-09-30,11.89270,11.89270,0.57140,11.32130,11.32130,11.32130,11.32130,11.32130,11.32130,11.32130,14.57900,14.57900,0.78000,0.78000,2.27550,100.00000,95.19530,95.19530,95.19530,95.19530,1.29200,215.37790,122.99430,215.37790,0.36060
2018-06-30,13.16940,13.16940,0.62540,12.54390,12.54390,12.54390,12.54390,12.54390,12.54390,12.54390,14.57900,14.57900,0.86000,0.86000,3.38980,100.00000,95.25080,95.25080,95.25080,95.25080,1.75160,233.68330,166.84170,233.68330,0.36820
2018-03-31,10.77070,10.77070,0.83860,9.93210,9.93210,9.93210,9.93210,9.93210,9.93210,9.93210,14.57900,14.57900,0.68000,0.68000,4.21240,100.00000,92.21400,92.21400,92.21400,92.21400,1.55170,185.66240,143.09160,185.66240,0.36690
2017-12-31,9.01300,9.01300,,9.01300,9.01300,9.01300,9.01300,8.50100,9.01300,9.01300,14.40850,14.40850,0.59000,0.59000,6.91100,100.00000,100.00000,100.00000,100.00000,94.31930,1.69090,196.17430,169.09100,196.17430,0.31510
2017-09-30,9.09800,9.09800,,9.09800,9.09800,9.09800,9.09800,8.52100,9.09800,9.09800,14.69140,14.69140,0.58000,0.58000,2.53420,100.00000,100.00000,100.00000,100.00000,93.65800,1.62460,260.80730,162.45710,260.80730,0.23930
2017-06-30,8.57000,8.57000,,8.57000,8.57000,8.57000,8.57000,7.90000,8.57000,8.57000,14.62960,14.62960,0.54000,0.54000,4.15240,100.00000,100.00000,100.00000,100.00000,92.18200,1.81450,234.96970,181.45230,234.96970,0.25020
2017-03-31,10.48200,10.48200,,10.48200,10.48200,10.48200,10.48200,9.80700,10.48200,10.48200,14.63730,14.63730,0.67000,0.67000,13.17030,100.00000,100.00000,100.00000,100.00000,93.56040,1.54370,166.52550,154.37300,166.52550,0.43180
2016-12-31,7.50990,7.50990,0.58360,6.92630,6.92630,6.92630,6.92630,6.92630,6.92630,6.92630,14.57900,14.57900,0.48000,0.48000,6.11620,100.00000,92.22900,92.22900,92.22900,92.22900,1.43470,156.58780,132.32240,156.58780,0.30340
2016-09-30,9.04580,9.04580,0.51900,8.52680,8.52680,8.52680,8.52680,8.52680,8.52680,8.52680,14.57900,14.57900,0.58000,0.58000,5.90610,100.00000,94.26280,94.26280,94.26280,94.26280,1.60860,180.71340,151.62830,180.71330,0.32360
2016-06-30,6.50520,6.50520,0.65100,5.85420,5.85420,5.85420,5.85420,5.85420,5.85420,5.85420,14.57900,14.57900,0.40000,0.40000,2.91230,100.00000,89.99210,89.99210,89.99210,89.99220,1.33820,177.86050,120.42530,177.86050,0.22580
2016-03-31,6.96980,6.96980,0.80110,6.16870,6.16870,6.16870,6.16870,6.16870,6.16870,6.16870,14.57900,14.57900,0.42000,0.42000,3.25560,100.00000,88.50580,88.50580,88.50580,88.50580,1.47760,183.58610,130.77740,183.58610,0.23050
2015-12-31,9.43110,9.43110,0.48770,8.94340,8.94340,8.94340,8.94340,8.94340,8.94340,8.94340,14.57900,14.57900,0.61000,0.61000,6.21980,100.00000,94.82870,94.82870,94.82870,94.82870,1.54270,172.64320,146.29080,172.64320,0.35530
2015-09-30,13.55030,13.55030,0.57730,12.97290,12.97290,12.97290,12.97290,12.97290,12.97290,12.97290,14.57900,14.57900,0.89000,0.89000,2.69190,100.00000,95.73950,95.73950,95.73950,95.73950,2.38980,352.31060,228.79820,352.31060,0.25260
2015-06-30,10.29430,10.29430,0.81040,9.48390,9.48390,9.48390,9.48390,9.48390,9.48390,9.48390,14.57900,14.57900,0.65000,0.65000,3.57500,100.00000,92.12810,92.12810,92.12810,92.12810,2.27100,282.39730,209.22060,282.39720,0.23040
2015-03-31,15.11110,15.11110,0.54670,14.56440,14.56440,14.56440,14.56440,14.56440,14.56440,14.56440,14.57900,14.57900,1.00000,1.00000,4.83860,100.00000,96.38210,96.38210,96.38210,96.38210,2.73800,327.30630,263.89570,327.30630,0.30520
2014-12-31,12.34830,12.34830,0.51290,11.83540,11.83540,11.83540,11.83540,11.83540,11.83540,11.83540,14.57900,14.57900,0.82000,0.82000,2.80860,100.00000,95.84640,95.84630,95.84630,95.84630,1.80390,260.96280,172.89590,260.96280,0.31110
2014-09-30,18.42780,18.42780,0.46910,17.95870,17.95870,17.95870,17.95870,17.95870,17.95870,17.95870,14.57900,14.57900,1.23000,1.23000,4.44740,100.00000,97.45440,97.45440,97.45440,97.45440,1.98550,246.81000,193.49510,246.80990,0.49910
2014-06-30,16.54000,16.54000,0.81340,15.72660,15.72660,15.72660,15.72660,15.72660,15.72660,15.72660,14.57900,14.57900,1.08000,1.08000,7.28020,100.00000,95.08230,95.08230,95.08230,95.08230,3.41770,372.06540,324.95940,372.06540,0.28990
2014-03-31,13.77660,13.77660,0.60930,13.16730,13.16730,13.16730,13.16730,13.16730,13.16730,13.16730,14.57900,14.57900,0.90000,0.90000,4.76890,100.00000,95.57730,95.57730,95.57730,95.57730,1.65910,198.17090,158.56870,198.17090,0.45580
2013-12-31,14.17610,14.17610,0.43250,13.74360,13.74360,13.74360,13.74360,13.74360,13.74360,13.74360,14.57900,14.57900,0.95000,0.95000,4.98110,100.00000,96.94920,96.94920,96.94920,96.94920,2.04000,243.91820,197.77790,243.91820,0.38650
2013-09-30,17.24690,17.24690,0.41600,16.83090,16.83090,16.83090,16.83090,16.83090,16.83090,16.83090,14.57900,14.57900,1.15000,1.15000,5.28490,100.00000,97.58810,97.58810,97.58810,97.58810,2.31750,275.34160,226.16210,275.34160,0.41930
2013-06-30,13.85890,13.85890,0.72190,13.13710,13.13710,13.13710,13.13710,13.13710,13.13710,13.13710,14.57900,14.57900,0.90000,0.90000,11.61320,100.00000,94.79140,94.79140,94.79140,94.79140,2.64600,272.34550,250.81410,272.34550,0.33090
2013-03-31,15.50350,15.50350,0.49570,15.00780,15.00780,15.00780,15.00780,15.00780,15.00780,15.00780,14.57900,14.57900,1.03000,1.03000,15.87680,100.00000,96.80270,96.80270,96.80270,96.80270,2.14040,220.22840,207.20020,220.22840,0.46740
2012-12-31,11.97670,11.97670,0.52570,11.45090,11.45090,11.45090,11.45090,11.45090,11.45090,11.45090,14.57900,14.57900,0.79000,0.79000,4.04100,100.00000,95.61040,95.61040,95.61040,95.61040,2.27890,281.53520,217.88800,281.53520,0.27900
2012-09-30,12.35640,12.35640,0.43790,11.91850,11.91850,11.91850,11.91850,11.91850,11.91850,11.91850,14.57900,14.57900,0.82000,0.82000,9.20930,100.00000,96.45650,96.45650,96.45650,96.45640,2.94790,314.85280,284.34160,314.85280,0.25960
2012-06-30,15.11020,15.11020,0.81060,14.29960,14.29960,14.29960,14.29960,14.29960,14.29960,14.29960,14.57900,14.57900,0.98000,0.98000,9.45020,100.00000,94.63550,94.63550,94.63550,94.63550,2.32230,243.69850,219.76940,243.69850,0.40250
2012-03-31,15.21270,15.21270,0.56150,14.65120,14.65120,14.65120,14.65120,14.65120,14.65120,14.65120,14.57900,14.57900,1.00000,1.00000,11.07750,100.00000,96.30900,96.30900,96.30900,96.30900,2.12840,223.80550,204.98260,223.80550,0.44900
2011-12-31,13.48600,13.48600,0.49470,12.99130,12.99130,12.99130,12.99130,12.99130,12.99130,12.99130,14.57900,14.57900,0.89000,0.89000,11.44810,100.00000,96.33170,96.33170,96.33170,96.33170,2.15540,225.76540,207.63570,225.76540,
2011-09-30,17.15230,17.15230,0.44820,16.70410,16.70410,16.70410,16.70410,16.70410,16.70410,16.70410,14.57900,14.57900,1.15000,1.15000,13.57640,100.00000,97.38670,97.38670,97.38670,97.38670,2.85240,297.85030,277.78840,297.85030,0.38470
2011-06-30,16.37200,16.37200,0.68190,15.69020,15.69020,15.69020,15.69020,15.69020,15.69020,15.69020,14.57900,14.57900,1.08000,1.08000,12.94470,100.00000,95.83500,95.83500,95.83500,95.83510,2.35650,243.17340,225.83230,243.17340,0.44260
2011-03-31,13.67850,13.67850,0.50460,13.17390,13.17390,13.17390,13.17390,13.17390,13.17390,13.17390,14.57900,14.57900,0.90000,0.90000,8.60500,100.00000,96.31120,96.31120,96.31120,96.31120,1.78380,192.56100,171.79890,192.56100,0.46930
2010-12-31,13.56780,13.56780,0.50170,13.06620,13.06620,13.06620,13.06620,13.06620,13.06620,13.06620,14.58820,14.58820,0.89000,0.89000,17.33040,100.00000,96.30260,96.30260,96.30260,96.30260,2.53000,256.89070,243.64870,256.89070,
2010-09-30,14.11510,14.11510,0.43410,13.68100,13.68100,13.68100,13.68100,13.68100,13.68100,13.68100,14.57900,14.57900,0.94000,0.94000,15.37770,100.00000,96.92490,96.92490,96.92490,96.92490,2.52670,260.05060,244.90120,260.05060,0.36090
2010-06-30,14.03200,14.03200,0.61090,13.42110,13.42110,13.42110,13.42110,13.42110,13.42110,13.42110,14.57900,14.57900,0.92000,0.92000,15.50020,100.00000,95.64640,95.64640,95.64640,95.64640,2.26670,230.20410,216.80220,230.20420,0.39990
2010-03-31,14.37590,14.37590,0.56770,13.80820,13.80820,13.80820,13.80820,13.80820,13.80820,13.80820,14.57900,14.57900,0.95000,0.95000,15.32860,100.00000,96.05120,96.05120,96.05120,96.05120,1.78400,182.32130,171.35200,182.32130,0.51950
2009-12-31,9.73800,9.73800,0.51000,9.22800,9.25000,9.25000,9.23600,9.23600,9.22800,9.22800,14.43100,14.43100,0.64000,0.64000,14.89870,100.22590,94.76280,94.76280,94.98870,94.84490,1.76300,177.73440,167.20800,177.73440,
2009-09-30,10.23990,10.23990,0.45550,9.78440,9.78440,9.78440,9.78440,9.78440,9.78440,9.78440,14.57900,14.57900,0.67000,0.67000,9.53660,100.00000,95.55220,95.55220,95.55220,95.55220,2.23580,234.63900,213.63420,235.20300,
2009-06-30,10.63970,10.63970,0.69060,9.94910,9.94910,9.94910,9.94910,9.94910,9.94910,9.94910,14.57900,14.57900,0.68000,0.68000,12.60530,100.00000,93.50910,93.50910,93.50910,93.50910,1.94160,203.87520,181.55310,204.29390,
2009-03-31,10.89610,10.89610,0.61960,10.27650,10.27650,10.27650,10.27650,10.27650,10.27650,10.27650,14.57900,14.57900,0.70000,0.70000,4.64000,100.00000,94.31390,94.31390,94.31390,94.31390,2.03660,248.82600,192.08440,248.82600,
