Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-09-30,,,,59.38700,45.51000,,,-107.00600,26.13100,-80.87500,,-80.87500,-80.87500,-80.87500,-104.89600,-107.00600,9.93870,9.93870,-8.04600,-8.04600,4.03770,,,,,,,,,,-17.52560,-17.52560,-13.16010,-17.52560,44.64780,-7.1498,-11.6904
2021-06-30,,,,57.63800,44.62500,,,-104.34600,-8.20800,-112.55400,,-112.55400,-112.55400,-112.55400,-102.26300,-104.34600,9.87140,9.87140,-11.49430,-11.49430,4.96280,,,,,,,,,,-21.51110,-21.51110,-15.81870,-21.51110,50.63250,-5.5066,-7.171
2021-03-31,,,,39.31900,55.62700,,,-97.07000,81.84300,-15.22700,,-15.22700,-15.22700,-15.22700,-94.94600,-97.07000,9.77860,9.77860,-1.60920,-1.60920,18.04610,0.01120,0.01140,,,,,,,,-2.49510,-2.49510,-2.12120,-2.46700,59.07130,-5.51700,-6.75520
2020-12-31,,,,90.00400,35.71400,,,-127.66400,118.50100,-9.16300,,-9.16100,-9.16100,-9.16500,-125.71800,-127.66400,4.80140,4.80140,1.37930,1.37930,25.43720,0.01210,0.01230,,,,,,,,-1.62070,-1.62070,-1.21580,-1.60110,55.11730,-9.4292,-10.7643
2020-09-30,2.55000,0.67000,1.88000,18.92300,8.40500,,29.06600,-27.18600,3.79600,-23.39000,,-23.39000,-23.39000,-23.39000,-25.44800,-27.18600,5.05870,5.05870,-4.59770,-4.59770,0.08000,,,73.72550,-1066.11800,-1066.11800,-917.25490,-917.25490,0.00830,,-467.80000,-467.80000,-7.61960,-467.80000,12.88880,-1.2509,-1.2211
2020-06-30,,,,14.64200,3.41100,,,-19.80900,-3.43200,-23.24100,,-23.24100,-23.24100,-23.24100,-18.05300,-19.80900,3.64270,3.64270,-6.43680,-6.43680,0.25890,,,,,,,,,,-464.82000,-464.82000,-7.51010,-464.82000,13.30970,-5.0057,-5.0687
2020-03-31,,,,19.29300,4.08100,,,-25.05900,-5.83100,-30.89000,,-30.89000,-30.89000,-30.89000,-23.37400,-25.05900,3.58630,3.58630,-8.50570,-8.50570,0.32770,,,,,,,,,,-617.80000,-617.80000,-9.96240,-617.80000,13.37160,-6.61040,-6.81620
2019-12-31,,,,,28.75100,,,-170.85800,-12.82900,-183.68700,,-182.85200,-182.85200,-182.85200,-170.85800,-170.85800,3.19830,3.19830,-57.47130,-57.47130,3.00760,2.85100,-1.54030,,,,,,,,327.29300,327.29290,-253.67920,-605.81120,-11.80030,-52.6832,-59.6068
2019-09-30,,,,,2.33000,,,-2.33000,1.74400,-0.58600,0.35500,-0.94100,-0.94100,-0.94100,-2.33000,-2.33000,1.63210,1.63210,-0.68970,-0.68970,0.62190,,,,,,,,,,-18.82000,-18.82000,-0.30580,-18.82000,13.10930,-0.3585,-0.3585
2019-06-30,,,,,0.36000,,,-0.36000,1.85500,1.49500,0.38000,1.11500,1.11500,1.11500,-0.36000,-0.36000,1.63210,1.63210,0.91950,0.91950,11.39160,,,,,,,,,,22.30000,22.30000,0.36360,22.30000,13.24990,-0.4785,-0.4785
2019-03-31,,,,,0.11200,,,-0.11200,0.53000,0.41800,0.10000,0.31800,0.31800,0.31800,-0.11200,-0.11200,1.63210,1.63210,0.22990,0.22990,7.54020,,,,,,,,,,6.36000,6.36000,0.10400,6.36000,13.08400,-0.08640,-0.08640
2018-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
