Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.41900,0.41900,51.66700,16.06800,4.59500,-62.72100,0.67500,-62.04600,-62.04600,-62.04600,-62.04600,-61.06500,-62.72100,108.29300,108.29300,-0.57000,-0.57000,21.96660,100.00000,-14969.21000,-14969.21000,-14808.11000,-14808.11000,0.00040,1.55760,57.78040,-7.36910,-7.38930,-6.53200,-7.36910,7.76490,-0.45410,-0.47990
2021-12-31,0.56700,0.56700,51.90700,15.54700,-0.83600,-67.72300,0.26700,-67.45600,-67.45600,-67.45600,-67.45600,-66.00800,-67.72300,95.13700,95.13700,-0.59000,-0.59000,40.13990,100.00000,-11944.10000,-11944.10000,-11897.01000,-11897.00000,0.00060,1.40690,63.96830,-7.51340,-7.53270,-6.68910,-7.51340,8.29690,-0.4078,-0.4163
2021-09-30,0.66600,0.66600,44.97400,14.68200,-2.00000,-60.99000,0.15700,-60.83300,-60.83300,-60.83300,-60.83300,-59.30800,-60.99000,92.69300,92.69300,-0.66000,-0.66000,22.41680,100.00000,-9157.65700,-9157.65700,-9134.08400,-9134.08400,0.00100,0.82840,108.64870,-10.65210,-10.69520,-9.05770,-10.65210,6.15400,-0.5755,-0.5942
2021-06-30,0.84400,0.84400,45.14700,14.42200,-11.85500,-193.58000,0.18100,-193.39900,-193.39900,-193.39900,-193.39900,-192.07200,-193.58000,91.93900,91.93900,-2.10000,-2.10000,26.83770,100.00000,-22936.02000,-22936.02000,-22914.57000,-22914.57000,0.00120,3.02510,29.75120,-31.26760,-31.38430,-27.07150,-31.26760,6.68300,-0.3159,-0.3199
2021-03-31,0.95200,0.95200,30.62200,12.73500,,-42.40500,0.22100,-42.18400,-42.18400,-42.18400,-42.18400,-41.33300,-42.40500,90.19800,90.19800,-0.47000,-0.47000,46.16270,100.00000,-4454.30700,-4454.30700,-4431.09200,-4431.09200,0.00120,,,-5.75670,-5.75670,-5.46890,-5.75670,8.10340,0.51710,0.51180
2020-12-31,,,32.12000,15.54600,,-47.66600,0.28800,35.27600,35.27600,35.27600,35.27600,-46.74000,34.98800,42.61960,42.61960,9.65000,9.65000,56.49210,,,,,,,,,4.62160,4.62160,4.41040,4.62160,8.48980,-1.4613,-1.4804
2020-09-30,,,24.37600,12.23100,,-36.60700,0.52900,-36.07800,-36.07800,-36.07800,-213.86700,-35.68600,-36.60700,71.24900,71.24900,-3.00000,-3.00000,46.07750,,,,,,,,,-5.05630,-5.05630,-4.79960,-5.05630,7.94540,8.852,9.1511
2020-06-30,,,21.66600,6.05300,,-27.71900,0.99500,-26.72400,-26.72400,-26.72400,-26.72400,-26.97100,-27.71900,4.40800,4.40800,-6.06000,-6.06000,24.74460,,,,,,,,,11.85670,11.85670,-7.67850,11.85670,-49.07290,-4.4189,-4.4986
2020-03-31,,,21.70000,4.75800,,-26.45800,1.57200,-24.88600,-24.88600,-24.88600,-24.88600,-25.92000,-26.45800,4.15400,4.15400,-5.99000,-5.99000,,,,,,,,,,,,,,,-5.37650,-5.62210
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,12.1969,14.2733
2019-09-30,,,18.25600,3.65200,,-21.90800,2.23500,-19.67300,-19.67300,-19.67300,-19.67300,-22.41200,-21.90800,3.55600,3.55600,-5.53000,-5.53000,,,,,,,,,,,,,,,-4.4074,-4.9791
2019-06-30,,,16.39700,3.50800,,-19.90500,2.36800,-17.53700,-17.53700,-17.53700,-17.53700,-19.90500,-19.90500,3.32100,3.32100,-5.28000,-5.28000,,,,,,,,,,,,,,,-7.7895,-9.2942
