Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,4.61840,4.86360,-0.08840,-9.57040,0.22050,-9.34990,0.00400,-9.35390,-9.35390,-9.35390,-9.54280,-9.57040,20.82200,20.82200,-0.45000,-0.45000,27.98660,,,-23.22340,-23.33440,-22.38050,-23.22340,1.93420,-0.2869,-0.2869
2019-12-31,2.58710,2.13920,-0.21550,-4.94180,0.05050,-4.89130,-0.27800,-4.61330,-4.61330,-4.61330,-4.91420,-4.94180,20.76200,20.76200,-0.22000,-0.22000,38.03920,,,-10.02240,-10.06530,-9.73990,-10.02240,2.21700,-0.16190,-0.16190
2019-09-30,2.00480,1.23270,-0.11870,-3.35610,0.04160,-3.31450,0.00000,-3.31450,-3.31450,-3.31450,-3.35610,-3.35610,8.43300,8.43300,-0.02000,-0.02000,9.74020,,0.07570,-6.76680,-6.76680,-6.07350,-6.76680,2.35920,-0.3405,-0.3405
2019-06-30,1.95110,1.21320,-0.13930,-3.30360,0.01780,-3.28580,0.01600,-3.30180,-3.30180,-3.30180,-3.29900,-3.30360,6.38400,6.38400,-0.52000,-0.52000,1.05590,0.69420,7.09930,-533.58540,-798.51980,-46.68680,-163.16440,0.07770,-0.3823,-0.3823
2019-03-31,1.45410,1.76220,-0.16730,-3.38360,-0.03390,-3.41750,0.01230,-3.42980,-3.42980,-3.42980,-3.37910,-3.38360,6.31100,6.31100,-0.54000,-0.54000,2.43920,0.37430,1.38000,-93.60410,-99.29150,-35.68080,-58.56450,0.58060,-0.4363,-0.4363
2018-12-31,1.28630,1.24710,-0.17740,-2.71090,0.00980,-2.70110,0.00970,-2.71080,-2.71080,-2.71080,-2.70630,-2.71090,6.30500,6.30500,-0.43000,-0.43000,3.54300,0.29370,0.83980,-39.99640,-41.30340,-20.51300,-28.25110,1.07390,-0.29350,-0.29350
2018-09-30,0.92680,1.21120,-0.20730,-2.34530,0.07360,-2.27170,0.00470,-2.27640,-2.27640,-2.27640,-2.34070,-2.34530,4.56700,4.56700,0.22000,0.22000,4.66360,0.27670,0.69020,-24.87340,-25.48330,-14.21250,-17.99110,1.58450,-0.8551,-0.8551
2018-06-30,0.98780,1.57940,-0.22300,-2.79020,-0.06760,-2.85780,0.02230,-2.88010,-2.88010,-2.88010,-2.78030,-2.79020,5.77600,5.77600,-0.50000,-0.50000,5.31780,0.27230,0.63190,-26.32950,-26.87900,-15.55780,-19.15890,1.89380,-0.4031,-0.4031
2018-03-31,1.98910,2.17970,-0.23680,-4.40570,0.02270,-4.38300,,-4.38300,-4.38300,-4.38300,-4.39570,-4.40570,5.28800,5.28800,-0.83000,-0.83000,5.29020,0.26110,0.56020,-32.77120,-33.34000,-19.62450,-24.21620,2.31550,0.356,0.356
2017-12-31,0.96960,0.95840,-0.24480,-2.17280,0.08280,-2.08990,,-2.08990,-2.08990,-2.08990,-2.16280,-2.17280,1.45500,1.45500,-1.44000,-1.44000,0.62030,-5.46200,-1.27550,33.08240,31.90690,-60.87380,213.77830,-4.34170,-1.33520,-1.33520
