Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,2150.60700,2150.60700,548.55510,-1160.03300,403.67110,-21.66100,382.01000,101.14100,280.86900,280.86900,279.86200,452.34110,403.67100,112.70000,113.00000,2.48000,2.47000,0.20540,18.77010,18.77010,17.76290,13.01320,0.16810,5.70640,8.38670,2.19500,5.70640,44.58330,3.5665,3.3696
2020-09-30,1913.72100,1913.72100,511.29800,-1011.69500,352.50100,-109.13000,243.37100,59.78000,183.59100,183.59100,182.27900,399.24400,352.50100,112.58400,112.84300,1.62000,1.62000,0.21370,18.41970,18.41970,12.71720,9.52480,0.15140,3.87740,5.76790,1.45260,3.87740,42.41060,2.7662,2.47
2020-06-30,1608.72900,1608.72900,451.48700,-861.17400,255.09200,-29.79700,225.29500,53.60100,171.69400,171.69400,170.65500,306.27800,255.09200,112.30900,112.55500,1.52000,1.52000,0.22090,15.85670,15.85670,14.00450,10.60810,0.13090,3.75240,5.75440,1.39720,3.75240,41.02990,3.0571,2.7975
2020-03-31,1412.94300,1412.94300,429.66000,-850.09800,101.73600,-29.41200,72.32400,8.47800,63.84600,63.84600,63.20400,143.13700,101.73600,113.55600,113.95900,0.56000,0.55000,0.19390,7.20030,7.20030,5.11870,4.47320,0.12100,1.46140,2.27740,0.54680,1.46140,39.21240,0.21200,0.07970
2019-12-31,1728.60300,1728.60300,476.67800,-899.91100,320.55080,-32.05600,288.49500,63.73700,224.75800,224.75800,223.58800,360.36780,320.55100,113.10000,113.70000,1.99000,1.96000,0.16460,18.54390,18.54390,16.68950,12.93460,0.15010,5.07930,7.06280,1.95120,5.07930,39.34170,2.6521,2.406
2019-09-30,1671.19600,1671.19600,470.68300,-891.75900,277.03500,-31.69700,245.33800,57.17100,188.16700,188.16700,187.18200,316.03100,277.03500,113.16300,113.74100,1.65000,1.65000,0.17150,16.57710,16.57710,14.68040,11.20050,0.14160,4.43140,6.26470,1.59410,4.43140,37.79930,2.7248,2.513
2019-06-30,1498.62000,1498.62000,447.02700,-760.56400,258.14490,-28.64800,229.49700,42.22600,187.27100,187.27100,186.65500,296.93390,258.14490,113.05000,113.49800,1.65000,1.64000,0.17850,17.22550,17.22550,15.31390,12.45510,0.13100,4.58100,6.59090,1.63650,4.58100,36.42970,2.3486,2.1159
2019-03-31,1303.58100,1303.58100,411.61200,-690.76600,168.26900,-26.59900,141.67000,31.86600,109.80400,109.80400,109.57500,206.66700,168.26900,112.70300,113.22400,0.97000,0.97000,0.18840,12.90820,12.90820,10.86780,8.40570,0.11680,2.82960,4.17080,0.98390,2.82960,34.62540,0.30440,0.06270
2018-12-31,1417.11300,1417.11300,436.49400,-799.38890,147.83750,-28.91900,118.91800,25.74400,93.17400,93.17400,91.64900,187.70350,147.83750,112.61300,113.27900,0.81000,0.81000,0.19540,10.43230,10.43230,8.39160,6.46730,0.13330,2.48770,3.73920,0.87650,2.48770,33.59210,2.7249,2.4604
2018-09-30,1542.18600,1542.18600,449.83900,-835.48700,225.13110,-29.54400,195.58700,44.12600,151.46100,151.46100,151.48000,263.93010,225.13110,112.72200,113.36500,1.34000,1.34000,0.20000,14.59820,14.59820,12.68250,9.82240,0.13550,4.12030,6.26060,1.33090,4.12030,32.88400,2.0307,1.7534
2018-06-30,1491.15700,1491.15700,448.97400,-782.10400,229.02100,-27.05300,201.96800,46.87700,155.09100,155.09100,155.14000,266.78700,229.02100,112.55600,113.11700,1.38000,1.37000,0.20620,15.35860,15.35860,13.54440,10.40400,0.14970,4.34280,6.74310,1.55720,4.34280,31.98360,1.8644,1.5749
2018-03-31,1297.38800,1297.38800,413.64200,-735.69700,118.30190,-25.23700,93.06500,16.89300,76.17200,76.17200,76.22700,154.79190,118.30190,112.23200,113.03500,0.68000,0.67000,0.21060,9.11850,9.11850,7.17330,5.87540,0.13590,2.19360,3.39590,0.79790,2.19360,31.13040,0.38190,0.19320
2017-12-31,1481.32300,1481.32300,435.96880,-827.80910,185.78390,-26.44900,159.33500,-61.37800,220.71300,220.71300,221.12700,223.74290,185.78370,111.66800,112.43500,1.98000,1.96000,0.21040,12.54180,12.54170,10.75630,14.92770,0.15470,6.33680,9.72260,2.30550,6.33680,31.39980,1.5758,1.2986
2017-09-30,1519.56800,1519.56800,443.99200,-992.60700,46.96900,-29.00700,17.96200,-3.22400,21.18600,21.18600,21.38300,91.31600,46.96900,111.79900,112.57500,0.19000,0.19000,0.22260,3.09090,3.09090,1.18200,1.40720,0.16260,0.64230,1.01960,0.22670,0.64230,29.76440,1.9554,1.6673
2017-06-30,1454.42900,1454.42900,436.44100,-777.52000,210.32300,-26.16900,184.15400,62.25900,121.89500,121.89500,122.25700,247.70700,210.32300,111.54900,112.19900,1.10000,1.09000,0.22960,14.46090,14.46090,12.66160,8.40580,0.15620,3.81140,5.83670,1.30870,3.81140,28.88480,2.0368,1.7646
2017-03-31,1317.04300,1317.04300,407.13700,-771.71600,108.04300,-24.16300,83.88000,25.81100,58.06900,58.06900,58.28200,147.61700,108.04300,111.17900,111.82200,0.52000,0.52000,0.23900,8.20350,8.20350,6.36880,4.42520,0.14840,1.88680,2.93010,0.65430,1.88680,27.84440,0.05420,-0.21320
2016-12-31,1504.25700,1504.25700,416.03490,-952.17600,107.90440,-26.45300,81.45100,0.49000,80.96100,80.96100,81.02300,144.10440,107.90430,110.54800,111.15600,0.73000,0.74000,0.24440,7.17330,7.17330,5.41470,5.38620,0.17030,2.68590,4.22100,0.91670,2.68590,27.41710,2.1359,1.8785
2016-09-30,1508.34400,1508.34400,438.69200,-852.10400,193.05700,-26.12600,166.93100,59.53900,107.39200,107.39200,107.32000,224.73300,193.05700,110.57100,111.25100,0.97000,0.96000,0.24370,12.79930,12.79930,11.06720,7.11510,0.16310,3.54600,5.47260,1.16140,3.54600,27.57740,0.948,0.5684
2016-06-30,1361.53300,1361.53300,417.72500,-742.39000,177.42410,-23.81700,153.60700,51.15600,102.45100,102.45100,102.14900,208.02310,177.42410,110.48000,110.97800,0.92000,0.92000,0.19680,13.03120,13.03120,11.28190,7.50250,0.15410,3.48000,5.36330,1.15940,3.48000,26.83680,1.8285,1.5488
2016-03-31,1201.71200,1201.71200,382.71200,-698.81200,97.76790,-22.17600,75.59200,22.92000,52.67200,52.67200,52.50100,126.66490,97.76790,110.14900,110.67000,0.48000,0.47000,0.20400,8.13570,8.13570,6.29040,4.36890,0.14510,1.85080,2.87990,0.63620,1.85080,25.97540,-0.50940,-0.69970
2015-12-31,1356.66800,1356.66800,409.61700,-783.38600,141.45800,-24.65900,116.79900,35.06300,81.73600,81.73600,81.33200,170.36600,141.45810,108.42700,109.82600,0.75000,0.74000,0.21110,10.42690,10.42690,8.60930,5.99500,0.16470,2.96880,4.69570,0.99230,2.96880,25.23530,1.8183,1.5287
2015-09-30,1383.91500,1383.91500,411.74300,-810.97700,140.12300,-24.72700,115.39600,39.63700,75.75900,75.75900,75.54200,168.85210,140.12300,108.64700,110.00400,0.69000,0.69000,0.21720,10.12510,10.12510,8.33840,5.45860,0.17040,2.81310,4.52660,0.93290,2.81310,24.76540,1.6812,1.4122
2015-06-30,1323.78900,1323.78900,407.45200,-729.97200,164.90200,-23.28000,141.62200,48.04300,93.57900,93.57900,93.25900,193.73400,164.90200,108.45900,109.79600,0.86000,0.85000,0.21980,12.45680,12.45680,10.69820,7.04490,0.15850,3.51900,5.72280,1.12020,3.51900,24.47720,2.1264,1.9674
2015-03-31,1111.08400,1111.08400,366.12300,-644.44800,79.65890,-20.71100,58.94800,21.15200,37.79600,37.79600,37.63200,107.18890,79.65890,107.74400,109.44400,0.35000,0.34000,0.22460,7.16950,7.16950,5.30540,3.38700,0.14210,1.45000,2.40700,0.48340,1.45000,24.05320,-0.60590,-0.85890
2014-12-31,1255.45100,1255.45100,389.67310,-699.69990,144.36010,-21.46300,122.89700,42.15900,80.73800,80.73800,80.36100,172.67310,144.36000,106.88400,108.68800,0.76000,0.74000,0.22800,11.49870,11.49870,9.78910,6.40100,0.16380,3.13420,5.17460,1.05320,3.13420,23.95410,1.7917,1.488
2014-09-30,1259.73000,1259.73000,365.30400,-734.25000,136.04900,-20.09700,115.95200,35.01500,80.93700,80.93700,80.51600,166.19290,136.04900,107.13600,108.86300,0.75000,0.74000,0.17470,10.79990,10.79990,9.20450,6.39150,0.17050,3.13590,5.17460,1.09550,3.13590,24.06470,1.1132,1.0019
2014-06-30,1149.96900,1149.96900,354.13300,-680.85800,95.19800,-18.74000,76.45800,25.77000,50.68800,50.68800,50.47100,120.26500,95.19800,106.87800,108.64700,0.47000,0.47000,0.17850,8.27830,8.27830,6.64870,4.38890,0.16390,1.99030,3.37410,0.72240,1.99030,23.77910,1.3794,1.2063
2014-03-31,1012.79900,1012.79900,326.51800,-614.91500,51.39400,-16.14100,35.25300,13.40100,21.85200,21.85200,21.67200,78.04600,51.39400,106.16600,108.27600,0.20000,0.20000,0.18550,5.07450,5.07450,3.48080,2.13980,0.15280,0.88710,1.54110,0.32960,0.88710,23.08480,-0.96620,-1.16170
2013-12-31,1219.87200,1219.87200,401.85800,-695.26810,102.97110,-18.12400,84.84700,33.05800,51.78900,51.78900,51.83100,130.77110,102.97090,106.99100,109.10200,0.48000,0.48000,0.12630,8.44110,8.44110,6.95540,4.24890,0.18600,2.10850,3.31160,0.78960,2.10850,23.19400,1.2019,0.9693
2013-09-30,1300.97800,1300.97800,377.87200,-777.70200,126.85010,-19.80500,107.04500,42.95000,64.09500,64.09500,63.78700,152.28910,126.85010,106.43700,108.43700,0.60000,0.59000,0.13490,9.75040,9.75040,8.22800,4.90300,0.20010,2.69810,4.31860,0.98590,2.69810,22.47720,0.8309,0.6244
2013-06-30,1288.46400,1288.46400,364.76700,-827.55500,77.95010,-18.72600,59.22400,24.27600,34.94800,34.94800,34.62500,102.18910,77.95010,108.21000,110.31100,0.32000,0.31000,0.13420,6.04980,6.04980,4.59650,2.68730,0.20440,1.49000,2.40310,0.55450,1.49000,21.79270,1.8987,1.7188
2013-03-31,1146.76300,1146.76300,344.50000,-708.91500,74.95300,-15.36100,59.59200,23.36000,36.23200,36.23200,36.12400,99.17300,74.95300,107.55200,109.99300,0.34000,0.33000,0.13320,6.53610,6.53610,5.19650,3.15010,0.18550,1.52010,2.43910,0.58610,1.52010,22.04110,-0.46250,-0.58900
2012-12-31,1276.82300,1276.82300,363.40400,-729.34200,164.07120,-16.38700,147.68400,54.48200,93.20200,93.20200,93.07500,201.34120,164.07100,106.30700,108.54200,0.87000,0.85000,0.09770,12.85000,12.84990,11.56650,7.28960,0.21100,3.96310,6.43300,1.54030,3.96310,21.93020,1.6451,1.3966
2012-09-30,1208.40200,1208.40200,344.14000,-674.51100,171.32190,-15.44000,155.88200,51.98200,103.90000,103.90000,103.26600,189.75090,171.32190,106.44500,108.70900,0.97000,0.95000,0.11920,14.17760,14.17760,12.89990,8.54570,0.20140,4.54540,7.46910,1.73190,4.54540,21.44500,1.3472,1.2169
2012-06-30,1089.83300,1089.83300,322.04300,-622.38400,126.95000,-14.66000,112.29000,38.77300,73.51700,73.51700,72.81700,145.40590,126.95000,106.23000,107.94500,0.69000,0.68000,0.12650,11.64860,11.64860,10.30340,6.68150,0.18820,3.39800,5.75400,1.26950,3.39800,20.34590,1.0388,0.879
2012-03-31,966.76300,966.76300,305.27900,-577.99200,65.43300,-13.88300,51.55000,20.44100,31.10900,31.10900,31.20100,83.49200,65.43300,105.62100,107.48000,0.30000,0.29000,0.13220,6.76830,6.76830,5.33220,3.22740,0.17100,1.48670,2.58750,0.55030,1.48670,19.72570,-0.07250,-0.23520
2011-12-31,996.56590,996.56590,309.66500,-586.61510,80.38080,-14.26500,66.11600,25.73800,40.37800,40.37800,40.13800,111.30280,80.38070,105.19700,106.91400,0.38000,0.38000,0.14740,8.06580,8.06580,6.63440,4.02760,0.18580,1.98420,3.49130,0.75300,1.98420,19.30500,0.9447,0.7538
2011-09-30,964.96500,964.96500,291.95000,-596.96300,57.03400,-18.62300,38.41100,17.11600,21.29500,21.29500,21.01100,76.05200,57.03400,105.37500,107.00500,0.20000,0.20000,0.14060,5.91050,5.91050,3.98060,2.17740,0.17370,1.07340,1.91890,0.38330,1.07340,18.81360,0.6058,0.4725
2011-06-30,927.34300,927.34300,293.45100,-553.82900,61.19600,-11.98100,49.21500,17.06800,32.14700,32.14700,32.29000,80.06300,61.19600,105.22200,106.83800,0.31000,0.30000,0.14110,6.59910,6.59910,5.30710,3.48200,0.16030,1.58500,2.79460,0.55580,1.58500,19.25590,0.2197,0.0953
2011-03-31,931.70000,931.70000,283.30200,-639.88900,-10.59000,-12.85900,-23.44900,-8.20800,-15.24100,-15.24100,-15.33500,8.50900,-10.59000,104.66000,104.66000,-0.15000,-0.15000,0.14630,-1.13660,-1.13660,-2.51680,-1.64590,0.15770,-0.76660,-1.37540,-0.25800,-0.76660,18.90440,-0.49180,-0.60870
2010-12-31,1024.73900,1024.73900,315.01200,-599.71400,88.73520,-14.15200,74.58300,26.83900,47.74400,47.74400,46.62600,110.01320,88.73510,104.13400,106.17700,0.44000,0.44000,0.14740,8.65930,8.65930,7.27820,4.55000,0.17600,2.39470,4.29490,0.82010,2.39470,19.08650,1.2391,0.8697
2010-09-30,1003.52300,1003.52300,307.71300,-607.00700,69.81200,-13.82400,55.98800,22.64500,33.34300,33.34300,33.13300,88.80300,69.81200,104.17300,106.11200,0.32000,0.31000,0.15530,6.95670,6.95670,5.57910,3.30170,0.17650,1.71710,3.12140,0.58640,1.71710,18.67180,0.617,0.4645
2010-06-30,969.92400,969.92400,300.77100,-578.93900,70.09410,-13.09900,56.99500,22.85500,34.14000,34.14000,33.83300,90.21410,70.09410,104.01400,106.12800,0.33000,0.32000,0.16400,7.22680,7.22680,5.87620,3.48820,0.17680,1.81630,3.38840,0.62230,1.81630,18.07320,-0.1327,-0.2439
2010-03-31,908.42600,908.42600,283.18700,-568.86000,36.12600,-11.58600,24.54000,10.81100,13.72900,13.72900,13.76900,56.37900,36.12600,104.00600,104.00600,0.13000,0.13000,0.13690,3.97680,3.97680,2.70140,1.51570,0.16510,0.67010,1.17280,0.24950,0.67010,,-0.24470,-0.36400
2009-12-31,1492.10100,1492.10100,935.61300,,532.93300,-12.48000,61.14500,8.54200,52.60300,37.99200,37.99200,554.74600,532.93300,98.47400,99.73400,0.39000,0.38000,0.12760,35.71700,35.71700,4.09790,2.54620,0.26980,1.86890,3.29510,0.68700,1.86890,,1.1025,0.956
2009-09-30,1100.58100,1100.58100,302.48400,-694.38600,83.84910,-15.32800,68.52100,27.60800,40.91300,40.91300,38.82500,103.71110,83.84910,104.00600,104.00600,0.37000,0.37000,,7.61860,7.61860,6.22590,3.52770,,,,,,,0.6501,0.5838
2009-06-30,1025.08500,1025.08500,313.11100,-612.83000,79.15890,-14.62400,64.53500,31.14300,33.39200,33.39200,28.59200,99.14390,79.15890,104.00600,104.00600,0.27000,0.27000,,7.72220,7.72220,6.29560,2.78920,,,,,,,0.5894,0.4986
2009-03-31,888.37500,888.37500,297.32500,-546.22500,24.01500,-13.87100,10.14400,2.77500,7.36900,7.36900,4.90200,44.82500,24.01500,,,,0.00000,,2.70330,2.70330,1.14190,0.55180,,,,,,,0.00000,
