Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,175.61600,31.82800,143.78800,12.51900,-49.82500,91.19700,52.59100,-11.34800,41.24300,9.72100,31.52200,31.52200,,31.52200,84.58400,52.59100,91.40800,101.47100,0.34000,0.31000,1.26860,0.82150,4.63200,81.87640,29.94660,29.94660,23.48480,17.94940,0.10870,0.69650,1.01260,88.88230,14.88910,-4.46830,1.95060,2.65700,2.31330,0.05200,-0.18040
2021-12-31,180.38800,35.47800,144.91000,12.27400,-55.55800,97.05500,47.85500,-11.60900,36.24600,-53.18500,89.43100,89.43100,,89.43100,80.13300,47.85500,89.28400,99.96700,0.99000,0.89000,1.17140,0.84830,5.62480,80.33240,26.52890,26.52890,20.09340,49.57700,0.11030,1.21360,0.92940,96.83980,51.24990,-12.37360,5.46760,7.77640,1.91100,1.2004,0.8766
2021-09-30,168.30200,27.45100,140.85100,9.59800,-47.12100,85.77800,55.07300,-48.64600,6.42700,-0.31900,6.74600,6.74600,,6.74600,87.35100,55.07300,90.32200,101.35900,0.07000,0.07000,1.09250,0.93060,13.50050,83.68940,32.72270,32.72270,3.81870,4.00830,0.11480,0.86620,1.15440,77.96480,9.27060,-0.81690,0.46020,0.64300,0.80240,0.7677,0.5387
2021-06-30,172.58200,30.94900,141.63300,8.76600,-48.17800,87.24400,54.38900,-17.76000,36.62900,0.41500,36.21400,36.21400,,36.21400,88.18000,54.38900,88.72200,100.03000,0.41000,0.36000,1.58650,0.95160,19.66740,82.06710,31.51490,31.51490,21.22410,20.98370,0.11020,0.98650,1.18360,76.04180,62.98090,-4.41860,2.31320,3.05060,0.63950,0.4955,0.2072
2021-03-31,139.11300,21.57100,117.54200,8.41300,-38.04300,77.34800,40.19400,-18.47100,21.72300,1.18900,20.53400,20.53400,,20.53400,74.57600,40.19400,86.98400,97.96800,0.24000,0.21000,1.43240,0.98470,64.45730,84.49390,28.89310,28.89310,15.61540,14.76070,0.09030,0.72560,1.10360,81.55330,117.12290,-2.36690,1.33350,1.79130,0.20000,1.13920,0.93550
2020-12-31,119.55300,21.54800,98.00500,7.36100,-36.74400,80.85700,17.14800,-18.33700,-1.18900,-2.32200,1.13300,1.13300,,1.13300,57.40200,17.14800,85.37900,85.37900,0.01000,0.01000,1.35100,1.00710,-142.97960,81.97620,14.34350,14.34350,-0.99450,0.94770,0.08090,0.77670,0.88660,101.51040,-14.34540,-0.12530,0.07670,0.10120,-0.09110,0.4444,0.165
2020-09-30,112.09800,15.54300,96.55500,7.03400,-34.92700,76.81700,19.73800,-18.90500,0.83300,1.71100,-0.87800,-0.87800,,-0.87800,57.93900,19.73800,85.55600,85.55600,-0.01000,-0.01000,1.29310,1.01390,-73.22780,86.13450,17.60780,17.60780,0.74310,-0.78320,0.07690,0.46010,1.02730,87.61150,5.69760,0.09480,-0.06020,-0.07900,-0.17940,0.4305,0.1724
2020-06-30,38.71500,9.05700,29.65800,5.19300,-41.60300,82.38500,-52.72700,-19.90200,-72.62900,-4.14800,-68.48100,-68.48100,,-68.48100,-15.05100,-52.72700,85.12200,85.12200,-0.80000,-0.80000,1.35280,1.01640,-61.96730,76.60600,-136.19270,-136.19270,-187.59910,-176.88490,0.02610,0.26760,0.37020,243.08250,364.99840,7.26740,-4.61430,-5.99330,-0.21960,1.0949,1.0075
2020-03-31,113.30800,19.68800,93.62000,8.35500,-39.27200,83.19400,10.42600,-24.87700,-14.45100,-0.99700,-13.45400,-13.45400,,-13.45400,49.01700,10.42600,84.62400,84.62400,-0.16000,-0.16000,1.09660,0.95920,23.48760,82.62440,9.20150,9.20150,-12.75370,-11.87380,0.08740,0.50040,1.59940,56.27030,-30.33670,1.49020,-1.03800,-1.23890,0.52290,-1.54610,-1.81170
2019-12-31,145.17700,33.43000,111.74700,10.10600,-50.73800,95.77400,15.97300,-17.89300,-1.92000,2.22400,-4.14400,-4.14400,,-4.14400,54.66200,15.97300,72.37600,79.23500,-0.06000,-0.06000,1.23410,0.95350,20.52450,76.97290,11.00240,11.00240,-1.32250,-2.85440,0.08910,1.25800,0.91770,98.06840,-7.67580,0.45700,-0.25440,-0.35660,0.63890,-0.4498,-0.8605
2019-09-30,134.56900,28.27800,106.29100,8.19600,-37.63100,78.99800,27.29300,-19.29700,7.99600,-1.31900,9.31500,9.31500,,9.31500,63.59300,27.29300,72.25100,79.12500,0.13000,0.12000,1.02260,1.06790,-15.83100,78.98620,20.28180,20.28180,5.94190,6.92210,0.08580,1.06920,1.02600,87.71870,-12.93480,-0.91350,0.59420,0.87890,-0.99620,2.6286,2.1739
2019-06-30,129.70600,26.04000,103.66600,6.67200,-39.16700,78.78700,24.87900,-20.43300,4.44600,-1.04000,5.48600,5.48600,,5.48600,60.92200,24.87900,71.47700,79.15800,0.08000,0.07000,1.01370,1.08010,-13.58650,79.92380,19.18110,19.18110,3.42780,4.22960,0.08130,0.91090,0.41060,219.18880,-6.49720,-0.52640,0.34370,0.52020,-1.17250,0.3834,0.1014
2019-03-31,123.77500,24.63800,99.13700,7.53100,-34.64800,73.26500,25.87200,-20.40000,5.47200,-0.38800,5.86000,5.86000,,5.86000,59.97000,25.87200,70.33400,75.25600,0.08000,0.08000,1.00630,1.09060,-12.12930,80.09450,20.90240,20.90240,4.42090,4.73440,0.07580,0.99360,0.37320,241.13020,-6.11680,-0.55170,0.35910,0.55390,-1.34810,-1.49080,-1.78520
2018-12-31,119.50200,25.28400,94.21800,6.18400,-37.12200,77.00300,17.21500,-20.41200,-3.19700,-7.40000,4.20300,4.20300,,4.20300,53.94200,17.21500,69.46400,73.79600,0.06000,0.06000,1.03670,1.10410,-10.68200,78.84220,14.40560,14.40560,-2.67530,3.51710,0.07720,1.03610,0.81430,110.51820,-3.85970,-0.40540,0.27150,0.40180,-1.55120,2.7493,2.4083
2018-09-30,120.33000,24.60200,95.72800,5.40700,-35.41900,74.21800,21.51000,-20.16000,1.35000,-0.71900,2.06900,2.06900,,2.06900,57.93100,21.51000,69.75000,74.59400,0.03000,0.03000,1.02540,1.10850,-10.28490,79.55460,17.87590,17.87590,1.12190,1.71940,0.07840,0.95000,0.41950,214.55650,-1.82750,-0.19700,0.13490,0.19840,-1.61290,0.5681,0.3041
2018-06-30,118.68200,23.66700,95.01500,4.59500,-37.57000,72.41800,22.59700,-22.28800,0.30900,-1.16600,1.47500,1.47500,,1.47500,57.12700,22.59700,69.20300,73.44000,0.02000,0.02000,0.98930,1.11600,-9.69120,80.05850,19.04000,19.04000,0.26040,1.24280,0.08240,1.00600,0.59080,152.34600,-1.22640,-0.13820,0.10240,0.14220,-1.73010,0.2235,-0.206
2018-03-31,111.00100,20.88400,90.11700,4.31100,-32.18700,65.62600,24.49100,-20.30700,4.18400,-0.42500,4.60900,4.60900,,4.60900,56.58100,24.49100,68.68600,73.28500,0.07000,0.06000,0.99520,1.12060,-9.35690,81.18580,22.06380,22.06380,3.76930,4.15220,0.07530,0.84520,0.52970,169.91040,-3.69660,-0.42650,0.31250,0.44580,-1.80850,0.44690,0.08850
2017-12-31,247.85900,162.93800,84.92100,5.15600,-31.70000,66.79200,18.12900,-66.96500,-48.83600,-23.78700,-25.04900,-25.04900,,-25.04900,54.17800,18.12900,66.81600,66.81600,-0.38000,-0.38000,0.97390,1.13800,-8.30420,34.26180,7.31420,7.31420,-19.70310,-10.10620,0.16130,6.79840,0.90070,99.92230,17.81160,2.26580,-1.62970,-2.45820,-2.06090,0.395,-0.0018
2017-09-30,247.32200,163.65800,83.66400,4.54500,-29.46300,63.86900,19.79500,-23.36800,-3.57300,0.71600,-4.28900,-4.28900,,-4.28900,52.97300,19.79500,66.89700,66.89700,-0.06000,-0.06000,0.98460,1.12300,-9.19900,33.82800,8.00370,8.00370,-1.44470,-1.73420,0.17350,6.87930,1.43450,62.74110,3.46430,0.38900,-0.30090,-0.42600,-1.84660,-0.071,-0.4596
2017-06-30,242.23000,158.70600,83.52400,4.61800,-28.77900,62.23200,21.29200,-38.49600,-17.20400,1.85300,-19.05700,-19.05700,,-19.05700,53.54800,21.29200,66.35000,66.35000,-0.29000,-0.29000,1.06160,1.12300,-9.19690,34.48130,8.79000,8.79000,-7.10230,-7.86730,0.18110,7.46400,2.61160,34.46180,15.37860,1.79170,-1.42490,-1.89140,-1.85870,0.6415,0.2429
2017-03-31,237.53700,153.24300,84.29400,4.54300,-28.99300,61.69100,22.60300,-25.05700,-2.45400,1.05400,-3.50800,-3.50800,,-3.50800,54.43200,22.60300,66.09000,66.09000,-0.05000,-0.05000,1.01600,1.10950,-10.22660,35.48670,9.51560,9.51560,-1.03310,-1.47680,0.17990,6.84550,2.63000,34.22010,3.20030,0.33110,-0.26570,-0.35030,-1.65850,0.47520,0.21520
2016-12-31,217.51000,138.77700,78.73300,4.85700,-30.97500,218.70500,-139.97200,-24.67900,-164.65100,52.62700,-217.27800,-217.27800,,-217.27800,-99.55500,-139.97200,66.05000,66.05000,-3.30000,-3.30000,0.99450,1.10740,-10.40770,36.19740,-64.35200,-64.35200,-75.69810,-99.89330,0.15450,7.27800,1.17270,76.74350,201.56970,20.37610,-15.42990,-21.63940,-1.63110,0.6978,0.4901
2016-09-30,222.17700,142.67800,79.49900,4.46000,-26.99600,67.92700,11.57200,-24.81500,-13.24300,-4.98900,-8.25400,-8.25400,,-8.25400,51.89900,11.57200,66.04900,66.04900,-0.12000,-0.12000,0.96410,0.91150,10.39280,35.78180,5.20850,5.20850,-5.96060,-3.71510,0.15260,6.86710,2.50820,35.88260,-7.64030,0.81190,-0.56680,-0.67610,1.63560,0.445,0.1344
2016-06-30,214.00000,136.46600,77.53400,4.67100,-30.73300,71.47400,6.06000,-24.74200,-18.68200,-7.88600,-10.79600,-10.79600,,-10.79600,46.04900,6.06000,66.04100,66.04100,-0.16000,-0.16000,0.91990,0.90620,9.74390,36.23080,2.83180,2.83180,-8.72990,-5.04490,0.14550,5.25010,2.72140,33.07080,-9.36280,1.04580,-0.73420,-0.87850,1.74590,0.4801,0.203
2016-03-31,205.76900,131.09300,74.67600,5.36800,-30.00500,70.89100,3.78500,-24.99200,-21.20700,-8.05600,-13.15100,-13.15100,,-13.15100,43.07200,3.78500,66.03400,66.03400,-0.20000,-0.20000,0.95060,0.90010,9.09080,36.29120,1.83940,1.83940,-10.30620,-6.39110,0.13570,4.50490,2.62290,34.31360,-10.49700,1.26400,-0.86750,-1.04850,1.89720,0.37410,0.01670
2015-12-31,204.41600,126.33500,78.08100,3.72900,-32.21900,147.00410,-68.92300,-24.98000,-93.90300,-7.31300,-86.59000,-86.59000,,-86.59000,45.38900,-68.92300,65.85400,65.85400,-1.32000,-1.32000,1.00980,0.89160,8.29500,38.19710,-33.71700,-33.71700,-45.93720,-42.35970,0.13180,4.39610,1.99930,45.01540,-63.01120,8.36740,-5.58510,-6.83250,2.08120,0.3244,-0.0935
2015-09-30,208.74600,129.81700,78.92900,5.46300,-26.29500,64.21300,14.71600,-24.78300,-10.06700,-3.95700,-6.11000,-6.11000,,-6.11000,50.81600,14.71600,65.94100,65.94100,-0.09000,-0.09000,1.09470,0.83860,5.24260,37.81100,7.04970,7.04970,-4.82260,-2.92700,0.12640,5.09470,2.65870,33.85140,-2.74830,0.58820,-0.37010,-0.44340,3.37090,-0.3521,-0.6209
2015-06-30,206.36400,127.22200,79.14200,4.47000,-26.84700,62.80600,16.33600,-37.93500,-21.59900,-8.85800,-12.74100,-12.74100,,-12.74100,51.47100,16.33600,65.84400,65.84400,-0.19000,-0.19000,1.10510,0.83610,5.14380,38.35070,7.91610,7.91610,-10.46650,-6.17400,0.12090,5.42460,2.68280,33.54740,-5.61350,1.23120,-0.74630,-0.92030,3.44300,0.629,0.3682
2015-03-31,207.47300,127.02300,80.45000,5.43600,-15.84100,52.30900,28.14100,-25.65500,2.48600,2.01700,0.46900,0.46900,,0.46900,63.34900,28.14100,65.62300,66.49200,0.01000,0.01000,1.07820,0.83240,5.01040,38.77610,13.56370,13.56370,1.19820,0.22610,0.12030,5.51080,2.32080,38.78050,0.20050,-0.04490,0.02720,0.03360,3.55460,1.29060,1.10090
2014-12-31,152.05500,108.89000,43.16500,,-33.21800,42.78900,0.37600,-7.85600,-7.48000,-1.73100,-5.74900,-5.74900,,-5.74900,10.06600,0.37600,65.78000,66.86300,-0.09000,-0.09000,1.05370,0.83590,5.13570,28.38780,0.24730,0.24730,-4.91930,-3.78090,0.08910,4.00880,1.49750,60.09940,-2.48370,0.54070,-0.33670,-0.40770,3.52910,-0.0742,-0.1828
2014-09-30,145.48100,108.56800,36.91300,,-20.93400,26.14200,10.77100,-1.99600,8.77500,3.09900,5.67600,5.67600,,5.67600,16.45000,10.77100,65.58900,66.74700,0.09000,0.09000,1.02720,0.28800,0.40460,25.37310,7.40370,7.40370,6.03170,3.90150,0.28080,9.95580,3.26230,27.58810,2.39850,64.16480,1.09550,1.70760,3.61060,-0.6832,-0.7356
2014-06-30,144.94600,109.37500,35.57100,,-21.26100,25.94900,9.62200,-2.08300,7.53900,2.81500,4.72400,4.72400,,4.72400,14.78100,9.62200,65.97000,67.08700,0.07000,0.07000,0.99760,0.29040,0.40920,24.54090,6.63830,6.63830,5.20120,3.25910,0.25280,9.31330,3.46810,25.95080,2.01380,96.15230,0.82390,1.42900,3.55100,-0.1611,-0.2275
2014-03-31,150.57100,113.23800,37.33300,,-20.03900,24.32000,13.01300,-1.54600,11.46700,3.97800,7.48900,7.48900,,7.48900,17.76500,13.01300,65.91000,67.37000,0.11000,0.11000,1.03250,0.30510,0.43900,24.79430,8.64240,8.64240,7.61570,4.97370,0.25150,10.06830,3.28660,27.38360,3.28790,48.15150,1.25100,2.28480,3.44130,1.28540,1.24330
2013-12-31,140.45500,105.86500,34.59000,,-18.85100,23.39400,11.19600,-2.11400,9.08200,3.37800,5.70400,5.70400,,5.70400,16.20900,11.19600,66.01400,67.20500,0.09000,0.08000,0.99160,0.31810,0.47120,24.62710,7.97120,7.97120,6.46610,4.06110,0.26640,11.24670,2.57580,34.94020,2.60930,81.66030,1.08170,1.77930,3.31570,-0.3222,-0.3927
2013-09-30,146.10100,111.10600,34.99500,,-19.24800,23.57500,11.42000,-2.25500,9.16500,3.38300,5.78200,5.78200,,5.78200,16.21800,11.42000,65.52500,66.63000,0.09000,0.09000,0.95970,0.33610,0.50630,23.95260,7.81650,7.81650,6.27310,3.95750,0.27270,12.38090,3.81000,23.62220,2.74880,-311.36330,1.07940,1.82480,3.20840,1.2856,1.2562
2013-06-30,149.06600,111.72400,37.34200,,-19.47900,23.70900,13.63300,-2.73300,10.90000,4.12400,6.77600,6.77600,,6.77600,18.31200,13.63300,66.11600,66.99300,0.10000,0.10000,0.94770,0.35420,0.54850,25.05070,9.14560,9.14560,7.31220,4.54560,0.26680,14.76460,1.08500,82.94750,3.31840,-87.70410,1.21300,2.14300,3.08750,0.1553,0.0912
2013-03-31,146.82200,111.09900,35.72300,,-18.98400,22.82200,12.90100,-3.16300,9.73800,3.60200,6.13600,6.13600,,6.13600,17.14200,12.90100,66.69700,67.88200,0.09000,0.09000,0.95550,0.36790,0.58210,24.33080,8.78680,8.78680,6.63250,4.17920,0.26410,15.80580,1.12930,79.69390,3.03980,-54.33460,1.10370,1.92140,3.03970,-1.05420,-1.09700
2012-12-31,136.13200,102.49300,33.63900,,-19.89700,23.95900,9.68000,-3.38700,6.29300,1.89600,4.39700,4.39700,,4.39700,14.24100,9.68000,65.93300,67.33700,0.06000,0.06000,0.94020,0.37940,0.61130,24.71060,7.11070,7.11070,4.62270,3.23000,0.24580,14.38300,3.31580,27.14240,2.21220,-28.59660,0.79380,1.37300,2.97450,1.7261,1.6383
2012-09-30,149.82400,111.37300,38.45100,,-19.46300,23.80800,14.64300,-3.58600,11.05700,3.97700,7.08000,7.08000,,7.08000,19.36000,14.64300,66.10800,67.60100,0.11000,0.10000,0.92060,0.39840,0.66230,25.66410,9.77350,9.77350,7.38000,4.72550,0.28300,15.32800,1.20760,74.52640,3.70680,-31.49600,1.33750,2.22990,2.86520,0.2303,0.2024
2012-06-30,147.46500,108.37800,39.08700,,-18.95800,23.12400,15.96300,-4.06300,11.90000,4.81600,7.08400,7.08400,,7.08400,20.48300,15.96300,65.77400,67.38300,0.11000,0.11000,0.83750,0.42730,0.74620,26.50600,10.82490,10.82490,8.06970,4.80390,0.30430,13.67720,1.86660,48.21540,3.94500,-19.64890,1.46180,2.25920,2.72720,0.1062,0.0592
2012-03-31,151.06500,113.81500,37.25000,,-17.48800,21.55400,15.69600,-4.48300,11.21300,4.08500,7.12800,7.12800,,7.12800,20.11700,15.69600,65.13400,66.19000,0.11000,0.11000,0.80480,0.45600,0.83840,24.65830,10.39020,10.39020,7.42260,4.71850,0.30480,14.35250,1.77480,50.71140,4.20850,-15.03260,1.43830,2.28920,2.58880,0.27620,0.24900
2011-12-31,137.73400,101.70600,36.02800,,-17.59400,21.78900,14.23900,-4.47000,9.76900,5.23100,4.53800,4.53800,,4.53800,18.78700,14.23900,64.67300,64.85900,0.06000,0.06000,0.89960,0.52120,1.08850,26.15770,10.33800,10.33800,7.09270,3.29480,0.26030,14.35110,1.41800,63.46870,2.83880,-7.75990,0.85770,1.35930,2.46070,0.5249,0.5067
2011-09-30,136.88800,106.95300,29.93500,,-18.52900,22.32500,7.61000,-4.41400,3.19600,1.35600,1.84000,1.84000,,1.84000,11.76300,7.61000,64.71200,64.75100,0.03000,0.03000,0.84430,0.53830,1.16570,21.86820,5.55930,5.55930,2.33480,1.34420,0.31210,16.41390,5.01480,17.94700,1.19830,-3.33740,0.41960,0.55330,2.36920,0.3434,0.3107
2011-06-30,135.05200,105.71400,29.33800,,-17.28900,22.19600,7.14200,-4.60700,2.53500,1.52600,1.00900,1.00900,,1.00900,12.40400,7.14200,63.96900,64.09400,0.02000,0.02000,0.81960,0.55520,1.24800,21.72350,5.28830,5.28830,1.87710,0.74710,0.31980,20.26340,5.84460,15.39870,0.67340,-1.69770,0.23890,0.29960,2.31800,0,-0.0342
2011-03-31,134.38900,105.23300,29.15600,,-16.10500,19.85100,9.30500,-6.09000,3.21500,1.47300,1.74200,1.74200,,1.74200,13.32900,9.30500,63.95200,64.18200,0.03000,0.03000,0.89070,0.57740,1.36640,21.69520,6.92390,6.92390,2.39230,1.29620,0.30580,24.81330,6.04050,14.89940,1.19010,-2.72340,0.39630,0.50290,2.27060,-0.03180,-0.06110
2010-12-31,137.80700,107.30200,30.50500,,-16.68500,20.45000,10.05500,-3.93400,6.12100,6.38000,-0.25900,-0.25900,,-0.25900,14.06500,10.05500,65.90300,67.27200,0.00000,0.00000,0.92990,0.59270,1.45490,22.13600,7.29650,7.29650,4.44170,-0.18790,0.30060,27.90690,5.38620,16.70920,-0.18050,0.38090,-0.05650,-0.07350,2.22860,0.4959,0.4789
2010-09-30,152.12100,116.07700,36.04400,,-18.74000,22.72100,13.32300,-3.93300,9.39000,4.47100,4.91900,4.91900,,4.91900,17.54700,13.32300,65.38400,66.24000,0.08000,0.07000,1.01380,0.61150,1.57410,23.69430,8.75820,8.75820,6.17270,3.23360,0.33290,23.35550,4.45290,20.21140,3.45670,-7.35580,1.07660,1.34290,2.21030,-0.1036,-0.165
2010-06-30,157.15000,120.01700,37.13300,,-19.33800,23.40400,13.72900,-4.14100,9.58800,3.64300,5.94500,5.94500,,5.88400,18.03700,13.72900,65.83600,67.92600,0.09000,0.09000,0.96130,0.61170,1.57540,23.62900,8.73620,8.73620,6.10120,3.74420,0.33290,22.73480,6.27170,14.35020,4.17640,-8.73460,1.25930,1.62170,2.14890,0.3304,0.285
2010-03-31,158.51200,119.64900,38.86300,,-18.95700,23.34000,15.52300,-4.32100,11.20200,4.25700,6.94500,6.94500,,6.95000,20.14900,15.52300,68.26800,70.51300,0.10000,0.10000,1.43110,0.61500,1.59770,24.51740,9.79290,9.79290,7.06700,4.38450,0.31490,,6.85100,13.13670,4.44730,-15.50220,1.37960,1.71200,2.27520,0.30150,0.29070
2009-12-31,148.75500,111.14700,37.60800,,-17.28200,21.58400,16.02400,-4.33700,11.68700,4.44200,7.24500,7.24500,0.00000,7.25600,20.57000,16.02400,74.23200,75.35600,0.10000,0.10000,1.22950,0.63200,1.71760,25.28180,10.77210,10.77210,7.85650,4.87780,0.29650,,4.18750,21.49280,4.98250,-12.68850,1.44390,1.83340,2.14030,0.4105,0.3859
2009-09-30,164.31900,123.99600,40.32300,,-18.59500,22.85400,17.46900,-4.40000,13.06900,4.96600,8.10300,8.10300,0.00000,8.11500,21.97100,17.46900,72.18200,73.84500,0.11000,0.11000,1.28900,0.61780,1.61640,24.53950,10.63120,10.63120,7.95340,4.93860,0.33690,,7.51620,11.97420,5.23900,-16.39720,1.66130,2.00240,2.16160,0.4907,0.4488
2009-06-30,172.97100,129.49700,43.47400,,-19.66600,24.18500,19.28900,-4.56900,14.72000,5.59300,9.12700,9.12700,0.01200,9.15800,24.08900,19.28900,76.93400,79.02000,0.12000,0.12000,1.11620,0.62910,1.69600,25.13370,11.15160,11.15160,8.51010,5.29450,0.35120,,3.44570,26.11950,6.18540,-13.29650,1.85300,2.29430,2.04390,0.1538,0.1474
2009-03-31,181.67500,137.17000,44.50500,,-20.46200,25.23300,19.27200,-4.65400,14.61800,5.55500,9.06300,9.06300,0.03200,9.10900,24.33300,19.27200,77.36800,77.36800,0.12000,0.12000,1.29700,0.59340,1.45940,24.49700,10.60800,10.60800,8.04620,5.01390,0.34720,,3.86580,23.28090,5.28010,-19.84280,1.73200,2.14690,2.20110,0.15210,0.12870
