Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,7.35140,5.74600,1.60540,3.07260,3.07260,-1.46730,0.02280,-1.44450,-1.44450,-1.44450,,-1.62910,-1.36960,-1.46730,0.29800,0.29800,3.60000,3.60000,2.52920,,,21.83760,-19.95920,-19.95920,-19.64930,-22.15990,0.27350,7.38420,2.78920,32.26680,-7.83440,-9.68810,-5.37340,-7.83440,42.89770,0.6703,-4.4773
2020-09-30,0.57660,0.38200,0.19460,1.71990,1.71990,-1.52530,0.04710,-1.47830,-1.47830,-1.47830,,-1.47830,-1.47780,-1.52530,0.42980,0.42980,-3.40000,-3.40000,3.13380,,,33.75300,-264.55700,-264.55700,-256.39530,-256.39530,0.02190,0.47020,0.13290,677.00110,-7.74260,-9.49100,-5.61520,-7.74260,44.42250,-2.2377,-2.3527
2020-06-30,0.62890,0.25470,0.37420,1.21500,1.21500,-0.84080,0.00280,-0.83800,-0.83800,-0.83800,,-0.83800,-0.79340,-0.84080,0.26850,0.26850,-3.20000,-3.20000,8.93830,,,59.50130,-133.67600,-133.67600,-133.23390,-133.23390,0.02820,,0.39700,226.69990,-4.13450,-4.98260,-3.76110,-4.13450,47.15550,9.4959,9.4959
2020-03-31,0.19880,0.15280,0.04600,0.79550,0.79540,-0.74950,0.00210,-0.74740,-0.74740,-0.74740,,-0.74740,-0.70210,-0.74950,0.05830,0.05830,-12.80000,-12.80000,0.87590,0.05190,0.05480,23.13440,-377.08500,-377.08500,-376.05260,-376.05260,0.03460,,0.18160,495.70410,-20.46980,-452.11210,-13.02880,-19.40680,62.36320,-17.62060,-17.62060
2019-12-31,0.33730,0.28910,0.04820,1.07770,4.01630,-3.96810,-0.16450,-4.13260,-4.13260,-4.13260,,-4.13260,-0.90890,-3.96810,0.01510,0.01510,-237.40000,-237.40000,1.27800,,,14.28530,-1176.52200,-1176.52200,-1225.29100,-1225.29100,0.05080,,0.30630,293.84340,-94.78180,-493.25690,-62.28890,-94.78180,75.30480,-10.3175,-10.3088
2019-09-30,0.18450,0.36680,-0.18230,1.09120,1.09120,-1.27340,-0.05200,-1.32550,-1.32550,-1.32550,,-1.32550,-1.23480,-1.27340,0.01420,0.01420,-93.20000,-93.20000,0.78680,,,-98.77040,-690.10870,-690.10870,-718.31020,-718.31020,0.02270,,0.12850,700.55450,-21.82470,312.60310,-16.31990,-21.82470,404.35820,-31.1599,-31.3053
2019-06-30,0.72790,0.46060,0.26730,1.23900,1.23900,-0.97170,,-0.97170,-0.97170,-0.97170,,-0.97170,-0.93230,-0.97170,0.01210,0.01210,-80.40000,-80.40000,1.01070,,,36.72420,-133.49340,-133.49340,-133.49340,-133.49340,0.08590,,0.50250,179.09620,-14.68210,-1146.11800,-11.46960,-14.68210,518.27110,-39.4988,-39.4988
2019-03-31,1.73510,1.19100,0.54410,1.03480,1.03490,-0.49070,,-0.49070,-0.49070,-0.49070,,-0.49070,-0.45130,-0.49070,0.01070,0.01070,-46.00000,-46.00000,1.04390,,,31.35830,-28.28240,-28.28240,-28.28240,-28.28240,0.16310,,0.58690,153.35810,-7.21020,-207.65780,-4.61280,-7.21020,639.07410,-104.96910,-104.96910
2018-12-31,2.25860,2.13580,0.12270,1.89860,1.89860,-1.77590,-0.00270,-1.77850,-1.77850,-1.77850,,-1.83100,-1.62470,-1.77590,0.01070,0.01070,-170.80000,-170.80000,1.10170,,,5.43380,-78.62800,-78.62800,-78.74610,-81.06810,0.20460,,1.29330,69.58820,-25.12780,-375.24500,-16.11110,-25.12030,664.78880,-145.2403,-145.4439
2018-09-30,2.08280,1.85800,0.22480,1.30240,1.30230,-1.07750,-0.00100,-1.07850,-1.07850,-1.07850,,-1.02600,-0.92880,-1.07750,0.01070,0.01070,-96.00000,-96.00000,1.46980,,,10.79500,-51.73370,-51.73370,-51.77980,-49.26180,0.16250,,0.75510,119.18350,-12.33280,-54.15650,-8.41630,-12.33280,821.10820,-2.7181,-8.8545
2018-06-30,2.30580,2.27420,0.03160,1.27020,1.27030,-1.23870,0.00580,-1.23290,-1.23290,-1.23290,,-1.23290,-1.09040,-1.23870,0.01070,0.01070,-116.00000,-116.00000,1.99550,,,1.36920,-53.71970,-53.71970,-53.46980,-53.46980,0.18420,,1.03510,86.95110,-12.70230,-43.86940,-9.84710,-12.70230,911.37860,-140.0625,-140.1188
2018-03-31,1.54350,1.37990,0.16360,0.91770,0.91770,-0.75410,0.00000,-0.75410,-0.75410,-0.75410,,-0.75410,-0.60590,-0.75410,0.01070,0.01070,-72.00000,-72.00000,2.37320,,,10.59890,-48.85620,-48.85620,-48.85590,-48.85590,0.11330,,1.07970,83.35910,-6.94790,-19.78940,-5.53590,-6.94790,1019.13200,-36.12950,-36.42850
2017-12-31,2.06030,1.82340,0.23690,1.31030,1.31030,-1.07340,0.00000,-1.07340,-1.07340,-1.07340,,-1.07340,-0.92520,-1.07340,0.00580,0.00580,2268.00000,2268.00000,2.13330,,,11.49800,-52.09820,-52.09820,-52.09790,-52.09790,0.13420,,0.68540,131.30510,-9.31110,-24.74670,-6.99310,-9.31110,1082.41900,-214.238,-214.5626
2017-09-30,1.39500,1.29710,0.09790,1.14220,1.14220,-1.04430,0.00100,-1.04330,-1.04330,-1.04330,,-1.04330,-0.89630,-1.04430,0.01040,0.01040,-100.00000,-100.00000,3.98000,,,7.01790,-74.86310,-74.86310,-74.79120,-74.79120,0.09800,,3.90530,23.04580,-8.34460,-20.19950,-7.33000,-8.34460,1174.79200,-0.3897,-0.791
2017-06-30,1.00170,0.85590,0.14580,0.66780,0.66780,-0.52200,-1.18370,-1.70570,-1.70570,-1.70570,,-1.70570,-0.37400,-0.52200,0.00140,0.00140,-1260.00000,-1260.00000,3.36410,,,14.55350,-52.11030,-52.11030,-170.27190,-170.27190,0.07250,,10.28040,8.75450,-14.28370,-38.27520,-12.33790,-14.28370,1199.46600,0.2359,0.2359
2017-03-31,0.60460,0.45140,0.15320,0.77470,0.77470,-0.62150,-0.06890,-0.69030,-0.69030,-0.69030,,-0.69030,-0.47490,-0.62150,0.00040,0.00040,-1688.00000,-1688.00000,0.86980,0.34780,0.53330,25.34420,-102.79100,-102.79100,-114.18100,-114.18100,0.07120,,5.59590,16.08330,-22.29980,25.24040,-8.12620,-9.19350,29.90980,-0.68550,-0.68550
2016-12-31,0.55250,0.49250,0.05990,0.73420,0.73420,-0.67430,-0.08910,-0.76340,-0.76340,-0.76340,,-0.76340,-0.88160,-0.67430,0.00040,0.00040,-4360.00000,-4360.00000,1.14550,0.31050,0.45020,10.84480,-122.05260,-122.05260,-138.17750,-138.17750,0.06320,52.14850,2.35570,38.20510,-21.02010,32.95890,-8.73810,-9.68790,33.18300,-8.5563,-8.5648
2016-09-30,0.31570,0.25790,0.05780,0.43110,0.43110,-0.37330,-0.16990,-0.54320,-0.54320,-0.54320,,-0.54320,0.12710,-0.37330,0.00120,0.00120,-444.00000,-444.00000,0.82930,0.22230,0.29000,18.29750,-118.24810,-118.24810,-172.05850,-172.05850,0.03610,1.86340,1.12850,79.75370,-90.03730,28.78710,-6.20420,-7.03120,12.24030,4.9231,4.9231
2016-06-30,0.82850,0.68670,0.14170,0.66770,0.66770,-0.52590,0.36790,-0.15810,-0.15810,-0.15810,,-0.15810,-0.52520,-0.52590,0.10730,0.10730,0.00000,0.00000,1.09600,0.19130,0.24770,17.10750,-63.48340,-63.48340,-19.07750,-19.07750,0.08910,17.09600,4.34000,20.73730,-13.26320,10.94180,-1.70070,-1.93760,13.44860,-6.3621,-6.3621
2016-03-31,0.22770,0.17320,0.05450,0.30580,0.30580,-0.25130,-0.25540,-0.50670,-0.50670,-0.50670,,-0.50670,-0.24520,-0.25130,0.10730,0.10730,-8.00000,-8.00000,0.13910,,-0.82800,23.93760,-110.32860,-110.32860,-222.47770,-222.47770,0.24320,0.41150,1.43720,62.62250,7.99260,7.99260,-54.10490,7.99260,-59.08270,-1.40040,-1.40040
2015-12-31,0.24530,0.18940,0.05590,0.42090,0.42090,-0.36490,-0.12410,-0.48900,-0.48900,-0.48900,,-0.48900,-0.35880,-0.36490,0.10730,0.10730,0.00000,0.00000,0.12290,,-0.86490,22.80120,-148.75630,-148.75630,-199.32470,-199.32460,0.32610,1.19730,2.85150,31.56230,8.31690,8.31690,-64.99690,8.31690,-54.79760,-1.5708,-1.5708
2015-09-30,0.28960,0.24740,0.04220,0.39310,0.39310,-0.35090,-1.31110,-1.66200,-1.66200,-1.66200,,-1.66200,-0.34480,-0.35090,0.10730,0.10730,-16.00000,-16.00000,0.04430,,-0.91680,14.57550,-121.18890,-121.18890,-573.93020,-573.93020,1.05100,16.55890,1.73580,51.84820,30.56500,30.56500,-603.19850,30.56500,-50.67750,-2.7244,-2.7244
2015-06-30,1.46880,1.10120,0.36770,0.54250,0.54250,-0.17480,-0.06020,-0.23510,-0.23510,-0.23510,,-0.23510,-0.16870,-0.17480,0.10730,0.10730,-4.00000,-4.00000,0.08860,,-0.90960,25.03070,-11.90370,-11.90370,-16.00430,-16.00430,3.64250,75.27340,10.15220,8.86500,6.14660,6.14660,-58.29530,6.14660,-35.64390,-3.9344,-3.9344
2015-03-31,0.40200,0.35990,0.04210,0.59670,0.59670,-0.55460,0.19760,-0.35700,-0.35700,-0.35700,,-0.35700,-0.54840,-0.55460,0.10730,0.10730,-4.00000,-4.00000,0.29440,,-0.92840,10.47560,-137.94560,-137.94560,-88.80860,-88.80860,0.25380,0.64060,1.18380,76.02740,9.81370,9.81370,-22.54230,9.81370,-33.90780,-2.84810,-2.84810
2014-12-31,0.71510,0.49730,0.21780,0.65850,0.65850,-0.44070,0.63180,0.19100,0.19100,0.19100,,0.19100,-0.43460,-0.44070,0.10700,0.10700,0.00000,4.00000,0.56950,-2.59100,-0.98410,30.45370,-61.63230,-61.63230,26.71690,26.71680,0.53000,2.49940,4.30930,20.88490,-5.73820,-5.73820,14.16090,-20.60600,-31.02870,-5.5087,-5.5168
2014-09-30,3.64710,2.82230,0.82470,0.62660,0.62660,0.19810,0.72230,0.92050,0.92050,0.92050,,0.92050,0.20430,0.19810,0.10690,0.14950,8.00000,4.00000,0.71890,-5.04140,-0.85460,22.61380,5.43300,5.43300,25.23820,25.23820,2.09520,84.00510,11.82420,7.61150,-25.23020,-25.23020,52.87980,-152.42600,-34.11700,4.3827,4.379
2014-06-30,0.64060,0.45040,0.19020,0.44600,0.44600,-0.25580,-1.87480,-2.13060,-2.13060,-2.13060,,-2.13060,-0.22790,-0.25580,0.10690,0.10690,-20.00000,-20.00000,0.54480,-1.59170,-0.65960,29.68980,-39.93690,-39.93690,-332.61290,-332.61290,0.27830,0.55330,2.70390,33.28480,45.34360,45.34360,-92.56770,117.51800,-43.94150,-3.9803,-3.9916
2014-03-31,1.03430,0.80010,0.23410,0.48850,0.48860,-0.25440,-0.26380,-0.51820,-0.51820,-0.51820,,-0.51820,-0.23110,-0.25440,0.10690,0.10690,-4.00000,-4.00000,0.13380,,-0.79630,22.63740,-24.59780,-24.59780,-50.10430,-50.10430,2.23450,28.12440,4.33420,20.76520,20.69610,20.69610,-111.96010,20.69610,-23.14540,-4.74400,-4.74960
2013-12-31,1.42280,1.06580,0.35700,0.77750,0.77740,-0.42040,-0.09020,-0.51070,-0.51070,-0.51070,,-0.51070,-0.39720,-0.42040,0.10580,0.10580,-4.00000,-4.00000,0.30120,,-0.89830,25.09240,-29.55090,-29.55090,-35.89320,-35.89320,1.42510,31.29850,5.77150,15.59380,24.45160,24.45160,-51.15100,24.45160,-19.32810,0.7586,0.7589
2013-09-30,1.73220,1.51520,0.21700,0.52080,0.52080,-0.30380,-0.16160,-0.46540,-0.46540,-0.46540,,-0.46540,-0.28040,-0.30380,0.10550,0.10550,-4.00000,-4.00000,0.50830,-0.14010,-0.94320,12.52970,-17.53590,-17.53590,-26.86650,-26.86650,0.92270,7.11590,2.56740,35.05510,24.96230,24.96230,-24.78880,28.45930,-17.67230,-0.1268,-0.1903
2013-06-30,1.62160,1.66740,-0.04570,0.61160,0.61160,-0.65730,-0.12240,-0.77980,-0.77980,-0.77980,,-0.77980,-0.63430,-0.65730,0.10550,0.10550,-8.00000,-8.00000,0.76050,-2.03040,-1.09780,-2.82110,-40.53640,-40.53640,-48.08590,-48.08590,0.82340,6.49370,1.81680,49.53690,52.17490,52.17490,-39.59550,158.11190,-14.16680,-4.3664,-4.3664
2013-03-31,0.95620,0.90090,0.05530,0.53250,0.53250,-0.47720,0.06980,-0.40750,-0.40750,-0.40750,,-0.40750,-0.45420,-0.47720,0.10550,0.10550,-4.00000,-4.00000,1.09820,4.49270,-1.37750,5.77870,-49.91020,-49.91020,-42.61450,-42.61450,0.70220,11.04860,2.12900,42.27280,50.56550,50.56550,-29.92440,-176.61170,-7.63840,-6.42990,-6.44970
2012-12-31,0.47030,0.40420,0.06620,0.49030,0.49030,-0.42420,0.12310,-0.30110,-0.30110,-0.30110,,-0.30940,-0.42360,-0.42420,0.10340,0.10340,-4.00000,-4.00000,1.04950,4.03440,-1.47210,14.06500,-90.18440,-90.18440,-64.01830,-65.78170,0.33900,8.41870,1.65380,54.41870,58.38450,58.38450,-21.70460,-177.16230,-4.88870,-3.3602,-3.3603
2012-09-30,0.37330,0.30570,0.06760,0.59260,0.59250,-0.52500,-0.00090,-0.52590,-0.52590,-0.52590,,-0.52590,-0.52430,-0.52500,0.10500,0.10500,-4.00000,-4.00000,0.64410,,-0.20040,18.10610,-140.65290,-140.65290,-140.88600,-140.88600,0.54680,31.12720,1.11380,80.80520,143.34180,143.34190,-77.03320,143.34190,-3.49500,-1.1901,-1.1953
2012-06-30,1.08310,0.85800,0.22510,0.72120,0.72120,-0.49610,0.02060,-0.47550,-0.47550,-0.47550,,-0.46720,-0.49550,-0.49610,0.10390,0.10390,-4.00000,-4.00000,0.96300,,-3.36660,20.78220,-45.80640,-45.80640,-43.90290,-43.13710,1.44070,,3.68580,24.41810,2177.93200,2177.96000,-63.24930,2177.95900,-0.20800,-1.6952,-1.6952
2012-03-31,0.52400,0.42990,0.09410,0.58930,0.58930,-0.49520,0.03160,-0.46360,-0.46360,-0.46360,,-0.46360,-0.49450,-0.49520,0.08960,0.08960,-4.00000,-4.00000,0.90320,,-0.79940,17.95920,-94.49180,-94.49180,-88.46480,-88.46480,0.56090,8.07640,1.70960,52.64320,504.21480,504.21380,-49.62050,504.21360,-0.89170,-6.01740,-6.01740
2011-12-31,1.14320,0.99080,0.15230,1.06470,1.06470,-0.91240,0.13930,-0.77300,-0.77300,-0.77300,,-0.77300,-0.91170,-0.91240,0.08850,0.08850,-4.00000,-4.00000,0.80800,,-0.39830,13.32660,-79.80860,-79.80860,-67.62030,-67.62030,1.39630,,7.97640,11.28320,418.89500,418.89480,-94.42080,418.89470,-1.85560,-4.6542,-4.6552
2011-09-30,0.22890,0.19980,0.02920,0.56040,0.56030,-0.53120,-0.02020,-0.55140,-0.55140,-0.55140,,-0.55140,-0.53070,-0.53120,0.08990,0.08990,-8.00000,-8.00000,0.03140,-0.72250,-0.41950,12.73800,-232.03290,-232.03290,-240.87800,-240.87800,74.52150,,,,337.67360,337.67400,-17950.59000,581.65310,-19.97630,-5.4918,-5.5029
2011-06-30,0.77040,0.54090,0.22950,0.57890,0.57890,-0.34940,0.01390,-0.33550,-0.33550,-0.33550,,-0.33550,-0.34890,-0.34940,0.08820,0.08820,-4.00000,-4.00000,0.29060,-2.08940,-0.67630,29.79010,-45.35850,-45.35850,-43.54910,-43.54910,57.36170,,,,331.23180,331.23170,-2498.04900,1023.29700,-12.38960,-7.2921,-7.3089
2011-03-31,1.82230,1.67640,0.14590,0.41200,0.41200,-0.26610,0.01650,-0.24960,-0.24960,-0.24960,,-0.24960,-0.26560,-0.26610,0.07940,0.07940,-4.00000,-4.00000,0.55110,-10.78190,-0.91510,8.00500,-14.60240,-14.60240,-13.69800,-13.69800,299.13250,,,,426.97900,426.98010,-4097.52300,5030.65300,-7.15130,-0.53910,-0.57580
2010-12-31,,,,1.48440,,-2.82360,-0.31470,-1.22170,-1.22170,-1.22170,,-1.22170,-2.82360,-0.90700,0.05410,0.05410,,0.00000,1.36440,,0.11640,,,,,,,,,,-277.53670,-277.53660,-74.66710,-277.53660,5.66090,-11.718,-11.7556
2010-09-30,,,,0.00960,,-0.00960,-0.00060,-0.01020,-0.01020,-0.01020,,-0.01020,-0.00960,-0.00960,0.00820,0.00820,0.00000,0.00000,1.16620,,-1.05250,,,,,,,,,,28.69070,28.69090,-77.83450,,-4.35820,-0.5417,-0.5417
2010-06-30,,,,0.00940,,-0.00940,0.00220,-0.00720,-0.00720,-0.00720,,-0.00720,-0.00940,-0.00940,0.00810,0.00810,0.00000,0.00000,2.41600,3.10070,-1.47600,,,,,,,,,,28.14600,28.14690,-34.65470,-59.12850,-3.10780,-1.7629,-1.7629
2010-03-31,,,,0.00790,,-0.00790,-0.00060,-0.00850,-0.00850,-0.00850,,-0.00850,-0.00790,-0.00790,0.00780,0.00780,0.00000,0.00000,1.32510,8.83810,-1.12760,,,,,,,,,,25.68220,25.68180,-49.38140,-201.29620,-4.26370,-0.86000,-0.86000
2009-12-31,,,,0.00790,,-0.00790,-0.00060,-0.00850,-0.00850,-0.00850,0.00000,-0.00850,-0.00790,-0.00790,0.00780,0.00780,,0.00000,0.80250,-10.15340,-0.91030,,,,,,,,,,34.39150,34.39070,-94.40250,383.57430,,-0.2398,-0.2398
2009-09-30,,,,0.00810,,-0.00810,-0.00060,-0.00870,-0.00870,-0.00870,,-0.00870,-0.00810,-0.00810,0.00780,0.00780,0.00000,0.00000,,,,,,,,,,,,,,,,,,-0.9937,-0.9937
2009-06-30,,,,0.00880,,-0.00880,-0.00030,-0.00910,-0.00910,-0.00910,,-0.00910,-0.00880,-0.00880,0.00780,0.00780,0.00000,0.00000,,,,,,,,,,,,,,,,,,-1.8826,-1.8826
2009-03-31,,,,0.00660,,-0.00660,0.00000,-0.00660,-0.00660,-0.00660,,-0.00660,-0.00660,-0.00660,0.00780,0.00780,0.00000,0.00000,,,,,,,,,,,,,,,,,,-0.73010,-0.73010
