Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,13.77900,13.77900,3.15800,7.72600,-8.71900,-0.99300,-0.99300,,-0.99300,-0.99300,10.62100,10.62100,20.41700,20.41700,-0.05000,-0.05000,3.00980,0.46360,0.86430,100.00000,56.07080,77.08110,-7.20660,-7.20660,0.02760,2.15900,41.68520,-0.37510,-0.37510,-0.19900,-0.20120,12.94950,0.7428,0.7428
2018-06-30,14.82000,14.82000,4.07800,7.90600,-3.62600,4.28000,4.28000,,4.28000,4.28000,10.74200,10.74200,20.24400,20.24400,0.21000,0.21000,2.07990,0.46580,0.87190,100.00000,53.34680,72.48310,28.87990,28.87990,0.02890,2.04720,43.96150,1.58100,1.58100,0.83330,0.84460,13.34920,0.0411,0.0411
2018-03-31,14.95000,14.95000,3.77900,8.46500,-7.07500,1.39000,1.39000,,1.39000,1.39000,11.17100,11.17100,20.24000,20.24000,0.07000,0.07000,2.77460,0.46140,0.85680,100.00000,56.62210,74.72240,9.29770,9.29770,0.02920,2.59730,34.65150,0.50910,0.50910,0.27110,0.27420,13.48840,-0.05880,-0.05880
2017-12-31,13.36400,13.36400,4.15800,6.99500,-4.75400,2.24100,2.24100,,2.24100,2.24100,9.20600,9.20600,18.62500,18.62500,0.13000,0.13000,1.84570,0.44330,0.79640,100.00000,52.34210,68.88660,16.76890,16.76890,0.02630,2.50500,35.92860,0.80410,0.80410,0.44160,0.44760,13.76970,-3.6739,-3.6739
2017-09-30,13.46900,13.46900,4.67500,6.88700,-0.56900,6.31800,6.31800,,6.31800,6.31800,8.79400,8.79400,20.24000,20.24000,0.31000,0.31000,1.01000,0.34320,0.52260,100.00000,51.13220,65.29070,46.90770,46.90770,0.03020,3.19170,28.19810,2.22820,2.22820,1.41890,1.46340,14.00900,1.6338,1.6338
2017-06-30,12.26800,12.26800,3.99600,6.08800,-5.06400,1.02400,1.02400,,1.02400,1.02400,8.27200,8.27200,17.36900,17.36900,0.06000,0.06000,3.18810,0.38070,0.61480,100.00000,49.62500,67.42750,8.34690,8.34690,0.02640,3.44410,26.13140,0.36020,0.36020,0.22020,0.22300,14.04680,-1.4885,-1.4885
2017-03-31,12.00600,12.00600,3.96200,6.03400,-3.46500,2.56900,2.56900,,2.56900,2.56900,8.04400,8.04400,16.59400,16.59400,0.15000,0.15000,3.17860,0.44620,0.80570,100.00000,50.25820,66.99980,21.39760,21.39760,0.02740,3.92870,22.90860,1.07220,1.07220,0.58560,0.59380,14.33740,-0.20650,-0.20650
2016-12-31,11.23300,11.23300,4.06100,5.37700,2.18300,7.56000,7.56000,,7.53200,7.53200,7.17200,7.17200,14.54600,14.54600,0.43000,0.43000,1.88360,0.42480,0.73850,100.00000,47.86790,63.84760,67.30170,67.05240,0.02650,4.25010,21.17600,3.12730,3.12730,1.77410,1.79880,14.52480,-2.1297,-2.1297
2016-09-30,11.12800,11.12800,4.02200,5.58300,-1.97100,3.61200,3.61200,,3.61200,3.61200,7.10600,7.10600,15.55900,15.55900,0.23000,0.23000,1.70590,0.37300,0.59490,100.00000,50.17070,63.85690,32.45870,32.45870,0.02870,5.24660,17.15400,1.51070,1.51070,0.93230,0.94730,14.42200,-1.9353,-1.9353
2016-06-30,11.11800,11.11800,3.58600,5.75900,-0.48200,5.27700,5.27700,,5.27700,5.27700,7.53200,7.53200,13.00800,13.00800,0.41000,0.41000,3.05620,0.46700,0.87610,100.00000,51.79890,67.74600,47.46360,47.46360,0.03100,5.44730,16.52190,2.79720,2.79720,1.46970,1.49100,14.50260,0.4679,0.4679
2016-03-31,11.53900,11.53900,4.06100,5.78700,2.12900,7.91600,7.91600,0.02800,7.94400,7.94400,7.47800,7.47800,13.00800,13.00800,0.61000,0.61000,4.46390,0.48010,0.92360,100.00000,50.15170,64.80630,68.60210,68.84480,0.03150,6.15090,14.63210,4.22720,4.22720,2.16730,2.19760,14.44700,0.03090,0.03090
2015-12-31,10.12600,10.12600,3.50900,5.00500,-0.82800,4.17700,4.17700,,4.21200,4.21200,6.61700,6.61700,11.68300,11.68300,0.31000,0.31000,1.53280,0.46840,0.88120,100.00000,49.42720,65.34660,41.25020,41.59590,0.02830,6.30510,14.27420,2.28250,2.28250,1.17880,1.21330,14.18630,-0.6176,-0.6176
2015-09-30,9.17200,9.17200,3.24000,4.49800,0.28500,4.78300,4.78300,-0.04300,4.74000,4.74000,5.93200,5.93200,12.54500,12.54500,0.38000,0.38000,2.32720,0.46930,0.88420,100.00000,49.04060,64.67510,52.14780,51.67900,0.02670,5.80510,15.50370,2.63530,2.63530,1.37990,1.39860,14.20650,-4.6799,-4.6799
2015-06-30,9.51900,9.51900,3.19700,5.07100,0.02400,5.09500,5.09500,-0.03100,5.06400,5.06400,6.32200,6.32200,11.71800,11.71800,0.43000,0.43000,0.27830,0.34550,0.52780,100.00000,53.27240,66.41450,53.52450,53.19890,0.03260,7.41360,12.13990,2.86930,2.86930,1.73450,1.87810,14.17570,-0.2055,-0.2055
2015-03-31,8.08100,8.08100,2.81100,4.16700,-0.33000,3.83700,3.83700,0.03900,3.87600,3.87600,5.27000,5.27000,9.56200,9.56200,0.41000,0.41000,2.66050,0.48170,0.92930,100.00000,51.56540,65.21470,47.48180,47.96440,0.03040,7.29990,12.32890,2.85150,2.85150,1.45760,1.47800,14.11200,-1.57940,-1.57940
2014-12-31,8.68300,8.68300,2.90200,4.62100,0.27900,4.90000,4.90000,-0.69800,4.20200,4.20200,5.78100,5.78100,9.59600,9.59600,0.44000,0.44000,1.89010,0.44290,0.79490,100.00000,53.21890,66.57840,56.43210,48.39340,0.03560,9.12080,9.86760,3.14200,3.14200,1.72510,1.75050,14.05110,-0.0991,-0.0991
2014-09-30,7.66800,7.66800,2.75800,3.81000,-0.53300,3.27700,3.27700,0.09600,3.37300,3.37300,4.91000,4.91000,9.52700,9.52700,0.35000,0.35000,1.56930,0.45390,0.83120,100.00000,49.68700,64.03240,42.73610,43.98800,0.03030,8.46360,10.63380,2.54040,2.54040,1.33350,1.38730,13.94960,1.3686,1.3686
2014-06-30,7.04600,7.04600,2.41700,3.51400,-0.97200,2.54200,2.54200,0.12400,2.66600,2.66600,4.62900,4.62900,9.58200,9.58200,0.28000,0.28000,1.92300,0.45240,0.82610,100.00000,49.87230,65.69690,36.07720,37.83710,0.02860,6.92140,13.00310,2.00170,2.00170,1.08250,1.09620,13.93290,-0.9586,-0.9586
2014-03-31,6.51600,6.51600,2.41900,3.13000,-0.01200,3.11800,3.11800,0.55000,3.66800,3.66800,4.09700,4.09700,9.76100,9.76100,0.38000,0.38000,3.04590,0.42710,0.74540,100.00000,48.03560,62.87600,47.85140,56.29220,0.02710,1.83240,49.11600,2.71570,2.71570,1.52830,1.55590,13.98800,-1.51110,-1.51110
2013-12-31,6.39500,6.39500,2.27100,3.18400,-0.67800,2.50600,2.50600,0.00600,2.51200,2.51200,4.12400,4.12400,7.62400,7.62400,0.15000,0.15000,4.18020,0.37810,0.60790,100.00000,49.78890,64.48790,39.18690,39.28070,0.02830,10.02350,8.97890,1.81910,1.81910,1.11310,1.13140,13.92340,-5.0487,-5.0487
2013-09-30,4.34700,4.34700,1.34000,2.41300,-0.51800,1.89500,1.89500,0.07100,1.96600,1.96600,3.00700,3.00700,8.92200,8.92200,0.22000,0.22000,21.56970,0.30720,0.44350,100.00000,55.50960,69.17410,43.59330,45.22660,0.02130,5.97940,15.05180,1.40300,1.40300,0.96470,0.97190,14.00910,-2.4062,-2.4062
2013-06-30,3.75200,3.75200,1.52200,1.55000,0.43800,1.98800,1.98800,,1.98800,1.98800,2.23000,2.23000,5.76500,5.76500,0.34000,0.34000,1.61250,0.41830,0.71920,100.00000,41.31130,59.43500,52.98510,52.98510,0.02520,7.11950,12.64130,2.32720,2.32720,1.33710,1.35370,14.78450,-1.2239,-1.2239
2013-03-31,3.71900,3.71900,1.52200,1.50300,1.82000,3.32300,3.32300,-0.02300,3.30000,3.30000,2.19700,2.19700,5.75100,5.75100,0.57000,0.57000,4.40660,0.39970,0.66590,100.00000,40.41410,59.07500,89.35200,88.73350,0.02590,6.73730,13.35840,3.87350,3.87350,2.29930,2.32520,14.78040,0.43050,0.43050
2012-12-31,1.70000,1.70000,0.61000,1.09000,-0.14000,0.94000,0.94000,0.16000,0.94000,0.94000,1.09000,1.09000,,,,0.00000,7.64320,0.39670,0.65760,100.00000,64.11770,64.11770,55.29410,55.29410,0.01220,3.37970,26.62940,1.12390,1.12390,0.67510,0.67800,14.54500,0,0
2012-09-30,,,,,,0.00000,,0.00000,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2012-06-30,,,,,,0.00000,,0.00000,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2012-03-31,,,,,,0.00000,,0.00000,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.00000,
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
