Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-06-30,158.32300,14.63900,143.68400,134.29800,0.70800,133.59000,10.09400,0.84900,10.94300,2.22300,8.72000,,8.64400,9.52800,10.09400,10.09400,13.52590,13.53670,0.70000,0.70000,6.37560,6.37560,6.91180,6.01810,0.25930,2.04300,2.89090,1.41570,2.04300,31.28430,0,0
2016-03-31,112.98800,13.59700,99.39100,113.31200,0.10200,113.21000,-13.81900,0.01400,-13.80500,-2.80400,-11.00100,,-11.06100,-10.96400,-13.81900,-13.81900,13.49760,13.49760,-0.80000,-0.80000,-12.23050,-12.23050,-12.21810,-9.70370,0.18860,-2.65610,-3.82840,-1.84650,-2.65610,30.79100,0.00000,
2015-12-31,173.36100,14.48270,158.87820,144.19850,0.67500,143.52360,15.35470,0.57750,15.93220,3.12030,12.81190,,12.81390,12.76410,15.35470,15.35470,13.45290,13.62240,0.90000,0.90000,8.85710,8.85710,9.19020,7.36270,0.27660,3.02050,4.36310,2.04420,3.02050,31.44080,3.764,2.6827
2015-09-30,151.20600,15.30500,135.90100,117.51100,2.38200,115.12900,20.77200,0.36700,21.13900,5.24400,15.89500,,15.82000,16.04300,20.77200,20.77200,13.46640,13.53090,1.20000,1.20000,13.73750,13.73750,13.98030,10.61000,0.24510,3.82860,5.74390,2.56450,3.82860,,0,0
2015-06-30,157.80600,15.66200,142.14400,127.45700,0.28700,127.17000,14.97400,0.21600,15.19000,3.48400,11.70600,,11.62900,11.84600,14.97400,14.97400,13.45750,13.69960,0.90000,0.90000,9.48890,9.48890,9.62570,7.50670,0.25810,2.90060,4.55630,1.90220,2.90060,,0,0
2015-03-31,93.43100,14.86400,78.56700,86.27900,0.22400,86.05500,-7.48800,0.56800,-6.92000,-1.54100,-5.37900,,-5.45700,-5.32300,-7.48800,-7.48800,13.41080,13.41080,-0.40000,-0.40000,-8.01450,-8.01450,-7.40650,-5.69730,0.14890,-1.41320,-2.33900,-0.86970,-1.41320,,0.00000,
2014-12-31,171.84500,14.35000,157.49500,127.09000,0.00000,127.09000,30.40500,-0.83000,29.57000,6.59000,22.98000,-0.08000,23.22500,23.22500,56.57500,30.40500,13.36300,13.75100,1.70000,1.70000,17.69330,17.69330,17.20740,13.51510,0.26920,5.59740,8.63570,3.63880,5.59740,30.96080,9.0779,9.0779
2014-09-30,128.27400,12.92900,115.34500,84.56200,0.76100,83.80100,31.54400,0.35700,31.90100,5.50200,26.39900,,26.35300,25.68300,31.54400,31.54400,13.35290,13.75960,1.90000,1.90000,24.59110,24.59110,24.86940,20.02200,0.21770,6.84580,11.27690,4.47230,6.84580,,0,0
2014-06-30,117.36300,11.72000,105.64300,88.48000,,88.48000,17.16300,1.64000,18.80000,3.10000,15.70000,-0.06000,15.37100,15.37100,17.16300,17.16300,13.01300,13.30300,1.20000,1.20000,14.62390,14.62390,16.01870,13.09700,0.21520,4.08910,7.01070,2.81890,4.08910,,0,0
2014-03-31,78.54100,12.13000,66.41100,64.44000,,64.44000,1.97100,0.19000,2.15000,0.35000,1.80000,-0.04000,2.24200,2.24200,1.97100,1.97100,12.00000,12.18800,0.20000,0.20000,2.50950,2.50950,2.73740,2.85460,0.19920,0.94200,2.95120,0.56860,0.94200,,0.00000,
2013-12-31,126.35200,,126.35200,,,,126.35200,,126.35200,,126.35200,,24.72300,24.72300,126.35200,126.35200,12.00000,12.00000,2.10000,2.10000,100.00000,100.00000,100.00000,19.56680,0.31360,9.81940,29.91290,6.13570,9.81890,20.98250,6.9517,5.5842
2013-09-30,97.39400,,97.39400,,,,97.39400,,97.39400,,97.39400,,21.92000,21.92000,97.39400,97.39400,12.00000,12.00000,1.80000,1.80000,100.00000,100.00000,100.00000,22.50650,,,,,,,0,0
2013-06-30,71.85200,,71.85200,,,,71.85200,,71.85200,,71.85200,,5.69500,5.69500,71.85200,71.85200,12.00000,12.00000,0.50000,0.50000,100.00000,100.00000,100.00000,7.92600,,,,,,,0,0
2013-03-31,39.82400,,39.82400,,,,39.82400,,39.82400,,39.82400,,-9.81300,-9.81300,39.82400,39.82400,12.00000,12.00000,-0.80000,-0.80000,100.00000,100.00000,100.00000,-24.64090,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
