Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,169.12870,169.12870,77.40580,-57.43950,23.23950,23.23950,4.85730,18.38220,18.38220,,18.38220,43.58660,34.28350,6.07200,6.36400,3.08000,2.95000,15.35700,0.64990,1.85630,100.00000,13.74070,20.27060,13.74070,10.86880,0.13880,,,4.92790,5.31430,1.50880,1.72530,58.76250,16.6695,16.425
2021-12-31,148.57180,148.57180,74.22950,-56.45850,7.71770,7.71770,0.39090,7.32670,7.32670,,7.32670,26.59440,17.88380,6.11900,6.40400,1.20000,1.14000,20.09300,0.63770,1.75980,100.00000,5.19460,12.03720,5.19460,4.93140,0.11700,,,1.78960,1.92300,0.57680,0.64850,61.68540,9.4561,9.289
2021-09-30,137.82690,137.82690,74.98890,-42.04350,14.08090,14.08090,1.64080,12.44010,12.44010,,12.44010,27.64870,20.79450,6.08300,6.41300,2.04000,1.94000,15.21460,0.57670,1.36250,100.00000,10.21630,15.08740,10.21630,9.02590,0.12080,,,2.96890,3.19530,1.09070,1.25670,62.31520,9.0976,8.7267
2021-06-30,129.65940,129.65940,73.35120,-30.26580,20.54130,20.54130,4.77050,15.77080,15.77080,,15.77080,34.78330,26.04240,6.15800,6.45600,2.56000,2.44000,13.37390,0.53560,1.15350,100.00000,15.84250,20.08520,15.84250,12.16330,0.12670,,,3.88950,4.19700,1.54060,1.80620,60.57230,7.58740,7.45470
2021-03-31,148.73690,148.73690,79.86790,-5.63620,56.29320,56.29320,11.40920,44.88400,44.88400,,44.88400,82.01780,63.23280,6.49400,6.67200,7.00000,6.78000,14.24290,0.50000,1.00020,100.00000,37.84750,42.51320,37.84750,30.17670,0.15590,,,11.08440,12.00040,4.70350,5.54170,59.50440,13.6488,13.3077
2020-12-31,130.94560,130.94560,77.87510,-28.85740,16.90860,16.90860,2.41800,14.49060,14.49060,,14.49060,30.01650,24.21310,6.23400,6.45200,2.32000,2.25000,20.04990,0.60060,1.50360,100.00000,12.91270,18.49100,12.91270,11.06610,0.12660,,,4.03790,4.43670,1.40140,1.61280,53.03910,8.6632,7.5697
2020-09-30,124.44110,124.44110,75.29250,-26.09040,17.16540,17.16540,3.76670,13.39860,13.39860,,13.39860,26.71010,23.05820,6.68100,6.85300,2.01000,1.96000,16.59370,0.53640,1.15690,100.00000,13.79400,18.52940,13.79400,10.76700,0.13350,,,3.64810,3.97620,1.43720,1.69140,52.45290,4.2213,4.2971
2020-06-30,123.86680,123.86680,71.60800,-25.66070,21.03630,21.03630,5.52660,15.50970,15.50970,,15.50970,30.27520,26.59820,6.86700,6.92800,2.26000,2.24000,11.23010,0.47370,0.90020,100.00000,16.98300,21.47320,16.98300,12.52120,0.13720,,,3.96420,4.31040,1.71820,2.08620,52.50170,7.48260,7.14220
2020-03-31,163.01780,163.01780,96.70670,-32.25160,26.02470,26.02460,2.72110,23.30350,23.30350,,23.30350,60.96570,34.05950,7.68800,7.95300,3.20000,3.13000,12.69800,0.52270,1.09500,100.00000,15.96430,20.89310,15.96430,14.29510,0.15830,,,5.65670,6.13020,2.26230,2.70010,52.76170,11.7087,11.4182
2019-12-31,146.99610,146.99610,90.55770,-55.21950,-5.91130,-5.91130,0.35630,-6.26760,-6.26760,,-6.26760,4.94140,1.21890,7.22100,7.22100,-0.87000,-0.87000,20.84210,0.59820,1.48850,100.00000,-4.02140,0.82920,-4.02140,-4.26380,0.12860,,,-1.59820,-1.74060,-0.54830,-0.64220,49.43990,9.2128,8.7282
2019-09-30,141.57310,141.57310,78.45240,-52.96800,3.82490,3.82490,1.31170,2.51320,2.51320,,2.51320,13.23870,10.15270,7.80700,8.20200,0.32000,0.31000,19.32510,0.56780,1.31370,100.00000,2.70170,7.17130,2.70170,1.77520,0.13140,,,0.63630,0.69770,0.23320,0.27500,49.70350,7.8479,7.4666
2019-06-30,138.44200,138.44200,81.77640,-41.29110,10.97120,10.97120,2.36280,8.60840,8.60840,,8.60840,18.26160,15.37460,8.50700,8.86600,1.01000,0.97000,17.62590,0.37260,0.59380,100.00000,7.92480,11.10540,7.92480,6.21810,0.13300,,,1.56610,1.65940,0.82720,0.98260,59.86930,6.56040,6.33450
2019-03-31,156.99780,156.99780,78.62630,-28.53340,44.92430,44.92420,6.98360,37.94060,37.94060,0.00000,37.94060,52.18320,49.83820,8.99400,9.20400,4.22000,4.14000,15.01940,0.31330,0.45630,100.00000,28.61460,31.74450,28.61450,24.16630,0.18360,,,6.87180,7.16210,4.43760,4.71870,59.46970,8.8914,8.6007
2018-12-31,137.63930,137.63930,76.96420,-48.94390,7.09410,7.09410,0.83400,6.26020,6.26020,,6.26020,13.95840,11.73130,9.10900,9.27900,0.69000,0.67000,18.51370,0.34920,0.53660,100.00000,5.15410,8.52320,5.15410,4.54820,0.14840,,,1.09050,1.13340,0.67490,0.70970,58.34630,7.4399,7.195
2018-09-30,127.11580,127.11580,64.93590,-40.35870,17.66320,17.66320,3.60420,14.05910,14.05910,0.47860,14.53770,23.67190,21.82120,9.07200,9.29300,1.60000,1.56000,17.25840,0.28950,0.40740,100.00000,13.89540,17.16640,13.89540,11.43650,0.15150,,,2.48840,2.56040,1.67580,1.76800,61.72740,4.258,4.014
2018-06-30,122.79000,122.79000,67.77740,-30.59060,20.19700,20.19700,4.55930,15.63770,15.63770,-37.14100,-21.50330,26.72770,24.42200,9.05500,9.25300,-2.37000,-2.32000,14.94470,0.31680,0.46370,100.00000,16.44840,19.88930,16.44840,-17.51230,0.15120,,,3.02310,3.10360,1.92590,2.06540,56.81820,5.99310,5.75810
2018-03-31,141.39830,141.39830,75.28240,-16.63060,44.43360,44.43360,18.77800,25.65560,25.65560,3.48720,29.14280,51.82060,49.48530,8.79100,8.95900,3.30000,3.22000,14.52980,0.31160,0.45260,100.00000,31.42450,34.99710,31.42440,20.61040,0.16810,,,4.74130,4.86430,3.05070,3.26400,59.33850,8.049,7.8001
2017-12-31,125.70260,125.70260,64.84970,-40.45550,15.39690,15.39690,15.20350,0.19340,0.19340,1.48680,1.68020,22.73980,20.39740,8.78800,8.93800,0.19000,0.19000,20.24490,0.43530,0.77070,100.00000,12.24870,16.22670,12.24870,1.33670,0.13870,,,0.03960,0.04070,0.02130,0.02230,55.13540,5.7221,5.4162
2017-09-30,118.92910,118.92910,62.76740,-32.82440,18.54650,18.54650,6.51090,12.03560,12.03560,-2.23630,9.79930,25.63920,23.33730,8.71400,8.89500,1.12000,1.10000,16.42420,0.39550,0.65440,100.00000,15.59460,19.62280,15.59460,8.23970,0.13880,,,2.45550,2.52780,1.40430,1.48420,55.44710,4.8904,4.6765
2017-06-30,116.63840,116.63840,66.20820,-27.70960,18.47390,18.47390,7.26540,11.20850,11.20850,1.85920,13.06770,24.93680,22.72060,8.68700,8.82700,1.50000,1.48000,15.40490,0.38580,0.62820,100.00000,15.83860,19.47950,15.83860,11.20360,0.14110,,,2.34260,2.40810,1.35570,1.43880,54.27210,5.67450,5.45420
2017-03-31,103.65750,103.65750,46.63260,-11.22590,40.67450,40.67450,14.63360,26.04090,26.04090,,31.85080,48.03010,45.79910,8.70600,8.77800,3.65000,3.63000,16.01530,0.39030,0.64010,100.00000,39.23930,44.18310,39.23930,30.72700,0.12950,,,5.64800,5.80780,3.25270,3.44370,52.49500,7.2297,7.0179
2016-12-31,130.81480,130.81480,71.23680,-39.98480,14.31880,14.31880,4.67880,9.64000,9.64000,,9.64000,21.81220,19.59320,8.70200,8.78300,1.11000,1.10000,18.82140,0.48530,0.94300,100.00000,10.94580,14.97780,10.94590,7.36920,0.15190,,,2.28440,2.33230,1.11970,1.17570,48.05170,6.0928,5.9146
2016-09-30,129.26900,129.26900,63.45580,-35.87070,24.42360,24.42360,8.93210,15.49150,15.49150,,15.49150,32.37580,29.94250,8.72700,8.80500,1.78000,1.76000,18.72840,0.46320,0.86300,100.00000,18.89360,23.16290,18.89360,11.98390,0.15810,,,3.70770,3.78720,1.89520,1.99020,47.51690,5.3139,5.158
2016-06-30,127.08010,127.08010,62.94850,-32.01430,26.53100,26.53100,9.91300,16.61800,16.61800,,16.61800,34.67210,32.11730,8.72200,8.77000,1.91000,1.89000,15.97490,0.47100,0.89030,100.00000,20.87740,25.27330,20.87740,13.07680,0.15680,,,4.10550,4.19810,2.05050,2.17190,46.05490,6.35370,6.21470
2016-03-31,144.14300,144.14300,66.55530,-24.37280,46.25630,46.25630,16.43060,29.82570,29.82570,,29.82570,56.08150,53.21500,8.63600,8.69200,3.44000,3.42000,18.14470,0.48880,0.95610,100.00000,32.09060,36.91820,32.09050,20.69180,0.17880,,,7.61050,7.79020,3.69950,3.89070,44.47360,7.5541,7.1296
2015-12-31,139.69600,139.69600,71.58010,-35.44040,25.52620,25.52620,10.77480,14.75140,14.75140,,14.75140,35.11370,32.67560,8.65800,8.69400,1.70000,1.70000,25.43130,0.58520,1.41080,100.00000,18.27270,23.39050,18.27270,10.55960,0.15400,,,4.06520,4.17050,1.62640,1.68620,40.66680,6.4083,6.2264
2015-09-30,136.41180,136.41180,63.43630,-37.55710,28.14930,28.14930,8.96280,19.18640,19.18640,,19.18640,37.90450,35.41850,8.62100,8.64900,2.23000,2.22000,28.59770,0.58530,1.41160,100.00000,20.63550,25.96440,20.63550,14.06510,0.15800,,,5.53180,5.68400,2.22170,2.29390,39.12900,4.7344,4.6243
2015-06-30,137.22480,137.22480,67.56810,-26.22800,37.95670,37.95670,14.32470,23.63210,23.63210,,23.63210,45.43990,43.42870,8.58900,8.71200,2.75000,2.71000,16.81050,0.59250,1.45410,100.00000,27.66030,31.64790,27.66030,17.22140,0.15740,,,7.02800,7.22890,2.71100,2.86380,37.47000,5.01130,4.83440
2015-03-31,167.39780,167.39780,71.41040,-13.48320,76.83160,76.83170,28.31690,48.51480,48.51480,,48.51480,84.42100,82.50430,9.14600,9.31700,5.38000,5.27000,15.79830,0.61360,1.58810,100.00000,45.89760,49.28640,45.89770,28.98170,0.19330,,,15.37380,15.85020,5.60130,5.94020,35.18040,7.1653,7.0006
2014-12-31,148.70460,148.70460,75.63920,-38.29280,28.73500,28.73500,10.24500,18.49000,18.49000,,18.49000,36.70480,34.77260,9.04300,9.20900,2.04000,2.01000,25.48480,0.65410,1.89080,100.00000,19.32360,23.38370,19.32350,12.43410,0.15850,,,5.90600,6.09190,1.97050,2.04300,32.90280,6.1353,5.8985
2014-09-30,148.18490,148.18490,71.67720,-36.16070,34.32060,34.32060,13.04720,21.27330,21.27330,,21.27330,42.25600,40.34700,9.08800,9.26300,2.34000,2.30000,21.95460,0.65590,1.90630,100.00000,23.16060,27.22750,23.16060,14.35590,0.16650,,,7.24550,7.48810,2.39030,2.49300,31.05640,5.8046,5.5737
2014-06-30,145.92560,145.92560,73.32480,-30.89330,36.14310,36.14310,13.58780,22.55530,22.55530,,22.55530,43.63030,41.70760,9.54800,9.74100,2.36000,2.32000,17.15090,0.65850,1.92790,100.00000,24.76820,28.58140,24.76820,15.45670,0.16600,,,7.93380,8.21120,2.56640,2.70970,29.57710,6.85670,6.61030
2014-03-31,143.54120,143.54120,56.72480,-18.56860,62.55570,62.55560,23.57850,38.97710,38.97710,,38.97710,70.13510,68.24780,10.87700,11.10600,3.78000,3.72000,20.72070,0.62190,1.64470,100.00000,43.58030,47.54580,43.58020,27.15390,0.16890,,,12.68140,13.09670,4.58540,4.79510,29.95080,6.1652,5.9964
2013-12-31,160.49350,160.49350,77.29840,-41.11590,36.53330,36.53330,13.57940,22.95390,22.95390,,22.95390,43.92680,42.07920,10.71000,10.95000,2.14000,2.10000,24.48120,0.63970,1.77510,100.00000,22.76310,26.21870,22.76310,14.30210,0.16950,,,6.98600,7.20480,2.42380,2.51740,30.06680,6.6102,6.4169
2013-09-30,149.96360,149.96360,71.98820,-38.18770,34.50690,34.50700,12.94170,21.56530,21.56530,,21.56530,41.73350,39.78770,11.08300,11.31200,1.95000,1.91000,25.34680,0.57990,1.38030,100.00000,23.01020,26.53160,23.01020,14.38030,0.17220,,,6.11390,6.29630,2.47670,2.56860,30.74670,4.8786,4.6975
2013-06-30,145.26510,145.26510,75.23710,-28.70320,36.64840,36.64840,13.53670,23.11170,23.11170,,23.11170,43.35750,41.32480,12.00200,12.34300,1.93000,1.87000,19.01060,0.55900,1.26760,100.00000,25.22860,28.44790,25.22860,15.91000,0.17220,,,6.52560,6.72420,2.73990,2.87770,30.07570,4.49290,4.37120
2013-03-31,141.76230,141.76230,55.51380,-20.91130,60.33940,60.33930,22.44000,37.89930,37.89930,,37.89930,67.62950,65.33730,12.72800,13.00300,3.15000,3.07000,17.19220,0.52210,1.09240,100.00000,42.56370,46.08930,42.56370,26.73440,0.17520,,,10.34380,10.64960,4.68280,4.94350,30.10400,5.9392,5.8186
2012-12-31,149.63960,149.63960,74.79790,-37.39460,33.04320,33.04320,12.36920,20.67400,20.67400,,20.67400,39.35150,37.44710,12.83700,13.10000,1.61000,1.58000,25.31050,0.57810,1.37050,100.00000,22.08190,25.02480,22.08190,13.81590,0.16920,,,5.75060,5.92460,2.33820,2.42590,28.63690,4.817,4.7047
2012-09-30,139.39830,139.39830,66.15800,-32.40170,36.77260,36.77260,13.87120,22.90150,22.90150,,22.90150,42.73570,40.83860,12.98500,13.28700,1.76000,1.72000,25.60700,0.49310,0.97280,100.00000,26.37950,29.29640,26.37950,16.42880,0.17150,,,5.76300,5.92430,2.81700,2.92110,30.74820,3.634,3.4837
2012-06-30,132.83590,132.83590,69.15910,-23.61490,36.13570,36.13570,13.52070,22.61500,22.61500,,22.61500,42.38790,40.06190,13.61500,13.90200,1.66000,1.63000,19.95910,0.48080,0.92600,100.00000,27.20330,30.15890,27.20330,17.02480,0.17230,,,5.92230,6.09510,2.93370,3.07490,29.23890,3.45520,3.30900
2012-03-31,148.92020,148.92020,68.47320,-16.70000,60.51730,60.51730,22.89070,37.62660,37.62660,,37.62660,65.91510,63.74700,14.90700,15.28900,2.56000,2.50000,18.20450,0.40000,0.66670,100.00000,40.63740,42.80610,40.63740,25.26630,0.20260,,,8.98280,9.22890,5.11920,5.38970,30.13920,4.4099,4.2758
2011-12-31,135.94650,135.94650,66.23420,-36.10910,30.26510,30.26510,10.68330,19.58180,19.58180,,19.58180,35.61250,33.60320,14.74700,15.12000,1.33000,1.30000,26.00220,0.42800,0.74840,100.00000,22.26250,24.71800,22.26250,14.40410,0.17070,,,4.45540,4.57360,2.45830,2.54830,29.58470,3.5532,3.4656
2011-09-30,132.13900,132.13900,61.46350,-30.05730,36.67120,36.67110,13.36720,23.30390,23.30390,,23.30390,43.69310,40.61820,14.91500,15.32800,1.56000,1.52000,23.12020,0.46570,0.87150,100.00000,27.75200,30.73900,27.75200,17.63590,0.16430,,,5.64750,5.80970,2.89720,3.01770,28.19380,3.2012,3.0913
2011-06-30,123.15610,123.15610,64.51330,-22.83910,32.41980,32.41980,12.23770,20.18210,20.18210,,20.18210,38.87460,35.80370,15.48200,15.91800,1.30000,1.27000,17.19770,0.37050,0.58860,100.00000,26.32420,29.07180,26.32420,16.38740,0.17470,,,4.80480,4.94480,2.86340,3.02450,27.93750,3.18600,3.06920
2011-03-31,136.94190,136.94190,62.73360,-16.97310,53.71560,53.71560,19.47950,34.23620,34.23620,,34.23620,60.48130,57.23520,15.83400,16.21000,2.16000,2.11000,16.64530,0.29750,0.42350,100.00000,39.22510,41.79520,39.22510,25.00050,0.20550,,,7.73570,7.95130,5.13750,5.43430,28.16980,3.7372,3.6414
2010-12-31,126.03990,126.03990,61.39300,-31.96200,28.88160,28.88160,10.81750,18.06410,18.06410,,18.06410,35.73280,32.68490,15.70400,16.10300,1.15000,1.12000,17.65930,0.40550,0.68210,100.00000,22.91460,25.93220,22.91460,14.33200,0.17140,,,4.35650,4.49100,2.45680,2.58990,26.24150,3.6892,3.6024
2010-09-30,118.06510,118.06510,56.09070,-27.27510,30.60340,30.60340,10.36920,20.23420,20.23420,,20.23420,37.68960,34.69930,15.65400,16.02300,1.29000,1.26000,21.95620,0.38180,0.61760,100.00000,25.92080,29.38990,25.92080,17.13820,0.17850,,,5.16060,5.33330,3.05880,3.19020,25.05710,2.3297,2.2165
2010-06-30,110.39820,110.39820,57.29750,-19.69820,30.04850,30.04850,11.33380,18.71470,18.71470,,18.71470,36.37060,33.40240,16.13000,16.44600,1.16000,1.14000,14.34730,0.37050,0.58860,100.00000,27.21830,30.25630,27.21830,16.95200,0.17540,,,5.04280,5.22440,2.97410,3.17430,23.70430,2.57180,2.47320
2010-03-31,123.88990,123.88990,56.38690,-15.08190,49.02310,49.02310,19.35990,29.66320,29.66320,,29.66320,55.59870,52.42110,16.30400,16.54600,1.81000,1.77000,13.52270,0.30820,0.44560,100.00000,39.56990,42.31260,39.56990,23.94320,0.20890,,,7.74600,8.02320,5.00180,5.35830,23.17810,3.5372,3.448
2009-12-31,112.31010,112.31010,55.53740,-29.63280,23.38390,23.38390,8.63270,14.75120,14.75120,,14.75120,30.21590,27.14000,16.29800,16.57600,0.91000,0.89000,19.05210,0.43060,0.75610,100.00000,20.82080,24.16520,20.82080,13.13440,0.17550,,,4.24920,4.41610,2.30440,2.41960,21.20140,2.995,2.9273
2009-09-30,104.20580,104.20580,51.75490,-25.15600,23.67780,23.67780,9.06590,14.61180,14.61180,,14.61180,30.32130,27.29480,16.23500,16.41800,0.90000,0.89000,18.26820,0.40330,0.67590,100.00000,22.72210,26.19320,22.72210,14.02210,0.17980,,,4.44360,4.63570,2.52130,2.65140,20.24290,2.3026,2.226
2009-06-30,100.23040,100.23040,53.33280,-20.42830,23.35920,23.35920,8.72410,14.63510,14.63510,,14.63510,29.51400,26.46940,16.22500,16.35100,0.90000,0.90000,15.14540,0.40500,0.68080,100.00000,23.30550,26.40850,23.30550,14.60140,0.17890,,,4.66520,4.88470,2.61190,2.77560,19.32630,2.26190,2.17840
2009-03-31,112.84930,112.84930,51.33230,-14.82170,43.23830,43.23830,16.89770,26.34070,26.34070,,26.34070,49.84430,46.69530,16.24000,16.46000,1.62000,1.61000,14.26380,0.39940,0.66490,100.00000,38.31510,41.37850,38.31510,23.34150,0.21450,,,8.88880,9.34840,5.00680,5.33890,18.27870,9.3508,8.7516
