Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,1.91410,1.08750,-3.00160,,-3.00490,-3.00490,-3.00490,-3.00490,-2.99850,-3.00160,0.11080,0.11080,-27.00270,-27.00270,8.13250,0.03150,-21.54370,-21.54370,-18.95430,-21.54370,87.70990,-12.6296,-12.6283
2020-09-30,1.04230,0.96880,-2.01110,,-2.01110,-2.01110,-2.01110,-2.01110,-2.00790,-2.01110,0.10990,0.10990,-18.00180,-18.00180,4.92610,,-81.27310,-81.27300,-67.36700,-81.27300,22.29190,-11.5048,-11.5044
2020-06-30,1.49230,0.98150,-2.47380,,-2.47380,-2.47380,-2.47380,-2.47380,-2.47090,-2.47380,0.10970,0.10970,-22.50230,-22.50230,15.13940,,-66.41700,-66.41700,-62.06440,-66.41700,33.96640,-25.0099,-25.1152
2020-03-31,0.61310,1.35510,-1.96810,,-1.96810,-1.96810,-1.96810,-1.96810,-1.96620,-1.96810,0.10970,0.10970,-18.00180,-18.00180,18.41610,,-33.49920,-33.49920,-31.68680,-33.49920,53.57820,-16.91740,-16.97580
2019-12-31,1.43770,1.08610,-2.52370,-0.00360,-2.52730,-2.52730,-2.52730,-2.52730,-2.52260,-2.52370,0.09100,0.09100,-27.00270,-27.00270,25.38240,,-33.24990,-33.24990,-31.94290,-33.24990,69.31770,-27.1463,-27.2748
2019-09-30,0.32560,0.37350,-0.69910,-0.00760,-0.70670,-0.70670,-0.70670,-0.70670,-0.69840,-0.69910,0.09050,0.09050,-7.50080,-7.50080,0.99480,,,,-50.55210,,0.00240,-3.9637,-3.9611
2019-06-30,0.04270,0.37230,-0.41510,-0.01660,-0.43170,-0.43170,-0.43170,-0.43170,-0.40570,-0.41510,0.08800,0.08800,-4.50050,-4.50050,,,,,,,,-6.9717,-7.0669
2019-03-31,0.04830,0.14680,-0.19510,-0.01640,-0.21150,-0.21150,-0.21150,-0.21150,-0.18620,-0.19510,0.08460,0.08460,-3.00030,-3.00030,,,,,,,,-0.97710,-0.97710
2018-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,7.961,7.961
2018-09-30,0.00460,0.16530,-0.16990,-0.02330,-0.19320,-0.19320,-0.19320,-0.19320,-0.16990,-0.16990,0.07000,0.07000,-3.00030,-3.00030,,,,,,,,-7.961,-7.961
