Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-06-30,80.40000,95.70000,-15.30000,53.10000,71.00000,-86.30000,-9.20000,-95.50000,-95.50000,-95.50000,-95.50000,-83.30000,-86.30000,14.10000,14.10000,-6.77000,-6.77000,0.36890,0.58460,-107.33830,-107.33830,-118.78110,-118.78110,0.05430,-24.61340,-19.10000,-6.45360,-12.05350,35.29360,-3.7826,-3.9656
2022-03-31,85.40000,96.70000,-11.30000,46.80000,60.70000,-72.00000,-5.50000,-77.50000,-77.50000,-77.50000,-77.50000,-68.40000,-72.00000,14.00000,14.00000,-5.54000,-5.54000,0.33370,0.50080,-84.30910,-84.30910,-90.74940,-90.74940,0.05460,-16.53510,-13.34600,-4.95780,-8.89270,41.05440,-3.65710,-3.85000
2021-12-31,93.20000,107.80000,-14.60000,61.10000,77.30000,-91.90000,-18.00000,-109.90000,-109.90000,-109.90000,-109.90000,-86.30000,-91.90000,13.80000,13.80000,-8.04610,-8.04610,,,-98.60510,-98.60510,-117.91840,-117.91840,0.07060,-20.48840,-16.94940,-8.33020,-16.94940,46.31430,-3.0233,-3.3241
2021-09-30,93.80000,114.40000,-20.60000,88.30000,106.30000,-126.90000,-6.10000,-133.00000,-133.00000,-133.00000,-133.00000,-123.10000,-126.90000,13.90000,13.90000,-9.57000,-9.57000,0.24080,0.31710,-135.28790,-135.28790,-141.79100,-141.79100,0.06150,-20.91200,-20.91200,-8.72420,-15.87680,45.30240,-9.8416,-10.0128
2021-06-30,89.80000,110.20000,-20.40000,134.20000,151.70000,-172.10000,-6.50000,-178.60000,-178.60000,-178.60000,-178.60000,-168.40000,-172.10000,13.83880,13.83880,-12.94960,-12.94960,0.20550,0.25870,-191.64810,-191.64810,-198.88640,-198.88640,0.05660,-23.43830,-23.43830,-11.24900,-18.62160,54.02060,-9.7507,-9.9447
2021-03-31,68.60000,59.90000,8.70000,89.20000,103.00000,-94.30000,-5.30000,-99.60000,-99.60000,-99.60000,-99.60000,-90.80000,-94.30000,13.73880,13.73880,-7.19420,-7.19420,0.17060,0.20570,-137.46360,-137.46360,-145.18950,-145.18950,0.04030,-10.66040,-10.66040,-5.84440,-8.84150,66.44510,-6.61630,-6.76190
2020-12-31,50.90000,59.50000,-8.60000,67.20000,79.90000,-88.50000,-44.80000,-133.30000,-133.30000,-133.30000,-133.30000,-83.50000,-88.50000,4.20000,4.20000,20.04480,20.04480,0.15420,0.18230,-173.87040,-173.87040,-261.88600,-261.88600,0.02890,-12.91170,-12.91170,-7.56400,-10.92090,73.80110,-24.4368,-23.5552
2020-09-30,50.50000,76.10000,-25.60000,27.20000,40.10000,-65.70000,-19.50000,-85.20000,-85.20000,-85.20000,-85.20000,-62.20000,-65.70000,2.15730,2.15730,-39.56840,-39.56840,1.04760,-22.00000,-130.09900,-130.09900,-168.71290,-168.71290,0.06020,14.93690,851.99990,-10.16100,-40.57140,-4.74550,-14.332,-15.0771
2020-06-30,121.40000,97.30000,24.10000,44.00000,55.30000,-31.20000,-7.70000,-38.90000,-38.90000,-38.90000,-38.90000,-27.80000,-31.20000,2.10720,2.10720,-18.52520,-18.52520,,,-25.70020,-25.70020,-32.04280,-32.04280,,,,,,,-8.4688,-9.0839
2020-03-31,124.00000,129.90000,-5.90000,78.00000,94.00000,-99.90000,-5.70000,-105.60000,-105.60000,-105.60000,-105.60000,-96.20000,-99.90000,2.18510,2.18510,-48.38130,-48.38130,,,-80.56450,-80.56450,-85.16130,-85.16130,,,,,,,-21.14340,-22.37910
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,37.5217,41.6047
2019-09-30,79.60000,100.90000,-21.30000,58.60000,65.60000,-86.90000,-13.30000,-100.20000,-100.20000,-100.20000,-100.20000,-86.90000,-86.90000,1.93490,1.93490,-51.79860,-51.79860,,,-109.17090,-109.17090,-125.87940,-125.87940,,,,,,,-37.5217,-41.6047
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
