Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,19.56800,6.53000,-26.09800,0.11100,-25.98700,-25.98700,-25.98700,-25.98700,-24.76100,-26.09800,32.99300,32.99300,-0.79000,-0.79000,20.58830,,,,,,-11.36260,-11.36260,-8.48420,-11.36260,6.92990,-0.55340,-0.60700
2021-12-31,,,17.30000,5.58600,-22.88600,0.07200,-22.81400,-22.81400,-22.81400,-22.81400,-21.50300,-22.88600,32.85700,32.85700,-0.69000,-0.69000,18.98940,,,,,,-9.09040,-9.09040,-8.32920,-9.09040,7.61180,-0.537,-0.5704
2021-09-30,,,16.61600,5.81200,-22.42800,0.07500,-22.35300,-22.35300,-22.35300,-22.35300,-21.06100,-22.42800,32.90300,32.90300,-0.68000,-0.68000,21.96170,,,,,,-8.27860,-8.27860,-7.64300,-8.27860,8.19900,-0.5526,-0.5986
2021-06-30,,,15.95700,5.67700,-21.63400,0.09900,-21.53500,-21.53500,-21.53500,-21.53500,-20.45000,-21.63400,32.82700,32.82700,-0.66000,-0.66000,27.68480,,,,,,-7.46750,-7.46750,-6.96680,-7.46750,8.77790,-0.5304,-0.5724
2021-03-31,,,13.53900,5.94200,-19.48100,0.10800,-19.37300,-19.37300,-19.37300,-19.37300,-18.42200,-19.48100,32.74000,32.74000,-0.59000,-0.59000,32.31410,,,,,,-6.33130,-6.33130,-5.94830,-6.33130,9.32950,-0.44740,-0.47890
2020-12-31,,,11.27000,6.72900,-17.99900,0.10200,-17.89700,-17.89700,-17.89700,-17.89700,-17.09400,-17.99900,16.80600,16.80600,30.47000,30.47000,36.10410,,,,,,-5.57160,-5.57160,-5.30050,-5.57160,9.84490,-1.5993,-1.8383
2020-09-30,,,9.82800,3.91800,-13.74600,0.05300,-13.69300,-13.69300,-13.69300,-13.69300,-13.37600,-13.74600,30.98100,30.98100,-0.44000,-0.44000,34.87750,,,,,,-4.08770,-4.08770,-3.88680,-4.08770,10.28560,9.9158,12.5402
2020-06-30,,,7.86200,2.49300,-10.35500,-40.71000,-51.06500,-51.06500,-51.06500,-51.06500,-10.21900,-10.35500,1.69900,1.69900,-30.06000,-30.06000,0.37320,,,,,,60.87210,60.87210,-117.07930,60.87210,-2.56750,-5.7548,-7.1421
2020-03-31,,,7.26000,2.14800,-9.40800,0.70200,-8.70600,-8.70600,-8.70600,-8.70600,-9.29500,-9.40800,1.60900,1.60900,-5.41000,-5.41000,,,,,,,,,,,,-5.15040,-6.59540
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,7.6723,8.5265
2019-09-30,,,4.62000,1.28900,-5.90900,3.24100,-2.66800,-2.66800,-2.66800,-2.66800,-5.80190,-5.90900,1.52900,1.52900,-1.75000,-1.75000,,,,,,,,,,,,-2.7092,-3.0695
2019-06-30,0.00230,0.00230,3.62090,1.05230,-4.67080,-0.16710,-4.83800,-4.83800,-4.83800,-4.83800,-4.67080,-4.67080,1.42700,1.42700,-3.39000,-3.39000,,100.00000,-202375.30000,-202375.30000,-209616.80000,-209616.80000,,,,,,-4.9631,-5.457
