Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-03-31,,,,0.41400,,-0.41400,1.64200,1.22800,0.25800,0.97000,0.97000,,0.97000,-0.41400,-0.41400,4.16800,4.16800,0.23000,0.23000,,,,,,,0.99930,0.99930,0.99930,0.99930,23.25520,0.33810,0.33810
2018-12-31,,,,0.46200,,-0.46200,1.55600,1.09400,0.28100,0.81300,0.81300,,0.81300,-0.46200,-0.46200,4.16800,4.16800,0.19000,0.19000,,,,,,,0.84600,0.84600,0.84580,0.84600,23.05590,0.0893,0.0893
2018-09-30,,,,0.63400,,-0.63400,8.52400,7.89000,1.90200,5.98800,5.98800,,5.98800,-0.63400,-0.63400,4.16800,4.16800,1.44000,1.44000,,,,,,,6.28440,6.28440,6.28340,6.28440,22.86080,-0.2145,5.1958
2018-06-30,,,,0.37400,,-0.37400,1.08100,0.70700,,0.70700,0.70700,,0.70700,-0.37400,-0.37400,4.16800,4.16800,0.17000,0.17000,,,,,,,0.79170,0.79170,0.79160,0.79170,21.42420,0.2377,0.2377
2018-03-31,,,,0.34000,,-0.34000,1.04200,0.70200,,0.70200,0.70200,,0.70200,-0.34000,-0.34000,4.16800,4.16800,0.17000,0.17000,,,,,,,0.79240,0.79240,0.79240,0.79240,21.25460,0.27810,0.27810
2017-12-31,,,,0.32400,,-0.32400,1.10500,0.78100,,-0.85000,-0.85000,,-0.85000,-0.32400,-0.32400,4.16800,4.16800,-0.21000,-0.21000,,,,,,,-0.96720,-0.96720,-0.96700,-0.96720,21.08610,-2.3614,-2.3614
2017-09-30,,,,0.31200,,-0.31200,0.92400,0.61200,,0.61200,0.61200,,0.61200,-0.31200,-0.31200,4.16800,4.16800,0.15000,0.15000,,,,,,,0.68970,0.68970,0.68970,0.68970,21.29030,2.215,2.215
2017-06-30,,,,0.36000,,-0.36000,1.36900,1.00900,,1.00900,1.00900,,1.00900,-0.36000,-0.36000,4.16800,4.16800,0.24000,0.24000,,,,,,,1.14500,1.14500,1.14480,1.14500,21.14320,0.4568,0.4568
2017-03-31,,,,0.35200,,-0.35200,1.08900,0.73700,,0.73700,0.73700,,0.73700,-0.35200,-0.35200,4.16800,4.16800,0.18000,0.18000,,,,,,,0.84600,0.84600,0.84570,0.84600,20.90120,0.35750,0.35750
2016-12-31,,,,0.28900,,-0.28900,1.10300,0.81400,,-0.30700,-0.30700,,-0.30700,-0.28900,-0.28900,4.16800,4.16800,-0.07000,-0.07000,,,,,,,-0.35540,-0.35540,-0.35530,-0.35540,20.72430,-0.2442,-0.2442
2016-09-30,,,,0.34300,,-0.34300,1.09500,0.75200,,0.75200,0.75200,,0.75200,-0.34300,-0.34300,4.16800,4.16800,0.18000,0.18000,,,,,,,0.86750,0.86750,0.86740,0.86750,20.79800,0.3759,0.3759
2016-06-30,,,,0.34200,,-0.34200,1.08500,0.74300,,0.74300,0.74300,,0.74300,-0.34200,-0.34200,4.16800,4.16800,0.18000,0.18000,,,,,,,0.86460,0.86460,0.86440,0.86460,20.61760,0.042,0.042
2016-03-31,,,,0.31800,,-0.31800,1.21100,0.89300,,0.89300,0.89300,,0.89300,-0.31800,-0.31800,4.16800,4.16800,0.21000,0.21000,,,,,,,1.04820,1.04820,1.04820,1.04820,20.43930,0.65500,0.65500
2015-12-31,,-0.01000,0.01000,0.33000,0.33000,-0.32000,0.78900,0.46900,,-0.33800,-0.33800,,-0.33800,-0.32000,-0.32000,4.16800,4.16800,-0.07000,-0.07000,,,,,,,-0.40100,-0.40100,-0.40090,-0.40100,20.22510,-0.733,-0.733
2015-09-30,,0.05600,-0.05600,0.28900,0.28900,-0.34500,1.02500,0.68000,,0.68000,0.68000,,0.68000,-0.34500,-0.34500,4.16800,4.16800,0.16000,0.16000,0.11320,,,,,,0.80340,0.80340,0.72160,0.80340,20.30610,0.3366,0.3366
2015-06-30,,0.00800,-0.00800,0.34400,0.34400,-0.35200,0.95500,0.60300,,0.60300,0.60300,,0.60300,-0.35200,-0.35200,4.16800,4.16800,0.14000,0.14000,0.11570,,,,,,0.71820,0.71820,0.64360,0.71820,20.14300,-0.0043,-0.0043
2015-03-31,,0.00700,-0.00700,0.39400,0.39400,-0.40100,0.95500,0.55400,,0.55400,0.55400,,0.55400,-0.40100,-0.40100,4.16800,4.16800,0.13000,0.13000,0.12030,,,,,,0.66460,0.66460,0.59270,0.66460,19.99830,0.46640,0.46640
2014-12-31,,0.00800,-0.00800,0.37700,0.37700,-0.38500,1.01300,0.62800,,-0.31800,-0.31800,,-0.31800,-0.38500,-0.38500,4.16800,4.16800,-0.08000,-0.08000,0.12370,,,,,,-0.38410,-0.38410,-0.34170,-0.38410,19.86540,-0.2608,-0.5492
2014-09-30,,0.01300,-0.01300,0.36700,0.36700,-0.38000,1.00300,0.62300,,0.62300,0.62300,,0.62300,-0.38000,-0.38000,4.16800,4.16800,0.15000,0.15000,0.12320,,,,,,0.74950,0.74950,0.66710,0.74950,19.94170,0.3248,0.3239
2014-06-30,,0.01100,-0.01100,0.35200,0.35200,-0.36300,1.05800,0.69500,,0.69500,0.69500,,0.69500,-0.36300,-0.36300,4.16800,4.16800,0.17000,0.17000,0.12410,,,,,,0.84250,0.84250,0.74890,0.84250,19.79220,-0.0569,-0.0569
2014-03-31,,0.01800,-0.01800,0.37200,0.37200,-0.39000,0.94900,0.55900,,0.55900,0.55900,,0.55900,-0.39000,-0.39000,4.16800,4.16800,0.13000,0.13000,0.15110,,,,,,0.68340,0.68340,0.59290,0.68340,19.62550,1.09170,1.09170
2013-12-31,,0.01500,-0.01500,0.94300,0.94300,-0.95800,7.57100,6.61300,3.05700,3.55600,3.55600,-0.00400,3.55200,-0.95800,-0.95800,4.16800,4.16800,0.86000,0.86000,0.15210,,,,,,4.37720,4.37720,3.79050,4.37720,19.49140,0.4127,0.4127
2013-09-30,,0.04900,-0.04900,0.45600,0.45600,-0.50500,1.13000,0.62500,,0.62500,0.62500,,0.62500,-0.50500,-0.50500,4.16800,4.16800,0.15000,0.15000,0.36490,,,,,,0.80450,0.80450,0.56170,0.80450,18.63920,-0.2066,-0.2066
2013-06-30,,0.00900,-0.00900,0.46800,0.46800,-0.47700,1.12300,0.64600,,0.64600,0.64600,,0.64600,-0.47700,-0.47700,4.16800,4.16800,0.15000,0.15000,0.36850,,,,,,0.83830,0.83830,0.58230,0.83830,18.48920,-0.137,-0.137
2013-03-31,,0.01400,-0.01400,0.39200,0.39200,-0.40600,1.11900,0.71300,0.00600,0.70700,0.70700,-0.01200,0.69500,-0.40600,-0.40600,4.16800,4.16800,0.17000,0.17000,0.37230,,,,,,0.92520,0.92520,0.64210,0.92520,18.33420,0.20900,0.20900
2012-12-31,,0.00800,-0.00800,0.29400,0.29400,-0.30200,0.85900,0.55700,0.86000,-0.30300,-0.30300,-0.03700,-0.34000,-0.30200,-0.30200,4.16800,4.16800,-0.08000,-0.08000,0.37650,,,,,,-0.40010,-0.40010,-0.29030,-0.40010,18.16750,-0.209,-0.209
2012-09-30,,0.01400,-0.01400,0.27100,0.27100,-0.28500,0.68200,0.39700,0.01400,0.38300,0.38300,-0.02700,0.35600,-0.28500,-0.28500,4.16800,4.16800,0.08000,0.08000,0.37340,,,,,,0.50350,0.50350,0.34910,0.50350,18.24930,0.1247,0.1247
2012-06-30,,0.01400,-0.01400,0.41200,0.41200,-0.42600,1.42400,0.99800,0.00000,0.99800,0.99800,,0.99800,-0.42600,-0.42600,4.16800,4.16800,0.24000,0.24000,0.37610,,,,,,1.31830,1.31830,0.91140,1.31830,18.16360,0.2548,0.2548
2012-03-31,,0.03100,-0.03100,0.35200,0.35200,-0.38300,0.89700,0.51400,0.00200,0.51200,0.51200,-0.00500,0.50700,-0.38300,-0.38300,4.16800,4.16800,0.12000,0.12000,0.38190,,,,,,0.68530,0.68530,0.47180,0.68530,17.92420,0.64160,0.64160
2011-12-31,,0.02000,-0.02000,0.32900,0.32900,-0.34900,2.57300,2.22400,0.14100,2.08300,2.08100,0.93500,3.01600,-0.34900,-0.34900,4.16800,4.16800,0.72000,0.72000,0.38530,,,,,,2.80450,2.80450,1.92610,2.80450,17.80250,-0.0189,-0.0189
2011-09-30,,0.00600,-0.00600,0.31300,0.31300,-0.31900,0.28900,-0.03000,0.17000,-0.20000,-0.20000,-0.31500,-0.51500,-0.31900,-0.31900,4.16800,4.16800,-0.13000,-0.13000,0.40220,,,,,,-0.28100,-0.28100,-0.18770,-0.28100,17.07890,0.0614,0.8056
2011-06-30,,0.00300,-0.00300,0.39300,0.39300,-0.39600,0.30800,-0.08800,0.50300,-0.59100,-0.59100,-0.93400,-1.52500,-0.39600,-0.39600,4.16800,4.16800,-0.36000,-0.36000,0.52950,,,,,,-0.82430,-0.82430,-0.50670,-0.82430,17.20250,-0.215,-0.215
2011-03-31,,0.00900,-0.00900,0.31500,0.31500,-0.32400,0.01400,-0.31000,0.00100,-0.31100,-0.30900,0.00200,-0.30700,-0.32400,-0.32400,4.16800,4.16800,-0.07000,-0.07000,0.49760,,,,,,-0.42200,-0.42200,-0.26500,-0.42200,17.56840,0.38920,0.38920
2010-12-31,,-0.04200,0.04200,0.44300,0.44300,-0.40100,2.27700,1.75000,0.00900,1.74100,1.74100,-0.01600,1.72500,-0.39000,-0.52700,4.16800,4.16800,0.41100,0.41100,0.49780,,,,,,2.36770,2.36770,1.48690,2.36770,17.64200,0.1344,0.1343
2010-09-30,,0.00700,-0.00700,0.28700,0.28700,-0.29400,0.22500,-0.06900,-0.01300,-0.05600,-0.05600,0.02400,-0.03200,-0.29000,-0.29400,4.16800,4.16800,-0.00700,-0.00700,0.51230,,,,,,-0.07800,-0.07800,-0.04850,-0.07800,17.20320,0.0168,0.0029
2010-06-30,0.06500,0.03500,0.03000,0.33900,0.33900,-0.30900,0.29100,-0.01800,,-0.01800,-0.01800,,-0.01800,-0.30900,-0.30900,4.16800,4.16800,-0.00400,-0.00400,0.51420,-475.38470,-475.38470,-27.69230,-27.69230,0.00060,-0.02510,-0.02510,-0.01560,-0.02510,17.21080,-0.0518,-0.0518
2010-03-31,0.06100,0.05200,0.00900,0.27400,0.27400,-0.26500,0.38000,0.11500,-0.04800,0.16300,0.16300,,0.16300,-0.26500,-0.26500,4.16800,4.16800,0.04000,0.04000,0.51380,-434.42620,-434.42620,188.52460,267.21310,0.00050,0.22680,0.22680,0.14100,0.22680,17.21540,-0.04730,-0.04730
2009-12-31,,-0.09900,0.09900,0.43600,0.39700,-0.29800,3.37800,2.87200,0.60200,2.27000,2.27000,-0.19700,2.07300,-0.29800,-0.50600,4.16800,4.16800,0.49000,0.49000,0.51720,,,,,,3.16620,3.16620,1.96260,3.16620,17.20110,-0.3398,2.4715
2009-09-30,0.06900,0.05300,0.01600,0.24400,0.25700,-0.24100,-0.14300,-0.38400,0.00500,-0.38900,-0.38900,-0.01000,-0.39900,-0.17800,-0.24100,4.16800,4.16800,-0.09000,-0.09000,0.53780,-349.27540,-349.27540,-556.52170,-578.26090,0.00060,-0.55870,-0.55870,-0.33060,-0.55870,16.67970,1.2575,1.7233
2009-06-30,0.07000,0.05400,0.01600,0.40800,0.42100,-0.40500,-0.14800,-0.55300,-0.05900,-0.49400,-0.49400,0.10800,-0.38600,-0.34200,-0.40500,4.16800,4.16800,-0.09000,-0.09000,0.60060,-578.57140,-578.57140,-789.99990,-551.42850,0.00060,-0.70550,-0.70550,-0.43760,-0.70550,16.77530,-0.1432,0.0262
2009-03-31,0.06900,0.04200,0.02700,0.18700,0.20000,-0.17300,-0.20200,-0.37500,-0.00200,-0.37300,-0.37300,0.00500,-0.36800,-0.11300,-0.17300,4.16800,4.16800,-0.09000,-0.09000,0.60010,-250.72460,-250.72460,-543.47830,-533.33340,0.00060,-0.52980,-0.52980,-0.32890,-0.52980,16.86780,-0.39880,-0.58350
