Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,2206.60000,1803.40000,403.20010,403.20010,-20.30000,382.60000,76.30000,306.30000,306.30000,306.30000,403.20010,403.20010,303.58300,305.42500,1.01000,1.00000,0.19110,0.23620,18.27250,18.27250,17.33890,13.88110,0.08780,4.53770,4.53760,1.21940,3.67080,21.89440,0.91150,0.91150
2021-12-31,2720.69900,1909.60000,811.09940,811.09940,-22.00000,789.50000,162.50000,626.99990,626.99990,627.10010,811.09940,811.09970,301.94500,303.66800,2.05000,2.03000,0.18730,0.23040,29.81220,29.81220,29.01830,23.04920,0.10890,9.09610,9.09590,2.50980,7.39240,22.41210,1.1412,1.1412
2021-09-30,2012.20000,1886.20000,125.99990,125.99990,-19.70000,106.00000,17.20000,88.80000,88.80000,88.70000,125.99990,125.99990,303.79700,305.38100,0.29000,0.29000,0.20060,0.25090,6.26180,6.26180,5.26790,4.40810,0.08050,1.40300,1.40300,0.35530,1.12160,20.61630,1.4735,1.4735
2021-06-30,2253.70000,1836.40000,417.30000,417.30000,-21.20000,396.00000,79.50000,316.50000,316.50000,316.40000,417.30000,417.30000,299.93500,302.32800,1.06000,1.05000,0.19000,0.23460,18.51620,18.51620,17.57110,14.03910,0.09130,4.66920,4.66910,1.28250,3.78190,22.17130,0.7171,0.7171
2021-03-31,2355.00000,1708.30000,646.70000,646.70000,-16.00000,630.60000,128.50000,502.10000,502.10000,502.10000,646.70000,646.70000,298.75300,299.69400,1.68000,1.68000,0.12800,0.14680,27.46070,27.46070,26.77710,21.32060,0.10220,7.78260,7.78220,2.17840,6.78610,21.17080,0.98770,0.98770
2020-12-31,2423.30000,1754.50000,668.80000,668.80030,-16.80000,652.30000,132.50000,519.80000,519.80000,519.70000,668.80030,668.80030,298.40800,298.89900,1.71000,1.71000,0.13510,0.15620,27.59880,27.59880,26.91780,21.44600,0.10620,8.40200,8.40190,2.27830,7.26690,20.34250,1.2501,1.2501
2020-09-30,1951.70000,1630.30000,321.39990,321.39990,-14.40000,306.90000,60.90000,246.00000,246.00000,246.00000,321.39990,321.39990,297.72900,297.99100,0.83000,0.83000,0.13720,0.15910,16.46770,16.46770,15.72480,12.60440,0.08770,4.04970,4.04960,1.10570,3.49390,19.97810,1.2426,1.2426
2020-06-30,2027.00000,1511.00000,516.00000,516.00000,-16.60000,499.10000,101.40000,397.70000,397.70000,397.70000,516.00000,516.00000,297.52400,297.77600,1.34000,1.34000,0.14180,0.16520,25.45630,25.45630,24.62260,19.62010,0.09360,6.78810,6.78780,1.83690,5.82540,19.27040,0.7516,0.7516
2020-03-31,764.00000,1519.10000,-755.10010,-755.10010,-14.80000,-769.90000,-165.10000,-604.80000,-604.80000,-604.80000,-755.10010,-755.10010,300.28000,300.28000,-2.01000,-2.01000,0.15840,0.18820,-98.83510,-98.83510,-100.77220,-79.16230,0.03750,-11.76010,-11.75990,-2.97170,-9.89740,16.91780,0.72030,0.72030
2019-12-31,2176.20000,1810.90000,365.30030,365.29990,-19.60000,346.10000,70.30000,275.80000,275.80000,275.90000,365.29990,365.29990,299.88500,301.22800,0.91000,0.92000,0.13970,0.16230,16.78610,16.78610,15.90390,12.67810,0.10330,4.59670,4.59650,1.30860,3.95460,19.75970,0.8974,0.8974
2019-09-30,1771.00000,1504.50000,266.50000,266.50000,-13.90000,252.40000,49.50000,202.90000,202.90000,202.80000,266.50000,266.50000,299.89500,301.38400,0.68000,0.67000,0.14390,0.16810,15.04800,15.04800,14.25180,11.45120,0.08360,3.50210,3.50200,0.95790,2.99810,19.08590,1.1684,1.1684
2019-06-30,1644.70000,1423.40000,221.29990,221.29990,-15.70000,205.40000,39.90000,165.50000,165.50000,165.50000,221.29990,221.29990,299.41800,300.75300,0.55000,0.55000,0.14200,0.16550,13.45530,13.45530,12.48860,10.06260,0.07840,2.80800,2.80790,0.78860,2.40930,19.43890,0.5884,0.5884
2019-03-31,1868.60000,1331.90000,536.70000,536.70000,-18.10000,518.50000,106.20000,412.30000,412.30000,412.20000,536.70000,536.70000,299.02100,300.17300,1.38000,1.37000,0.14680,0.17210,28.72200,28.72200,27.74810,22.05930,0.09210,7.27740,7.27730,2.03130,6.20870,18.70140,0.45370,0.45370
2018-12-31,1518.00000,1642.60000,-124.60030,-124.60010,-13.40000,-137.60000,-31.00000,-106.60000,-106.60000,-106.40000,-124.60010,-124.59970,294.24900,301.01600,-0.33000,-0.35000,0.16020,0.19070,-8.20820,-8.20820,-9.06460,-7.00920,0.07850,-2.07140,-2.07140,-0.55160,-1.73970,17.00020,0.5385,0.5385
2018-09-30,1779.70000,1430.30000,349.39990,349.39990,-14.10000,335.10000,59.80000,275.30000,275.30000,275.20000,349.39990,349.39990,299.00600,300.37400,0.92000,0.92000,0.15590,0.18470,19.63250,19.63250,18.82900,15.46330,0.08990,5.18350,5.18340,1.39020,4.37520,17.54940,1.0337,1.0337
2018-06-30,1630.70000,1367.60000,263.10000,263.10000,-16.30000,246.60000,48.80000,197.80000,197.80000,197.70000,263.10000,263.10000,299.73900,301.07500,0.66000,0.66000,0.16030,0.19090,16.13420,16.13420,15.12230,12.12360,0.08380,3.87590,3.87580,1.01670,3.25450,16.87300,0.4863,0.4863
2018-03-31,1330.40000,1318.10000,12.30010,12.30010,-18.20000,-6.00000,-10.10000,4.10000,4.10000,4.00000,12.30010,12.30010,278.11700,279.52800,0.01000,0.01000,0.16170,0.19290,0.92450,0.92450,-0.45100,0.30070,0.07000,0.08120,0.08120,0.02160,0.06810,16.70690,0.46790,0.46790
2017-12-31,1726.30000,1354.90000,371.40000,371.40030,-17.00000,354.80000,55.20000,299.60000,299.60000,299.70000,371.40030,371.40010,262.11500,262.11500,1.14000,1.01000,0.23430,0.30610,21.51420,21.51420,20.55260,17.36080,0.08900,6.32990,6.32960,1.54410,4.84630,17.58030,-0.0214,-0.0214
2017-09-30,1593.00000,1510.10000,82.90000,82.90000,-23.10000,59.60000,13.40000,46.20000,46.20000,46.10000,82.90000,82.90000,261.38100,298.53000,0.18000,0.17000,0.24400,0.32280,5.20400,5.20400,3.74140,2.89390,0.08070,0.97680,0.97670,0.23400,0.73840,17.92980,0.8807,0.8807
2017-06-30,1499.00000,1330.50000,168.50000,168.50000,-21.90000,146.30000,44.60000,101.70000,101.70000,101.60000,168.50000,168.50000,261.08100,298.31300,0.39000,0.35000,0.24660,0.32740,11.24080,11.24080,9.75980,6.77790,0.07740,2.18170,2.18160,0.52540,1.64350,17.67920,0.3783,0.3783
2017-03-31,1444.80000,1259.40000,185.40000,185.40000,-20.50000,164.70000,51.60000,113.10000,113.10000,113.10000,185.40000,185.40000,260.78500,298.23900,0.43000,0.39000,0.24920,0.33190,12.83220,12.83220,11.39950,7.82810,0.07640,2.46060,2.46050,0.59820,1.84740,17.43860,0.48990,0.48990
2016-12-31,1548.80000,1338.20000,210.59990,210.60000,-20.30000,190.90000,58.90000,132.00000,132.00000,132.10000,210.60000,210.60000,259.42900,296.37900,0.50000,0.45000,0.25520,0.34270,13.59760,13.59760,12.32570,8.52920,0.08330,2.95930,2.95920,0.71000,2.20390,16.97850,0.7946,0.7946
2016-09-30,1496.00000,1314.70000,181.30000,181.30000,-17.00000,164.00000,53.10000,110.90000,110.90000,110.90000,181.30000,181.30000,259.41400,296.44400,0.43000,0.39000,0.25580,0.34370,12.11900,12.11900,10.96260,7.41310,0.07950,2.49430,2.49430,0.58960,1.85630,16.93110,0.8025,0.8025
2016-06-30,1442.20000,1277.10000,165.09990,165.09990,-16.10000,148.80000,47.70000,101.10000,101.10000,101.00000,165.09990,165.09990,259.09300,296.06900,0.39000,0.35000,0.18330,0.22450,11.44780,11.44780,10.31760,7.00320,0.08020,2.30930,2.30920,0.56190,1.88590,16.68150,0.1272,0.1272
2016-03-31,1413.50000,1216.10000,197.40000,197.40000,-14.90000,182.30000,59.30000,123.00000,123.00000,122.90000,197.40000,197.40000,258.65800,295.54400,0.48000,0.43000,0.19170,0.23710,13.96530,13.96530,12.89710,8.69470,0.08110,2.96920,2.96910,0.70550,2.40000,15.80080,0.42600,0.42600
2015-12-31,1480.20000,1322.40000,157.80050,157.80080,-16.70000,141.60000,50.80000,90.80000,90.80000,90.80000,157.80080,157.80050,259.50200,296.08900,0.36000,0.32000,0.19710,0.24550,10.66080,10.66080,9.56630,6.13430,0.08660,2.33970,2.33970,0.53090,1.87850,14.81400,0.4096,0.4096
2015-09-30,1545.70000,1347.30000,198.39990,198.39990,-13.50000,184.70000,58.80000,125.90000,125.90000,125.90000,198.39990,198.39990,259.26700,295.86800,0.48000,0.44000,0.19970,0.24950,12.83560,12.83560,11.94930,8.14520,0.08920,3.26700,3.26680,0.72660,2.61450,14.74030,0.8886,0.8886
2015-06-30,1410.00000,1244.10000,165.89990,165.89990,-13.80000,151.80000,49.70000,102.10000,102.10000,102.00000,165.89990,165.89990,259.46900,295.98800,0.39000,0.36000,0.19630,0.24420,11.76600,11.76600,10.76600,7.23400,0.08160,2.59310,2.59300,0.59100,2.08410,15.06810,0.3805,0.3805
2015-03-31,1330.20000,1160.50000,169.70000,169.70000,-15.80000,153.70000,50.30000,103.40000,103.40000,103.40000,169.70000,169.70000,259.11900,295.54700,0.40000,0.36000,0.19330,0.23960,12.75750,12.75750,11.55470,7.77330,0.07730,2.57600,2.57590,0.60110,2.07800,15.37050,0.64560,0.64560
2014-12-31,1375.20000,1271.00000,104.20030,104.20010,-13.00000,91.50000,28.20000,63.30000,63.30000,63.40000,104.20010,104.20010,258.55300,295.07300,0.24000,0.23000,0.19740,0.24590,7.57710,7.57710,6.65360,4.61020,0.08100,1.61320,1.61310,0.37260,1.29470,15.03750,0.6399,0.6399
2014-09-30,1391.00000,1260.90000,130.10000,130.10000,-8.50000,121.40000,35.50000,85.90000,85.90000,85.80000,130.10000,130.10000,258.60700,295.05000,0.33000,0.30000,0.19740,0.24600,9.35300,9.35300,8.72750,6.16820,0.08190,2.18980,2.18970,0.50570,1.75740,15.03670,-1.838,-1.838
2014-06-30,1333.90000,1225.20000,108.70010,108.70010,-8.90000,99.60000,33.50000,66.10000,66.10000,66.10000,108.70010,108.70010,258.37900,295.05200,0.26000,0.24000,0.12530,0.14320,8.14900,8.14900,7.46680,4.95540,0.07760,1.67210,1.67210,0.38470,1.46260,15.15600,0.1243,0.1243
2014-03-31,1430.60000,1123.90000,306.70010,306.70010,-9.60000,296.90000,102.50000,194.40000,194.40000,194.40000,306.70010,306.70010,257.93400,294.51400,0.75000,0.67000,0.12780,0.14650,21.43860,21.43860,20.75350,13.58870,0.08510,5.02880,5.02870,1.15640,4.38630,14.83730,0.45970,0.45970
2013-12-31,1331.80000,1181.30000,150.50010,150.50010,-8.40000,142.40000,47.60000,94.80010,94.80010,94.80000,150.50010,150.50000,257.44400,293.68400,0.36000,0.33000,0.13100,0.15080,11.30050,11.30050,10.69230,7.11820,0.08050,2.51140,2.51130,0.57340,2.18220,14.49350,0.774,0.774
2013-09-30,1379.50000,1220.80000,158.70000,158.70000,-8.70000,149.70000,46.80000,102.90000,102.90000,102.90000,158.70000,158.70000,257.09900,293.44400,0.40000,0.36000,0.13280,0.15320,11.50420,11.50420,10.85180,7.45920,0.08350,2.76930,2.76900,0.62260,2.40130,14.29240,0.6139,0.6139
2013-06-30,1461.50000,1155.90000,305.60000,305.60000,-9.10000,296.30000,102.30000,194.00000,194.00000,193.90000,305.60000,305.60000,256.75000,292.84200,0.76000,0.67000,0.13720,0.15900,20.91000,20.91000,20.27370,13.26720,0.08970,5.41230,5.41200,1.19020,4.66960,13.79700,0.46,0.46
2013-03-31,1269.90000,1174.70000,95.20010,95.20010,-10.60000,84.50000,28.30000,56.20000,56.20000,56.20000,95.20010,95.20010,256.27900,292.08200,0.22000,0.21000,0.13430,0.15520,7.49670,7.49670,6.65410,4.42550,0.07740,1.53000,1.52990,0.34250,1.32440,14.15120,0.49030,0.49030
2012-12-31,1283.40000,1308.20000,-24.80010,-24.79980,-11.80000,-36.50000,-16.30000,-20.20000,-20.20000,-20.20000,-24.79980,-24.79980,255.81300,255.81300,-0.08160,-0.08160,0.13740,0.15930,-1.93240,-1.93240,-2.84400,-1.57390,0.07910,-0.56170,-0.56170,-0.12450,-0.48450,13.85870,0.8202,0.8202
2012-09-30,1304.80000,1324.30000,-19.50000,-19.50000,-11.60000,-31.10000,-16.20000,-14.90000,-14.90000,-14.80000,-19.50000,-19.50000,255.92100,255.92100,-0.06000,-0.06000,0.13440,0.15530,-1.49450,-1.49450,-2.38350,-1.13430,0.08060,-0.40380,-0.40380,-0.09200,-0.34950,14.22210,0.7499,0.7499
2012-06-30,1223.90000,1269.40000,-45.50000,-45.50000,-12.80000,-58.30000,-24.20000,-34.10000,-34.10000,-34.00000,-45.50000,-45.50000,255.74700,255.74700,-0.13000,-0.13000,0.13390,0.15460,-3.71760,-3.71760,-4.76350,-2.77800,0.07710,-0.91860,-0.91850,-0.21480,-0.79560,14.30880,0.3179,0.3179
2012-03-31,1158.00000,1142.60000,15.39990,15.39990,-17.90000,-2.60000,-3.10000,0.50000,0.50000,0.40000,15.39990,15.39990,255.47400,255.77900,0.00160,0.00160,0.19430,0.24120,1.32990,1.32990,-0.22450,0.03450,0.07160,0.01330,0.01330,0.00310,0.01070,14.54330,0.19160,0.19160
2011-12-31,1307.60000,1210.20000,97.40000,97.40020,-18.40000,79.20000,23.90000,55.30000,55.30000,55.20000,97.40020,97.39990,255.04500,255.04500,0.22000,0.22000,0.19480,0.24200,7.44880,7.44880,6.05690,4.22150,0.08150,1.46590,1.46580,0.34450,1.18030,14.54720,0.128,0.128
2011-09-30,1113.50000,1267.70000,-154.20000,-154.20000,-28.20000,-182.70000,-66.10000,-116.60000,-116.60000,-116.50000,-154.20000,-154.20000,255.13700,255.13700,-0.46000,-0.46000,0.19250,0.23850,-13.84820,-13.84820,-16.40770,-10.46250,0.06960,-3.04610,-3.04600,-0.72880,-2.45960,14.76220,0.1015,0.1015
2011-06-30,1094.90000,1184.90000,-90.00000,-90.00000,-18.30000,-108.30000,-42.00000,-66.30000,-66.30000,-66.30000,-90.00000,-90.00000,254.97300,254.97300,-0.26000,-0.26000,0.18860,0.23240,-8.21990,-8.21990,-9.89130,-6.05530,0.06810,-1.66910,-1.66900,-0.41210,-1.35430,15.32080,-0.3971,-0.3971
2011-03-31,1129.50000,1140.20000,-10.70000,-10.70000,-14.10000,-24.90000,-11.90000,-13.00000,-13.00000,-12.90000,-10.70000,-10.70000,254.77000,254.77000,-0.05000,-0.05000,0.20140,0.25220,-0.94730,-0.94730,-2.20450,-1.14210,0.06930,-0.32100,-0.32100,-0.07970,-0.25630,15.62120,-0.20450,-0.20450
2010-12-31,1175.50000,1180.10000,-4.60010,-4.60020,-19.50000,-23.70000,-10.30000,-13.40000,-13.40000,-13.40000,-4.60020,-4.59990,241.07500,241.32700,-0.06000,-0.05000,0.10330,0.11530,-0.39130,-0.39130,-2.01620,-1.13990,0.07400,-0.32510,-0.32510,-0.08440,-0.29150,15.89910,-0.4389,-0.4389
2010-09-30,986.50000,1038.50000,-52.00000,-52.00000,-8.60000,-60.70000,-21.70000,-39.00000,-39.00000,-38.90000,-52.00000,-52.00000,236.69700,236.69700,-0.16000,-0.16000,0.07900,0.08580,-5.27120,-5.27120,-6.15310,-3.94320,0.07050,-0.96590,-0.96590,-0.27870,-0.88960,16.74850,0.0692,0.0692
2010-06-30,1008.10000,920.10000,88.00000,88.00000,-7.00000,80.80000,23.30000,57.50000,57.50000,57.40000,88.00000,88.00000,236.55200,264.22800,0.24000,0.23000,0.08010,0.08710,8.72930,8.72930,8.01510,5.69390,0.07220,1.44330,1.44330,0.41160,1.32780,16.52610,-0.7181,-0.7181
2010-03-31,932.60000,892.20000,40.40000,40.40000,-9.00000,31.20000,6.20000,25.00000,25.00000,25.00000,40.40000,40.40000,236.38800,236.46200,0.11000,0.11000,0.07990,0.08690,4.33200,4.33200,3.34550,2.68070,0.06550,0.62570,0.62560,0.17560,0.57560,16.57810,-0.08160,-0.08160
2009-12-31,972.30020,1028.10000,-55.79980,-55.79990,-10.40000,-66.20000,-29.30000,-36.90000,-36.90000,-36.80000,-55.79990,-55.79990,235.65700,235.65700,-0.15000,-0.15000,0.08180,0.08910,-5.73900,-5.73900,-6.80860,-3.78480,0.06850,-0.94830,-0.94820,-0.26000,-0.87070,16.16800,0.4044,0.4044
2009-09-30,1040.20000,1058.20000,-18.00000,-18.00000,-11.00000,-29.10000,-36.50000,7.40000,7.40000,7.40000,-18.00000,-18.00000,235.76100,235.87900,0.03000,0.03000,0.08710,0.09540,-1.73040,-1.73040,-2.79750,0.71140,0.07270,0.18970,0.18970,0.05170,0.17320,16.21120,0.6666,0.6666
2009-06-30,912.60000,990.90000,-78.30000,-78.30000,-7.20000,-85.60000,-69.80000,-15.80000,-15.80000,-15.80000,-78.30000,-78.30000,235.56300,235.56300,-0.07000,-0.07000,0.09020,0.09920,-8.57990,-8.57990,-9.37980,-1.73130,0.06650,-0.42100,-0.42100,-0.11520,-0.38300,15.59980,0.0711,0.0711
2009-03-31,878.50000,967.80000,-89.30010,-89.30010,-3.40000,-92.70000,-38.80000,-53.90000,-53.90000,-53.90000,-89.30010,-89.30010,235.25900,235.25900,-0.23000,-0.23000,0.05720,0.06070,-10.16510,-10.16510,-10.55210,-6.13550,0.06610,-1.47940,-1.47940,-0.40550,-1.39480,15.14500,1.11920,1.11920
