Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1646.25500,989.51800,656.73700,,163.41400,-1.87800,382.87700,273.85990,-44.65300,229.20700,48.83900,180.36800,,180.36800,180.32400,492.63990,273.85990,258.94700,259.56100,0.70000,0.69000,1.12340,0.46390,0.88160,39.89280,16.63530,16.63530,13.92290,10.95360,0.10680,2.26220,39.78510,2.66850,-17.05780,1.17010,1.43060,26.29000,1.69860,1.16960
2021-12-31,1624.32000,980.86520,643.45450,,157.45200,-22.49700,394.13380,249.32090,-37.21900,212.10200,45.67500,166.42700,,166.42700,166.31000,464.67290,249.32120,261.16700,261.72800,0.64000,0.63000,0.83780,0.42040,0.73750,39.61380,15.34930,15.34930,13.05790,10.23880,0.11050,2.28900,39.31820,2.37970,-30.55420,1.13220,1.37940,26.87630,1.6254,0.7424
2021-09-30,1597.16800,946.09800,651.06990,,155.52000,-3.10400,365.92600,285.14390,-152.07100,133.07300,18.41900,114.65400,,114.65400,114.38100,493.64400,285.14390,260.55100,261.14500,0.44000,0.44000,1.01310,0.41550,0.72030,40.76400,17.85310,17.85310,8.33180,7.16150,0.11190,2.30790,38.99690,1.66570,-29.54200,0.80320,0.97350,26.42750,1.6174,0.8279
2021-06-30,1533.93100,901.19100,632.74010,,157.94300,-6.08100,365.95200,266.78800,-41.81900,224.96900,47.86800,177.10100,,177.10100,177.04700,470.04700,266.78800,260.95100,261.41900,0.68000,0.68000,1.37920,0.41070,0.70680,41.24960,17.39240,17.39240,14.66620,11.54200,0.10870,2.36150,38.11160,2.57840,-336.27810,1.25550,1.51940,26.37370,1.7242,1.0762
2021-03-31,1395.94200,825.92000,570.02200,,141.42200,-0.63400,331.65000,238.37190,-37.77400,200.59800,40.29100,160.30700,,160.30700,160.30900,429.32500,238.37190,262.69700,263.15700,0.61000,0.61000,1.35880,0.40050,0.68950,40.83420,17.07610,17.07610,14.37010,11.48390,0.09940,2.29310,39.24820,2.30930,259.07180,1.14160,1.38430,26.44600,1.52150,1.16160
2020-12-31,1398.25200,846.85210,551.40010,,133.41900,-24.13700,354.25690,197.14340,-40.30000,156.84300,26.26800,130.57500,,130.57500,130.66500,395.20740,197.14330,263.19000,263.68800,0.50000,0.50000,1.36900,0.40840,0.70020,39.43500,14.09930,14.09930,11.21710,9.34490,0.09990,2.21850,40.56760,1.90250,-713.89420,0.93320,1.12560,26.11410,0.8424,0.2007
2020-09-30,1389.55200,828.82200,560.73000,,136.00300,-3.80500,330.05100,230.67900,-39.03100,191.64800,33.65700,157.99100,,157.99100,158.04900,422.28500,230.67900,262.99800,263.50700,0.60000,0.60000,1.40160,0.41380,0.71860,40.35330,16.60100,16.60100,13.79210,11.37410,0.10030,2.25350,39.93860,2.37000,3637.20300,1.14080,1.38920,25.36380,1.6353,0.8729
2020-06-30,1305.78200,785.71000,520.07200,,132.15800,-437.27000,752.42900,-232.35710,-33.84700,-266.20400,-38.73700,-227.46700,,-227.46700,-227.07200,-47.99310,-232.35710,262.99430,262.99430,-0.86000,-0.86000,1.44800,0.42080,0.73980,39.82840,-17.79450,-17.79450,-20.38660,-17.38970,0.09610,2.14480,41.96110,-3.50140,157.71400,-1.67330,-2.02790,24.64320,1.4658,0.93
2020-03-31,1352.40400,815.42400,536.98000,,136.05200,-1.50600,320.01700,216.96300,-45.33600,171.62700,28.73400,142.89300,,142.89300,143.03500,402.84200,216.96300,263.79000,264.35300,0.54000,0.54000,1.98170,0.43700,0.78430,39.70560,16.04280,16.04280,12.69050,10.57640,0.09470,2.16600,41.55190,2.13690,78.92550,1.00070,1.20300,25.44510,1.39810,0.89010
2019-12-31,1361.95900,814.15020,547.80900,,136.14500,-28.99900,353.62480,194.18410,-32.32200,161.86200,28.67100,133.19100,,133.19100,133.26200,366.29710,194.18400,263.79300,264.52700,0.51000,0.50000,1.12250,0.38790,0.63990,40.22210,14.25770,14.25770,11.88450,9.78460,0.09910,2.05480,43.79920,1.91960,50.36710,0.96950,1.17500,26.31970,1.3435,0.5872
2019-09-30,1412.44400,835.09800,577.34590,,137.88300,-12.93500,340.74600,236.60000,-34.74300,201.85700,42.78300,159.07400,,159.07400,159.10900,447.89700,236.60000,263.85400,264.58700,0.60000,0.60000,1.11440,0.37540,0.60580,40.87570,16.75110,16.75110,14.29130,11.26480,0.10640,2.08730,43.11740,2.34060,39.59550,1.19870,1.46200,25.78120,1.6332,0.8399
2019-06-30,1369.63900,815.81900,553.82010,,139.66400,-3.90200,331.68600,222.13400,-33.50700,188.62700,39.78800,148.83900,,148.83900,148.84800,401.89200,222.13400,263.84700,264.49490,0.56000,0.56000,1.05060,0.38100,0.62000,40.43550,16.21840,16.21840,13.77200,10.86770,0.10420,1.75280,51.34540,2.21890,55.73890,1.13220,1.37360,25.44680,1.4709,0.9457
2019-03-31,1244.63700,733.69000,510.94700,,132.58600,-16.11200,326.08700,184.85990,-31.31500,153.54500,27.96800,125.57700,,125.57700,125.62200,370.61090,184.85990,263.60300,264.33700,0.48000,0.48000,1.47240,0.39010,0.64400,41.05190,14.85250,14.85250,12.33650,10.09310,0.09620,2.07660,43.34050,1.91180,31.58450,0.97110,1.16590,24.92030,1.37620,0.94640
2018-12-31,1261.73200,744.75710,516.97500,,125.80500,-14.01300,316.99490,199.98000,-33.96100,166.01900,33.47700,132.54200,,132.54200,132.47690,381.31500,199.97990,263.65000,264.39600,0.50000,0.51000,1.23240,0.39380,0.65450,40.97340,15.84960,15.84960,13.15800,10.49960,0.09990,2.07000,43.47920,2.05170,44.19910,1.04960,1.24370,24.55030,1.4124,0.7659
2018-09-30,1281.11000,736.12200,544.98800,,139.01400,1.99800,312.11900,232.86900,-30.01100,202.85800,52.09200,150.76600,,150.76600,150.84300,405.89100,232.86900,263.62900,264.39500,0.57000,0.57000,1.25490,0.36820,0.58770,42.54030,18.17710,18.17710,15.83460,11.77440,0.10510,2.04960,43.91060,2.31770,24.21090,1.23660,1.46440,24.71170,1.4097,0.7661
2018-06-30,1239.96800,725.02200,514.94600,,128.26100,-7.07300,304.25800,210.68800,-29.30900,181.37900,42.56500,138.81400,,138.81400,138.68200,380.61700,210.68800,263.69100,264.33200,0.53000,0.52000,1.15130,0.37670,0.60940,41.52900,16.99140,16.99140,14.62770,11.18430,0.10310,2.05260,43.84640,2.18720,28.45130,1.15440,1.36320,24.09860,1.3543,0.94
2018-03-31,1140.13100,659.80300,480.32800,,131.30800,-1.03000,291.62100,188.70700,-31.82300,156.88400,31.85200,125.03200,,125.03200,124.86900,349.06600,188.70700,263.82800,264.58800,0.47000,0.47000,1.30660,0.38440,0.63000,42.12920,16.55140,16.55140,13.76020,10.95220,0.09530,2.05320,43.83330,1.99070,29.06180,1.04510,1.22550,23.85140,1.16120,0.82030
2017-12-31,1157.17500,680.37280,476.80210,,126.03700,-15.16000,301.78780,175.01430,-29.01500,145.99900,-169.10400,315.10300,,315.10300,315.06000,332.38330,175.01420,263.68300,264.30200,1.19000,1.18000,1.46630,0.38520,0.63400,41.20400,15.12430,15.12430,12.61690,27.22670,0.09630,2.08700,43.12330,5.02230,62.41400,2.62270,3.08770,23.81100,1.1308,0.5281
2017-09-30,1206.47800,695.12200,511.35600,,128.20000,-0.83200,292.58600,218.77000,-30.97000,187.80000,64.39000,123.41000,,123.41000,123.22700,383.44500,218.77000,263.44300,264.29900,0.47000,0.47000,1.45520,0.39760,0.66860,42.38420,18.13300,18.13300,15.56600,10.21380,0.10130,2.05000,43.90310,2.05890,62.78890,1.03620,1.24020,22.75200,1.2716,0.8575
2017-06-30,1175.56900,685.90000,489.66890,,126.35000,1.18000,282.75900,206.91000,-30.34800,176.56200,52.67500,123.88700,,123.88700,123.65600,365.58700,206.91000,263.38730,264.10960,0.47000,0.47000,1.44640,0.40750,0.69980,41.65380,17.60080,17.60080,15.01930,10.51880,0.10090,2.14650,41.92900,2.13300,92.02310,1.06290,1.26380,22.04790,1.0004,0.5856
2017-03-31,1091.26600,643.38000,447.88600,,129.05100,-141.68100,421.48200,26.40390,-28.25500,-1.85100,-16.87100,15.02000,,15.02000,14.87400,178.16690,26.40390,263.06200,263.90300,0.06000,0.06000,1.20990,0.41300,0.71590,41.04280,2.41960,2.41960,-0.16960,1.36300,0.09510,2.24350,40.11600,0.26570,58.61580,0.13100,0.15600,21.46780,1.08930,0.81500
2016-12-31,1048.62200,617.94810,430.67400,,124.26800,-23.04400,291.51600,139.15800,-26.16100,112.99700,27.29400,85.70300,,85.70300,85.59200,284.33300,139.15810,230.32500,231.08100,0.35330,0.36000,1.07400,0.39210,0.65100,41.07050,13.27060,13.27060,10.77580,8.16230,0.09440,2.16150,41.63790,1.51560,43.40320,0.77180,0.92130,21.51760,1.398,0.6919
2016-09-30,1084.92200,636.31000,448.61200,,129.57600,-7.68200,289.94600,158.66600,-27.30000,131.36600,42.48500,88.88100,,88.88100,88.61700,312.38800,158.66600,263.00500,263.65000,0.34000,0.34000,1.13840,0.39620,0.66420,41.34970,14.62470,14.62470,12.10830,8.16810,0.09700,2.17730,41.33590,1.58110,83.93850,0.79450,0.95460,21.39750,0.8125,0.5708
2016-06-30,727.63900,416.26200,311.37700,,152.73700,3.28400,247.88200,63.49500,-20.51000,42.98500,15.26500,27.72000,,27.72000,27.48900,164.09600,63.49500,210.30500,210.88100,0.13000,0.13000,1.07220,0.40580,0.68980,42.79280,8.72620,8.72620,5.90750,3.77780,0.06560,1.44710,62.19430,0.49880,28.35110,0.24990,0.29640,21.16770,0.3417,0.1194
2016-03-31,514.68000,287.19200,227.48800,,67.68200,-0.23600,136.50900,90.97900,-16.96200,74.01700,29.00000,45.01700,,45.01700,44.84200,160.24000,90.97900,184.16700,185.17650,0.24670,0.24000,0.90650,0.58250,1.39590,44.19990,17.67680,17.67680,14.38120,8.71260,0.15560,2.48170,36.26510,3.96790,77.05750,1.36090,1.65640,14.48770,0.88950,0.58770
2015-12-31,483.89400,281.56200,202.33200,3.68000,62.70600,-0.99500,136.34900,65.98300,-15.12400,148.50200,62.15200,86.35000,0.00000,45.71900,45.71900,122.17900,65.98300,78.94400,78.94400,0.58150,0.58150,0.95810,0.52190,1.11010,34.95810,13.63580,13.63580,30.68900,9.44810,0.09450,1.89620,47.46350,2.29540,79.28370,0.89260,1.09740,10.85070,2.7512,0.4977
2015-09-30,547.93800,300.91000,247.02800,,59.79900,-493.81300,622.18000,-375.15200,-17.67000,-392.82200,-136.01700,-256.80500,,-256.80500,-257.00900,-305.93300,-375.15200,184.90500,184.90500,-1.38670,-1.38670,0.96530,0.57400,1.34810,45.08320,-68.46610,-68.46610,-71.69100,-46.90480,0.17210,2.57760,34.91670,-23.15600,-299.79560,-8.06800,-9.86350,,0.7944,0.4337
2015-06-30,531.31200,297.43700,233.87500,,57.26400,0.31600,123.85100,110.02400,-15.23000,94.79400,37.15300,57.64100,,57.64100,57.36000,179.00000,110.02400,186.11880,186.52810,0.30670,0.30670,1.02260,0.58390,1.40390,44.01840,20.70800,20.70800,17.84150,10.79590,0.16220,2.45830,36.61070,5.11560,77.33930,1.75970,2.12840,,0.6262,0.8229
2015-03-31,460.20500,297.50000,162.70500,,58.71600,,122.72500,39.98000,-16.73800,23.24200,5.12100,18.12100,,18.12100,18.12100,103.98900,39.98000,81.25390,81.25390,0.22150,0.22150,0.97650,0.55740,1.26380,35.35490,8.68740,8.68740,5.05040,3.93760,0.14330,2.28990,39.30270,1.54370,15.43130,0.56440,0.68330,,1.08520,0.34760
2014-12-31,504.56900,200.37000,304.19900,0.00000,46.00000,,92.43000,211.76900,-32.31000,249.68000,124.01000,125.67000,0.00000,18.93100,18.93100,153.12900,211.76900,82.58600,82.58600,0.23540,0.23540,0.89470,0.55820,1.26790,38.93030,41.97030,41.97030,49.48380,3.75190,0.14940,2.31570,38.86510,1.54060,15.07600,0.56070,0.68060,15.23020,1.4228,3.2332
2014-09-30,521.15700,323.60000,197.55700,0.00000,60.48000,,132.73000,64.82700,-12.31000,52.50000,11.69000,40.81000,0.00000,40.81400,40.81400,137.08700,64.82700,82.87500,82.87500,0.49840,0.49840,1.02980,0.52710,1.11880,37.90600,12.43910,12.43910,10.07370,7.83140,0.15620,2.33720,38.50700,3.11660,16.88200,1.22300,1.47380,,1.1666,0.4834
2014-06-30,513.50100,321.22000,192.28100,0.00000,62.02000,,134.08000,58.20100,-2.79000,55.39000,14.54000,40.85000,0.00000,40.85200,40.85200,130.27100,58.20100,83.08000,83.08000,0.49840,0.49840,1.02380,0.53460,1.15280,37.44300,11.33420,11.33420,10.78670,7.95560,0.15110,2.17660,41.34910,3.11760,20.75500,1.20190,1.45090,,1.3506,0.7459
2014-03-31,469.77000,293.19000,176.58000,0.00000,65.06000,,132.26000,44.32000,-16.20000,28.09000,2.09000,26.00000,-0.08000,25.91900,25.91900,111.52000,44.32000,83.18700,83.18700,0.31850,0.31850,1.08500,0.54510,1.20270,37.58650,9.43440,9.43440,5.97950,5.51740,0.14030,2.17910,41.30150,2.02680,15.35400,0.77410,0.92210,,0.90000,0.37750
2013-12-31,502.00700,310.21000,191.79700,0.00000,60.69000,,134.08000,57.71700,-10.77000,47.02000,10.99000,36.03000,0.20600,36.24200,36.24200,131.09700,57.71700,83.18500,83.18500,0.42920,0.42920,0.99900,0.54460,1.20060,38.21060,11.49730,11.49730,9.36640,7.21940,0.14800,2.16250,41.61810,2.81040,22.07720,1.06830,1.27980,,1.57,0.954
2013-09-30,520.66500,323.39000,197.27500,0.00000,69.14000,,147.31000,49.96500,-18.07000,31.87000,11.75000,20.12000,-0.03000,20.09400,20.09400,128.13500,49.96500,83.18200,83.18200,0.23540,0.23540,1.06950,0.55530,1.25360,37.88810,9.59640,9.59640,6.12100,3.85930,0.15140,2.11640,42.52430,1.56290,15.38820,0.58420,0.69510,,1.4406,0.3427
2013-06-30,516.80700,318.77000,198.03700,0.00000,65.53000,,139.17000,58.86700,-7.66000,51.18000,18.88000,32.30000,-0.00600,32.29300,32.29300,132.51700,58.86700,83.17900,83.17900,0.38770,0.38770,1.16210,0.56010,1.27880,38.31600,11.39050,11.39050,9.90310,6.24860,0.15200,2.02020,44.55010,2.54540,30.23120,0.94970,1.11970,,1.2684,0.6694
2013-03-31,486.56000,296.88000,189.68000,0.00000,59.81000,,131.10000,58.58000,-12.36000,46.19000,16.82000,29.37000,-0.03000,29.34100,29.34100,129.87000,58.58000,83.17900,83.17900,0.34610,0.34610,1.10950,0.56620,1.31060,38.98180,12.03960,12.03960,9.49320,6.03030,0.14150,2.06480,43.58680,2.30690,36.77740,0.85360,1.00080,,1.13940,0.41490
2012-12-31,495.82200,305.25000,190.57200,0.00000,59.82000,,131.59000,58.98200,-35.33000,23.68000,11.91000,11.77000,0.02000,11.75300,11.75300,137.74200,58.98200,83.17600,83.17600,0.13850,0.13850,1.01860,0.56920,1.32670,38.43920,11.89580,11.89580,4.77590,2.37040,0.14270,2.07500,43.37340,0.92350,21.13080,0.33820,0.39790,,-2.3285,-2.3986
2012-09-30,487.20900,297.30000,189.90900,0.00000,56.75000,,127.07000,62.83900,-10.49000,52.33000,20.16000,32.17000,-0.01000,32.15800,32.15800,126.16900,62.83900,83.25200,83.25200,0.38770,0.38770,0.99610,0.53410,1.14770,38.97710,12.89780,12.89780,10.74080,6.60050,0.14980,2.07420,43.39020,2.51190,16.89150,0.98890,1.17020,,0.915,0.0368
2012-06-30,475.43500,286.87000,188.56500,0.00000,54.88000,,123.25000,65.31500,-16.37000,48.92000,20.53000,28.39000,-0.01000,28.37700,28.37700,133.68500,65.31500,84.08100,84.08100,0.33230,0.33230,0.90950,0.52230,1.09470,39.65840,13.73800,13.73800,10.28950,5.96860,0.15310,2.22510,40.44780,2.27050,13.22140,0.91410,1.08450,,1.4715,0.8648
2012-03-31,438.27500,265.34000,172.93500,0.00000,59.29000,,122.94000,49.99500,-13.40000,36.59000,14.52000,22.07000,0.00000,22.06900,22.06900,113.64500,49.99500,85.14400,85.14400,0.26310,0.26310,0.98100,0.51340,1.05640,39.45700,11.40720,11.40720,8.34860,5.03540,0.14260,2.21160,40.69430,1.72250,8.86130,0.71790,0.83810,,0.76740,0.18760
2011-12-31,457.21200,273.29000,183.92200,0.00000,58.20000,,116.59000,67.33200,-373.09000,-305.71000,-9.56000,-296.15000,-0.03600,-296.18800,-296.18800,125.70200,67.33200,86.34800,86.34800,-3.43370,-3.43370,0.87700,0.50350,1.01540,40.23080,14.72670,14.72670,-66.86400,-64.78130,0.14860,2.15570,41.74890,-22.90460,-113.48190,-9.62400,-11.37120,,1.367,0.7333
2011-09-30,490.52200,294.47000,196.05200,0.00000,51.43000,,120.83000,75.22200,-12.74000,62.46000,22.08000,40.38000,-0.03000,40.34700,40.34700,144.63200,75.22200,87.22400,87.22400,0.45690,0.45690,0.94200,0.44690,0.80890,39.96560,15.33510,15.33510,12.73340,8.22530,0.14290,2.19440,41.01280,2.47890,17.23720,1.17560,1.37110,,1.5268,1.0454
2011-06-30,469.51200,279.50000,190.01200,0.00000,50.37000,,116.83000,73.18200,-16.61000,56.54000,19.91000,36.63000,-0.02000,36.60700,36.60700,139.65200,73.18200,87.21000,87.21000,0.41540,0.41540,0.99990,0.44440,0.80080,40.46760,15.58680,15.58680,12.04230,7.79680,0.13390,1.93920,46.41160,2.19130,14.29910,1.04410,1.21750,,1.067,0.5289
2011-03-31,422.85000,246.80000,176.05000,0.00000,58.60000,,121.41000,54.64000,-14.20000,40.42000,17.31000,23.11000,-0.00400,23.09800,23.09800,117.45000,54.64000,87.89600,87.89600,0.26310,0.26310,0.95520,0.43820,0.78080,41.63180,12.92180,12.92180,9.55890,5.46250,0.12460,2.13730,42.10860,1.40070,8.08390,0.68050,0.78700,,0.62180,0.36320
2010-12-31,429.87900,255.28000,174.59900,0.00000,56.19000,,118.46000,56.13900,-16.53000,39.65000,17.95000,21.70000,0.00000,21.68300,21.68300,118.39900,56.13900,79.99100,87.88400,0.24920,0.24920,0.82780,0.43310,0.76500,40.62310,13.05930,13.05930,9.22350,5.04400,0.12680,2.07580,43.35660,1.31680,7.40940,0.63950,0.74650,,1.3605,0.5905
2010-09-30,436.26200,259.07000,177.19200,0.00000,55.70000,,118.49000,58.70200,-20.67000,38.02000,14.01000,24.01000,-0.07000,23.94100,23.94100,121.49200,58.70200,79.35100,87.33000,0.27690,0.27690,0.92000,0.41040,0.69670,40.61320,13.45570,13.45570,8.71490,5.48780,0.13450,2.09070,43.04820,1.48490,10.59850,0.73820,0.87550,,0.1274,0.0324
2010-06-30,299.58200,174.56000,125.02200,0.00000,41.18000,,84.27000,40.75200,-6.73000,34.00000,14.15000,19.85000,-0.02000,19.83500,19.83500,83.85200,40.75200,59.50100,67.48100,0.29080,0.29080,0.84970,0.39030,0.64010,41.72810,13.60300,13.60300,11.34920,6.62090,0.14740,2.28480,39.39090,1.93240,7.16840,0.97580,1.17820,,1.2032,0.7798
2010-03-31,264.04200,151.06000,112.98200,0.00000,39.79000,,79.30000,33.68200,-7.38000,26.27000,9.54000,16.73000,-0.02000,16.71000,16.71000,73.19200,33.68200,59.47300,67.48100,0.27690,0.24920,0.89410,0.40710,0.68660,42.78490,12.75630,12.75630,9.94920,6.32850,0.12860,2.24980,40.00270,1.62730,6.25800,0.81370,0.96480,,0.65260,0.35210
2009-12-31,262.46200,152.15000,110.31200,0.00000,40.90000,,76.91000,33.40200,-7.40000,26.05000,16.18000,9.87000,0.00000,9.87500,9.87500,69.40200,33.40200,59.46400,67.48100,0.16620,0.15230,0.76490,0.39210,0.64500,42.04040,12.72640,12.72640,9.92520,3.76240,0.13140,2.34700,38.34730,0.97240,3.47520,0.49430,0.59110,,0.9428,0.4429
2009-09-30,268.41100,156.19000,112.22100,0.00000,33.27000,,75.21000,37.01100,-8.34000,28.65000,9.54000,19.11000,0.00000,19.10900,19.10900,78.96100,37.01100,59.43700,67.48100,0.27690,0.27690,0.85500,0.38760,0.63290,41.80530,13.78890,13.78890,10.67390,7.11930,0.13460,2.25060,39.98870,8.24980,6.61760,0.95820,1.14510,,0.8939,0.5964
2009-06-30,253.70000,148.59000,105.11000,0.00000,32.60000,,73.75000,31.36000,-7.33000,24.02000,8.91000,15.11000,0.00000,15.10500,15.10500,72.51000,31.36000,51.14200,59.18500,0.26310,0.24920,0.91040,0.45630,0.83930,41.42690,12.36110,12.36110,9.46790,5.95390,0.12910,2.26480,39.73910,,31.78660,0.76880,1.05300,,0.989,0.3757
2009-03-31,223.89300,131.17000,92.72300,0.00000,30.07000,,67.67000,25.05300,-10.13000,14.89000,5.25000,9.64000,0.00000,9.63900,9.63900,62.65300,25.05300,42.98500,51.02900,0.22150,0.19380,0.75500,0.52330,1.15400,41.40820,11.18970,11.18970,6.65050,4.30520,0.11810,2.19400,41.02180,,-14.89800,0.50830,0.69200,,0.97180,0.63710
