Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,247.19900,98.89800,148.30100,148.30100,-2.14900,146.15200,22.55000,123.60200,123.60200,123.60200,154.42500,148.30100,106.09800,106.37600,1.10000,1.10000,0.08330,59.99260,59.99260,59.12320,50.00100,0.04750,3.19990,3.19990,2.37570,3.19990,34.35800,1.9515,1.9406
2020-09-30,243.03800,92.38000,150.65800,150.65800,-2.22700,148.43100,23.89500,124.53600,124.53600,124.53600,157.97200,150.65800,111.90800,112.13400,1.11000,1.11000,0.11330,61.98950,61.98950,61.07320,51.24140,0.04760,3.32400,3.32400,2.43850,3.32400,33.32540,1.5214,1.5184
2020-06-30,236.07700,214.69600,21.38100,21.38100,-2.56600,18.81500,3.43500,15.38000,15.38000,15.38000,27.94600,21.38100,102.50000,102.60500,0.15000,0.15000,0.11720,9.05680,9.05680,7.96990,6.51480,0.04820,0.42450,0.42450,0.31390,0.42450,32.22940,1.711,1.7067
2020-03-31,228.84000,50.01000,178.83000,178.83000,-2.13200,176.69800,27.17500,149.52300,149.52300,149.52300,185.54800,178.83000,97.94900,98.32600,1.53000,1.52000,0.13660,78.14630,78.14630,77.21470,65.33950,0.05470,4.81230,4.81230,3.57120,4.81230,31.51130,1.65910,1.65430
2019-12-31,228.76210,52.16000,176.60200,176.60200,-2.21800,174.38400,27.42600,146.95790,146.95790,146.95800,181.62800,176.60200,97.76200,98.22700,1.50000,1.50000,0.07510,77.19900,77.19900,76.22940,64.24060,0.05910,4.92350,4.92350,3.79400,4.92350,30.33560,1.6838,1.6725
2019-09-30,226.38700,51.57800,174.80900,174.80900,-2.58400,172.22500,27.59500,144.63000,144.63000,144.63000,180.00900,174.80900,97.82200,98.25700,1.48000,1.47000,0.07850,77.21690,77.21690,76.07550,63.88620,0.06080,5.06550,5.06550,3.88580,5.06550,29.02040,1.6168,1.6115
2019-06-30,211.89200,46.48000,165.41200,165.41200,-2.67900,162.73300,26.32800,136.40500,136.40500,136.40500,170.24100,165.41200,97.79800,98.17000,1.39000,1.39000,0.08280,78.06430,78.06430,76.80000,64.37480,0.05990,5.04400,5.04400,3.85340,5.04400,27.48380,1.2907,1.2829
2019-03-31,200.52600,48.13700,152.38900,152.38900,-2.67000,149.71900,21.99900,127.72000,127.72000,127.72000,156.84100,152.38900,97.59500,98.10400,1.31000,1.30000,0.08850,75.99460,75.99460,74.66310,63.69250,0.05980,5.05260,5.05260,3.80880,5.05260,25.69850,1.41360,1.40330
2018-12-31,193.12400,38.45000,154.67400,154.67400,-2.61100,152.06300,23.53500,128.52800,128.52800,128.52800,159.05800,154.67400,97.40300,97.97400,1.32000,1.32000,0.09450,80.09050,80.09050,78.73850,66.55200,0.06130,5.43290,5.43290,4.08030,5.43290,24.10580,1.4244,1.4131
2018-09-30,184.99800,42.35100,142.64700,142.64700,-2.50000,140.14700,24.13600,116.01100,116.01100,116.01100,147.14000,142.64700,97.43800,98.01300,1.19000,1.18000,0.10090,77.10730,77.10730,75.75600,62.70930,0.06180,5.23720,5.23720,3.87550,5.23720,22.57400,1.4568,1.4477
2018-06-30,173.76800,38.24100,135.52700,135.52700,-2.61800,132.90900,21.15400,111.75500,111.75500,111.75500,140.09000,135.52700,97.42600,97.86600,1.15000,1.14000,0.10620,77.99310,77.99310,76.48650,64.31280,0.06100,5.31260,5.31260,3.92200,5.31260,21.43700,1.2362,1.2204
2018-03-31,167.46300,43.43300,124.03000,124.03000,-2.45000,121.58000,10.51100,111.06900,111.06900,111.06900,128.21400,124.03000,97.29800,97.95100,1.14000,1.13000,0.13220,74.06410,74.06410,72.60110,66.32450,0.06110,5.56660,5.56660,4.05180,5.56660,20.33890,2.26510,2.25990
2017-12-31,161.11000,53.93600,107.17400,107.17400,-1.81700,105.35700,-57.28100,162.63800,162.63800,162.63800,111.42800,107.17400,93.33000,95.21100,1.72000,1.68000,0.12810,66.52230,66.52230,65.39450,100.94850,0.06020,8.38150,8.38150,6.08140,8.38150,19.71310,1.2484,1.2469
2017-09-30,150.20300,41.34800,108.85500,108.85500,-1.45600,107.39900,29.00600,78.39300,78.39300,78.39300,112.75900,108.85500,94.18500,96.09400,0.83000,0.82000,0.09740,72.47190,72.47190,71.50260,52.19140,0.06040,4.40270,4.40270,3.15390,4.40270,18.09100,1.0727,1.0644
2017-06-30,137.60600,37.45600,100.15000,100.15000,-1.18900,98.96100,26.84300,72.11800,72.11800,72.11800,103.96900,100.15000,91.38100,93.16200,0.79000,0.77000,0.11560,72.78030,72.78030,71.91620,52.40910,0.06390,4.81460,4.81460,3.34980,4.81460,16.03330,0.7127,0.705
2017-03-31,127.59200,40.02500,87.56700,87.56700,-0.71600,86.85100,20.25300,66.59800,66.59800,66.59800,91.55100,87.56700,91.25800,93.02300,0.73000,0.72000,0.08850,68.63050,68.63050,68.06930,52.19610,0.06420,4.71410,4.71410,3.35050,4.71410,15.12960,0.83730,0.82560
2016-12-31,126.37300,38.70100,87.67200,87.67200,-0.37000,87.30200,24.61600,62.68600,62.68600,62.68600,91.06100,87.67200,90.91300,92.24500,0.69000,0.67000,0.07440,69.37560,69.37560,69.08280,49.60400,0.06710,4.66490,4.66490,3.32910,4.66490,14.43290,0.8131,0.8043
2016-09-30,121.25400,37.75700,83.49700,83.49700,-0.05600,83.44100,23.73000,59.71100,59.71100,59.71100,87.40000,83.49700,90.96100,92.39900,0.66000,0.65000,0.03820,68.86120,68.86120,68.81510,49.24460,0.06670,4.55730,4.55730,3.28490,4.55730,14.07290,0.8274,0.8241
2016-06-30,108.16500,34.37300,73.79200,73.79200,,73.79200,21.53400,52.25800,52.25800,52.25800,77.37000,73.79200,90.91200,92.13800,0.57000,0.57000,,68.22170,68.22170,68.22170,48.31320,0.06520,4.18530,4.18530,3.15150,4.18530,13.41060,0.5902,0.5812
2016-03-31,102.46600,35.11900,67.34700,67.34700,,67.34700,19.39600,47.95100,47.95100,47.95100,71.02700,67.34700,90.78500,91.85900,0.53000,0.52000,,65.72620,65.72620,65.72620,46.79700,0.06540,4.05850,4.05850,3.06250,4.05850,12.69470,0.74570,0.73250
2015-12-31,97.47600,33.82600,63.65000,63.65000,,63.65000,19.17100,44.47900,44.47900,44.47900,67.24300,63.65000,90.35100,91.73800,0.49000,0.49000,,65.29810,65.29810,65.29810,45.63070,0.06640,3.97400,3.97400,3.02760,3.97400,12.08030,0.7363,0.7175
2015-09-30,91.73600,32.10700,59.62900,59.62900,,59.62900,18.80800,40.82100,40.82100,40.82100,62.84300,59.62900,90.41800,91.84100,0.45000,0.44000,,65.00070,65.00070,65.00070,44.49830,0.06500,3.79290,3.79290,2.89110,3.79290,11.61580,0.7532,0.75
2015-06-30,84.06700,29.46200,54.60500,54.60500,,54.60500,17.41200,37.19300,37.19300,37.19300,57.92700,54.60500,90.34400,91.67400,0.41000,0.41000,,64.95420,64.95420,64.95420,44.24210,0.06330,3.61880,3.61880,2.80180,3.61880,11.09200,0.4646,0.4492
2015-03-31,80.01100,29.49700,50.51400,50.51400,,50.51400,15.67600,34.83800,34.83800,34.83800,53.60800,50.51400,90.18500,91.51400,0.39000,0.38000,,63.13380,63.13380,63.13380,43.54150,0.06400,3.49770,3.49770,2.78680,3.49770,10.75910,0.51550,0.49890
2014-12-31,72.74200,28.70500,44.03700,44.03700,,44.03700,15.17100,28.86600,28.86600,28.86600,46.79200,44.03700,83.98600,85.60200,0.34000,0.33000,,60.53860,60.53860,60.53860,39.68270,0.06160,3.02030,3.02030,2.44320,3.02030,10.32720,0.6011,0.5864
2014-09-30,64.62100,25.86000,38.76100,38.76100,,38.76100,13.69100,25.07000,25.07000,25.07000,41.27500,38.76100,83.64000,85.02800,0.30000,0.29000,,59.98210,59.98210,59.98210,38.79540,0.06520,3.15390,3.15390,2.52820,3.15390,9.18700,0.6603,0.6493
2014-06-30,54.28300,24.61400,29.66900,29.66900,,29.66900,10.11400,19.55500,19.55500,19.55500,32.03800,29.66900,83.27600,84.70600,0.23000,0.23000,,54.65620,54.65620,54.65620,36.02420,0.05870,2.54640,2.54640,2.11320,2.54640,8.87530,0.3863,0.3725
2014-03-31,47.82100,24.36100,23.46000,23.46000,,23.46000,8.45400,15.00600,15.00600,15.00600,25.17700,23.46000,82.86400,84.69600,0.18000,0.18000,,49.05800,49.05800,49.05800,31.37950,0.05280,2.02750,2.02750,1.65800,2.02750,8.55700,0.14790,0.14190
2013-12-31,42.35300,23.00000,19.35300,19.35300,,19.38000,0.36000,19.02000,12.03700,12.03700,20.83600,19.35300,51.74100,55.13000,0.23000,0.22000,,45.69450,45.69450,45.75830,28.42070,0.04960,1.66680,1.66680,1.40950,1.66680,8.34930,0.3671,0.3593
2013-09-30,36.45500,18.55600,17.89900,17.89900,,17.89900,2.28000,15.61900,15.61900,15.61900,19.34400,17.89900,45.43800,49.84200,0.34300,0.31300,,49.09890,49.09890,49.09890,42.84460,,,,,,,0.6771,0.6616
2013-06-30,29.56400,16.13700,13.42700,13.42700,,13.42700,-10.15000,23.57700,23.57700,23.57700,14.67900,13.42700,38.12700,42.89500,0.61800,0.54900,,45.41670,45.41670,45.41670,79.74900,,,,,,,0.7242,0.7096
2013-03-31,23.03100,15.69200,7.33900,7.33900,,7.33900,0.13900,7.20000,7.20000,7.20000,8.63900,7.33900,32.65800,37.87300,0.23000,0.23000,,31.86580,31.86580,31.86580,31.26220,,,,,,,0.39010,0.37980
2012-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
