Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-06-30,805.62700,661.06800,144.55900,84.29200,1.90800,82.38400,62.17510,1.03000,63.20500,21.62500,41.58000,41.58000,41.58000,66.37710,62.17510,40.31700,42.78100,1.03000,0.98000,1.06530,0.47630,0.90960,17.94370,7.71760,7.71760,7.84540,5.16120,0.25170,11.01950,8.16730,2.78600,2.78600,1.29910,1.45900,37.01490,-1.0761,-1.1941
2017-03-31,675.71600,563.00900,112.70700,77.94200,1.34600,76.59600,36.11100,0.65800,36.76900,13.19700,23.57200,23.57200,23.57200,39.78100,36.11100,40.17800,42.80800,0.59000,0.56000,0.76290,0.44710,0.80880,16.67960,5.34410,5.34410,5.44150,3.48840,0.22850,7.83600,11.48540,1.62750,1.62750,0.79730,0.89980,35.92710,-1.98010,-2.05460
2016-12-31,884.09970,723.27000,160.82970,92.08700,2.74500,89.34180,71.48790,4.84900,76.33700,24.53000,51.80700,51.80700,51.80700,75.99590,71.48800,39.97600,42.58500,1.29000,1.22000,0.84620,0.44230,0.79300,18.19140,8.08600,8.08600,8.63440,5.85990,0.30610,12.56630,7.16200,3.64450,3.64450,1.79340,2.03260,35.50990,1.0535,0.9512
2016-09-30,755.99600,620.98300,135.01300,85.73600,2.81700,82.91900,52.09400,1.70800,53.80200,16.91500,36.88700,36.88700,36.88700,55.96400,52.09400,40.02200,42.60800,0.92000,0.88000,0.75240,0.45460,0.83360,17.85900,6.89080,6.89080,7.11670,4.87930,0.26310,9.89900,9.09180,2.69760,2.69760,1.28390,1.47120,34.16380,-0.8808,-0.9892
2016-06-30,801.37200,659.79200,141.58000,85.27700,2.28700,82.99000,58.59000,0.44600,59.03600,19.15800,39.87800,39.87800,39.87800,62.78800,58.59000,40.01200,42.53300,1.00000,0.95000,0.90050,0.45640,0.83960,17.66720,7.31120,7.31120,7.36690,4.97620,0.29020,11.64160,7.73090,3.00560,3.00560,1.44430,1.63380,33.15520,-0.6695,-0.7532
2016-03-31,600.26600,493.97000,106.29600,75.79500,1.54600,74.24900,32.04700,-3.16200,28.88500,7.91600,20.96900,20.96900,20.96900,35.44900,32.04700,39.83900,42.36300,0.53000,0.50000,1.04450,0.46570,0.87160,17.70820,5.33880,5.33880,4.81200,3.49330,0.22110,9.92320,9.06960,1.63270,1.63270,0.77250,0.87240,32.11980,-1.93130,-2.02350
2015-12-31,784.71390,629.53800,155.17600,80.31700,2.65300,77.66410,77.51180,-1.42700,76.08500,23.18800,52.89700,52.89700,52.89700,81.45880,77.51190,39.59300,42.16400,1.34000,1.26000,1.34080,0.47010,0.88730,19.77490,9.87770,9.87770,9.69590,6.74090,0.29280,13.69580,6.57140,4.20170,4.20170,1.97390,2.22630,31.73600,1.1829,1.0934
2015-09-30,672.95600,543.71200,129.24400,76.87100,2.60100,74.27000,54.97400,-8.30600,46.66800,16.36000,30.30800,30.30800,30.30800,58.53900,54.97400,39.66300,42.19200,0.76000,0.73000,1.22610,0.48790,0.95280,19.20540,8.16900,8.16900,6.93480,4.50370,0.25260,11.28800,7.97310,2.52010,2.52010,1.13770,1.29050,30.31990,0.5638,0.458
2015-06-30,600.54200,483.05200,117.49000,72.81700,1.39500,71.42200,46.06800,-4.65400,41.41400,12.28100,29.13300,29.13300,29.13300,49.58600,46.06800,39.64800,42.14500,0.73000,0.70000,1.33740,0.49360,0.97480,19.56400,7.67110,7.67110,6.89610,4.85110,0.23220,9.28780,9.69010,2.49350,2.49350,1.12630,1.26270,29.45810,-0.9154,-0.9913
2015-03-31,521.24700,423.07100,98.17600,71.26200,1.24500,70.01700,28.15900,-2.86200,25.29700,8.89700,16.40000,16.40000,16.40000,31.37000,28.15900,39.39000,41.94800,0.42000,0.40000,0.91430,0.45970,0.85070,18.83480,5.40220,5.40220,4.85320,3.14630,0.22030,8.47350,10.62140,1.44460,1.44460,0.69300,0.78060,28.65660,-0.91040,-1.01880
