Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-09-30,33.65300,11.28500,22.36800,5.58100,12.82800,9.54000,-6.23400,3.30600,0.12600,3.18000,-0.10300,3.07700,,2.99300,17.26500,9.54000,37.99200,38.58900,0.07000,0.07000,0.65160,1.87050,28.34810,28.34810,9.82380,8.89370,0.03140,0.86850,0.86850,0.28750,0.30260,9.19650,0.3477,0.4051
2017-06-30,30.20800,9.86200,20.34600,5.84800,12.52900,7.81700,-5.52800,2.28900,0.08900,2.20000,-0.15700,2.04300,,1.98300,14.96100,7.81700,35.71600,36.54400,0.05000,0.05000,0.64840,1.84390,25.87730,25.87730,7.57750,6.56450,0.02820,0.56780,0.56780,0.19070,0.19960,9.33990,0.3526,-3.1319
2017-03-31,28.26700,9.41400,18.85300,6.16900,12.17700,6.67600,-5.01500,1.66100,0.08100,1.58000,-0.02300,1.55700,,1.44000,13.14300,6.67600,29.41600,30.40900,0.05000,0.04000,0.67430,2.07060,23.61770,23.61770,5.87610,5.09430,0.03300,0.58050,0.58050,0.18170,0.18900,8.97960,0.02900,-0.12080
2016-12-31,28.36500,9.63900,18.72600,7.45500,13.55000,5.17600,-4.92800,0.24800,0.04200,0.20600,0.34600,0.55200,,-0.11900,11.77300,5.17600,27.61800,28.38300,0.00000,0.00000,0.67030,2.03260,18.24790,18.24780,0.87430,-0.41950,0.03320,0.20620,0.20620,0.06450,0.06800,9.08220,0.4676,0.2801
2016-09-30,25.50800,8.31800,17.19000,6.21800,11.66700,5.52300,-4.50500,1.01800,0.08000,0.93800,0.02600,0.96400,,0.94900,11.48600,5.52300,28.19500,29.02400,0.03000,0.03000,0.67710,2.09650,21.65200,21.65200,3.99090,3.72040,0.02970,0.36770,0.36770,0.11230,0.11870,8.97330,0.3788,-1.8447
2016-06-30,25.12900,7.98700,17.14200,5.41300,10.93400,6.20800,-4.67000,1.53800,0.01100,1.52700,-0.01800,1.50900,,1.48400,12.27100,6.20800,26.81900,27.51300,0.05000,0.05000,0.67450,2.07230,24.70450,24.70450,6.12040,5.90550,0.03200,0.62470,0.62470,0.19200,0.20330,8.58420,0.3792,0.2401
2016-03-31,25.43500,8.14800,17.28700,4.83600,10.22800,7.05900,-4.70700,2.35200,0.15600,2.19600,2.89200,5.08800,,4.99700,12.83800,7.05900,26.60400,27.48900,0.18000,0.18000,0.67870,2.11250,27.75310,27.75310,9.24710,19.64620,0.03250,2.12700,2.12700,0.64980,0.68340,8.72200,0.20650,0.08760
2015-12-31,25.59500,8.78700,16.80800,5.14200,10.51500,6.29300,-4.17700,2.11600,0.09800,2.01800,0.06300,2.08100,0.00800,1.51200,12.04900,6.29300,24.63100,25.68300,0.07000,0.07000,0.66840,2.01610,24.58680,24.58680,8.26720,5.90740,0.03270,0.84250,0.84250,0.26610,0.27930,9.15090,0.4488,-0.0503
2015-09-30,24.59900,8.29700,16.30200,5.68700,10.83600,5.46600,-3.66700,1.79900,0.10000,1.69900,-0.14800,1.55100,0.04400,1.57000,10.98900,5.46600,26.47600,27.08200,0.05000,0.05000,0.66560,1.99030,22.22040,22.22040,7.31330,6.38240,0.03140,0.61930,0.61930,0.19790,0.20710,9.28370,0.3376,-2.9914
2015-06-30,21.97000,7.26400,14.70600,4.99800,9.67300,5.03300,-3.35400,1.67900,0.09100,1.58800,0.00500,1.59300,-0.03300,1.53400,10.08400,5.03300,22.86900,23.40100,0.06000,0.06000,0.61360,1.58810,22.90850,22.90850,7.64220,6.98220,0.03200,0.62730,0.62730,0.23240,0.24240,9.41270,0.2989,-1.7337
2015-03-31,21.25200,6.98700,14.26500,4.48500,9.04900,5.21600,-3.39900,1.81700,0.08300,1.73400,-0.10500,1.62900,-0.00800,1.59400,10.15400,5.21600,22.57700,23.22600,0.07000,0.06000,0.65810,1.92510,24.54360,24.54360,8.54980,7.50050,0.03320,0.77710,0.77710,0.25480,0.26570,9.00990,0.32340,-0.07170
2014-12-31,19.20600,6.54200,12.66400,4.52300,8.66100,4.00300,-3.03500,0.96800,0.07400,0.89400,,0.89400,2.01900,2.85800,8.47900,4.00300,22.27800,22.79300,0.12000,0.11000,0.64880,1.84740,20.84240,20.84250,5.04010,14.88080,0.03030,0.41910,0.41910,0.14090,0.14720,9.34150,0.2494,-3.8421
2014-09-30,18.53900,6.59100,11.94800,4.21200,8.13600,3.81200,-2.73100,1.08100,0.07200,1.00900,,1.00900,0.11200,1.10300,8.04300,3.81200,22.48200,22.69000,0.05000,0.05000,0.58510,1.41040,20.56210,20.56210,5.83100,5.94960,0.03400,0.46800,0.46800,0.18500,0.19420,9.44770,0.3306,-1.4502
2014-06-30,17.26200,6.21800,11.04400,3.58200,7.41600,3.62800,-2.41500,1.21300,0.05500,1.15800,-0.02400,1.13400,0.14600,1.25300,7.74000,3.62800,22.23500,22.44300,0.05000,0.05000,0.54760,1.21060,21.01730,21.01730,7.02700,7.25870,0.03420,0.51980,0.51980,0.22450,0.23510,9.61830,0.2725,0.1517
2014-03-31,17.37500,5.80100,11.57400,2.95700,6.78600,4.78800,-2.30800,2.48000,0.08100,2.39900,-0.08700,2.31200,0.12000,2.37200,8.89700,4.78800,21.82300,21.94900,0.11000,0.11000,0.54910,1.21760,27.55680,27.55680,14.27340,13.65180,0.03440,1.06370,1.06370,0.45810,0.47970,9.89670,0.27250,0.17730
2013-12-31,15.53700,5.63700,9.90000,3.23000,6.54700,3.35300,-2.28900,1.06400,0.06600,0.99800,-0.00100,0.99700,,1.28200,6.96900,3.35300,18.02700,18.27300,0.05000,0.05000,0.54190,1.18310,21.58080,21.58080,6.84820,8.25130,0.03060,0.45130,0.45130,0.19630,0.20670,10.06720,0.4574,-2.8002
2013-09-30,16.29100,6.81800,9.47300,2.72200,6.17200,3.30100,-2.57600,0.72500,0.09000,0.63500,,0.63500,,0.60400,7.10800,3.30100,17.03600,17.33100,0.04000,0.03000,0.61540,1.60010,20.26270,20.26270,4.45030,3.70760,0.03580,0.38160,0.38160,0.13970,0.14680,9.59510,0.3658,0.3274
2013-06-30,14.79500,5.36000,9.43500,2.51600,5.77600,3.65900,-2.54400,1.11500,0.07200,1.04300,-0.04000,1.00300,,0.95900,7.35000,3.65900,16.89100,17.11100,0.06000,0.06000,0.61580,1.60270,24.73130,24.73130,7.53630,6.48190,0.03280,0.60340,0.60340,0.22220,0.23180,9.74760,0.2517,-1.7183
2013-03-31,13.86900,4.86300,9.00600,2.44400,5.51700,3.48900,-2.43000,1.05900,0.06500,0.99400,-0.00800,0.98600,,0.94900,6.98400,3.48900,16.81900,16.93900,0.06000,0.06000,0.56170,1.28160,25.15680,25.15680,7.63570,6.84260,0.03420,0.58250,0.58250,0.24300,0.25530,9.94270,0.23220,-1.35570
2012-12-31,11.96300,4.32000,7.64300,2.22400,4.85700,2.78600,-4.39000,-1.60400,0.06300,-1.66700,0.00800,-1.65900,,-1.33700,6.01300,2.78600,13.49600,13.61300,-0.12000,-0.12000,0.52440,1.10250,23.28850,23.28850,-13.40800,-11.17610,0.03100,-0.95960,-0.95960,-0.43050,-0.45640,10.20400,0.1135,-1.5414
2012-09-30,11.61800,4.59800,7.02000,1.88800,4.57100,2.44900,-2.12300,0.32600,0.07700,0.24900,-0.07700,0.17200,,0.16300,5.64700,2.44900,13.84200,13.96100,0.01000,0.01000,0.48370,0.93700,21.07940,21.07940,2.80600,1.40300,0.03180,0.09600,0.09600,0.04700,0.04960,10.63530,0.2634,-4.9952
2012-06-30,10.98700,4.26200,6.72500,1.86300,4.15300,2.57200,-2.02400,0.54800,0.07000,0.47800,-0.01600,0.46200,,0.43100,5.23500,2.57200,11.74600,11.75400,0.04000,0.04000,0.52740,1.11590,23.40950,23.40950,4.98770,3.92280,0.03940,0.36810,0.36810,0.16580,0.17400,10.43690,0.2398,-0.6062
2012-03-31,10.42600,3.66200,6.76400,1.64100,3.92400,2.84000,-1.90300,0.93700,0.06500,0.87200,-0.01200,0.86000,,0.79300,5.38400,2.84000,11.62400,11.63800,0.07000,0.07000,0.51070,1.04390,27.23960,27.23960,8.98710,7.60600,0.03790,0.66900,0.66900,0.31300,0.32730,10.80780,0.20740,-0.04120
2011-12-31,9.96800,3.60900,6.35900,1.91100,3.53400,2.82500,-1.98600,0.83900,0.06000,0.77900,-0.12900,0.65000,,0.56600,5.06400,2.82500,9.02800,9.04200,0.06000,0.06000,0.49460,0.97840,28.34070,28.34070,8.41690,5.67820,0.03640,0.49730,0.49730,0.23770,0.25140,11.42740,0.3496,-4.2327
2011-09-30,8.79100,3.63800,5.15300,1.49500,3.65600,1.49700,-1.16600,0.33100,0.05400,0.27700,0.00100,0.27800,0.39700,0.57800,3.65800,1.49700,10.79700,10.80900,0.05000,0.05000,0.43450,0.76840,17.02880,17.02880,3.76520,6.57490,0.03530,0.20890,0.20890,0.11180,0.11820,12.11560,0.0982,-2.0146
2011-06-30,8.07000,3.10600,4.96400,1.77800,3.75400,1.21000,-1.39000,-0.18000,0.05800,-0.23800,,-0.23800,,-0.20000,3.18600,1.21000,8.52000,8.52000,-0.02000,-0.02000,0.42800,0.74830,14.99380,14.99380,-2.23050,-2.47830,0.03200,-0.17280,-0.17280,-0.09440,-0.09890,12.54110,-0.0186,-1.087
2011-03-31,8.08600,2.97400,5.11200,1.46400,3.45300,1.65900,-1.34200,0.31700,0.05300,0.26400,-0.01800,0.24600,,0.17900,3.64800,1.65900,5.47900,5.49900,0.03000,0.03000,0.55710,1.25810,20.51700,20.51700,3.92040,2.21370,0.04140,0.29830,0.29830,0.12590,0.13210,14.54310,0.50550,0.31610
2010-12-31,8.20200,3.29700,4.90500,1.25700,2.76700,2.13800,-1.26300,0.87500,0.05200,0.82300,-0.04700,0.77600,-0.02500,0.56600,4.08200,2.13800,4.01200,4.04100,0.12000,0.12000,0.54500,1.19760,26.06680,26.06680,10.66810,6.90080,0.04180,0.92070,0.92070,0.39500,0.41900,14.86210,0.4907,-1.5144
2010-09-30,7.85600,3.03800,4.81800,1.26300,3.07900,1.73900,-1.39400,0.34500,0.05600,0.28900,-0.07200,0.21700,0.01700,0.17100,3.55500,1.73900,4.02000,4.04000,0.04000,0.04000,0.54280,1.18720,22.13590,22.13590,4.39150,2.17670,0.03960,0.25340,0.25340,0.10940,0.11590,15.10090,0.9247,0.0517
2010-06-30,7.76600,2.99500,4.77100,1.27200,3.01700,1.75400,-1.39700,0.35700,0.10200,0.25500,-0.00800,0.24700,0.00800,0.16100,3.48500,1.75400,3.28200,3.30000,0.05000,0.05000,0.60930,1.55970,22.58560,22.58560,4.59700,2.07310,0.04410,0.38210,0.38210,0.14010,0.14930,6.18010,0.7107,0.5803
2010-03-31,7.70900,2.95300,4.75600,1.20000,2.93400,1.82200,-1.40000,0.42200,0.05400,0.36800,-0.03300,0.33500,,0.20700,3.55600,1.82200,3.24000,3.30300,0.06000,0.06000,0.60160,1.50980,23.63470,23.63470,5.47410,2.68520,0.04340,0.49800,0.49800,0.18860,0.19840,6.43720,0.44630,0.29520
2009-12-31,7.95400,3.22200,4.73200,1.46900,3.26800,1.46400,-0.16500,1.29900,0.05600,1.24300,-0.13800,1.10500,,0.68800,2.82300,1.46400,3.23600,3.30200,0.23000,0.22000,0.60350,1.52230,18.40580,18.40580,16.33140,8.64970,0.04370,1.65270,1.65270,0.60710,0.65520,19.40190,0.987,0.6787
2009-09-30,8.48400,3.26400,5.22000,1.54900,3.29000,1.93000,-0.94000,0.99000,0.05500,0.93500,-0.00500,0.93000,,0.60100,3.67100,1.93000,3.23600,3.30100,0.18000,0.18000,0.60370,1.52330,22.74870,22.74870,11.66900,7.08390,0.04590,1.38260,1.38260,0.50290,0.54790,6.50700,1.3827,-0.3665
2009-06-30,8.20300,3.31900,4.88400,1.62500,3.33500,1.54900,-1.40800,0.14100,0.05700,0.08400,-0.01200,0.07200,,0.04700,3.25900,1.54900,9.70700,9.89900,0.00000,0.00000,0.61720,1.61230,18.88330,18.88330,1.71890,0.57300,0.04380,0.10610,0.10610,0.03840,0.04060,6.56480,0.1944,0.1642
2009-03-31,8.04400,3.18600,4.85800,1.42900,3.13700,1.72100,-1.65800,0.06300,0.05400,0.00900,-0.04100,-0.03200,,-0.02100,3.42900,1.72100,9.70700,9.70700,0.00000,0.00000,0.61350,1.58700,21.39480,21.39480,0.78320,-0.26110,0.04290,-0.04620,-0.04620,-0.01710,-0.01780,6.70480,0.13060,-0.57690
