Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-12-31,1.04400,0.52200,0.52200,1.97200,9.63900,-0.91700,12.52800,-12.00600,11.07500,-0.93100,-1.26300,0.33200,0.33200,,0.32900,-12.00600,-12.00600,4.14870,4.14870,0.10000,0.10000,8.14920,,50.00000,-1150.00000,-1150.00000,-89.17620,31.51340,0.00350,,,0.12750,0.14530,0.11100,0.12750,53.77100,-3.9697,-4.9025
2016-09-30,,0.41300,-0.41300,2.24900,9.69800,0.11600,11.83100,-12.24400,1.18900,-11.05500,0.23200,-11.28700,-11.28700,,-11.28700,-12.24400,-12.24400,4.14410,4.14410,-2.70000,-2.70000,20.68040,,,,,,,,,,-4.46240,-4.47580,-4.15180,-4.46240,60.95190,0,0
2016-06-30,0.18600,0.51700,-0.33100,2.73300,11.23200,0.84800,13.11700,-13.44800,10.27900,-3.16900,1.25100,-4.42000,-4.42000,,-4.17100,-13.44800,-13.44800,4.13810,4.13810,-1.00000,-1.00000,21.29950,,-177.95700,-7230.10800,-7230.10800,-1703.76300,-2242.47300,0.00070,,,-1.71330,-1.71620,-1.59700,-1.71330,62.27710,0,0
2016-03-31,0.34400,0.58500,-0.24100,3.35800,11.57500,0.07600,14.85700,-15.09800,0.55500,-14.54300,0.22000,-14.76300,-14.76300,,-14.10300,-15.09800,-15.09800,4.18580,4.18580,-3.40000,-3.40000,7.43330,,-70.05810,-4388.95400,-4388.95400,-4227.61600,-4099.70900,0.00110,6.25450,14.38950,-5.42950,-6.38040,-4.66680,-5.42950,65.70950,0.00000,
2015-12-31,0.10900,1.24000,-1.13100,2.17100,5.82600,,7.99700,-9.12800,0.94900,-8.84000,6.99900,-15.83900,-16.93600,0.00000,-16.93600,-9.12800,-9.12800,4.18950,4.18950,-4.00000,-4.00000,10.84840,,-1653.21100,-8374.31300,-8374.31300,-8110.09200,-15537.62000,0.00030,0.19400,464.03670,-5.87820,-6.85120,-5.26300,-5.87820,,1.5615,1.1887
2015-09-30,,0.53000,-0.53000,2.46000,9.50000,,11.96000,-12.49000,0.69000,-11.82000,0.87000,-12.69000,-12.69900,0.00000,-12.69900,-12.49000,-12.49000,4.18480,4.18480,-3.00000,-3.00000,7.67550,0.09580,,,,,,,,,-4.44320,-4.45110,-3.80180,-4.44300,,0,0
2015-06-30,,,,2.79000,12.75000,,,-15.54000,0.58000,-14.96000,-1.83000,-13.13000,-13.13600,0.00000,-13.13600,-15.54000,-15.54000,3.52320,3.52320,-3.70000,-3.70000,20.17960,,,,,,,,,,-4.46890,-4.47750,-4.16200,-4.46880,,0,0
2015-03-31,15.94500,1.99000,13.95500,2.35000,20.29000,,22.64000,-8.68500,0.74000,-7.95000,0.44000,-8.39000,-8.39600,0.00000,-8.39600,-8.68500,-8.68500,3.51510,3.51510,-2.40000,-2.40000,9.88320,,87.42550,-54.46850,-54.46850,-49.85890,-52.65600,0.07840,,,-4.74700,-4.76290,-4.12880,-4.74670,,0.00000,
2014-12-31,23.56800,2.36000,21.20800,9.63000,6.79000,,16.42000,4.78800,-0.97900,3.55000,1.24000,2.31000,2.34300,0.00000,2.34300,4.78800,4.78800,3.50600,3.58970,0.70000,0.70000,7.95950,,88.80690,20.31570,20.31570,15.06280,9.94140,0.11080,1.96560,45.78670,1.30080,1.30460,1.10160,1.30080,,11.2489,10.5552
2014-09-30,30.55800,2.68000,27.87800,,21.67000,,21.67000,6.20800,0.78900,6.98000,0.54000,6.44000,6.44900,0.00000,6.44900,6.20800,6.20800,3.48340,3.59040,1.90000,1.80000,7.81470,,91.17090,20.31550,20.31550,22.84180,21.10410,0.15210,2.82680,31.83780,3.74010,3.75330,3.20890,3.74010,,0,0
2014-06-30,25.16900,2.27000,22.89900,,13.74000,,13.74000,9.15900,1.23000,10.37000,-1.77000,12.14000,12.15400,0.00000,12.15400,9.15900,9.15900,3.31120,3.61790,3.70000,3.40000,7.39100,,90.94520,36.39000,36.39000,41.20150,48.28960,0.13550,1.31910,68.22680,7.68460,7.71730,6.54250,7.68460,,0,0
2014-03-31,14.44300,1.37000,13.07300,,8.35000,,8.35000,4.72300,0.99000,5.70000,1.27000,4.43000,4.42700,0.00000,4.42700,4.72300,4.72300,3.28740,3.57080,1.30000,1.20000,7.77270,0.00730,90.49370,32.70100,32.70100,39.46550,30.65150,0.08900,1.16290,77.39390,3.21960,3.23350,2.72900,3.21940,,0.00000,
2013-12-31,15.87800,,15.87800,,,,,15.87800,,15.87800,,15.87800,14.11500,0.00000,14.11500,15.87800,15.87800,2.66750,2.91720,5.30000,4.80000,7.67620,0.01580,100.00000,100.00000,100.00000,100.00000,88.89660,0.10030,1.53860,58.49600,10.55800,10.60000,8.91660,10.55720,,1.6488,1.1929
2013-09-30,11.35700,,11.35700,,,,,11.35700,,11.35700,,11.35700,2.05200,0.00000,2.05200,11.35700,11.35700,2.52520,2.52520,0.80000,0.80000,1.23380,6.57970,100.00000,100.00000,100.00000,100.00000,18.06820,0.14950,0.72110,124.81290,56.52900,61.62160,2.70040,56.37360,,0,0
2013-06-30,8.81800,,8.81800,,,,,8.81800,,8.81800,,8.81800,1.89000,0.00000,1.89000,8.81800,8.81800,2.28770,2.43920,0.80000,0.80000,1.21190,2.14620,100.00000,100.00000,100.00000,100.00000,21.43340,0.13160,0.23450,383.76050,145.38480,196.87550,2.82090,145.38460,,0,0
2013-03-31,6.29100,,6.29100,,,,,6.29100,,6.29100,,6.29100,-0.57400,0.00000,-0.57400,6.29100,6.29100,2.28770,2.28770,-0.30000,-0.30000,,,100.00000,100.00000,100.00000,100.00000,-9.12410,,,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
