Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-03-31,7155.99100,6294.30300,861.68800,556.07600,-0.86600,616.12900,245.55960,-49.23900,196.32100,53.90700,142.41400,142.41400,140.73500,312.17560,245.55960,85.40000,86.31900,1.65000,1.63000,1.74210,0.39390,0.67520,12.04150,3.43150,3.43150,2.74340,1.96670,0.42520,1.68530,0.90550,99.38900,2.58870,5.69730,0.84620,1.56890,64.59100,-3.81140,-4.20320
2018-12-31,7918.18200,6942.81100,975.37160,583.94310,,640.99100,334.37990,-69.41500,264.96500,32.47400,232.49100,232.49100,230.65300,389.69690,334.38040,87.47600,88.44400,2.65000,2.63000,1.54810,0.37600,0.64830,12.31810,4.22290,4.22290,3.34630,2.91300,0.44520,1.79000,0.88520,101.67630,4.32430,9.77250,1.30730,2.69850,63.10960,2.9754,2.6903
2018-09-30,7490.44500,6566.66700,923.77780,575.75100,-2.04200,633.46800,290.30960,-55.08300,235.22700,57.05400,178.17300,178.17300,176.53300,348.28360,290.30960,87.60200,88.60800,2.02000,1.99000,1.62210,0.38730,0.66210,12.33280,3.87570,3.87570,3.14040,2.35680,0.44120,1.76390,0.91020,98.88350,3.36050,7.64940,1.04940,2.05880,60.82210,5.5769,5.1438
2018-06-30,7392.52800,6459.70800,932.81980,580.38800,,645.99300,286.82670,-64.10600,222.72100,51.68100,171.04000,171.04000,169.91500,345.86770,286.82670,87.80200,88.65200,1.94000,1.92000,1.68560,0.41660,0.73640,12.61840,3.88000,3.88000,3.01280,2.29850,0.44140,1.71080,0.91530,98.33180,3.31000,7.89940,1.02120,1.93100,59.13330,-4.6259,-4.9864
2018-03-31,6875.61300,6006.66900,868.94380,562.96900,-1.56200,632.94900,235.99510,-49.53500,186.46000,46.59000,139.87000,139.87000,139.09400,296.28510,235.99510,87.95500,89.03500,1.58000,1.56000,1.69190,0.40690,0.69360,12.63810,3.43240,3.43240,2.71190,2.02300,0.42640,1.68130,0.93190,96.58210,2.71650,6.67030,0.86740,1.61110,58.76300,-0.84320,-1.23340
2017-12-31,7539.44900,6610.27000,929.17920,562.08190,,642.35500,286.82370,-59.91000,226.91400,171.41300,55.50100,55.50100,53.65300,336.14770,286.82320,88.68100,89.76600,0.61000,0.60000,1.56050,0.36980,0.65820,12.32420,3.80430,3.80430,3.00970,0.71160,0.45810,2.00160,0.92790,96.99690,1.11050,2.47590,0.33720,0.69980,56.99490,1.3677,0.7658
2017-09-30,6856.10800,6013.54100,842.56690,552.65600,,607.12600,235.44040,-54.56000,180.88100,45.97200,134.90900,134.90900,134.06400,282.92440,235.44040,88.45300,89.54000,1.52000,1.50000,1.58180,0.36270,0.64630,12.28930,3.43400,3.43400,2.63820,1.95540,0.45530,1.89780,0.96970,92.81600,2.73910,6.28260,0.89600,1.74570,55.99410,1.5016,0.9661
2017-06-30,6422.22600,5598.20200,824.02390,531.78100,,593.57800,230.44580,-100.20700,130.23900,29.59200,100.64700,100.64700,99.72200,277.64280,230.44580,88.87600,89.83700,1.12000,1.11000,1.58760,0.35740,0.64600,12.83080,3.58830,3.58830,2.02790,1.55280,0.45230,1.83830,0.98330,91.53070,2.11850,5.06640,0.70880,1.36140,53.82860,-1.251,-1.5144
2017-03-31,5736.78000,4975.58300,761.19680,515.52600,,568.17200,193.02490,-37.14200,155.88300,39.56400,116.31900,116.31900,114.73700,241.74090,193.02490,89.26200,90.54100,1.29000,1.27000,1.57200,0.35060,0.64330,13.26870,3.36470,3.36470,2.71730,2.00000,0.42750,1.71250,0.97780,92.04580,2.55260,6.37110,0.86680,1.65780,51.25480,-0.23070,-0.82970
2016-12-31,6105.50100,5282.03200,823.46920,512.37610,,550.28400,273.18510,-54.87300,218.31300,53.29000,165.02290,165.02290,164.58300,320.90610,273.18510,90.96000,92.03300,1.84000,1.81000,1.54230,0.37650,0.62480,13.48740,4.47440,4.47440,3.57570,2.69570,0.42980,1.84970,0.90500,99.45160,3.69540,9.50310,1.16160,2.30420,50.22460,2.3777,1.9624
