Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2018-12-31,29.72700,29.72700,0.20200,29.52500,0.00900,29.53400,29.53400,29.53400,29.53400,29.52500,29.52500,21.40000,21.40000,1.38040,1.38040,3.04130,100.00000,99.32050,99.32050,99.35080,99.35080,28.83320,4267.91800,4267.91800,2864.59700,4267.91800,0.03230
2018-09-30,30.49200,30.49200,0.29700,30.19500,0.00800,30.20300,30.20300,30.20300,30.12200,30.19500,30.19500,21.40000,21.40000,1.40760,1.40760,4.88630,100.00000,99.02600,99.02600,99.05220,98.78660,29.57520,3683.29300,3683.29200,2929.48600,3683.29300,0.03830
2018-06-30,27.61100,27.61100,0.40700,27.20400,0.01100,27.21500,27.21500,27.21500,27.28200,27.20400,27.20400,21.40000,21.40000,1.27480,1.27480,3.10460,100.00000,98.52600,98.52600,98.56580,98.80840,29.06420,4225.93200,4225.93200,2864.73700,4225.93200,0.03010
2018-03-31,26.53900,26.53900,0.21500,26.32400,0.00600,26.33000,26.33000,26.33000,26.32500,26.32400,26.32400,21.40000,21.40000,1.23020,1.23020,2.44470,100.00000,99.18990,99.18990,99.21250,99.19360,26.09540,4381.03100,4381.03200,2588.98700,4381.03100,0.02810
2017-12-31,14.66700,14.66700,0.24200,14.42500,0.00300,14.42800,14.42800,14.42800,14.42500,14.42500,14.42500,21.40000,21.40000,0.67450,0.67450,4.45810,100.00000,98.35000,98.35010,98.37050,98.35000,14.49310,1837.96200,1837.96200,1425.69200,1837.96200,0.03670
2017-09-30,18.23000,18.23000,0.40600,17.82400,0.00300,17.82700,17.82700,17.82700,17.82500,17.82400,17.82400,21.40000,21.40000,0.83290,0.83290,4.01990,100.00000,97.77290,97.77290,97.78940,97.77840,18.06740,2351.84700,2351.84700,1766.79900,2351.84700,0.03540
2017-06-30,23.81400,23.81400,0.31100,23.50300,0.00300,23.50600,23.50600,23.50600,23.50400,23.50300,23.50300,21.40000,21.40000,1.09830,1.09830,2.42650,100.00000,98.69410,98.69410,98.70660,98.69830,23.64850,3970.60800,3970.60800,2334.26000,3970.60800,0.02770
2017-03-31,21.48200,21.48200,0.20600,21.27600,0.00200,21.27800,21.27800,21.27800,21.27700,21.27600,21.27600,21.40000,21.40000,0.99430,0.99430,3.02710,100.00000,99.04110,99.04110,99.05040,99.04570,21.37510,3161.66500,3161.66500,2117.21400,3161.66500,0.03140
2016-12-31,14.73500,14.73500,0.19700,14.53800,,14.53800,14.53800,14.53800,14.53700,14.53800,14.53800,21.40000,21.40000,0.67900,0.67900,4.60550,100.00000,98.66310,98.66310,98.66310,98.65630,14.67630,1849.61800,1849.61800,1448.00800,1849.61800,0.03670
2016-09-30,15.11000,15.11000,0.45000,14.66000,0.00100,14.66100,14.66100,14.66100,14.66000,14.66000,14.66000,21.40000,21.40000,0.68500,0.68500,4.84540,100.00000,97.02180,97.02180,97.02850,97.02180,15.06480,1841.83400,1841.83400,1461.71500,1841.83400,0.03720
2016-06-30,1.95100,1.95100,0.41000,1.54100,0.00100,1.54200,1.54200,1.54200,1.54200,1.54100,1.54100,21.40000,21.40000,0.07210,0.07210,2.18300,100.00000,78.98510,78.98510,79.03640,79.03640,1.94710,283.97790,283.97790,153.89220,283.97790,0.02540
2016-03-31,13.12100,13.12100,0.24100,12.88000,,12.88000,12.88000,12.88000,12.88000,12.88000,12.88000,21.40000,21.40000,0.60190,0.60190,2.39710,100.00000,98.16330,98.16330,98.16330,98.16330,13.09480,2205.47900,2205.47900,1285.42900,2205.47900,0.02730
2015-12-31,15.33500,15.33500,0.29100,15.04400,,15.04400,15.04400,15.04400,15.04400,15.04400,15.04400,21.40000,21.40000,0.70330,0.70330,3.97620,100.00000,98.10240,98.10240,98.10240,98.10240,15.30440,2005.86800,2005.86800,1501.39800,2005.86800,0.03500
2015-09-30,31.86600,31.86600,0.35800,31.50800,,31.50800,31.50800,31.50800,31.50800,31.50800,31.50800,21.40000,21.40000,1.47240,1.47240,3.35120,100.00000,98.87660,98.87660,98.87660,98.87660,31.80240,4481.93500,4481.93500,3144.51100,4481.93500,0.03290
2015-06-30,21.89100,21.89100,0.51400,21.37700,,21.37700,21.37700,21.37700,21.37700,21.37700,21.37700,21.40000,21.40000,0.99890,0.99890,2.67200,100.00000,97.65200,97.65200,97.65200,97.65200,21.84730,3409.41000,3409.41000,2133.43300,3409.41000,0.02930
2015-03-31,57.68900,57.68900,0.15700,57.53200,,57.53200,57.53200,57.53200,57.53200,57.53200,57.53200,21.40000,21.40000,2.68840,2.68840,1.91590,100.00000,99.72790,99.72790,99.72790,99.72790,57.57390,12010.86000,12010.86000,5741.71600,12010.86000,0.02240
2014-12-31,43.63400,43.63400,0.25600,43.37800,,43.37800,43.37800,43.37800,43.37800,43.37800,43.37800,21.40000,21.40000,2.02660,2.02660,5.92900,100.00000,99.41330,99.41330,99.41330,99.41330,43.54690,5207.44300,5207.44300,4329.14200,5207.44300,0.03890
2014-09-30,65.18800,65.18800,0.29100,64.89700,,64.89700,64.89700,64.89700,64.89700,64.89700,64.89700,21.40000,21.40000,3.03260,3.03260,3.77740,100.00000,99.55360,99.55360,99.55360,99.55360,65.12290,8817.52700,8817.52700,6483.21700,8817.52700,0.03440
2014-06-30,64.86000,64.86000,0.46700,64.39300,,64.39300,64.39300,64.39300,64.39300,64.39300,64.39300,21.40000,21.40000,3.00900,3.00900,3.33670,100.00000,99.28000,99.28000,99.28000,99.28000,64.79520,9185.87700,9185.87700,6432.86700,9185.87700,0.03280
2014-03-31,54.22200,54.22200,0.12700,54.09500,,54.09500,54.09500,54.09500,54.09500,54.09500,54.09500,21.40000,21.40000,2.52780,2.52780,2.10740,100.00000,99.76580,99.76580,99.76580,99.76580,54.16780,10284.22000,10284.22000,5404.09600,10284.22000,0.02460
2013-12-31,46.81300,46.81300,0.41900,46.39400,,46.39500,46.39500,46.39500,46.39500,46.39400,46.39400,21.40000,21.40000,2.16810,2.16810,7.25360,100.00000,99.10500,99.10490,99.10710,99.10720,46.76620,5376.01300,5376.01300,4634.86400,5376.01300,0.04030
2013-09-30,46.28300,46.28300,0.42600,45.85700,,45.85700,45.85700,45.85700,45.85700,45.85700,45.85700,21.40000,21.40000,2.14290,2.14290,2.34430,100.00000,99.07960,99.07960,99.07960,99.07960,46.23680,7989.02500,7989.02300,4581.11900,7989.02500,0.02680
2013-06-30,52.04600,52.04600,0.37000,51.67600,,51.67600,51.67600,51.67600,51.67600,51.67600,51.67600,21.40000,21.40000,2.41480,2.41480,2.31410,100.00000,99.28910,99.28910,99.28910,99.28910,51.94210,9081.89800,9081.89800,5157.28600,9081.89800,0.02660
2013-03-31,49.71200,49.71200,0.16700,49.54500,,49.54500,49.54500,49.54500,49.54500,49.54500,49.54500,21.40000,21.40000,2.31520,2.31520,2.64810,100.00000,99.66410,99.66410,99.66410,99.66410,49.66230,7952.64800,7952.64800,4949.55000,7952.64800,0.02910
2012-12-31,39.17400,39.17400,0.19200,38.98200,,38.98300,38.98300,38.98300,38.98300,38.98200,38.98200,21.40000,21.40000,1.82190,1.82190,5.72000,100.00000,99.50990,99.50990,99.51250,99.51240,39.13490,4719.49300,4719.49300,3894.40700,4719.49300,0.03860
2012-09-30,50.01100,50.01100,0.51700,49.49400,,49.49400,49.49400,49.49400,49.49400,49.49400,49.49400,21.40000,21.40000,2.31290,2.31290,5.00000,100.00000,98.96620,98.96620,98.96620,98.96620,50.01100,6186.75000,6186.75000,4949.40000,6186.75000,0.03740
2012-06-30,56.89000,56.89000,0.32600,56.56400,,56.56400,56.56400,56.56400,56.56400,56.56400,56.56400,21.40000,21.40000,2.64310,2.64310,1.90860,100.00000,99.42700,99.42700,99.42700,99.42700,56.77650,11858.28000,11858.28000,5645.11000,11858.28000,0.02230
2012-03-31,53.94400,53.94400,0.11700,53.82700,,53.82700,53.82700,53.82700,53.82700,53.82700,53.82700,21.40000,21.40000,2.51610,2.51610,2.99400,100.00000,99.78310,99.78310,99.78310,99.78310,53.94400,8082.13200,8082.13200,5382.70000,8082.13200,0.03110
2011-12-31,42.18600,42.18600,0.29900,41.88700,,41.88700,41.88700,41.88700,41.84200,41.88700,41.88700,21.40000,21.40000,1.95660,1.95660,7.95310,100.00000,99.29120,99.29120,99.29120,99.18450,41.44010,4706.40500,4706.40500,4114.63700,4706.40500,0.04160
2011-09-30,56.75200,56.75200,0.27600,56.47600,,56.47600,56.47600,56.47600,56.47600,56.47600,56.47600,21.40000,21.40000,2.63910,2.63910,3.25730,100.00000,99.51370,99.51370,99.51370,99.51370,56.75200,,8149.49500,5647.60000,8149.49400,0.03240
2011-06-30,51.72600,51.72600,0.55600,51.17000,0.00100,51.17100,51.17100,51.17100,51.21600,51.17000,51.17000,21.40000,21.40000,2.39330,2.39330,2.77780,100.00000,98.92510,98.92510,98.92700,99.01400,51.72600,7995.46900,7995.46900,5117.10000,7995.46900,0.02990
2011-03-31,51.66100,51.66100,0.08600,51.57500,,51.57500,51.57500,51.57500,51.57500,51.57500,51.57500,21.40000,21.40000,2.40800,2.40800,1.81420,100.00000,99.83350,99.83350,99.83350,99.83350,49.43640,10996.80000,10996.80000,4935.40700,10996.80000,0.02190
2010-12-31,43.42300,43.42300,0.18500,43.23800,0.00000,43.23800,43.23800,43.23800,72.71200,43.23800,43.23800,21.40000,21.40000,2.02080,2.02080,7.20140,100.00000,99.57400,99.57400,99.57400,167.45040,43.37960,5016.00900,5016.00900,4319.48000,5016.00900,0.04030
2010-09-30,45.46200,45.46200,0.62100,44.84100,0.00100,44.84200,44.84200,44.84200,44.84200,44.84100,44.84100,21.40000,21.40000,2.09540,2.09540,5.15980,100.00000,98.63400,98.63400,98.63620,98.63620,30.24750,3425.66900,5556.62900,2983.50000,3425.66900,0.06120
2010-06-30,47.13600,47.13600,0.33000,46.80600,,46.80600,46.80600,46.80600,46.80600,46.80600,46.80600,21.40000,21.40000,2.26690,2.26690,1.58730,100.00000,99.29990,99.29990,99.29990,99.29990,23.52100,3406.55000,12650.27000,2335.62900,3406.55000,0.06420
2010-03-31,48.02100,48.02100,0.20200,47.81900,1.70600,49.52500,49.52500,49.52500,49.52500,47.81900,47.81900,21.40000,21.40000,3.61190,3.61190,7.97940,100.00000,99.57940,99.57940,103.13200,103.13200,11.40370,1279.05500,2093.19500,1176.08700,1279.05500,0.18090
2009-12-31,66.70800,66.70800,0.22000,66.48800,0.00100,66.48900,66.48900,66.48900,37.03100,66.48800,66.48800,21.40000,21.40000,1.72950,1.72950,144.43130,100.00000,99.67020,99.67020,99.67170,55.51210,2.05360,206.02060,219.69670,204.68230,206.02060,1.50810
2009-09-30,36.05100,36.05100,0.74600,35.30500,0.00100,35.30600,35.30600,35.30600,35.30600,35.30500,35.30500,21.40000,21.40000,1.64980,1.64980,4.37120,100.00000,97.93070,97.93070,97.93350,97.93350,10.26510,1075.41900,4573.31500,1005.29600,1075.41900,0.15340
2009-06-30,21.44900,21.44900,0.22400,21.22500,,21.22500,21.22500,21.22500,21.22500,21.22500,21.22500,21.40000,21.40000,0.99180,0.99180,1.32630,100.00000,98.95570,98.95570,98.95570,98.95570,5.34490,651.27330,8628.04700,528.90600,651.27330,0.15230
2009-03-31,35.28000,35.28000,0.26900,35.01100,0.00200,35.01300,35.01300,35.01300,35.01300,35.01100,35.01100,21.40000,21.40000,1.63690,1.63690,4.32900,100.00000,99.23750,99.23750,99.24320,99.24320,7.81400,817.29690,4553.05700,775.48160,817.29690,0.20020
