Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,771.00000,184.00000,587.00000,368.00000,335.00000,703.00000,-116.00000,2.00000,-114.00000,6.00000,-120.00000,,-136.00000,-128.00000,-116.00000,-116.00000,634.10900,634.10900,-0.23000,-0.22000,0.99840,0.09130,0.46140,76.13490,-15.04540,-15.04540,-14.78600,-16.60180,0.02560,1.05760,85.09730,-0.78460,-2.27730,-0.45170,-0.71300,27.02670,0.6119,0.4715
2021-09-30,831.00000,190.00000,641.00000,358.00000,320.00000,678.00000,-37.00000,-117.00000,-154.00000,15.00000,-169.00000,,-134.00000,-131.00000,-37.00000,-37.00000,643.85640,643.85640,-0.20000,-0.20000,1.04180,0.09960,0.51750,77.13600,-4.45250,-4.45250,-18.53190,-15.76410,0.02670,1.02720,87.61730,,-2.24460,-0.42990,-0.70080,,0,0
2021-06-30,912.00000,189.00000,723.00000,345.00000,327.00000,672.00000,51.00000,-123.00000,-72.00000,15.00000,-87.00000,,-102.00000,-100.00000,51.00000,51.00000,635.47600,635.47600,-0.16000,-0.16000,1.14770,0.16950,0.57200,79.27630,5.59210,5.59210,-7.89470,-10.96490,0.02840,1.10280,81.61180,,-1.69750,-0.31810,-0.49130,,0,0
2021-03-31,628.00000,158.00000,470.00000,340.00000,249.00000,589.00000,-119.00000,385.00000,266.00000,6.00000,260.00000,,271.00000,273.00000,-119.00000,-119.00000,604.59700,629.54100,0.45000,0.44000,1.03410,0.18370,0.61820,74.84080,-18.94910,-18.94910,42.35670,43.47130,0.02080,0.94580,95.15920,,5.69090,0.89930,1.39650,,0.00000,
2020-12-31,885.00000,171.00000,714.00000,385.00000,356.00000,741.00000,-27.00000,110.00000,83.00000,25.00000,58.00000,,84.00000,90.00000,-27.00000,-27.00000,600.88800,600.88800,0.16000,0.17000,0.99390,0.18280,0.55510,80.67800,-3.05080,-3.05080,9.37850,10.16950,0.03080,1.40250,64.16950,0.53960,1.89870,0.29270,0.44100,25.95950,-0.9786,-1.1134
2020-09-30,805.00000,152.00000,653.00000,296.00000,240.00000,536.00000,117.00000,182.00000,299.00000,36.00000,263.00000,,234.00000,234.00000,117.00000,117.00000,600.68000,619.85600,0.39000,0.38000,1.07200,0.24340,0.66400,81.11800,14.53420,14.53420,37.14290,29.06830,0.02760,0.94480,95.25470,,5.80790,0.80160,1.19870,,0,0
2020-06-30,448.00000,123.00000,325.00000,255.00000,167.00000,422.00000,-97.00000,270.00000,173.00000,29.00000,144.00000,,-67.00000,-67.00000,-97.00000,-97.00000,599.75200,599.75200,-0.11000,-0.11000,0.95380,0.21990,0.70470,72.54460,-21.65180,-21.65180,38.61610,-14.95540,0.01590,0.61710,145.84820,,-1.75900,-0.23850,-0.37090,,0,0
2020-03-31,669.00000,172.00000,497.00000,239.00000,469.00000,708.00000,-211.00000,-532.00000,-743.00000,-36.00000,-707.00000,,-752.00000,-754.00000,-211.00000,-211.00000,595.95200,595.95200,-1.27000,-1.27000,0.95350,0.18910,0.63770,74.29000,-31.53960,-31.53960,-111.06130,-112.70550,0.02410,0.92920,96.86100,,-18.76720,-2.70700,-4.32430,,0.00000,
2019-12-31,1173.00000,243.00000,930.00000,379.00000,468.00000,847.00000,83.00000,249.00000,332.00000,49.00000,283.00000,,264.00000,266.00000,83.00000,83.00000,567.87200,641.95200,0.44000,0.46000,0.98230,0.15600,0.47350,79.28390,7.07590,7.07590,28.30350,22.67690,0.04080,1.06640,84.39900,1.73880,5.38450,0.91820,1.46760,25.61710,1.6434,1.4596
2019-09-30,1466.00000,302.00000,1164.00000,390.00000,460.00000,850.00000,314.00000,-177.00000,137.00000,51.00000,86.00000,,115.00000,112.00000,314.00000,314.00000,567.84000,601.62400,0.20000,0.19000,1.01960,0.16710,0.55840,79.39970,21.41880,21.41880,9.34520,7.63980,0.05160,1.12770,79.80900,,2.61660,0.40480,0.66660,,-0.9876,-0.8941
2019-06-30,1266.00000,262.00000,1004.00000,385.00000,425.00000,810.00000,194.00000,-186.00000,8.00000,49.00000,-41.00000,,-59.00000,-59.00000,194.00000,194.00000,555.87200,555.87200,-0.11000,-0.11000,1.07440,0.18730,0.63110,79.30490,15.32390,15.32390,0.63190,-4.66030,0.04450,1.09610,82.10900,,-1.78680,-0.20740,-0.35000,,0.9876,0.8941
2019-03-31,1217.00000,252.00000,965.00000,379.00000,454.00000,833.00000,132.00000,695.00000,827.00000,101.00000,726.00000,,684.00000,687.00000,132.00000,132.00000,554.03200,618.91900,1.24000,1.11000,1.14150,0.20670,0.66440,79.29340,10.84630,10.84630,67.95400,56.45030,0.04230,1.33740,67.29660,,20.50970,2.37570,3.87840,,0.00000,
2018-12-31,963.00000,210.00000,753.00000,352.00000,442.00000,794.00000,-41.00000,-159.00000,-200.00000,,-200.00000,,-210.00000,-203.00000,-41.00000,-41.00000,547.22400,567.40000,-0.37000,-0.29000,1.15410,0.21390,0.67800,78.19320,-4.25750,-4.25750,-20.76840,-21.08000,0.03560,1.16870,77.00940,-1.62730,-8.55050,-0.77700,-1.27920,23.33710,1.8259,1.6532
2018-09-30,1362.00000,290.00000,1072.00000,363.00000,494.00000,857.00000,215.00000,-363.00000,-148.00000,37.00000,-185.00000,,-160.00000,-165.00000,215.00000,215.00000,550.00000,550.00000,-0.30000,-0.30000,1.22310,0.22460,0.68990,78.70780,15.78560,15.78560,-10.86640,-12.11450,0.04940,1.37580,65.41850,,-6.09990,-0.58030,-0.94690,,0,0
2018-06-30,1106.00000,222.00000,884.00000,340.00000,434.00000,774.00000,110.00000,334.00000,444.00000,49.00000,395.00000,,363.00000,360.00000,110.00000,110.00000,546.81140,643.39530,0.66000,0.59000,1.34520,0.24740,0.59770,79.92770,9.94580,9.94580,40.14470,32.54970,0.04050,1.16910,76.98010,,12.41030,1.32970,1.98710,,0,0
2018-03-31,1073.00000,198.00000,875.00000,344.00000,436.00000,780.00000,95.00000,89.00000,184.00000,29.00000,155.00000,,167.00000,170.00000,95.00000,95.00000,548.05000,606.85000,0.31000,0.29000,1.40310,0.24680,0.55970,81.54710,8.85370,8.85370,17.14820,15.84340,0.03980,1.30060,69.19850,1.18090,5.68990,0.61920,0.88940,,0.00000,
2017-12-31,1098.20000,184.51550,913.68470,355.37010,468.18260,823.55250,90.13210,54.11900,144.25090,50.07970,94.17120,,79.27620,84.28870,90.13210,90.13210,530.40600,574.20700,0.17000,0.16000,1.40480,0.25260,0.52660,83.19840,8.20730,8.20730,13.13520,7.67520,0.04410,1.56730,57.42510,0.59650,3.14890,0.31830,0.44580,24.57570,1.8921,1.766
2017-09-30,1187.33200,195.91540,991.41670,328.47450,458.68290,787.15740,204.25930,27.99480,232.25410,47.10520,185.14890,,190.01220,184.73810,204.25930,204.25930,543.34000,577.30000,0.34000,0.32000,1.50670,0.28650,0.57890,83.49950,17.20320,17.20320,19.56100,15.55910,0.04840,1.34920,66.70690,1.51100,9.35650,0.77450,1.07810,,0,0
2017-06-30,946.37630,165.81270,780.56360,300.43480,384.94750,685.38240,95.18130,38.80680,133.98800,78.06150,55.92650,,51.98860,48.21620,95.18130,95.18130,525.94460,554.89340,0.09000,0.09000,1.57580,0.30710,0.57510,82.47920,10.05740,10.05740,14.15800,5.09480,0.04150,1.21820,73.88090,0.43890,3.43830,0.22790,0.30410,,0,0
2017-03-31,884.04550,172.78400,711.26150,285.14140,365.94840,651.08980,60.17170,-31.72640,28.44530,21.56640,6.87890,,10.84040,11.97820,60.17170,60.17170,519.52000,547.87200,0.02000,0.02000,1.46920,0.31100,0.59200,80.45530,6.80640,6.80640,3.21760,1.35490,0.04170,1.26360,71.22390,0.09820,1.23050,0.05110,0.06760,,0.00000,
2016-09-30,835.55020,185.09370,650.45650,276.58480,306.77660,583.36140,67.09520,-17.98120,49.11390,33.17790,15.93600,,6.36360,3.58660,67.09520,67.09520,472.96150,507.28210,0.01000,0.01000,1.57420,0.28220,0.58370,77.84770,8.03010,8.03010,5.87800,0.42930,0.04110,1.26920,70.90970,0.05960,0.30670,0.03130,0.04270,,0,0
2016-06-30,663.76030,185.55030,478.21010,259.37160,278.41100,537.78260,-59.57260,-6.39940,-65.97190,7.97250,-73.94440,,-88.93980,-78.43220,-59.57260,-59.57260,461.73600,461.73600,-0.17000,-0.17000,0.98290,0.24850,0.52050,72.04560,-8.97500,-8.97500,-9.93910,-11.81630,0.03930,1.20590,74.63290,-0.99030,-26.00400,-0.52680,-0.74420,,-1.2418,-0.9819
2016-03-31,647.95390,176.17000,471.78380,371.73100,383.45470,755.18580,-283.40190,54.40230,-228.99970,14.50550,-243.50520,,-260.24050,-244.83310,,-283.40190,452.72900,452.72900,-0.54000,-0.54000,,,,,,,,,,,,,,,,,,
2015-12-31,357.63360,105.38160,252.25200,119.25350,161.75890,281.01230,-28.76030,10.86640,25.17900,9.70960,15.46950,,-15.30680,4.40900,-18.97600,-28.76030,302.38160,379.00200,-0.06000,0.05500,1.20600,0.22370,0.48780,82.57760,-8.04180,-8.04180,7.04050,1.23280,0.01950,0.73530,122.40330,-0.15570,-1.44030,-0.08340,-0.12090,25.82290,1.1987,1.0424
2015-09-30,500.59800,133.04460,367.55340,130.79820,172.99500,303.79320,63.76020,380.79900,444.55920,56.81500,387.74420,,383.00460,380.00130,63.76020,63.76020,566.88000,750.06400,1.34000,1.04500,1.36440,0.56660,1.75870,73.42290,12.73680,12.73680,88.80560,75.90950,0.06460,1.00060,89.95040,18.89160,26.98480,4.94250,8.18840,,0.0431,-0.0605
2015-06-30,429.91800,117.74000,312.17800,128.46000,151.56000,280.02000,32.15800,14.42000,24.24000,5.05000,19.19000,,23.02900,23.02900,32.15800,32.15800,285.17000,319.52500,0.08000,0.08000,1.50940,0.59010,1.95890,67.41980,7.48000,7.48000,5.63830,5.35660,0.05830,0.98410,91.45330,1.25120,1.82760,0.31210,0.51280,,0,0
2015-03-31,394.14500,113.66000,280.48500,130.41000,158.41000,288.82000,-8.33500,-0.96000,-30.03000,1.01000,-31.04000,,-20.32400,-20.32400,-8.33500,-8.33500,281.42900,281.42900,-0.08000,-0.08000,1.28340,0.43210,1.05500,65.89960,-2.11470,-2.11470,-7.61900,-5.15650,0.07650,1.10520,81.43370,-1.18950,-1.79130,-0.39440,-0.67550,,0.00000,
2014-12-31,325.63100,93.17600,232.45500,126.26400,150.44300,276.70700,-44.25200,8.19300,-56.55100,-2.22500,-54.32600,-3.09000,-36.17100,-36.17100,-44.25200,-44.25200,280.26100,280.26100,-0.13000,-0.13000,1.34310,0.43730,1.12030,65.08660,-13.58960,-13.58960,-17.36660,-11.10800,0.06460,1.10600,81.37400,-2.16260,-2.90990,-0.71720,-1.21680,,1.1263,-1.6275
2014-09-30,368.11200,95.95000,272.16200,99.74000,136.86000,236.60000,35.56200,21.88000,36.26000,8.21000,28.05000,,35.34100,35.34100,35.56200,35.56200,273.33600,319.24600,0.13000,0.11000,1.57930,0.44470,1.03960,68.18310,9.66070,9.66070,9.85030,9.60060,0.07990,1.11990,80.36660,2.17740,2.59730,0.76740,1.20900,,0,0
2014-06-30,293.29800,77.14000,216.15800,77.25000,108.56000,185.81000,30.34800,8.84000,23.49000,7.59000,15.90000,,21.74400,21.74400,30.34800,30.34800,271.62000,314.71800,0.08000,0.07000,1.65280,0.39140,0.81400,68.35030,10.34720,10.34720,8.00890,7.41360,0.07650,0.91040,98.85340,1.49630,1.84730,0.56740,0.91070,,0,0
2014-03-31,271.82400,72.29000,199.53400,70.88000,99.86000,170.74000,28.79400,7.22000,18.63000,7.51000,11.12000,3.09000,18.74000,18.74000,28.79400,28.79400,271.95600,315.97100,0.07000,0.06000,2.16120,0.40000,0.77550,67.01030,10.59290,10.59290,6.85370,6.89420,0.07900,1.07040,84.07870,1.33710,1.66450,0.54460,0.80220,,0.00000,
2013-12-31,252.40300,67.80000,184.60300,57.41000,91.31000,148.72000,35.88300,15.10000,46.96000,12.11000,34.85000,5.85000,43.19300,43.19300,35.88300,35.88300,268.84600,314.32300,0.16000,0.14000,2.25590,0.39320,0.73670,71.54040,14.21660,14.21660,18.60520,17.11270,0.07340,1.00640,89.42480,2.99520,3.58510,1.25600,1.81740,,1.289,0.9465
2013-09-30,268.05300,61.94000,206.11300,54.81000,86.08000,140.89000,65.22300,19.67000,68.62000,15.06000,53.56000,4.04000,60.94600,60.94600,65.22300,65.22300,263.09800,309.96300,0.23000,0.20000,1.82070,0.12150,0.20570,70.82180,24.33210,24.33210,25.59940,22.73660,0.11140,1.05690,85.15410,4.68290,5.69130,2.53230,4.11390,,0,0
2013-06-30,215.09900,50.36000,164.73900,50.48000,70.05000,120.53000,44.20900,10.93000,42.86000,11.47000,31.39000,-0.73000,34.27900,34.27900,44.20900,44.20900,261.42200,292.59100,0.13000,0.12000,1.86270,0.13130,0.21220,70.87900,20.55290,20.55290,19.92570,15.93640,0.09800,0.85440,105.33100,2.87750,3.47420,1.56170,2.49980,,0,0
2013-03-31,197.78600,48.97000,148.81600,43.07000,69.03000,112.10000,36.71600,4.87000,30.63000,9.88000,20.75000,0.01000,24.71000,24.71000,36.71600,36.71600,259.51200,288.12100,0.10000,0.09000,1.92380,0.13860,0.22590,69.70670,18.56350,18.56350,15.48640,12.49330,0.09900,0.97930,91.90390,2.20800,2.69610,1.23730,1.90210,,0.00000,
2012-12-31,187.36400,47.23000,140.13400,43.73000,71.73000,115.46000,24.67400,15.31000,35.63000,9.20000,26.43000,6.95000,30.90700,30.90700,24.67400,24.67400,258.25800,285.75300,0.12000,0.11000,1.95470,0.14550,0.23920,72.46320,13.16900,13.16900,19.01650,16.49570,0.10000,1.18650,75.85180,2.92420,3.61250,1.65000,2.49870,,0.9293,0.6242
2012-09-30,198.47000,45.50000,152.97000,38.70000,72.19000,110.89000,42.08000,9.57000,39.82000,9.45000,30.37000,0.76000,30.83900,30.83900,42.08000,42.08000,266.29800,274.27000,0.11500,0.11000,1.78620,0.16130,0.35320,71.11400,21.20220,21.20220,20.06350,15.53840,0.11110,1.18790,75.76560,3.29410,4.17020,1.72560,2.76280,,0,0
2012-06-30,162.27800,37.96000,124.31800,32.79000,56.04000,88.83000,35.48800,13.88000,40.34000,18.34000,22.00000,-2.86000,18.83700,18.83700,35.48800,35.48800,283.98000,293.67400,0.06500,0.06500,2.00970,,0.05460,71.04480,21.86860,21.86860,24.85860,11.60790,0.09780,0.98610,91.26560,1.71420,2.08390,1.13540,1.71420,,0,0
2012-03-31,153.01300,35.88000,117.13300,31.15000,49.55000,80.70000,36.43300,8.76000,36.80000,10.28000,26.52000,0.66000,26.84400,26.84400,36.43300,36.43300,282.57400,298.27200,0.09500,0.09000,2.59310,,,71.07240,23.81040,23.81040,24.05020,17.54360,0.09660,1.15720,77.77570,2.28840,2.73910,1.69460,2.28840,,0.00000,
2011-12-31,156.75400,37.97000,118.78400,29.18000,50.21000,79.39000,39.39400,10.98000,50.99000,11.79000,39.20000,4.50000,40.12200,40.12200,39.39400,39.39400,286.58600,297.20000,0.14000,0.13500,2.49160,,,76.16390,25.13110,25.13110,32.52870,25.59550,0.10110,1.25040,71.97520,3.53430,4.26080,2.58700,3.53430,,0.9897,0.88
2011-09-30,162.93700,35.45000,127.48700,25.33000,44.32000,69.65000,57.83700,13.41000,61.12000,12.86000,48.26000,3.19000,51.00000,51.00000,57.83700,57.83700,291.43000,309.09400,0.17500,0.16500,2.71630,,,72.02780,35.49650,35.49650,37.51140,31.30040,0.11330,1.20870,74.45820,4.67540,5.66080,3.54720,4.67530,,0,0
2011-06-30,128.88200,29.35000,99.53200,21.16000,36.83000,57.99000,41.54200,6.27000,47.79000,7.41000,40.38000,0.72000,40.79900,40.79900,41.54200,41.54200,291.42000,291.42000,0.14000,0.13500,2.67960,,,77.21790,32.23260,32.23260,37.08040,31.65610,0.09510,1.04960,85.74590,3.92670,4.78160,3.01050,3.92660,,0,0
2011-03-31,124.32300,25.15000,99.17300,19.89000,31.57000,51.46000,47.71300,4.87000,45.00000,9.59000,35.41000,0.73000,35.87300,35.87300,47.71300,47.71300,287.12900,304.48200,0.13000,0.12000,2.85090,,,73.67100,38.37830,38.37830,36.19600,28.85470,0.10150,1.17990,76.27950,3.70300,4.53040,2.92830,3.70290,,0.00000,
2010-12-31,119.26200,27.32000,91.94200,19.49000,32.97000,52.46000,39.48200,8.10000,55.04000,10.49000,44.55000,5.50000,45.79900,45.79900,39.48200,39.48200,286.99600,305.78000,0.16000,0.15000,2.43020,,,83.33750,33.10530,33.10530,46.15050,38.40200,0.09700,1.26650,71.06450,4.88340,6.01130,3.72430,4.88340,,0,0
2010-09-30,128.94800,26.33000,102.61800,18.41000,30.60000,49.01000,53.60800,8.08000,54.12000,9.29000,44.83000,3.46000,47.85000,47.85000,53.60800,53.60800,286.52600,304.04100,0.17000,0.16000,2.43770,,,73.71960,41.57340,41.57340,41.97040,37.10800,0.11230,1.26570,71.10770,5.41160,6.73000,4.16840,5.41150,,0,0
2010-06-30,109.36300,22.28000,87.08300,16.11000,26.15000,42.26000,44.82300,3.67000,41.63000,7.72000,33.91000,1.06000,34.68400,34.68400,44.82300,44.82300,286.05500,303.33800,0.12000,0.12000,2.24030,,,73.35210,40.98550,40.98550,38.06590,31.71460,0.10600,1.14530,78.58320,4.48880,5.76750,3.36240,4.48880,,0,0
2010-03-31,85.95600,18.80000,67.15600,14.75000,23.61000,38.36000,28.79600,0.86000,29.64000,3.56000,26.08000,,27.90100,27.90100,28.79600,28.79600,275.73800,292.49000,0.10000,0.09500,2.50040,,,78.10970,33.50090,33.50090,34.48280,32.45960,0.09030,1.16900,76.98940,3.90390,4.34620,2.93180,3.90380,,0.00000,
2009-12-31,88.32600,18.82000,69.50600,12.93000,23.51000,36.44000,33.06600,5.14000,32.90000,6.56000,26.34000,2.16000,27.86500,27.86500,33.06600,33.06600,271.74200,288.20000,0.11000,0.10000,1.99070,,,72.67400,37.43630,37.43630,37.24840,31.54790,0.14500,1.43360,62.77770,6.36860,7.64490,4.57580,6.36840,,0.5223,0.4329
2009-09-30,79.90200,18.21000,61.69200,11.83000,20.67000,32.50000,29.19200,1.02000,30.20000,3.92000,26.28000,1.69000,27.61700,27.61700,29.19200,29.19200,269.43200,269.43200,0.10250,0.09750,2.11670,,,77.19460,36.53480,36.53480,37.79630,34.56360,0.14460,1.29990,69.23860,6.68090,7.88990,4.99700,6.68080,,0,0
2009-06-30,74.32600,15.82000,58.50600,11.16000,18.77000,29.93000,28.57600,3.40000,27.37000,4.88000,22.49000,0.96000,23.44600,23.44600,28.57600,28.57600,284.20000,267.96000,0.08250,0.08750,2.03320,,,72.53180,38.44680,38.44680,36.82430,31.54480,0.14880,1.29310,69.60150,6.68610,8.16190,4.69360,6.68610,,0,0
2009-03-31,58.62500,13.16000,45.46500,9.26000,16.39000,25.65000,19.81500,1.89000,21.68000,3.92000,17.76000,,17.76600,17.76600,19.81500,19.81500,263.19600,273.32000,0.06750,0.06500,2.76370,,,77.52670,33.79960,33.79960,36.98080,30.30450,0.14450,1.20530,74.67120,5.72880,6.24270,4.37920,5.72860,,0.00000,
