Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,238.56500,70.56700,167.99800,14.52500,97.08200,70.91600,-32.65000,38.26600,38.26600,38.26600,,38.15500,154.43000,70.91600,224.66300,225.73700,0.17000,0.17000,0.52150,1.09000,29.72610,29.72610,16.04010,15.99350,0.03690,1.33640,1.33640,0.59220,0.63940,12.75860,0.57910,0.36870
2021-12-31,221.91200,63.06000,158.85200,13.23800,81.46700,77.38500,-30.82200,46.56300,46.56300,46.56300,,45.34800,150.72300,77.38500,203.83200,205.00900,0.22000,0.21000,0.52120,1.08840,34.87190,34.87190,20.98260,20.43510,0.03390,1.61110,1.61110,0.71110,0.77140,12.90720,0.5083,0.0585
2021-09-30,212.56400,64.06500,148.49900,12.09500,67.96600,80.53300,10.03600,90.56900,90.56900,90.56900,,87.65000,137.41600,80.53300,202.19400,203.79700,0.43000,0.43000,0.53080,1.13140,37.88650,37.88650,42.60790,41.23460,0.04400,4.65530,4.65530,1.87280,2.18420,9.57030,0.6111,0.3994
2021-06-30,199.24700,63.75100,135.49600,11.56000,65.69900,69.79700,-19.43100,50.36600,50.36600,50.36600,,48.75200,124.94800,69.79700,201.41400,202.80900,0.24000,0.24000,0.54480,1.19690,35.03040,35.03040,25.27820,24.46810,0.04180,2.70780,2.70780,1.05560,1.23260,9.21860,0.5814,0.3742
2021-03-31,188.84100,61.22800,127.61300,10.91600,64.72600,62.88700,-19.57200,43.31500,43.31500,43.31500,,41.73200,117.73200,62.88700,199.16000,200.23300,0.21000,0.21000,0.54450,1.19550,33.30160,33.30160,22.93730,22.09900,0.03970,2.29640,2.29640,0.91100,1.04600,9.41110,0.49030,0.45090
2020-12-31,178.78700,55.44800,123.33900,11.32200,49.08000,74.25900,-31.30100,42.95800,42.95800,42.95800,,42.32900,112.43100,74.25900,194.14700,194.94300,0.21000,0.21000,0.56230,1.28460,41.53490,41.53490,24.02750,23.67570,0.03740,2.33360,2.33360,0.89910,1.02150,9.32520,0.424,-1.3337
2020-09-30,172.51100,57.10100,115.41000,10.19300,48.27700,67.13300,-19.72900,47.40400,47.40400,47.40400,,46.89100,105.97000,67.13300,193.74500,194.53900,0.24000,0.24000,0.53010,1.12830,38.91520,38.91520,27.47880,27.18150,0.04280,2.71750,2.71750,1.17670,1.27680,9.00350,0.4059,0.2972
2020-06-30,163.79800,55.34500,108.45300,9.54300,49.43600,59.01700,-20.08500,38.93200,38.93200,38.93200,,38.50500,99.66300,59.01700,193.62900,194.19200,0.20000,0.20000,0.52390,1.10060,36.03040,36.03040,23.76830,23.50760,0.04070,2.20110,2.20110,0.96740,1.04790,9.12990,0.5541,0.1288
2020-03-31,164.08100,55.74000,108.34100,10.36500,51.20300,57.13800,-18.82100,38.31700,38.31700,38.31700,,37.89600,98.73000,57.13800,193.58200,194.26400,0.20000,0.20000,0.51900,1.07890,34.82300,34.82300,23.35250,23.09590,0.04100,2.14030,2.14030,0.95730,1.02950,9.24800,0.41670,0.30850
2019-12-31,165.50600,54.72900,110.77700,9.60200,50.66500,60.11200,-17.60200,42.51000,42.51000,42.51000,,42.04500,101.91200,60.11200,190.87400,191.57600,0.22000,0.21000,0.51660,1.06880,36.32010,36.32010,25.68490,25.40390,0.04110,2.35210,2.35210,1.05500,1.13690,9.33750,0.3911,0.0538
2019-09-30,166.54700,53.46500,113.08200,10.01100,53.39000,59.69200,-17.09500,42.59700,42.59700,42.59700,,42.15400,103.75800,59.69200,192.92700,193.81700,0.22000,0.22000,0.50040,1.00140,35.84090,35.84090,25.57660,25.31060,0.04220,2.33840,2.33840,1.07830,1.16840,9.41150,0.4104,0.2605
2019-06-30,159.01700,50.12000,108.89700,9.80000,50.46300,58.43400,-8.55600,49.87800,49.87800,49.87800,,49.42000,99.86800,58.43400,189.66700,190.54300,0.26000,0.26000,0.51000,1.04090,36.74700,36.74700,31.36650,31.07840,0.04030,2.80220,2.80220,1.26350,1.37300,9.28890,0.5289,0.3702
2019-03-31,152.84500,51.42500,101.42000,9.14700,47.58900,53.83100,-18.04500,35.78600,35.78600,35.78600,,35.49800,92.89700,53.83100,187.25300,187.98400,0.19000,0.19000,0.51190,1.04890,35.21930,35.21930,23.41330,23.22480,0.04010,2.09450,2.09450,0.93820,1.02230,9.08150,0.40140,0.23520
2018-12-31,153.88200,49.82900,104.05300,10.84700,48.94600,55.10700,-6.47100,48.63600,48.63600,48.63600,,48.15600,93.78400,55.10700,184.65300,185.49500,0.26000,0.25000,0.50440,1.01790,35.81120,35.81120,31.60600,31.29410,0.04100,2.83350,2.83350,1.29590,1.40420,9.17180,0.3858,-0.3708
2018-09-30,153.37000,48.75500,104.61500,9.78000,45.01900,59.59600,-16.29400,43.30200,43.30200,43.30200,,42.90000,95.41300,59.59600,186.07400,186.91600,0.23000,0.23000,0.49170,0.96720,38.85770,38.85770,28.23370,27.97160,0.04210,2.54420,2.54420,1.18960,1.29330,9.13570,0.4112,0.0661
2018-06-30,147.81500,49.52800,98.28700,8.34100,43.38700,54.90000,-16.14900,38.75100,38.75100,38.75100,,38.41000,90.52400,54.90000,183.71800,184.52300,0.21000,0.21000,0.48580,0.94490,37.14100,37.14100,26.21590,25.98520,0.04120,2.28830,2.28830,1.08100,1.17660,9.11050,0.4828,0.3305
2018-03-31,142.87700,48.75400,94.12300,8.74400,43.71000,50.41300,-15.61400,34.79900,34.79900,34.79900,,34.42300,85.95800,50.41300,182.27400,183.22200,0.19000,0.19000,0.51090,1.04450,35.28420,35.28420,24.35590,24.09280,0.04010,2.15160,2.15160,0.97600,1.05240,8.87280,0.36090,0.30950
2017-12-31,143.48200,44.66100,98.82100,8.22300,43.31000,55.51100,-15.65300,39.85800,39.85800,39.85800,,39.54700,90.94500,55.51100,180.52500,181.44800,0.21000,0.21000,0.49990,0.99980,38.68850,38.68850,27.77910,27.56230,0.04050,2.43720,2.43720,1.12420,1.21880,8.97490,0.375,0.041
2017-09-30,143.86500,47.15200,96.71300,8.22800,44.43400,52.27900,-14.57000,37.70900,37.70900,37.70900,,37.29700,88.82700,52.27900,180.30400,181.28600,0.21000,0.21000,0.49960,0.99850,36.33890,36.33890,26.21140,25.92500,0.04110,2.32360,2.32360,1.07650,1.16270,8.97220,0.4222,0.3805
2017-06-30,138.55900,44.82100,93.73800,8.80000,46.20400,47.53400,-14.69600,32.83800,32.83800,32.83800,,32.45800,85.04600,47.53400,180.18300,181.18900,0.18000,0.18000,0.49890,0.99550,34.30600,34.30600,23.69970,23.42540,0.03970,2.02540,2.02540,0.94000,1.01490,8.99750,0.437,0.3182
2017-03-31,133.03700,44.87400,88.16300,9.49400,47.77200,40.39100,-15.18500,25.20600,25.20600,25.20600,,24.98600,79.21600,40.39100,180.16500,181.26500,0.14000,0.14000,0.49380,0.97530,30.36070,30.36070,18.94660,18.78120,0.03840,1.53750,1.53750,0.72720,0.77840,9.09910,0.37460,0.33450
2016-12-31,132.54600,42.21600,90.33000,8.63900,48.63200,41.69800,-14.65100,27.04700,27.04700,27.04700,,23.37100,81.63800,41.69800,178.24600,179.53300,0.13000,0.13000,0.48990,0.96060,31.45930,31.45930,20.40580,17.63240,0.03810,1.62810,1.62810,0.77830,0.83040,9.22480,0.3413,-0.1213
2016-09-30,132.09600,41.80500,90.29100,8.06500,50.78000,39.51100,-14.42000,25.09100,25.09100,25.09100,,23.38200,81.99300,39.51100,179.22300,180.47800,0.13000,0.13000,0.46990,0.88640,29.91080,29.91080,18.99450,17.70080,0.03750,1.43240,1.43240,0.71300,0.75930,9.73950,0.4244,-0.0546
2016-06-30,126.52600,41.60700,84.91900,7.89100,51.90200,33.01700,-12.63400,20.38300,20.38300,20.38300,,18.92200,75.07600,33.01700,177.88000,179.22100,0.11000,0.11000,0.45570,0.83710,26.09500,26.09500,16.10970,14.95500,0.03760,1.19350,1.19350,0.60620,0.64970,9.58110,0.3423,-0.1149
2016-03-31,118.87100,40.21900,78.65200,8.22800,49.92600,28.72600,-12.87100,15.85500,15.85500,15.85500,,14.24800,68.68700,28.72600,175.79800,177.26100,0.08000,0.08000,0.43500,0.77000,24.16570,24.16570,13.33800,11.98610,0.03710,0.94170,0.94160,0.49440,0.53200,9.50590,0.35840,-0.57280
2015-12-31,114.99200,38.23400,76.75800,7.08200,44.96200,31.79600,5.94500,37.74100,37.74100,37.74100,,35.61400,69.44200,31.79600,168.64000,170.19100,0.22000,0.21000,0.43210,0.76090,27.65060,27.65060,32.82050,30.97090,0.03700,2.29450,2.29450,1.21580,1.30300,9.41700,0.3258,1.2351
2015-09-30,115.97000,39.29700,76.67300,7.00200,46.96800,29.70500,-11.08500,18.62000,18.62000,18.62000,,16.93600,68.98600,29.70500,169.30400,170.90100,0.10000,0.10000,0.43460,0.76870,25.61440,25.61440,16.05590,14.60380,0.03960,1.20460,1.20460,0.63550,0.68100,9.04350,0.3523,-0.6316
2015-06-30,109.87100,38.21000,71.66100,7.11400,45.95300,25.70800,-11.83500,13.87300,13.87300,13.87300,,12.22200,64.45300,25.70800,166.68300,168.22400,0.07000,0.07000,0.44860,0.81370,23.39840,23.39840,12.62660,11.12400,0.03840,0.93770,0.93760,0.48440,0.51700,8.83640,0.3387,0.5452
2015-03-31,103.68800,37.43100,66.25700,7.17300,45.57800,20.67900,-12.15700,8.52200,8.52200,8.52200,,6.93200,59.12000,20.67900,165.50200,167.16500,0.04000,0.04000,0.44610,0.80530,19.94350,19.94350,8.21890,6.68540,0.03690,0.58310,0.58310,0.30350,0.32300,8.79590,0.25980,-0.01720
2014-12-31,100.26700,34.70900,65.55800,7.33000,47.74500,17.81300,-12.27100,5.54200,5.54200,5.54200,,3.98100,54.94200,17.81300,149.10700,150.86300,0.03000,0.03000,0.44740,0.80980,17.76560,17.76560,5.52720,3.97040,0.03600,0.38230,0.38230,0.19890,0.21120,8.84150,0.3181,0.3598
2014-09-30,97.09200,33.62200,63.47000,7.46400,40.34400,23.12600,-14.53500,8.59100,8.59100,8.59100,,6.97800,55.31400,23.12600,149.75800,152.00600,0.05000,0.05000,0.46410,0.86590,23.81870,23.81870,8.84830,7.18700,0.03820,0.66670,0.66660,0.33760,0.35730,8.41000,0.2955,1.6171
2014-06-30,92.33700,32.08000,60.25700,7.05900,38.26700,21.99000,-13.99700,7.99300,7.99300,7.99300,,6.38400,53.02000,21.99000,144.67900,146.99900,0.04000,0.04000,0.49880,0.99530,23.81490,23.81490,8.65630,6.91380,0.03690,0.67350,0.67350,0.31930,0.33760,8.06870,0.2727,-1.0978
2014-03-31,87.26700,32.29000,54.97700,6.56900,36.36300,18.61400,-14.37400,4.24000,4.24000,4.24000,0.33600,3.02800,47.27000,18.61400,140.21900,142.77400,0.02000,0.02000,0.51580,1.06540,21.32990,21.32990,4.85870,3.46980,0.03570,0.37750,0.37750,0.17360,0.18280,7.89830,0.21420,0.17840
2013-12-31,82.96400,30.58100,52.38300,7.10900,36.97800,15.40500,-9.65700,5.74800,5.74800,5.74800,17.50500,21.44600,42.66600,15.40500,135.19100,137.74200,0.15000,0.15000,0.51020,1.04170,18.56830,18.56830,6.92830,25.84980,0.03520,0.52580,0.52580,0.24370,0.25750,7.84630,0.2849,0.9421
2013-09-30,82.48700,30.01100,52.47600,7.32600,36.24400,16.23200,-10.52600,5.70600,5.70600,5.70600,10.89500,14.84000,45.94200,16.23200,135.36500,138.10600,0.11000,0.11000,0.50290,1.01160,19.67830,19.67830,6.91740,17.99070,0.03740,0.55270,0.55270,0.25900,0.27470,7.56450,0.2637,0.2305
2013-06-30,78.28900,28.46900,49.82000,7.51500,35.90800,13.91200,-12.92000,0.99200,0.99200,0.99200,1.57600,1.04800,43.65000,13.91200,133.67700,133.67700,0.01000,0.01000,0.51720,1.07130,17.77010,17.77010,1.26710,1.33860,0.03560,0.09890,0.09890,0.04510,0.04780,7.46060,0.2896,-0.4813
2013-03-31,74.65500,29.16100,45.49400,7.61300,36.59500,8.89900,-10.93600,-2.03700,-2.03700,-2.03700,1.60900,-1.89400,39.26400,8.89900,132.95100,132.95100,-0.01000,-0.01000,0.50430,1.01740,11.92020,11.92020,-2.72850,-2.53700,0.03530,-0.20590,-0.20590,-0.09640,-0.10210,7.42650,0.19900,0.19830
2012-12-31,65.57900,23.77200,41.80700,6.54900,38.57100,3.23600,-8.66100,-5.42500,-5.42500,-5.42500,6.90500,-0.02100,35.89700,3.23600,124.54800,124.54800,,0.00000,0.50840,1.03420,4.93450,4.93450,-8.27250,-0.03200,0.03050,-0.54800,-0.54800,-0.25230,-0.26940,7.51100,0.2577,1.9681
2012-09-30,69.36300,27.06600,42.29700,6.86000,35.59400,6.70300,-6.41300,0.29000,0.29000,0.29000,1.76100,0.13400,37.31800,6.70300,124.16900,124.16900,0.00000,0.00000,0.53070,1.13080,9.66370,9.66370,0.41810,0.19320,0.03200,0.03050,0.03050,0.01340,0.01430,7.45540,0.2642,-0.6056
2012-06-30,67.26800,26.70700,40.56100,6.27800,33.35500,7.20600,-11.02400,-3.81800,-3.81800,-3.81800,7.17300,1.04100,35.01700,7.20600,122.59900,122.59900,0.01000,0.01000,0.50770,1.03140,10.71240,10.71240,-5.67580,1.54750,0.03220,-0.39590,-0.39590,-0.18280,-0.19490,7.86160,0.2593,-0.3103
2012-03-31,64.11200,25.94300,38.16900,6.44400,31.52700,6.64200,-10.96500,-4.32300,-4.32300,-4.32300,1.06500,-5.34500,34.12800,6.64200,122.26600,122.26600,-0.04000,-0.04000,0.46210,0.85890,10.36000,10.36000,-6.74290,-8.33700,0.03310,-0.44320,-0.44320,-0.22310,-0.23840,7.96940,0.16970,0.14140
2011-12-31,40.28000,14.88600,25.39400,6.34300,22.14800,3.24600,-18.53000,-15.28400,-15.28400,-15.28400,7.73900,-9.22900,25.55700,3.24600,102.97600,102.97600,-0.09880,-0.09880,0.43250,0.76200,8.05860,8.05860,-37.94440,-22.91210,0.02150,-1.53560,-1.53560,-0.81470,-0.87150,8.15440,0.177,-3.5763
2011-09-30,58.48900,24.08300,34.40600,5.47600,21.09600,13.31000,-9.94700,3.36300,3.36300,3.36300,4.56500,6.82800,30.27000,13.31000,98.89500,100.28400,0.07000,0.07000,0.46360,0.86430,22.75640,22.75640,5.74980,11.67400,0.03890,0.44990,0.44990,0.22370,0.24130,7.54990,0.2558,0.4354
2011-06-30,56.48300,23.85600,32.62700,6.84100,22.17700,10.45000,-11.84000,-1.39000,-1.39000,-1.39000,2.97800,0.90200,27.67300,10.45000,98.84400,98.84400,0.01000,0.01000,0.46730,0.87710,18.50110,18.50110,-2.46090,1.59690,0.03740,-0.18570,-0.18570,-0.09210,-0.09890,7.57320,0.2317,-0.2571
2011-03-31,55.75200,24.74500,31.00700,6.03300,21.24400,9.76300,-9.85200,-0.08900,-0.08900,-0.08900,0.56500,-0.11700,26.97100,9.76300,98.76900,98.76900,-0.00120,-0.00120,0.45260,0.82670,17.51150,17.51150,-0.15960,-0.20990,0.03780,-0.01180,-0.01180,-0.00600,-0.00650,7.62580,0.15440,0.07290
2010-12-31,41.20700,16.56500,24.64200,6.09700,18.30500,6.33700,-10.59600,-4.25900,-4.25900,-4.25900,6.93600,2.08300,24.15100,6.33700,93.99800,93.99800,0.03000,0.03000,0.44570,0.80410,15.37840,15.37840,-10.33560,5.05500,0.02790,-0.55640,-0.55640,-0.28800,-0.30840,7.76300,0.2172,-0.0165
2010-09-30,53.75700,23.11100,30.64600,6.59700,21.38600,9.26000,-11.42000,-2.16000,-2.16000,-2.16000,1.04500,-1.48000,26.41600,9.26000,93.72400,93.72400,-0.02000,-0.02000,0.46840,0.88130,17.22570,17.22570,-4.01810,-2.75310,0.03590,-0.29010,-0.29010,-0.14430,-0.15420,7.80180,0.2483,-0.1252
2010-06-30,53.16300,23.75500,29.40800,6.84400,22.77400,6.63400,-11.51800,-4.88400,-4.88400,-4.88400,0.49500,-4.52100,24.59700,6.63400,92.92500,92.92500,-0.05000,-0.05000,0.47800,0.91560,12.47860,12.47860,-9.18680,-8.50400,0.03580,-0.67160,-0.67160,-0.32890,-0.35060,7.82350,0.1781,0.0992
2010-03-31,51.56400,22.34800,29.21600,5.86800,21.81700,7.39900,-11.09600,-3.69700,-3.69700,-3.69700,0.50500,-3.47500,25.31600,7.39900,92.83400,92.83400,-0.04000,-0.04000,0.48220,0.93110,14.34920,14.34920,-7.16970,-6.73920,0.03430,-0.50380,-0.50380,-0.24610,-0.26090,7.89970,0.11720,0.08910
2009-12-31,39.76900,16.79700,22.97200,5.90900,19.46800,3.50400,-10.84400,-7.34000,-7.34000,-7.34000,4.87700,-2.80200,21.72300,3.50400,70.98800,70.98800,-0.02000,-0.02000,0.50980,1.04020,8.81090,8.81090,-18.45660,-7.04570,0.02490,-0.99280,-0.99280,-0.45910,-0.48660,7.97940,0.252,0.3226
2009-09-30,54.62800,23.06500,31.56300,5.55600,23.40000,8.16300,-12.34700,-4.18400,-4.18400,-4.18400,11.68700,6.81800,27.34900,8.16300,75.24800,75.24800,0.09000,0.09000,0.49500,0.98030,14.94290,14.94290,-7.65910,12.48080,0.03480,-0.56330,-0.56330,-0.26690,-0.28450,8.03970,0.1574,0.7476
2009-06-30,54.28700,24.92000,29.36700,5.62800,23.38400,5.98300,-11.96400,-5.98100,-5.98100,-5.98100,2.89500,-2.84400,25.26700,5.98300,58.16500,58.16500,-0.05000,-0.05000,0.64050,1.78170,11.02110,11.02110,-11.01740,-5.23880,0.03470,-1.12930,-1.12930,-0.38270,-0.40600,8.80700,0.2713,0.3262
2009-03-31,54.93300,23.61300,31.32000,5.47600,23.30100,8.01900,-11.80500,-3.78600,-3.78600,-3.78600,1.50000,-2.10900,27.23800,8.01900,57.68700,57.68700,-0.03000,-0.03000,0.64940,1.85220,14.59780,14.59780,-6.89200,-3.83920,0.03490,-0.72600,-0.72600,-0.24040,-0.25450,9.03970,0.19570,0.18960
