Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,875.57500,440.29400,435.28100,192.75400,343.27000,-98.60000,634.62400,-199.34300,5.21400,-194.12900,2.80300,-196.93200,-196.93200,-196.93200,-167.07700,-199.34300,346.55800,346.55800,-0.57000,-0.57000,1.13910,0.40480,0.68000,49.71370,-22.76710,-22.76710,-22.17160,-22.49170,0.18360,-17.00640,-21.19610,-4.12990,-10.12300,3.32220,-0.43960,-0.48180
2021-12-31,969.93290,551.18100,418.75200,194.99600,387.51890,-109.85800,692.37300,-273.62120,-7.58000,-281.20100,1.97200,-283.17300,-283.17300,-283.17310,-230.86320,-273.62100,334.72400,334.72400,-0.80000,-0.80000,1.10320,0.32820,0.48850,43.17330,-28.21030,-28.21030,-28.99180,-29.19510,0.20320,-21.11320,-25.51260,-5.93170,-14.18430,3.88830,-0.0804,-0.1122
2021-09-30,864.40500,392.20700,472.19800,226.69300,340.86200,-109.67900,677.23400,-205.03600,111.94900,-93.08700,6.62700,-99.71400,-99.71400,-99.71400,-158.27200,-205.03600,337.75300,337.75300,-0.30000,-0.30000,1.20560,0.30860,0.44640,54.62690,-23.71990,-23.71990,-10.76890,-11.53560,0.17920,-6.71890,-7.98540,-2.06690,-4.64540,4.35570,0.1289,0.0694
2021-06-30,765.02500,346.89000,418.13500,252.03900,312.44900,-93.76500,658.25300,-240.11800,-11.10800,-251.22600,0.69200,-251.91800,-251.91800,-251.91800,-196.23200,-240.11800,332.10100,332.10100,-0.76000,-0.76000,1.13580,0.32590,0.48340,54.65640,-31.38700,-31.38700,-32.83890,-32.92940,0.16740,-18.45880,-22.40310,-5.51080,-12.44320,4.07120,-0.1088,-0.1114
2021-03-31,608.96000,412.03900,196.92100,238.21800,286.21400,-88.93100,613.36300,-416.44200,-8.96300,-425.40500,1.93400,-427.33900,-427.33900,-427.33900,-372.34090,-416.44200,326.16500,326.16500,-1.31000,-1.31000,1.16220,0.31630,0.46250,32.33730,-68.38580,-68.38580,-69.85760,-70.17520,0.13400,-30.33220,-36.68500,-9.40070,-20.73960,4.27820,-0.24360,-0.25910
2020-12-31,569.87990,392.12800,177.75200,215.17990,317.56410,-98.43500,631.17900,-453.42680,-7.20200,-460.62900,-2.47400,-458.15500,-458.15500,-458.15510,-407.43780,-453.42710,312.17500,312.17500,-1.43000,-1.43000,1.25050,0.27760,0.38440,31.19110,-79.56530,-79.56540,-80.82910,-80.39500,0.12180,-27.33360,-32.09200,-9.79180,-19.74470,5.17750,-0.8744,-0.8977
2020-09-30,499.74400,261.61400,238.13000,232.10600,336.24100,-123.13600,691.48300,-453.35310,-5.05500,-458.40800,1.10900,-459.51700,-459.51700,-459.51700,-402.56010,-453.35310,314.53000,314.53000,-1.46000,-1.46000,1.34610,0.23710,0.31090,47.65040,-90.71710,-90.71710,-91.72860,-91.95050,0.10060,-22.94040,-26.27950,-9.24890,-17.50020,6.30920,-0.4424,-0.4414
2020-06-30,339.34500,251.35500,87.99000,203.10100,273.77600,-98.61000,575.48700,-487.49700,5.58600,-481.91100,-44.79900,-437.11200,-437.11200,-437.11200,-441.62400,-487.49700,309.21300,309.21300,-1.41000,-1.41000,1.56410,0.21350,0.27140,25.92940,-143.65820,-143.65820,-142.01210,-128.81050,0.06510,-19.03330,-21.48970,-8.38270,-14.97000,7.35900,-2.4207,-2.4894
2020-03-31,955.71200,542.41900,413.29300,258.73900,434.87700,-133.78200,827.39800,-414.10500,17.66200,-396.44300,1.63000,-398.07300,-398.07300,-398.07300,-385.97100,-414.10500,304.50200,304.50200,-1.31000,-1.31000,1.23270,0.03050,0.03150,43.24450,-43.32950,-43.32950,-41.48140,-41.65200,0.17150,-15.26650,-17.02510,-7.14450,-14.80030,8.49920,-0.67960,-0.78960
2019-12-31,1017.07000,502.76200,514.30780,276.57500,472.43510,-147.11200,896.12200,-381.81450,23.83500,-357.97890,-1.92700,-356.05190,-356.05190,-356.05190,-365.55840,-381.81460,227.49800,227.49800,40.89000,40.89000,1.32470,,,50.56760,-37.54060,-37.54070,-35.19710,-35.00760,0.17870,-12.47520,-13.62910,-6.25600,-12.47520,9.43200,-0.2627,-0.5921
2019-09-30,955.59800,580.71400,374.88400,288.27200,427.67800,-149.79400,865.74400,-490.86000,29.29200,-461.56800,1.90900,-463.47700,-463.47700,-463.47700,-470.38400,-490.86000,294.78400,294.78400,-1.57000,-1.57000,1.48810,,,39.23030,-51.36680,-51.36680,-48.30150,-48.50130,0.16660,-15.50340,-16.86280,-8.08130,-15.50340,10.04600,0.0391,-0.1462
2019-06-30,867.26500,630.13600,237.12900,309.83300,448.23700,-151.97500,910.04500,-672.91600,29.66800,-643.24800,0.99100,-644.23900,-644.23900,-644.23900,-652.98500,-672.91600,288.37200,288.37200,-2.23000,-2.23000,1.73010,,,27.34220,-77.59060,-77.59060,-74.16970,-74.28400,0.15200,-19.65860,-21.28590,-11.29360,-19.65860,11.19430,3.375,4.2092
2019-03-31,776.02700,462.85700,313.17000,630.96000,651.86500,-187.23500,1470.06000,-1156.89000,19.80000,-1137.09000,1.38300,-1138.47300,-1138.47300,-1138.47300,-1143.81200,-1156.89000,23.45900,23.45900,-48.53000,-48.53000,0.78790,,,40.35560,-149.07860,-149.07860,-146.52710,-146.70530,0.23940,28.95690,27.16580,-35.12820,28.95690,-109.72360,-3.61600,-4.68700
2018-12-31,669.56500,366.99100,302.57400,96.06100,476.53600,-118.65000,572.59700,-270.02300,20.68200,-249.34100,-0.40900,-248.93200,-248.93200,-248.93200,-264.99300,-270.02300,21.17600,21.17600,-11.29000,-11.29000,1.60160,,,45.18960,-40.32810,-40.32810,-37.23930,-37.17820,0.17810,8.66970,7.92500,-6.62050,8.66970,-127.96510,-6.3927,-8.3135
2018-09-30,584.95100,322.61400,262.33700,77.16800,361.36300,-92.48100,531.01200,-268.67500,20.02400,-248.65100,0.51000,-249.16100,-249.16100,-249.16100,-273.22810,-268.67500,21.50800,21.50800,-11.58000,-11.58000,,,,44.84770,-45.93120,-45.93120,-42.50800,-42.59520,,,,,,,-1.57,-2.3603
2018-06-30,504.91200,293.18600,211.72600,64.41500,273.57900,-67.36600,405.36000,-193.63400,14.96200,-178.67200,0.23100,-178.90300,-178.90300,-178.90300,-196.08900,-193.63400,21.08800,21.08800,-8.48000,-8.48000,,,,41.93320,-38.35010,-38.35010,-35.38680,-35.43250,,,,,,,-1.3182,-1.6957
2018-03-31,397.18800,260.60900,136.57900,63.19200,258.86100,-59.90500,381.95800,-245.37900,11.44600,-233.93300,0.40600,-234.33900,-234.33900,-234.33900,-247.78100,-245.37900,20.03900,20.03900,-11.69000,-11.69000,,,,34.38650,-61.77910,-61.77910,-58.89730,-58.99950,,,,,,,-3.97340,-4.12750
2017-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
