Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,1.13300,1.13300,6.45100,2.23300,,-7.55100,0.48100,-7.07000,-7.07000,-7.07000,-7.07000,-7.55100,-7.55100,22.92100,22.92100,-0.31000,-0.31000,9.93880,100.00000,-666.46070,-666.46070,-624.00710,-624.00710,0.01520,0.96750,93.01850,-10.79040,-10.79040,-9.47310,-10.79040,2.84910,-0.418,-0.4336
2020-03-31,3.46500,3.46500,7.93000,2.76100,,-7.22600,0.11600,-7.11000,-7.11000,-7.11000,-7.11000,-7.22600,-7.22600,21.36150,21.36150,-0.33000,-0.33000,9.51340,100.00000,-208.54260,-208.54260,-205.19480,-205.19480,0.04510,0.96410,93.35070,-10.59110,-10.59110,-9.25590,-10.59110,2.98180,0.00000,
2019-12-31,4.02000,4.02000,8.43200,2.46000,,-6.87200,0.30300,-6.56900,-6.60200,-6.60200,-6.60200,-6.87200,-6.87200,19.53460,19.53460,-0.33000,-0.33000,8.57660,100.00000,-170.94530,-170.94530,-163.40790,-164.22880,0.06560,0.97570,92.23880,-12.58360,-12.58360,-10.76980,-12.58360,2.57150,-1.1518,-1.1824
2019-09-30,4.73300,4.73300,9.91300,2.48400,,-7.66400,0.31100,-7.35300,-7.35300,-7.35300,-7.35300,-7.66400,-7.66400,19.78700,19.78700,-0.37000,-0.37000,7.79590,100.00000,-161.92690,-161.92690,-155.35600,-155.35600,0.06970,0.98650,91.23600,-12.55400,-12.55400,-10.83200,-12.55400,2.87300,0.677,0.6919
2019-06-30,7.79300,7.79300,11.44000,1.63800,,-5.28500,0.35900,-4.92600,-4.92600,-4.92600,-4.92600,-5.28500,-5.28500,18.95000,18.95000,-0.26000,-0.26000,7.99760,100.00000,-67.81730,-67.81730,-63.21060,-63.21060,0.12300,0.99580,90.38110,-8.99860,-8.99860,-7.77240,-8.99860,2.88880,-0.677,-0.6919
2019-03-31,6.35800,6.35800,10.79300,1.69400,,-6.12900,0.40100,-5.72800,-5.72800,-5.72800,-5.72800,-6.12900,-6.12900,18.95000,18.95000,-0.30000,-0.30000,8.28750,100.00000,-96.39830,-96.39830,-90.09120,-90.09120,0.09350,1.00060,89.94340,-9.71340,-9.71340,-8.42440,-9.71340,3.11190,0.00000,
2018-12-31,-0.00200,-0.00200,10.60100,1.53000,,-12.13300,0.25700,-12.87600,-12.87600,-12.87600,-11.87600,-12.13300,-12.13300,17.86760,17.86760,-0.65000,-0.65000,,,,,,,,,,,,,,,,
2018-09-30,0.03800,0.03800,7.08300,1.31400,,-8.35900,0.65200,-7.70700,-7.70700,-7.70700,-7.70700,,-8.35900,18.95000,18.95000,-0.40000,-0.40000,,,,,,,,,,,,,,,,
2018-06-30,0.04900,0.04900,5.81700,1.51800,,-7.28600,0.37900,-6.90700,-6.90700,-6.90700,-6.90700,-6.92500,-7.28600,18.95000,18.95000,-0.36000,-0.36000,20.76820,100.00000,-14869.39000,-14869.39000,-14095.92000,-14095.92000,0.00060,,,-8.47010,-8.47010,-7.99840,-8.47010,4.30320,-0.4375,-0.4685
2018-03-31,0.04400,0.04400,4.64500,1.14200,,-5.74300,0.03000,-5.71300,-5.71300,-5.71300,-5.71300,-5.74300,-5.74300,14.52300,14.52300,-0.39000,-0.39000,43.22340,100.00000,-13052.27000,-13052.27000,-12984.09000,-12984.09000,0.00050,,,-6.56360,-6.56360,-6.35200,-6.56440,,0.00000,
2017-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2017-09-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2017-06-30,,,4.35900,1.84900,,-6.20800,0.00600,-6.20200,-6.20200,-6.20200,-6.20200,-6.20800,-6.20800,6.29000,6.29000,-0.98000,-0.98000,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
