Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-04-30,639.59600,432.81900,206.77700,164.44800,164.44800,42.32900,-0.23700,42.09200,9.37400,32.71800,32.71800,32.71800,66.30600,42.32900,55.64700,55.83400,0.59000,0.59000,1.52360,,,32.32930,6.61810,6.61810,6.58100,5.11540,0.21600,0.85850,,,2.93450,2.93450,1.10500,2.93450,20.09230,0.75430,-0.28610
2022-01-31,996.33200,599.43810,396.89390,124.48700,209.31800,187.57590,-0.50500,187.07100,46.87500,140.19600,140.19600,140.19600,209.80890,187.57580,56.00000,56.30400,2.50000,2.49000,1.54160,,,39.83550,18.82670,18.82660,18.77600,14.07120,0.34590,1.31710,,,12.51430,12.51430,4.86710,12.51430,20.12660,3.6113,2.2776
2021-10-31,607.64500,405.28300,202.36200,159.91300,159.91300,42.44900,-10.62400,31.82500,7.64800,24.17700,24.17700,24.17700,65.56700,42.44900,56.02400,56.34100,0.43000,0.43000,1.52200,,,33.30270,6.98580,6.98580,5.23740,3.97880,0.21520,0.77770,,,2.33990,2.33990,0.85630,2.33990,18.44230,-0.4305,-1.8238
2021-07-31,646.55400,416.23500,230.31900,144.15100,144.15100,86.16800,-1.07100,85.09700,20.25600,64.84100,64.84100,64.84100,106.41100,86.16800,56.00800,56.29900,1.16000,1.15000,1.67250,,,35.62260,13.32730,13.32730,13.16160,10.02870,0.24650,1.19850,,,6.46820,6.46820,2.47210,6.46820,17.89400,1.4572,0.4245
2021-04-30,597.82300,396.95400,200.86900,137.18200,137.18200,63.68700,-0.97700,62.71000,13.11400,49.59600,49.59600,49.59600,82.92400,63.68700,55.97100,56.27400,0.89000,0.88000,1.64860,,,33.60010,10.65320,10.65320,10.48970,8.29610,0.24460,1.21500,,,5.32920,5.32920,2.02950,5.32920,16.62040,1.18600,-0.17240
2021-01-31,858.51400,517.58400,340.93000,171.32200,171.32200,169.60800,-0.71900,168.88900,44.95200,123.93700,123.93700,123.93700,188.03400,169.60800,55.81700,56.06000,2.22000,2.22000,1.73390,,,39.71160,19.75600,19.75600,19.67230,14.43620,0.37090,1.84020,,,14.05360,14.05360,5.35420,14.05360,15.76630,4.3657,3.4556
2020-10-31,476.61400,325.51400,151.10000,126.85100,126.85100,24.24900,-0.66000,23.58900,3.16400,20.42500,20.42500,20.42500,41.96800,24.24900,55.85200,56.09900,0.37000,0.36000,1.43360,,,31.70280,5.08780,5.08780,4.94930,4.28540,0.21910,0.75670,,,2.72500,2.72500,0.93890,2.72500,13.41650,1.0642,0.2017
2020-07-31,426.11000,286.27100,139.83900,106.69700,106.69700,33.14200,-0.50000,32.64200,3.06100,29.58100,29.58100,29.58100,50.15400,33.14200,55.78700,55.96700,0.53000,0.53000,1.55800,,,32.81760,7.77780,7.77780,7.66050,6.94210,0.21300,0.97350,,,4.08600,4.08600,1.47890,4.08600,12.96550,2.2692,1.1892
2020-04-30,200.89900,180.43800,20.46100,92.65700,92.65700,-72.19600,0.14300,-72.05300,-21.47100,-50.58200,-50.58200,-50.58200,-56.00800,-72.19600,55.72300,55.72300,-0.91000,-0.91000,1.57520,,,10.18470,-35.93650,-35.93650,-35.86530,-25.17780,0.10390,0.49100,,,-7.33320,-7.33320,-2.61710,-7.33320,12.37580,-1.17100,-1.88940
2020-01-31,687.13000,398.00210,289.12790,145.02700,145.02700,144.10100,0.33300,144.43400,34.06000,110.37400,110.37400,110.37400,159.18590,144.10100,55.82400,56.16600,1.98000,1.97000,1.89480,,,42.07760,20.97140,20.97140,21.01990,16.06310,0.35080,1.22830,,,14.52710,14.52710,5.63520,14.52710,13.63760,3.2968,2.308
2019-10-31,377.43800,258.75600,118.68200,105.99700,105.99700,12.68500,0.75300,13.43800,3.24900,10.18900,10.18900,10.18900,27.12000,12.68500,55.67300,56.02000,0.18000,0.18000,1.57360,,,31.44410,3.36080,3.36080,3.56030,2.69950,0.20580,0.61710,,,1.57870,1.57870,0.55560,1.57870,11.59270,-0.8026,-1.8147
2019-07-31,417.40000,271.22900,146.17100,110.14200,110.14200,36.02900,1.51200,37.54100,8.71000,28.83100,28.83100,28.83100,49.62700,36.02900,55.95100,56.29400,0.52000,0.51000,1.97840,,,35.01940,8.63180,8.63180,8.99400,6.90730,0.25150,0.99460,,,4.42240,4.42240,1.73740,4.42240,11.67260,0.4655,-0.2166
2019-04-30,364.76200,244.77700,119.98500,95.51600,95.51600,24.46900,1.68700,26.15600,0.49400,25.66200,25.66200,25.66200,36.33000,24.46900,55.89900,56.26900,0.46000,0.46000,1.88790,,,32.89410,6.70820,6.70820,7.17070,7.03530,0.22910,0.91190,,,4.03490,4.03490,1.61170,4.03490,11.36610,0.37020,-0.72660
2019-01-31,602.68400,358.67900,244.00490,127.49700,127.49700,116.50800,1.50300,118.01100,28.74900,89.26200,89.26200,89.26200,127.69200,116.50800,55.76300,56.22100,1.60000,1.58000,2.53750,,,40.48640,19.33150,19.33150,19.58090,14.81080,0.63290,1.47220,,,14.51190,14.51190,9.37370,14.51190,11.03130,3.2464,2.6824
2018-10-31,312.82300,210.73300,102.09000,86.54200,86.54200,15.54800,1.05800,16.60600,3.09000,13.51600,13.51600,13.51600,26.44800,15.54800,55.74300,56.22800,0.24000,0.24000,2.50240,,,32.63510,4.97020,4.97020,5.30840,4.32070,0.36810,0.62000,,,2.57410,2.57410,1.59060,2.57410,9.41650,-0.7612,-1.392
2018-07-31,347.73400,225.98200,121.75200,91.33000,91.33000,30.42200,0.98300,31.40500,6.34200,25.06300,25.06300,25.06300,40.48500,30.42200,55.73100,56.19200,0.45000,0.45000,2.97920,,,35.01300,8.74860,8.74860,9.03130,7.20750,0.45020,0.99070,,,4.93410,4.93410,3.24510,4.93410,9.11580,0.2007,-0.2253
2018-04-30,296.32200,199.08400,97.23800,72.53200,72.53200,24.70600,1.07900,25.78500,3.98100,21.80400,21.80400,21.80400,34.01000,24.70600,55.58600,56.00200,0.39000,0.39000,2.92880,,,32.81500,8.33760,8.33760,8.70170,7.35820,0.40310,0.92440,,,4.56230,4.56230,2.96640,4.56230,8.59260,0.58930,0.18730
2018-01-31,504.83200,297.34200,207.49010,103.99500,103.99500,103.49500,0.55600,104.05100,36.67400,67.37700,67.37700,67.37700,112.54300,103.49500,55.20800,55.56100,1.23000,1.21000,2.91480,,,41.10080,20.50090,20.50090,20.61100,13.34640,0.72560,1.58970,,,14.69320,14.69320,9.68470,14.69320,8.27150,2.7064,2.3767
2017-10-31,257.17500,173.54400,83.63100,68.81800,68.81800,14.81300,0.33400,15.14700,5.26800,9.87900,9.87900,9.87900,23.52700,14.81300,55.21600,55.60800,0.18000,0.18000,2.21490,,,32.51910,5.75990,5.75990,5.88980,3.84140,0.39980,0.63880,,,2.59080,2.59080,1.53560,2.59080,6.90340,-0.254,-0.6051
2017-07-31,283.32000,184.81400,98.50600,72.20500,72.20500,26.30100,0.25900,26.56000,9.75600,16.80400,16.80400,16.80400,34.49000,26.30100,55.15000,55.51900,0.30000,0.30000,2.92620,,,34.76850,9.28320,9.28320,9.37460,5.93110,0.50450,1.00160,,,4.58480,4.58480,2.99230,4.58480,6.64010,-0.0497,-0.3573
2017-04-30,232.88100,159.09500,73.78600,61.00400,61.00400,12.78200,0.30900,13.09100,4.70000,8.39100,8.39100,8.39100,20.07200,12.78200,55.03100,55.30500,0.15000,0.15000,2.51380,,,31.68400,5.48860,5.48860,5.62130,3.60310,0.41820,0.88390,,,2.43790,2.43790,1.50670,2.43790,6.24610,0.60990,0.37810
2017-01-31,388.08990,228.67300,159.41690,80.55200,80.55200,78.86500,0.08800,78.95300,29.16500,49.78800,49.78800,49.78800,86.04700,78.86500,54.84600,55.12900,0.91000,0.90000,2.91510,,,41.07730,20.32130,20.32130,20.34400,12.82900,0.77530,1.48060,,,15.02330,15.02330,9.94690,15.02330,6.03600,1.986,1.8209
2016-10-31,199.47500,135.47200,64.00300,55.37200,55.37200,8.63100,0.06400,8.69500,3.24800,5.44700,5.44700,5.44700,15.40000,8.63100,54.87100,55.17100,0.10000,0.10000,2.27170,,,32.08570,4.32690,4.32690,4.35890,2.73070,0.41830,0.59370,,,1.95830,1.95830,1.14210,1.95830,5.06840,-0.3496,-0.5908
2016-07-31,220.13000,146.78000,73.35000,57.63600,57.63600,15.71400,0.07300,15.78700,5.94000,9.84700,9.84700,9.84700,22.26900,15.71400,54.79600,55.07800,0.18000,0.18000,2.78640,,,33.32120,7.13850,7.13850,7.17170,4.47330,0.52280,0.94810,,,3.65110,3.65110,2.33860,3.65110,4.91570,0.4877,0.2186
2016-04-30,192.71500,132.44800,60.26700,49.51500,49.51500,10.75200,0.07400,10.82600,4.06800,6.75800,6.75800,6.75800,16.87700,10.75200,54.68200,54.96500,0.12000,0.12000,2.83720,,,31.27260,5.57920,5.57920,5.61760,3.50670,0.48580,0.84740,,,2.65730,2.65730,1.70350,2.65730,4.64720,-0.19010,-0.32720
2016-01-31,326.35100,194.16900,132.18200,64.81600,64.81600,67.36600,0.02800,67.39400,25.39000,42.00400,42.00400,42.00400,73.46700,67.36600,54.51400,54.79300,0.77000,0.76000,2.59060,,,40.50300,20.64220,20.64220,20.65080,12.87080,0.82980,1.30870,,,17.18090,17.18090,10.68010,17.18090,4.47840,1.632,1.4797
2015-10-31,169.68500,116.92000,52.76500,45.76800,45.76800,6.99700,0.02300,7.02000,2.68300,4.33700,4.33700,4.33700,12.89100,6.99700,54.52900,54.83300,0.08000,0.08000,1.76600,,,31.09590,4.12350,4.12350,4.13710,2.55590,0.42700,0.54730,,,2.17410,2.17410,1.09140,2.17410,3.65720,-0.5067,-0.777
2015-07-31,182.19100,122.36500,59.82600,48.26900,48.26900,11.55700,-0.32700,11.23000,4.16900,7.06100,7.06100,7.06100,17.04900,11.55700,54.50100,54.78600,0.13000,0.13000,2.17020,,,32.83700,6.34330,6.34330,6.16390,3.87560,0.53700,0.98800,,,3.66930,3.66930,2.08100,3.66930,3.52930,0.4935,0.144
2015-04-30,153.72700,106.56600,47.16100,40.14000,40.14000,7.02100,-0.00900,7.01200,2.73400,4.27800,4.27800,4.27800,11.76100,7.02100,54.44900,54.71700,0.08000,0.08000,2.52920,,,30.67840,4.56720,4.56720,4.56130,2.78290,0.50760,0.88940,,,2.35400,2.35400,1.41260,2.35400,3.33600,-0.01430,-0.21060
