Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,0.37500,0.37500,5.35000,2.52100,-7.49600,0.98000,-6.51600,,-6.51600,-6.51600,-6.51600,-7.64500,-7.49600,5.24430,5.24430,-1.20000,-1.20000,9.54940,,100.00000,-1998.93300,-1998.93300,-1737.60000,-1737.60000,0.00550,2.07180,43.44000,-10.90860,-10.90850,-9.62870,-10.90850,10.01260,-1.3097,-1.3049
2020-03-31,0.37500,0.37500,4.60300,2.15300,-6.38100,-0.85000,-7.23100,,-7.23100,-7.23100,-17.30500,-6.14600,-6.38100,3.16320,3.16320,-5.50000,-5.50000,2.82470,,100.00000,-1701.60000,-1701.60000,-1928.26700,-4614.66700,0.01300,1.51820,59.28000,-40.25270,-40.25270,-25.15830,-40.25270,5.01800,-1.24110,-1.24110
2019-12-31,,,5.66800,2.60400,-8.27200,0.27300,-7.99900,,-8.00200,-8.00200,-7.99600,-8.80300,-8.27200,2.25830,2.25830,-3.00000,-3.00000,0.49980,,,,,,,,,,457.51940,457.51870,-107.43820,457.51860,-0.72290,-3.131,-3.1268
2019-09-30,,,5.77200,2.15100,-7.92300,-0.01200,-7.93500,,-7.93500,-7.93500,-7.93500,-7.72700,-7.92300,2.39230,2.39230,-3.30000,-3.30000,1.38950,,,,,,,,,,-142.66450,-142.66450,-56.11340,-142.66450,2.29880,-2.6473,-2.6454
2019-06-30,,,6.13600,2.32500,-8.46100,0.09500,-8.36600,,-8.36600,-8.36600,-8.36600,-8.26800,-8.46100,2.29060,2.29060,-3.70000,-3.70000,1.98600,,,,,,,,,,-76.47870,-76.47870,-41.54540,-76.47870,4.76670,-2.564,-2.6077
2019-03-31,,,6.79000,2.00500,-8.79500,0.19200,-8.60300,,-8.60300,-8.60300,-8.96200,-8.60600,-8.79500,1.92370,1.92370,-4.70000,-4.70000,2.77450,,,,,,,,,,-50.41610,-50.41610,-32.98320,-50.41610,7.66580,-3.57020,-3.57020
2018-12-31,,,6.90800,2.06300,-8.97100,10.47100,1.50000,,1.48000,1.48000,1.48000,-8.95900,-8.97100,1.41440,1.44130,1.60000,-2.10000,2.68520,,,,,,,,,,16.13080,16.13080,7.75930,16.13080,6.24020,-5.5832,-5.5832
2018-09-30,,,6.45700,2.14200,-8.59900,1.96700,-6.63200,,-6.63200,-6.63200,-6.63200,-8.58600,-8.59900,1.47020,1.52120,-4.50000,-5.50000,4.03190,,,,,,,,,,-100.06030,-100.06030,-24.44890,-100.06040,4.50790,-4.6305,-4.6305
2018-06-30,,,4.23400,2.60300,-6.83700,-0.52700,-7.36400,,-7.36400,-7.36400,-7.36400,-6.82500,-6.83700,1.46920,1.46920,-5.00000,-5.00000,5.31740,,,,,,,,,,-60.68390,-60.68400,-21.40260,-60.68400,8.25450,-3.4481,-3.4481
2018-03-31,,,4.23100,2.11300,-6.34400,-4.27800,-10.62200,,-10.62200,-10.62200,-10.62200,-6.33200,-6.34400,1.24490,1.24490,-8.50000,-8.50000,6.27250,,,,,,,,,,-65.86060,-65.86060,-27.45700,-65.86060,11.12200,-4.40040,-4.40040
2017-12-31,,,4.41600,2.13000,-6.54600,-0.20400,-6.75000,,-6.59300,-6.59300,-6.59300,-6.53300,-6.54600,0.91620,0.91890,-4.10000,-4.50000,4.54680,,,,,,,,,,-59.30560,-59.30560,-22.68600,-59.30560,8.99870,-7.3092,-7.3107
2017-09-30,,,6.80200,1.78000,-8.58200,1.76700,-6.81500,,-6.81500,-6.81500,-6.81500,-8.57200,-8.58200,0.93960,0.93960,-7.30000,-7.30000,2.75290,,,,,,,,,,-58.82610,-58.82610,-38.76790,-58.82610,12.32970,-2.5024,-2.5002
2017-06-30,,,4.88100,2.13500,-7.01600,0.11100,-6.90500,,-6.90500,-6.90500,-6.90500,-7.01600,-7.01600,0.93920,0.93920,-7.40000,-7.40000,4.73670,,,,,,,,,,-37.62740,-37.62740,-30.38370,-37.62740,19.53070,-5.1387,-5.1154
2017-03-31,,,6.40400,3.80400,-10.20800,0.79400,-9.41400,,-9.41400,-9.41400,-9.65800,-10.18300,-10.20800,0.69460,0.69460,-13.90000,-13.90000,5.91630,,,,,,,,,,-38.95390,-38.95400,-32.71140,-38.95400,25.73150,-9.14050,-9.23410
2016-12-31,,,7.44000,0.53000,-7.97000,2.20000,-5.75000,0.00000,-5.75000,-5.75000,-5.75000,-7.96700,-7.97000,,,,0.00000,0.11140,-0.30200,,,,,,,,,5.73670,5.73670,-89.05060,5.73670,,0,0
2016-09-30,,,5.65900,1.36900,-7.02800,-0.24900,-7.27700,,-7.27700,-7.27700,-7.27700,-7.01800,-7.02800,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-06-30,,,6.12400,1.07000,-7.19400,-0.28300,-7.47700,,-7.47700,-7.47700,-7.47700,-7.19400,-7.19400,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-03-31,,,4.08700,1.05600,-5.14300,-0.00400,-5.14700,,-5.14700,-5.14700,-5.14700,-5.14300,-5.14300,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2015-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
