Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1.96240,1.62680,0.33550,4.23280,2.26110,4.32300,-3.98750,-3.98750,0.03300,-4.02050,-4.02050,-4.02050,-1.63610,-3.75720,34.29200,34.29200,-0.12000,-0.12000,0.71380,0.22070,0.28320,17.09770,-203.19610,-191.46480,-203.19620,-204.87780,0.01510,0.20760,433.46780,-4.74400,-4.74400,-3.08460,-3.69700,2.48590,0.21280,0.27720
2021-12-31,16.60230,1.93500,14.66730,,-2.15340,,16.60230,7.44420,0.76200,,,6.68220,16.77900,,32.89600,33.12800,0.20000,0.20000,1.12420,0.18460,0.22640,,100.00000,,44.83880,40.24910,0.13630,2.07010,43.47640,,,,,2.59610,0.2607,0.3934
2021-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.3617,-0.356
2021-06-30,5.67150,1.66180,4.00960,3.81330,-0.01080,6.18230,-2.17260,-2.17260,-0.81600,-1.35660,-1.35660,-1.35660,0.18560,-1.95220,28.30900,28.30900,-0.05000,-0.05000,1.15990,0.20900,0.26430,70.69820,-38.30730,-34.42050,-38.30730,-23.91950,0.05160,0.75680,118.92340,-1.80170,-1.80170,-1.23530,-1.42500,2.52570,0.1548,0.167
2021-03-31,6.05620,1.47380,4.58240,3.37900,0.12550,5.29920,-0.71670,-0.71670,-0.21700,-0.49970,-0.49970,-0.49970,3.58960,-0.44890,22.43000,22.60800,-0.02000,-0.02000,1.77140,0.27570,0.38070,75.66470,-11.83450,-7.41150,-11.83450,-8.25140,0.06320,0.84560,106.42750,-0.80950,-0.80950,-0.52130,-0.58630,2.75160,0.20690,0.18900
2020-12-31,6.17240,1.28040,4.89190,,0.01700,,6.17240,-0.66570,-0.06900,,,-0.59670,6.47430,,22.37800,22.55600,-0.03000,-0.03000,3.18520,0.30220,0.43310,,100.00000,,-10.78550,-9.66760,0.06300,0.81100,110.97570,,,,,2.78160,0.0209,0.0152
2020-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.5939,-0.791
2020-06-30,2.70540,1.28220,1.42320,2.86540,-0.28510,5.85630,-4.43320,-4.43320,-0.87790,-3.55520,-3.55520,-3.55520,-1.72740,-4.19200,16.40300,16.54500,-0.21000,-0.21000,1.93810,0.33140,0.53100,52.60570,-163.86420,-154.94900,-163.86420,-131.41260,0.02950,0.70760,127.19860,-6.29220,-6.29220,-3.87600,-4.20730,3.44230,0.2242,0.2255
2020-03-31,11.31130,1.91600,9.39530,3.53130,-29.58580,36.83710,-27.44180,-27.44180,-6.98700,-20.45480,-20.45480,-20.45480,-20.76600,-27.09520,16.38500,16.52400,-1.24000,-1.24000,5.88520,0.34760,0.53290,83.06160,-242.60560,-239.54160,-242.60560,-180.83540,0.11510,1.66670,53.99840,-34.06230,-34.06230,-20.82230,-22.22120,3.66340,0.36970,0.56550
2019-12-31,10.57650,1.50900,9.06760,,0.01090,,10.57650,2.14610,0.25400,,,1.89210,10.94720,,16.34000,16.52100,0.11000,0.11000,3.23040,0.30410,0.43690,,100.00000,,20.29130,17.88970,0.08320,1.69520,53.09020,,,,,4.90140,0.127,0.325
2019-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.859,-1.4442
2019-06-30,16.34240,2.10850,14.23390,3.33870,-0.06630,8.31470,5.91920,5.91920,1.31500,4.60420,4.60420,4.60420,10.82900,6.44590,16.51500,16.68600,0.28000,0.28000,4.69420,0.23310,0.30400,87.09820,36.22010,39.44290,36.22010,28.17360,0.07910,2.71740,33.11990,3.37310,3.37310,2.22850,2.58660,8.32880,0.3216,0.614
2019-03-31,7.63620,1.97280,5.66340,3.61580,0.00090,7.72470,-2.06130,-2.06130,-0.13000,-1.93130,-1.93130,-1.93130,5.86210,-1.57560,16.67900,16.86200,-0.11000,-0.11000,4.60440,0.24650,0.32710,74.16500,-26.99420,-20.63260,-26.99420,-25.29180,0.03710,1.09760,81.99490,-1.43240,-1.43240,-0.93850,-1.07940,8.13810,0.53740,0.83020
2018-12-31,26.32900,3.71350,22.61550,,-0.01660,,26.32900,16.30690,3.57100,,,12.73590,26.86840,,16.95900,16.95900,0.75000,0.75000,4.46560,0.22960,0.29800,,100.00000,,61.93530,48.37230,0.12620,3.30500,27.23130,,,,,8.34500,0.2364,0.6876
2018-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.2753,-0.8833
2018-06-30,9.55790,3.71830,5.83960,1.59330,-0.19000,6.82370,-0.98410,-0.98410,-0.20900,-0.77510,-0.77510,-0.77510,4.05630,-0.56320,16.77600,16.98200,-0.05000,-0.05000,1.28260,0.23820,0.31260,61.09700,-10.29610,-5.89250,-10.29610,-8.10940,0.04860,1.42670,63.08380,-0.59980,-0.59980,-0.39440,-0.45690,7.70220,0.3703,0.2973
2018-03-31,11.42130,3.71540,7.70590,1.76620,-0.21650,6.65970,1.04620,1.04620,-0.02400,1.07020,1.07020,1.07020,10.99900,1.48210,16.76600,16.97200,0.06000,0.06000,1.92250,0.25000,0.33340,67.46950,9.15990,12.97690,9.15990,9.37000,0.05730,1.57160,57.26770,0.82030,0.82030,0.53700,0.61520,7.77710,0.90500,0.58600
2017-12-31,12.49050,4.11570,8.37480,,0.29570,,12.49050,1.07490,-12.71000,,,13.78490,12.92210,,16.94800,16.94800,0.81000,0.81000,2.73560,0.28070,0.39010,,100.00000,,8.60600,110.36320,0.06110,1.59700,56.35500,,,,,7.73130,0.4247,0.1635
2017-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.8462,0.1756
2017-06-30,12.43720,3.78150,8.65570,1.79600,-0.01140,6.82790,1.82780,1.82780,0.56700,1.26080,1.26080,1.26080,6.84830,2.13390,16.66900,16.92400,0.07000,0.07000,1.55810,0.30120,0.43110,69.59550,14.69590,17.15760,14.69590,10.13700,0.06050,1.93610,46.48630,1.08700,1.08700,0.61360,0.75960,6.95740,0.2937,-0.3142
2017-03-31,13.96430,3.47700,10.48720,1.71960,-0.10210,6.21390,4.27340,4.27340,0.80300,3.47040,3.47040,3.47040,13.49980,4.55980,16.64500,16.92200,0.21000,0.21000,1.00820,0.27640,0.38200,75.10040,30.60260,32.65350,30.60260,24.85220,0.06990,2.31700,38.84360,3.01330,3.01330,1.73800,2.18030,6.90920,0.55250,0.13860
2016-12-31,7.03660,3.41730,3.61940,,0.00430,,7.03660,-3.34540,-1.10700,,,-2.23840,7.32900,,16.87800,16.87800,-0.13000,-0.13000,0.76350,0.28340,0.39550,,100.00000,,-47.54240,-31.81050,0.03580,1.25100,71.94260,,,,,6.70070,0.2183,0.0894
2016-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.2201,-1.0579
2016-06-30,9.86410,3.71690,6.14720,1.57010,-0.01720,7.87800,-1.73080,-1.73080,-0.94400,-0.78680,-0.78680,-0.78680,4.55980,-1.39970,16.58200,16.84600,-0.05000,-0.05000,1.39880,0.30020,0.42890,62.31860,-17.54640,-14.18960,-17.54640,-7.97640,0.04870,2.23980,40.18290,-0.68590,-0.68590,-0.38810,-0.48000,6.91580,0.4029,0.3551
2016-03-31,7.59290,3.41650,4.17640,1.65140,-8.14980,16.18950,-12.01320,-12.01320,-4.57500,-7.43820,-7.43820,-7.43820,1.33270,-11.67080,16.57900,16.83800,-0.44000,-0.44000,2.58030,0.31980,0.47010,55.00380,-158.21670,-153.70790,-158.21670,-97.96270,0.03630,1.30750,68.83490,-6.41520,-6.41520,-3.55970,-4.36400,6.99220,0.81720,0.70280
2015-12-31,11.46210,3.91620,7.54600,,-3.48280,,11.46210,-5.16710,-2.36800,,,-2.79910,11.82270,,16.81900,16.81900,-0.17000,-0.17000,1.55660,0.31640,0.46280,,100.00000,,-45.07990,-24.42060,0.05100,1.90530,47.23550,,,,,7.42930,0.615,0.5759
2015-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-2.2283,-0.8194
2015-06-30,11.74890,4.45410,7.29480,1.56560,-0.11370,7.79170,-0.49690,-0.49690,0.23200,-0.72890,-0.72890,-0.72890,5.61560,-0.11390,16.51400,16.76100,-0.04000,-0.04000,1.89260,0.33820,0.51110,62.08920,-4.22970,-0.96940,-4.22970,-6.20440,0.04790,1.17000,76.92270,-0.56880,-0.56880,-0.29720,-0.37640,7.74530,0.5804,0.3513
2015-03-31,14.67900,4.77930,9.89980,1.85020,-1.20150,9.27250,0.62720,0.62720,-0.07700,0.70420,0.70420,0.70420,12.98710,1.03650,16.51400,16.78100,0.04000,0.04000,2.69760,0.35730,0.55600,67.44160,4.27280,7.06100,4.27280,4.79740,0.05830,1.43370,62.77380,0.54440,0.54440,0.27980,0.34990,7.82450,1.64790,0.46810
2014-12-31,30.99920,5.43320,25.56600,,-2.19000,,30.99920,14.87580,4.64200,,,10.23380,31.40190,,16.75700,16.75700,0.61000,0.61000,2.34870,0.38050,0.61410,,100.00000,,47.98760,33.01300,0.11940,2.18790,41.13440,,,,,7.76500,0.9062,0.0169
2014-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-2.178,-0.588
2014-06-30,18.37500,3.56260,14.81230,1.82540,-0.00390,7.18480,7.62760,7.62760,2.50500,5.12260,5.12260,5.12260,12.98310,7.66830,16.47400,16.73000,0.31000,0.31000,2.17760,0.43830,0.78030,80.61140,41.51070,41.73220,41.51070,27.87810,0.07430,0.96750,93.02140,4.65570,4.65570,2.07220,2.61520,6.67720,0.8785,0.3358
2014-03-31,19.75200,4.38350,15.36860,1.65140,-0.33180,6.92300,8.44560,8.44560,2.79100,5.65460,5.65460,5.65460,18.69340,8.44560,16.47300,16.72500,0.34000,0.34000,2.08090,0.05390,0.05700,77.80760,42.75800,42.75800,42.75800,28.62780,0.12660,1.11140,80.97750,5.37240,5.37240,3.62340,5.08270,6.38900,1.29950,0.25220
2013-12-31,18.39680,3.92570,14.47100,,-0.12550,,18.39680,7.16430,2.23800,,,4.92630,18.39680,,16.71000,16.71000,0.29000,0.29000,1.47240,0.05690,0.06040,,100.00000,,38.94340,26.77820,0.12250,1.19570,75.27210,,,,,6.03310,0.7113,0.1193
2013-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.4609,-0.271
2013-06-30,17.73050,3.59230,14.13820,1.58530,-0.03720,6.81500,7.32320,7.32320,2.25300,5.07020,5.07020,5.07020,12.51570,7.32320,16.56000,16.56000,0.30500,0.30500,1.99740,0.13100,0.15080,79.73960,41.30280,41.30280,41.30280,28.59580,0.12420,1.37920,65.25450,5.63490,5.63490,3.55060,4.89670,5.47310,0.5385,0.0567
2013-03-31,12.58200,3.06660,9.51530,1.64370,0.14840,7.75390,1.76150,1.76150,0.73900,1.02250,1.02250,1.02250,13.65910,1.76150,16.50800,16.73400,0.06000,0.06000,1.55810,0.13570,0.15700,75.62670,14.00010,14.00010,14.00010,8.12660,0.09090,1.09000,82.56670,1.18940,1.18940,0.73860,1.02800,5.21390,0.92240,0.21430
2012-12-31,14.18040,3.61990,10.56060,,-0.19820,,14.18040,2.82530,0.67700,,,2.14830,14.18040,,16.74400,16.74400,0.13000,0.13000,2.12790,0.14520,0.16980,,100.00000,,19.92390,15.14970,0.10590,1.61350,55.78040,,,,,5.15170,0.4275,0.0175
2012-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.2545,-0.3044
2012-06-30,13.64970,2.57330,11.07640,1.49840,-0.29930,6.39510,4.68130,4.68130,1.58100,3.10030,3.10030,3.10030,9.27870,4.68130,16.73000,16.73000,0.18500,0.18500,1.10530,0.08720,0.09550,81.14740,34.29600,34.29600,34.29600,22.71330,0.10780,2.02120,44.52840,3.70280,3.70280,2.44840,3.37980,5.08060,0.3563,0.1184
2012-03-31,10.43690,2.43700,7.99990,1.60620,-0.24680,6.79390,1.20600,1.20600,0.53000,0.67600,0.67600,0.67600,10.28930,1.20600,16.50000,16.76800,0.04000,0.04000,1.92870,0.14560,0.17050,76.64990,11.55480,11.55480,11.55480,6.47670,0.08240,1.40470,64.06850,0.83440,0.83440,0.53380,0.71290,4.91570,0.89820,0.18600
2011-12-31,13.40430,3.01680,10.38760,,-0.28650,,13.40430,4.26110,0.84900,,,3.41210,13.40430,,16.77400,16.77400,0.20500,0.20500,2.15170,0.15170,0.17880,,100.00000,,31.78910,25.45530,0.10470,1.51640,59.35190,,,,,4.91950,0.4618,0.0912
2011-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.2346,-0.2168
2011-06-30,11.68840,2.89870,8.78980,1.42320,0.04140,5.09830,3.69140,3.69140,1.04100,2.65040,2.65040,2.65040,7.40790,3.69140,16.51200,16.76000,0.16000,0.16000,2.38020,,0.01260,75.20060,31.58190,31.58190,31.58190,22.67570,0.10740,1.22090,73.71390,3.47490,3.47490,2.43560,3.47490,4.62540,0.4263,0.067
2011-03-31,10.97750,2.79440,8.18310,1.46590,-0.81450,5.91180,2.27130,2.27130,0.49900,1.77230,1.77230,1.77230,9.33740,2.27130,16.56200,16.80200,0.10500,0.10500,3.12460,,,74.54460,20.69020,20.69020,20.69020,16.14450,0.10500,1.18860,75.71620,2.37420,2.37420,1.69580,2.37420,4.51590,0.80830,0.14980
2010-12-31,9.90150,2.82960,7.07190,,0.00570,,9.90150,2.00280,0.57600,,,1.42680,9.90150,,16.83400,16.83400,0.08500,0.08500,2.73750,,,,100.00000,,20.22760,14.41040,0.09580,1.34540,66.89450,,,,,4.41720,0.5097,0.1194
2010-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.2172,-0.7487
2010-06-30,10.46190,2.45700,8.00480,1.50800,0.98920,5.74060,2.26430,2.26430,0.75300,1.51130,1.51130,1.51130,7.47370,2.26430,16.62400,16.62400,0.09000,0.09000,2.33290,,,76.51440,21.64340,21.64340,21.64340,14.44580,0.10320,1.15130,78.17200,2.12620,2.12620,1.49010,2.12620,4.27570,0.5298,0.3584
2010-03-31,16.85690,2.92800,13.92890,1.42870,-0.05160,6.96430,6.96460,6.96460,1.80100,5.16360,5.16360,5.16360,17.75370,6.96460,16.62400,16.84400,0.30500,0.30500,2.51480,0.06590,0.07050,82.63040,41.31590,41.31590,41.31590,30.63180,0.16010,1.50820,59.67460,7.36560,7.36560,4.90380,6.88030,4.21700,0.68740,0.39030
2009-12-31,12.32140,3.23780,9.08350,,0.03740,,12.32140,2.41140,0.70300,,,1.70840,12.32140,,16.82400,16.82400,0.10000,0.10000,2.12290,0.11540,0.13050,,100.00000,,19.57070,13.86520,0.11740,1.34220,67.05210,,,,,3.92790,0.2867,0.1348
2009-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-1.8444,0.1433
2009-06-30,8.66520,2.57830,6.08690,1.17430,-0.06930,8.08840,-2.00150,-2.00150,-1.07300,-0.92850,-0.92850,-0.92850,4.95930,-2.00150,16.60000,16.60000,-0.05500,-0.05500,1.22790,0.17220,0.20800,70.24570,-23.09820,-23.09820,-23.09820,-10.71540,0.07820,1.14790,78.40110,-1.44880,-1.44880,-0.83840,-1.19930,3.86070,0.361,0.1757
2009-03-31,8.87400,2.29790,6.57620,1.32760,-0.13230,8.54740,-1.97130,-1.97130,-1.02600,-0.94530,-0.94530,-0.94530,14.07460,-1.97130,16.60000,16.79400,-0.05500,-0.05500,1.89110,0.19430,0.24110,74.10580,-22.21380,-22.21380,-22.21380,-10.65200,0.07830,1.08010,83.32360,-1.44160,-1.44160,-0.83420,-1.16150,3.95000,1.48340,-0.31900
