Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,22.68800,3.84300,18.84500,2.89300,,10.43200,8.41300,-2.70300,5.71000,5.71000,5.71000,5.16300,16.13700,8.41300,23.19500,23.19500,0.22000,0.22000,0.56560,37.08130,37.08130,25.16750,22.75650,0.03040,1.24930,1.24930,0.76600,1.24930,18.51400,0.62,0.1931
2021-03-31,21.39500,3.72900,17.66600,2.85900,,10.08400,7.58200,-2.26700,5.31500,5.31500,5.31500,4.77700,15.03600,7.58200,22.80900,22.80900,0.21000,0.21000,0.57870,35.43820,35.43820,24.84230,22.32770,0.02910,1.18090,1.18090,0.72280,1.18090,18.43330,0.59160,-2.08510
2020-12-31,20.12400,3.48500,16.63900,2.48600,,9.39100,7.24800,-1.92800,5.32000,5.24000,5.24000,4.74500,14.31000,7.24800,21.57600,21.57600,0.21000,0.21000,0.49400,36.01670,36.01670,26.43610,23.57880,0.03010,1.21880,1.21880,0.78400,1.21880,17.99720,0.6044,-2.6864
2020-09-30,19.34400,3.56300,15.78100,2.19100,,8.48600,7.29500,-2.08400,5.21100,5.21100,5.21100,4.72000,13.79300,7.29500,21.86600,21.86600,0.22000,0.22000,0.43780,37.71200,37.71200,26.93860,24.40030,0.03140,1.27220,1.27220,0.84640,1.27220,17.49990,0.5206,0.4767
2020-06-30,18.28000,3.22300,15.05700,1.89900,,8.01800,7.03900,-2.51300,4.52600,4.52600,4.52600,4.09400,12.80700,7.03900,21.26400,21.26400,0.19000,0.19000,0.50970,38.50660,38.50660,24.75930,22.39610,0.02990,1.16920,1.16920,0.73920,1.16920,17.03350,0.6223,-0.4462
2020-03-31,17.93600,3.34300,14.59300,2.19200,,8.25100,6.34200,-2.24200,4.10000,4.10000,4.10000,3.67600,12.52800,6.34200,20.73500,20.73500,0.18000,0.18000,0.55270,35.35910,35.35910,22.85910,20.49510,0.03010,1.11480,1.11480,0.68710,1.11480,16.62260,0.49450,-1.29270
2019-12-31,16.83300,2.84000,13.99300,2.11700,,8.02300,5.97000,-2.32700,3.64300,2.21300,2.21300,1.85000,11.99100,5.97000,18.68500,18.68500,0.10000,0.10000,0.54960,35.46600,35.46600,21.64200,10.99030,0.02990,0.62620,0.62620,0.39340,0.62620,16.50610,0.5008,-1.4379
2019-09-30,16.25900,3.32700,12.93200,2.04100,,7.81500,5.11700,-2.47000,2.64700,2.64700,2.64700,2.27400,11.00900,5.11700,18.83300,18.83300,0.12000,0.12000,0.71590,31.47180,31.47180,16.28020,13.98610,0.03050,0.87960,0.87960,0.49660,0.87960,14.91460,0.4429,-2.3122
2019-06-30,14.31600,2.99300,11.32300,1.77600,,7.07500,4.24800,-2.18200,2.06600,2.06600,2.06600,1.71500,9.66600,4.24800,18.24600,18.24600,0.09000,0.09000,0.71000,29.67310,29.67310,14.43140,11.97960,0.02920,0.74020,0.74020,0.42120,0.74020,14.38690,0.3801,-1.3298
2019-03-31,13.44100,3.07500,10.36600,1.78500,,7.03100,3.33500,-1.88500,1.45000,1.45000,1.45000,1.12600,8.75600,3.33500,17.95500,17.95500,0.06000,0.06000,0.66420,24.81210,24.81210,10.78790,8.37740,0.02940,0.53770,0.53770,0.31750,0.53770,14.29690,0.40820,-1.45000
2018-12-31,12.18900,2.44700,9.74200,1.54200,,6.61000,3.13200,-6.56400,-3.43200,-1.88500,-1.88500,-2.17700,8.37100,3.13200,17.66900,17.66900,-0.12000,-0.12000,0.54390,25.69530,25.69530,-28.15650,-17.86040,0.02860,-0.69390,-0.69390,-0.44190,-0.69390,14.57870,0.369,-0.5098
2018-09-30,12.53700,2.62700,9.91000,1.39500,,6.32000,3.59000,-1.59100,1.99900,1.99900,1.99900,1.71200,8.51700,3.59000,17.67000,17.67000,0.10000,0.10000,0.45630,28.63520,28.63520,15.94480,13.65560,0.03020,0.71570,0.71570,0.48130,0.71570,15.07050,0.273,-0.1378
2018-06-30,12.40200,2.50600,9.89600,1.50400,,6.13400,3.76200,-1.34500,2.41700,2.41700,2.41700,2.17600,8.63100,3.76200,17.57400,17.57400,0.12000,0.12000,0.45380,30.33380,30.33380,19.48880,17.54560,0.03020,0.87460,0.87460,0.58840,0.87460,15.18450,0.4028,-0.137
2018-03-31,11.42900,2.36400,9.06500,1.19300,,6.10900,2.95600,-1.08400,1.87200,1.87200,1.87200,1.63100,8.08900,2.95600,17.57400,17.57400,0.09000,0.09000,0.39840,25.86400,25.86400,16.37940,14.27070,0.02860,0.66950,0.66950,0.46820,0.66950,15.38010,0.33850,-0.46760
2017-12-31,10.89500,2.57900,8.31600,1.27900,,6.19500,2.12100,-1.04700,1.07400,1.55200,1.55200,1.02100,7.22100,2.12100,14.81500,14.81500,0.06000,0.06000,0.32940,19.46770,19.46770,9.85770,9.37130,0.02820,0.54770,0.54770,0.40230,0.54770,15.66810,0.5477,-2.7536
2017-09-30,9.44400,2.22500,7.21900,1.06900,,5.61300,1.60600,-1.02700,0.57900,0.57900,0.57900,0.37900,6.27000,1.60600,16.24200,16.24200,0.02000,0.02000,0.20590,17.00550,17.00550,6.13090,4.01310,0.02660,0.20110,0.20110,0.16300,0.20110,15.91820,0.2588,-0.4193
2017-06-30,8.93000,2.14000,6.79000,0.83500,,5.11600,1.67400,-1.20800,0.46600,0.46600,0.46600,0.46600,6.06500,1.67400,12.68600,12.81600,0.04000,0.04000,0.63240,18.74580,18.74580,5.21840,5.21840,0.02890,0.25130,0.25130,0.15070,0.25130,14.13110,0.3318,-2.4852
2017-03-31,8.00700,1.73800,6.26900,0.77000,-0.06700,4.76100,1.50800,-0.59500,0.91300,0.91300,0.91300,0.91300,5.50600,1.50800,12.68600,12.81900,0.07000,0.07000,0.42750,18.83350,18.83350,11.40250,11.40250,0.02880,0.48050,0.48050,0.32870,0.48050,14.49890,0.35530,-1.93620
2016-12-31,7.39200,1.50400,5.88800,1.01100,,4.46600,1.42200,-0.38900,1.03300,1.03300,1.03300,1.03300,5.05600,1.42200,11.23800,11.31900,0.10000,0.10000,0.26290,19.23700,19.23700,13.97460,13.97460,0.02940,0.53250,0.53250,0.41070,0.53250,14.93740,0.4719,-4.1292
2016-09-30,6.44300,0.96300,5.48000,0.67100,-0.07300,4.24000,1.24000,-0.17600,1.06400,1.06400,1.06400,1.06400,4.79800,1.24000,12.68600,12.75100,0.08000,0.08000,0.02530,19.24570,19.24570,16.51400,16.51410,0.03090,0.53800,0.53800,0.51010,0.53800,15.22590,0.2721,-0.4937
2016-06-30,6.19600,1.22800,4.96800,0.89500,-0.03000,4.25700,0.71100,-0.20300,0.50800,0.50800,0.50800,0.50800,3.99600,0.71100,12.03800,12.06500,0.04000,0.04000,,11.47510,11.47510,8.19880,8.19880,0.02980,0.25220,0.25220,0.24470,0.25220,15.60430,0.233,-0.2574
2016-03-31,5.16600,1.04900,4.11700,0.80600,,3.62100,0.49600,-0.38000,0.11600,0.11600,0.11600,0.11600,3.40200,0.49600,7.51100,7.56300,0.02000,0.02000,0.45990,9.60120,9.60120,2.24540,2.24550,0.02880,0.09700,0.09700,0.06470,0.09700,15.50150,0.34190,-3.05820
2015-12-31,4.55600,1.12300,3.43300,0.64600,,3.13300,0.30000,-0.18000,0.12000,0.12000,0.12000,0.12000,2.74600,0.30000,4.72700,4.72700,0.12000,0.12000,0.13900,6.58470,6.58470,2.63390,2.63390,0.03190,0.09810,0.09810,0.08400,0.09810,16.09450,0.4329,-13.6917
2015-09-30,3.24000,0.75100,2.48900,0.22300,,2.43400,0.05500,-0.12200,-0.06700,-0.06700,-0.06700,-0.06700,2.33200,0.05500,7.51100,7.51100,-0.01000,-0.01000,,1.69750,1.69750,-2.06790,-2.06790,0.02550,-0.05360,-0.05360,-0.05270,-0.05360,16.44850,0.2608,11.2343
2015-06-30,0.83600,0.13800,0.69800,1.60300,,2.18000,-1.48200,-0.02700,-1.50900,-1.50900,-1.50900,-1.50900,-1.48200,-1.48200,3.57400,3.57400,-0.42000,-0.42000,,-177.27270,-177.27270,-180.50240,-180.50240,0.00650,-1.19730,-1.19730,-1.18060,-1.19730,16.59010,-0.0652,-24.3685
2015-03-31,,,,,,,,,,,,0.00000,,,0.20000,0.20000,0.00000,0.00000,,,,,,,,,,,,0.00000,
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
2014-09-30,,,,,,,,,,,,,,,0.20000,0.20000,,0.00000,,,,,,,,,,,,0,0
2014-06-30,,,,,,,,,,,,,,,0.20000,0.20000,,0.00000,,,,,,,,,,,,0,0
