Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-12-31,1.48020,1.28790,0.19230,-0.16660,2.31610,-2.12370,-23.38980,-25.51350,-25.51350,-25.51350,-25.51350,-1.49940,-2.12370,37.91700,37.91700,-1.01000,-1.01000,0.25590,-0.00270,-0.13360,12.99240,-143.47130,-143.47130,-1723.61100,-1723.61100,0.11880,0.53640,1.85770,48.44780,35.39060,78.55250,-204.71640,92.35980,-0.52090,-0.0483,-0.0485
2016-09-30,1.93230,1.59390,0.33840,1.61390,1.61390,-1.27550,-27.88660,-29.16210,-29.16210,-29.16210,-29.16210,-0.65130,-1.27550,46.70230,46.70230,-0.62000,-0.62000,0.29990,-0.00360,-0.17600,17.51200,-66.00870,-66.00870,-1509.18100,-1509.18100,0.12570,0.53670,1.15750,77.75090,54.57510,85.77570,-189.72370,99.67040,-0.62370,-0.0152,-0.0152
2016-06-30,1.85440,1.69050,0.16390,1.50870,1.50870,-1.34480,-42.81450,-44.15930,-44.15930,-44.15930,-44.15930,-0.52420,-1.34480,45.09860,45.09860,-0.98000,-0.98000,0.12680,-0.04200,-0.09360,8.83660,-72.52070,-72.52070,-2381.36700,-2381.36700,0.12320,0.69310,1.41110,63.78000,63.87320,58.76840,-293.30540,66.55820,-1.48510,-0.0698,-0.0697
2016-03-31,1.74810,1.56400,0.18400,1.42780,1.42780,-1.24380,1.63080,0.38710,0.38710,0.38710,0.38710,-0.34140,-1.24380,35.94630,35.94630,0.01000,0.01000,0.04460,-0.00520,-0.13360,10.52690,-71.15100,-71.15100,22.14230,22.14230,0.21700,7.84040,1.75720,51.21900,-1.21630,-1.00730,4.80520,-1.22270,-0.72900,-0.02930,-0.02960
2015-12-31,0.40300,0.28160,0.12140,1.48870,1.48870,-1.36730,-12.61870,-13.98610,-13.98610,-13.98610,-13.98610,-0.23440,-1.36730,35.41000,35.41000,-0.43000,-0.43000,0.03380,-0.00600,-0.13260,30.11980,-339.30920,-339.30920,-3470.73300,-3470.73400,0.04800,1.06720,1.71980,52.33090,42.70630,35.00330,-166.50470,42.96050,-0.78910,-0.0356,-0.036
2015-09-30,0.26290,0.24870,0.01420,1.22080,1.22080,-1.20660,-8.87380,-10.08040,-10.08040,-10.08040,-10.08040,0.00360,-1.20660,40.48000,40.48000,-0.25000,-0.25000,0.07830,-0.01150,-0.19940,5.40970,-458.97130,-458.97130,-3834.36200,-3834.36200,0.02810,0.48360,2.24930,40.01190,51.70330,36.91540,-107.73720,52.29660,-0.47470,-0.0202,-0.0203
2015-06-30,0.79990,0.70730,0.09270,1.27980,1.27980,-1.18720,-0.28230,-1.46950,-1.46950,-1.46950,-1.46950,0.00370,-1.18720,37.97600,37.97600,-0.04000,-0.04000,0.29070,-0.02510,-0.33150,11.58490,-148.41050,-148.41050,-183.70620,-183.70620,0.06980,1.72510,0.56570,159.10640,14.47230,7.91250,-12.82420,14.83540,-0.25480,-0.0086,-0.0085
2015-03-31,1.41920,1.23970,0.17950,1.24740,1.24740,-1.06790,-0.28630,-1.35420,-1.35420,-1.35420,-1.35420,0.11560,-1.06790,33.88800,33.88800,-0.04000,-0.04000,0.20750,-0.14090,-0.28500,12.64710,-75.24460,-75.24460,-95.42110,-95.42090,0.12960,,1.00000,90.00000,13.52030,7.11600,-12.36500,15.42560,-0.26820,-0.04200,-0.04210
2014-12-31,,,,3.35680,,-3.35680,-0.49650,-3.85330,-3.85330,-3.85330,-3.88360,-0.47040,-3.35680,33.64400,33.64400,-0.12000,-0.12000,0.16700,-0.11890,-0.25040,,,,,,,,,,41.15770,20.30830,-34.27240,46.05220,-0.26190,-0.0159,-0.0152
2014-09-30,,,,0.48190,,-0.48190,-0.59380,-1.07570,-1.07570,-1.07570,-1.06280,0.08400,-0.48190,35.64600,35.64600,-0.03000,-0.03000,0.31080,-0.51400,-0.35740,,,,,,,,,,19.60230,19.48960,-48.36060,29.67810,-0.15460,-0.0116,-0.0126
2014-06-30,,,,0.58330,,-0.58330,-1.12940,-1.71260,-1.71260,-1.71260,-1.69520,-0.22620,-0.58330,35.10600,35.10600,-0.05000,-0.05000,,,,,,,,,,,,,,,,,,-0.0154,-0.0161
2014-03-31,,,,0.37770,,-0.37770,-0.27440,-0.65220,-0.65220,-0.65220,-0.65220,-0.08200,-0.37770,32.59800,32.59800,-0.02000,-0.02000,,,,,,,,,,,,,,,,,,-0.01060,-0.01390
2013-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0.0003,0.0003
2013-09-30,,,,0.03880,,-0.03880,-0.01720,-0.05600,-0.05600,-0.05600,-0.05280,-0.03880,-0.03880,32.60000,32.60000,0.00000,0.00000,,,,,,,,,,,,,,,,,,-0.0003,-0.0003
