Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-03-31,131.56400,131.56400,114.65000,-0.29600,16.36700,-2.89500,13.47200,1.99200,11.48000,,11.48000,4.89700,19.00400,16.36700,16.25600,31.28000,0.30000,0.30000,,,12.44030,12.44030,10.23990,3.72210,0.18750,2.10370,2.11190,1.63620,2.10370,17.37200,0.2692,0.2629
2020-12-31,156.94600,156.94600,142.85900,-0.11700,13.73200,8.77700,22.50900,2.75600,19.75300,,19.75300,8.81900,16.33900,13.73200,16.25200,31.25200,0.54000,0.51000,,,8.74950,8.74950,14.34190,5.61910,0.22470,3.60380,3.61780,2.82840,3.60380,17.45820,0.88510,0.86710
2020-09-30,150.10300,150.10300,135.93500,-0.02200,13.90910,3.09200,17.00100,2.60800,14.39300,,14.39300,6.11700,16.53010,13.90910,16.19400,31.19400,0.38000,0.37000,,,9.26640,9.26630,11.32620,4.07520,0.21750,2.66090,2.67150,2.08520,2.66090,17.22840,-0.0411,-0.0474
2020-06-30,138.64900,138.64900,122.85300,-0.42700,15.14000,2.86300,18.00300,2.60800,15.39500,,15.39500,6.66900,17.77500,15.14000,16.19800,31.19800,0.41000,0.41000,,,10.91970,10.91970,12.98460,4.81000,0.19670,2.84850,2.85990,2.18450,2.84850,17.25860,0.9627,0.961
2020-03-31,140.86100,140.86100,122.33300,-0.37300,17.90900,-0.37600,17.53300,2.61200,14.92100,,14.92100,6.42100,20.54600,17.90900,16.18600,31.18600,0.40000,0.39000,,,12.71400,12.71400,12.44700,4.55840,0.20540,2.77290,2.78400,2.17530,2.77290,17.18430,-1.0285,-1.0307
2019-12-31,159.89200,159.89200,137.06000,-0.79600,21.78000,3.56800,25.34800,3.72400,21.62400,,21.62400,9.37600,24.42500,21.78000,16.17700,16.17700,0.58000,0.58000,,,13.62170,13.62170,15.85320,5.86400,0.22680,4.02860,4.04490,3.06670,4.02860,17.14800,2.59130,2.58220
2019-09-30,159.24400,159.24400,137.74300,-0.42500,20.82100,1.04700,21.86800,2.98500,18.88300,,18.88300,8.74400,23.65500,20.82100,16.13200,16.14300,0.51000,0.51000,,,13.07490,13.07490,13.73240,5.49100,0.24100,3.56930,3.58410,2.85750,3.56930,16.90050,0.2746,0.2497
2019-06-30,143.71500,143.71500,123.46200,-0.04200,19.96100,-4.36200,15.59900,2.22600,13.37300,,13.37300,5.81200,22.60900,19.96100,16.13700,16.14900,0.36000,0.36000,,,13.88930,13.88930,10.85410,4.04410,0.21680,2.52640,2.53690,2.01730,2.52640,16.94440,1.1122,1.1014
2019-03-31,130.09600,130.09600,111.04400,-0.04700,18.74800,3.09900,21.84700,3.13900,18.70800,,18.70800,8.16800,21.42700,18.74800,16.12000,16.14700,0.50000,0.50000,,,14.41090,14.41090,16.79300,6.27840,0.19720,3.50480,3.51940,2.83640,3.50480,17.09180,7.5394,7.5422
2018-12-31,280.31300,280.31300,141.61600,-0.18400,138.25800,-1.20800,137.05000,18.97000,118.08000,,118.08000,51.85600,140.92100,138.25800,16.12000,16.13100,3.22000,3.22000,,,49.32270,49.32270,48.89180,18.49930,0.40610,22.02620,22.11780,17.10560,22.02620,17.16580,3.35240,3.34190
2018-09-30,65.07300,65.07300,38.74800,-0.78000,25.29300,-3.12800,22.16500,3.37600,18.78900,,19.01100,8.64100,27.94400,25.29300,16.07700,16.12000,0.50000,0.49000,,,38.86870,38.86860,34.06170,13.27890,0.12900,4.37380,4.39630,3.76880,4.37380,13.91810,-0.0008,-0.0119
2018-06-30,62.08400,62.08400,39.24300,-0.77500,21.82200,1.08900,22.91100,3.46200,19.44900,,19.44900,8.38100,24.48800,21.82200,16.08700,16.13500,0.52000,0.52000,,,35.14920,35.14920,36.90320,13.49950,0.11770,4.47740,4.50070,3.68630,4.47740,13.93420,1.3718,1.3592
2018-03-31,59.28100,59.28100,36.45000,,22.45900,0.86400,23.32300,3.68100,19.64200,,19.64200,8.35600,25.22100,22.45900,16.06900,16.10500,0.52000,0.52000,,,37.88570,37.88570,39.34310,14.09560,0.11290,4.53860,4.56260,3.74160,4.53860,13.88260,10.2867,10.2817
2017-12-31,218.54100,218.54100,35.62400,-0.14200,182.39500,25.49400,207.88900,48.34300,159.54600,,159.32400,70.66300,185.18100,182.39500,16.06000,16.08400,4.40000,4.39000,,,83.46030,83.46030,95.12590,32.33400,0.41250,37.35800,37.56050,30.07320,37.35800,13.68500,2.51540,2.50390
2017-09-30,56.63600,56.63600,33.31900,-6.73400,16.09500,0.30000,16.39500,3.44000,12.95500,,13.11600,5.14100,18.99000,16.09500,16.03200,16.04800,0.31000,0.31000,,,28.41830,28.41830,28.94800,9.07730,0.14760,4.52800,4.56460,3.41810,4.52800,9.29480,0.1921,0.1781
2017-06-30,55.50200,55.50200,31.54800,-1.76000,21.72700,0.40200,22.12900,4.52800,17.60100,,17.60500,6.85700,24.60700,21.72700,16.03700,16.05800,0.43000,0.43000,,,39.14630,39.14630,39.87060,12.35450,0.13740,6.01890,6.07010,4.35780,6.01890,9.40690,1.3506,1.3303
2017-03-31,54.29600,54.29600,31.00200,-0.69300,22.07300,0.45000,22.52300,4.61000,17.91300,,17.74800,6.86900,25.02100,22.07300,16.02500,16.04200,0.43000,0.43000,,,40.65310,40.65310,41.48190,12.65100,0.13730,6.08730,6.14240,4.48650,6.08730,9.37630,4.7832,4.768
2016-12-31,105.29400,105.29400,29.07300,,75.66600,0.20700,75.87300,15.67300,60.20000,,60.20000,23.42600,78.64700,75.66600,16.02500,16.02800,1.46000,1.46000,,,71.86170,71.86170,72.05820,22.24820,0.26820,20.66100,20.85850,15.33110,20.66100,9.37420,1.52160,1.51950
2016-09-30,56.26600,56.26600,30.45400,,23.41100,0.09000,23.50100,4.66900,18.83200,,18.83200,7.37400,26.27100,23.41100,16.00500,16.00500,0.46000,0.46000,,,41.60770,41.60770,41.76770,13.10560,0.16670,7.64310,7.74940,5.57930,7.64310,7.92710,0.149,0.1418
2016-06-30,52.21100,52.21100,30.02400,,21.83800,0.06800,21.90600,4.50400,17.40200,,17.40200,6.69800,23.83600,21.83800,16.00800,16.00800,0.42000,0.42000,,,41.82640,41.82640,41.95670,12.82870,0.15060,7.22140,7.22140,5.02100,7.22140,7.77140,1.5892,1.589
2016-03-31,48.33300,48.33300,28.04900,,19.78300,0.05100,19.83400,4.08600,15.74800,,15.74800,6.11400,23.49800,19.78300,16.00200,16.00200,0.38000,0.38000,,,40.93060,40.93060,41.03610,12.64970,0.14270,6.60370,6.60370,4.64910,6.60370,7.69260,3.5892,3.5802
2015-12-31,110.13000,110.13000,27.97900,,81.66800,0.02500,81.69300,11.31400,70.37900,,70.37900,17.05400,84.60700,81.66800,16.00000,16.00000,1.07000,1.07000,,,74.15600,74.15600,74.17870,15.48530,0.30930,30.03160,30.03160,19.76420,30.03160,7.55970,0.90370,0.85330
2015-09-30,48.11100,48.11100,27.19000,0.00000,20.46100,0.04000,20.52000,4.18700,16.33300,0.01000,6.33300,6.33300,23.32400,20.46100,16.00000,16.00000,0.40000,0.40000,,,42.52870,42.52870,42.65140,13.16330,0.15830,2.96420,2.96420,2.08400,2.96420,6.89200,0.5276,0.5176
2015-06-30,48.17900,48.17900,29.56600,,18.10100,-1.19200,16.90900,0.65100,16.25800,,16.27300,0.97000,23.90700,18.10100,16.00000,16.00000,0.06000,0.06000,,,37.57030,37.57030,35.09620,2.01330,,,,,,,5.8524,5.8624
2015-03-31,49.81000,49.81000,25.38600,,23.85300,1.26100,25.11400,0.00300,25.11100,,25.18300,25.18300,19.75200,23.85300,,,,0.00000,,,47.88800,47.88800,50.41960,50.55810,,,,,,,0,0
2014-12-31,46.83600,46.83600,27.97600,,18.28100,1.33900,19.62000,,19.62000,,19.64800,19.64800,18.87300,18.28100,,,,0.00000,,,39.03190,39.03190,41.89090,41.95060,,,,,,,0.00000,
2014-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2013-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
