Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,246.31900,159.23200,87.08700,20.41600,-12.21600,36.93900,50.14800,50.14800,5.68000,44.46800,44.46800,25.70400,59.81700,50.14800,24.98900,26.55200,1.03000,1.00000,3.80930,,0.03820,35.35540,20.35900,20.35900,20.35900,10.43530,0.25560,0.69930,128.70320,6.78860,9.67000,4.61350,6.78860,26.43620,-1.59080,-1.62120
2021-12-31,313.26590,205.17400,108.09190,16.60300,-12.43500,33.25290,74.83900,74.83900,10.72100,64.11800,64.11800,34.89600,83.88200,74.83910,24.95940,42.35870,1.40000,1.25000,3.28770,,,34.50490,23.88990,23.89000,23.88990,11.13940,0.31720,1.08300,83.10520,10.05660,14.55700,6.49210,10.05660,26.21640,-0.2491,-0.2888
2021-09-30,231.29800,148.14900,83.14900,20.97600,-10.00600,34.87400,48.27500,48.27500,9.09000,39.18500,39.18500,21.44500,56.94900,48.27500,24.90860,42.01050,0.86000,0.82000,1.80550,,,35.94890,20.87140,20.87140,20.87130,9.27160,0.21450,0.92360,97.44950,6.58880,9.90320,3.63480,6.58880,24.46380,4.3115,4.2424
2021-06-30,240.68100,153.92400,86.75700,22.02600,-8.47600,34.31100,52.44600,52.44600,9.59000,42.85600,42.85600,23.14500,61.04000,52.44600,25.05100,42.09600,0.92000,0.89000,2.79960,,,36.04650,21.79070,21.79070,21.79070,9.61650,0.23690,0.80150,112.29500,6.52540,9.40260,4.21740,6.52540,26.81390,2.3631,2.3201
2021-03-31,206.70000,132.79300,73.90700,20.35000,-5.83400,30.01800,43.88900,43.88900,0.09300,43.79600,43.79600,26.68200,52.50300,43.88900,24.96940,42.85880,1.07000,1.03000,3.58160,,,35.75570,21.23320,21.23320,21.23320,12.90860,0.21750,0.76090,118.27530,6.77350,9.87100,4.60890,6.77350,25.88670,-3.49430,-3.49530
2020-12-31,322.00310,197.74300,124.26000,19.43600,-6.36900,29.63100,94.62900,94.62900,13.23600,81.39300,81.39300,46.06000,103.28600,94.62900,24.49630,43.12720,1.89000,1.60000,1.88800,,,38.58970,29.38760,29.38760,29.38760,14.30420,0.27480,1.38100,65.17000,11.83300,16.84840,6.94710,11.83300,28.88140,-0.5487,-0.4231
2020-09-30,297.56300,196.89600,100.66700,18.01300,-8.85800,30.57100,70.09600,70.09600,11.98900,58.10700,58.10700,30.90700,78.68900,70.09600,24.64600,26.24300,1.25000,1.22000,1.54390,,,33.83050,23.55670,23.55670,23.55670,10.38670,0.25940,1.07300,83.87890,8.52920,12.24540,5.06470,8.52920,28.62700,6.6348,6.5796
2020-06-30,232.56300,154.73000,77.83300,17.79300,-6.65400,28.15600,49.67700,49.67700,8.76000,40.91700,40.91700,21.67000,59.77400,49.67700,24.63700,25.46200,0.88000,0.86000,2.21730,,,33.46750,21.36070,21.36070,21.36070,9.31790,0.23020,0.90420,99.53200,6.30150,9.28580,4.04990,6.30150,26.96930,5.42,5.2772
2020-03-31,200.17100,134.02400,66.14700,16.72300,-12.04500,32.58800,33.55900,33.55900,1.55000,32.00900,32.00900,18.86000,42.57200,33.55900,24.09800,40.35400,0.78000,0.72000,3.72110,,,33.04530,16.76520,16.76520,16.76520,9.42190,0.22780,0.81450,110.49120,5.42240,8.42990,3.64270,5.42240,24.51950,-0.62100,-0.75390
2019-12-31,248.65200,164.80900,83.84300,16.22500,-14.92900,34.94100,48.90200,48.90200,10.85900,38.04300,38.04300,16.75600,57.61900,48.90200,24.00710,25.01460,0.70000,0.69000,2.94940,0.03610,0.03740,33.71900,19.66690,19.66690,19.66690,6.73870,0.26100,1.09290,82.34980,6.62170,10.50950,3.99290,6.38290,24.89540,4.9618,4.8641
2019-09-30,174.22700,123.04000,51.18700,17.36800,-10.58200,31.40400,19.78300,19.78300,5.00200,14.78100,14.78100,6.82500,27.82300,19.78300,24.01300,24.97400,0.28000,0.28000,2.84800,0.04600,0.04820,29.37950,11.35470,11.35470,11.35470,3.91730,0.20350,0.68090,132.17410,2.76690,4.62280,1.72610,2.63970,23.15050,2.5389,2.4665
2019-06-30,166.70400,119.16500,47.53900,16.96200,-13.35000,33.94700,13.59200,13.59200,3.56600,10.02600,10.02600,4.82600,22.39100,13.59200,24.57300,24.57300,0.20000,0.20000,3.77070,0.05460,0.05770,28.51700,8.15340,8.15340,8.15340,2.89500,0.20800,0.75130,119.79970,1.92990,3.30460,1.25080,1.82460,22.48120,1.9423,1.7991
2019-03-31,128.05600,95.15100,32.90500,16.15100,-13.22100,32.99200,-0.08700,-0.08700,-1.02400,0.93700,0.93700,1.10100,7.16500,-0.08700,23.76100,40.02000,0.05000,0.04000,5.12990,0.05570,0.05900,25.69580,-0.06790,-0.06790,-0.06790,0.85980,0.16710,0.62800,143.31010,0.18440,0.32300,0.12230,0.17410,21.41850,-0.99750,-1.03650
2018-12-31,175.39300,126.67900,48.71400,15.46700,-12.96200,32.04010,16.67390,16.67400,4.14400,12.53000,12.53000,7.16800,20.28490,16.67390,21.88000,24.25400,0.32000,0.29000,2.66920,0.05790,0.06150,27.77420,9.50660,9.50660,9.50670,4.08680,0.26110,0.80540,111.74400,2.56890,4.77230,1.86510,2.42010,21.59410,0.1638,0.1347
2018-09-30,140.14300,99.87500,40.26800,15.49400,-10.42900,28.18600,12.08200,12.08200,-0.19700,12.27900,12.27900,7.55000,14.34500,12.08200,22.27600,24.11200,0.34000,0.33000,2.89130,,,28.73350,8.62120,8.62120,8.62120,5.38740,0.24090,0.73060,123.18700,2.85970,3.54320,2.11090,2.85970,20.18610,4.0718,4.0501
2018-06-30,130.67000,94.27300,36.39700,13.85200,-10.31500,26.25900,10.13800,10.13800,-0.88200,11.02000,11.02000,6.94500,12.23000,10.13800,22.64200,24.18500,0.30000,0.30000,3.39690,,,27.85410,7.75850,7.75850,7.75850,5.31490,0.24480,0.61690,145.88440,2.63710,3.29480,2.06470,2.63710,20.16560,3.0506,2.9356
2018-03-31,134.04200,103.63200,30.41000,15.48200,-10.30200,27.79100,2.61900,2.61900,-4.11000,6.72900,6.72900,5.23600,4.62600,2.61900,19.35700,23.88700,0.27000,0.24000,4.20700,,,22.68690,1.95390,1.95390,1.95390,3.90620,0.26720,0.61190,147.08780,1.63320,2.05150,1.34150,1.63320,21.02910,-2.21730,-2.34870
2017-12-31,190.55300,140.25600,50.29700,14.13500,-8.50800,24.63400,25.66310,25.66300,54.02700,-28.36400,-28.36400,-37.44500,27.65410,25.66300,18.85800,18.85800,-1.98000,-1.97000,2.89090,,,26.39530,13.46770,13.46770,13.46760,-19.65070,0.34090,1.00090,89.92250,-6.71410,-8.39490,-5.07440,-6.71410,22.78700,2.7935,2.7741
2017-09-30,78.45000,68.01800,10.43200,15.67600,-8.33200,26.04600,-15.61400,-15.61400,-13.25800,-2.35600,-2.35600,3.34300,-13.57600,-15.61400,18.91800,22.91900,0.17000,0.16000,2.60710,,,13.29760,-19.90310,-19.90310,-19.90310,4.26130,0.13960,0.46580,193.21260,1.71790,1.05980,-0.41920,1.71790,-7.37940,3.3433,3.3344
2017-06-30,109.31000,87.56400,21.74600,14.31600,-7.49100,23.82900,-2.08300,-2.08300,-1.51800,-0.56500,-0.56500,0.21500,-0.06100,-2.08300,18.82600,18.82600,0.01000,0.01000,3.00970,,,19.89390,-1.90560,-1.90560,-1.90560,0.19670,0.20260,0.49550,181.62860,0.37740,0.23990,-0.10470,0.37740,-8.08290,1.6934,1.6841
2017-03-31,120.96900,95.67600,25.29300,12.80800,-8.30500,23.20500,2.08800,2.08800,-0.87100,2.95900,2.95900,1.33300,4.18000,2.08800,18.47900,18.47900,0.07000,0.07000,4.67590,,,20.90870,1.72610,1.72610,1.72610,1.10190,0.23690,0.60380,149.06480,-4.76970,-1.99440,0.57950,-4.76970,-3.34990,-1.93270,-1.95140
2016-12-31,173.49600,125.02400,48.47200,13.25400,-9.14000,24.49000,23.98200,23.98200,5.25300,18.72900,18.72900,6.74500,26.07800,23.98200,18.29300,18.29300,0.37000,0.37000,2.39050,,,27.93840,13.82280,13.82280,13.82280,3.88770,0.29380,0.76240,118.04540,-218.79680,-19.59940,3.17180,-218.79670,-0.47550,1.0935,1.0742
2016-09-30,121.34600,95.84100,25.50500,12.43400,-11.02700,27.46500,-1.96000,-1.96000,8.37600,-10.33600,-10.33600,-9.71100,2.04400,-1.96000,18.32000,18.32000,-0.53000,-0.53000,2.28690,,,21.01840,-1.61520,-1.61520,-1.61520,-8.00270,0.21680,0.66640,135.04670,443.79560,11.48420,-1.84640,443.79560,-0.12940,3.6294,3.4105
2016-06-30,89.28400,71.96400,17.32000,15.96000,-7.59000,27.57500,-10.25500,-10.25500,-5.53900,-4.71600,-4.71600,-0.32300,-6.23000,-10.25500,18.26500,18.26500,-0.02000,-0.02000,2.64060,,,19.39880,-11.48580,-11.48580,-11.48580,-0.36180,0.17320,0.48370,186.06530,-5.52130,96.53990,-0.91500,-5.52130,4.75420,1.071,0.946
2016-03-31,115.30400,88.17100,27.13300,11.96700,-8.53200,24.40000,2.73300,2.73300,1.30200,1.43100,1.43100,0.25500,6.63400,2.73300,18.26200,18.26200,0.01000,0.01000,2.43940,,,23.53170,2.37030,2.37030,2.37030,0.22120,0.23450,0.63310,142.16620,-7.02540,-1.26110,0.29100,-7.02540,-1.13370,0.59380,0.24160
2015-12-31,103.82200,108.37500,-4.55300,15.26400,-4.82500,24.11600,-28.66910,-28.66900,-3.73400,-24.93500,-24.93500,-11.18400,-24.75410,-28.66900,,,,0.00000,2.24800,,,-4.38540,-27.61370,-27.61370,-27.61360,-10.77230,0.22220,0.61220,147.01220,-77.72760,37.03130,-5.33650,-77.72760,1.78560,0,0
2015-09-30,147.32200,67.06000,80.26200,22.10700,-6.48400,36.40100,43.86100,43.86100,1.97100,41.89000,41.89000,41.89000,51.67100,43.86100,,,,0.00000,3.87980,,,54.48070,29.77220,29.77220,29.77220,28.43430,0.48850,0.97090,92.70020,16.35150,23.87400,13.88950,16.35150,,0,0
2015-06-30,72.46900,60.12500,12.34400,13.53000,-3.74500,18.78300,-6.43900,-6.43900,0.58400,-7.02300,-7.02300,-7.02300,-4.93100,-6.43900,,,,0.00000,,,,17.03350,-8.88520,-8.88520,-8.88520,-9.69100,,,,,,,,,0,0
2015-03-31,82.32500,79.63500,2.69000,9.21700,-6.63500,17.37900,-14.68900,-14.68900,1.41800,-16.10700,-16.10700,-16.10700,-13.16200,-14.68900,,,,0.00000,,,,3.26750,-17.84270,-17.84270,-17.84270,-19.56510,,,,,,,,,0.00000,
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2014-09-30,79.52500,76.62300,2.90200,10.46200,-4.29800,16.54600,-13.64400,-13.64400,0.55300,-14.19700,-14.19700,-14.19700,-13.64400,-13.64400,,,,0.00000,,,,3.64920,-17.15690,-17.15690,-17.15690,-17.85230,,,,,,,,,0,0
2013-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
