Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,124.77500,84.88400,39.89100,26.16900,26.16900,13.72200,4.76900,18.49100,4.24200,14.24900,,14.88400,,14.05700,13.72200,13.72200,53.69500,53.71500,0.26000,0.26000,2.82580,,31.97040,10.99740,10.99740,14.81950,11.26590,0.26130,1.12690,79.86580,5.27690,5.58500,3.11740,5.27690,,0.1074,0.1074
2020-03-31,102.05400,69.33000,32.72400,24.24400,24.24400,8.48000,1.94500,10.42500,2.63500,7.79000,,6.04700,,6.46700,8.48000,8.48000,53.89200,53.89200,0.12000,0.12000,2.78480,,32.06540,8.30930,8.30930,10.21520,6.33680,0.21440,1.18700,75.82460,2.17030,2.29840,1.27040,2.17030,,0.35260,0.35260
2019-12-31,141.49190,96.81900,44.67290,28.54700,28.54700,16.12590,1.00500,17.13100,4.67000,12.46100,,-32.34100,,-32.63300,16.12590,16.12600,54.63010,54.66150,-0.59000,-0.59000,2.82890,,31.57280,11.39710,11.39710,12.10740,-23.06350,0.28630,1.31550,68.41660,-11.01270,-11.64010,-6.54350,-11.01270,5.46920,0.3294,0.2778
2019-09-30,115.19200,74.25800,40.93400,19.74600,19.74600,21.18800,2.28900,23.47700,4.23100,19.24600,,23.80600,,23.55100,21.18800,21.18800,53.86900,53.88900,0.44000,0.44000,2.94860,,35.53550,18.39360,18.39360,20.38080,20.44500,0.21990,1.09290,82.35260,7.19900,7.55180,4.54420,7.19900,,0.3368,0.3595
2019-06-30,130.86900,86.00900,44.86000,33.59100,33.59100,11.26900,4.09200,15.36100,5.37000,9.99100,,14.19100,,14.27700,11.86100,11.26900,54.87700,54.91100,0.26000,0.26000,2.86820,,34.27860,8.61090,8.61090,11.73770,10.90940,0.23010,1.08300,83.10020,4.05530,4.25110,2.49460,4.05530,,-0.3215,-0.3326
2019-03-31,144.78100,99.63900,45.14200,26.30500,26.30500,18.83700,5.76600,24.60300,6.38700,18.21600,,22.00300,,21.94400,19.41400,18.83700,56.26700,56.26700,0.39000,0.39000,2.84010,,31.17950,13.01070,13.01070,16.99330,15.15670,0.22490,1.29730,69.37250,5.47190,5.70640,3.41860,5.47190,,0.12390,0.11230
2018-09-30,114.14500,70.09100,44.05400,25.91600,25.91600,18.13800,13.13300,31.27100,9.67100,21.60000,,28.62900,,28.42900,18.13800,18.13800,64.96700,65.04700,0.44000,0.44000,3.69700,,38.59480,15.89030,15.89030,27.39590,24.90600,0.19720,1.14490,78.61210,,7.04810,4.94500,6.77750,,0.3721,0.4227
2018-06-30,146.91000,101.50200,45.40800,26.12500,26.12500,19.28300,7.99100,27.27400,8.65400,18.62000,,26.12500,,25.96900,,19.28300,65.01520,65.07520,0.40000,0.40000,,,,,,,,,,,,,,,,,
2017-12-31,103.86500,64.62400,39.24100,29.45200,29.45200,9.78900,9.22400,19.01300,6.58600,12.42700,,21.21500,,21.33700,11.41700,9.78900,61.58000,63.06000,0.35000,0.37000,6.24390,,37.78080,9.42470,9.42470,18.30550,20.54300,0.14260,0.58720,153.27690,3.46080,3.57470,2.91340,3.46080,9.42940,0.1489,0.1364
2017-09-30,161.91600,118.97000,42.94600,30.44100,30.44100,12.50500,8.53300,21.03800,7.56600,13.47200,,17.08800,,16.87400,14.49300,12.50500,62.49600,62.49600,0.27000,0.27000,4.23000,,26.52360,7.72310,7.72310,12.99320,10.42150,0.21350,0.79360,113.40050,2.91500,3.03650,2.25320,2.91500,,-0.0507,-0.07
2017-06-30,149.42200,109.73600,39.68600,29.18200,29.18200,10.50400,16.08400,26.58800,7.49500,19.09300,,20.86600,,20.70200,12.37200,10.50400,61.59860,63.82710,0.34000,0.32000,4.90750,,26.55970,7.02980,7.02980,17.79390,13.85470,0.21470,1.77320,50.75460,3.73330,3.90280,2.99780,3.73330,,0.2508,0.2388
2017-03-31,213.18300,176.89200,36.29100,27.10900,27.10900,9.18200,1.81100,10.99300,4.14400,6.84900,,9.41600,,10.13200,10.96400,9.18200,58.27100,60.65900,0.17000,0.17000,4.26380,,17.02340,4.30710,4.30710,5.15660,4.75270,0.32750,1.88790,47.67210,1.86660,1.96450,1.44660,1.86660,,0.02180,0.01500
2016-12-31,197.03800,149.88500,47.15300,41.92500,41.92500,5.22800,7.12100,12.34900,2.90600,9.44300,,11.18200,,10.13700,6.84100,5.22800,58.03000,60.44100,0.18000,0.16000,4.94510,,23.93090,2.65330,2.65330,6.26730,5.14470,0.32280,2.47680,36.33750,2.28070,2.40920,1.83170,2.28070,8.41640,0.2728,0.2632
2016-09-30,178.78700,136.83500,41.95200,40.82400,40.82400,1.12800,3.14200,4.27000,0.86400,3.40600,,5.36400,,4.81300,2.97300,1.12800,58.16500,60.61200,0.08000,0.08000,5.68780,,23.46480,0.63090,0.63090,2.38830,2.69200,0.29690,2.42530,37.10860,1.07760,1.14310,0.89060,1.07760,,0.0743,0.0656
2016-06-30,160.40800,123.38200,37.02600,38.25700,38.25700,-1.23100,4.92000,3.68900,0.25300,3.43600,,5.12900,,4.66500,-0.55500,-1.23100,57.97300,60.34770,0.08000,0.08000,4.95500,,23.08240,-0.76740,-0.76740,2.29980,2.90820,0.26060,2.54570,35.35350,1.03610,1.10280,0.83330,1.03610,,-0.1964,-0.2021
2016-03-31,140.79800,109.92200,30.87600,33.97800,33.97800,-3.10200,4.06700,0.96500,0.06100,0.90400,,2.46900,,3.00300,-2.37900,-3.10200,57.75350,60.12620,0.05000,0.05000,6.46370,,21.92930,-2.20320,-2.20320,0.68540,2.13280,0.22210,2.56300,35.11460,0.46230,0.48190,0.38950,0.46230,,0.05860,0.05440
2015-12-31,132.76200,90.93000,41.83200,26.22000,26.22000,15.61200,4.84000,9.68000,1.27000,8.41000,-3.91000,8.50500,0.00000,8.50500,16.52200,15.61200,56.70000,60.75000,0.15000,0.14000,7.19260,,23.38770,11.75940,11.75940,7.29120,6.40620,0.21420,2.91910,30.83110,1.60460,1.67940,1.37240,1.60460,,0.4321,0.4257
2015-09-30,112.77400,85.60000,27.17400,23.61000,23.61000,3.56400,4.14000,7.69000,0.62000,7.07000,0.64000,6.58900,0.00000,6.58900,4.45400,3.56400,57.59700,60.04800,0.11000,0.11000,8.62920,,24.08360,3.16030,3.16030,6.81890,5.84270,0.18780,1.66850,53.94060,1.25420,1.31540,1.09720,1.25420,,0.1445,0.1411
2015-06-30,108.39700,83.01000,25.38700,21.78000,21.78000,3.60700,8.20000,11.80000,1.60000,10.20000,2.01000,12.92200,0.00000,12.92200,5.36700,3.60700,57.57300,60.22700,0.22000,0.21000,8.48270,,23.41390,3.32760,3.32760,10.88590,11.92100,0.17870,2.12170,42.41910,2.43740,2.56050,2.13000,2.43740,,0.1478,0.1422
2015-03-31,93.48300,72.44000,21.04300,20.90000,20.90000,0.14300,3.79000,3.93000,0.50000,3.43000,1.26000,5.32400,0.00000,5.32400,1.20300,0.14300,57.52800,60.07700,0.09000,0.09000,9.76540,,22.50680,0.15300,0.15300,4.20400,5.69520,0.15800,1.92470,46.76040,1.01340,1.06610,0.89990,1.01340,,-0.00970,-0.00970
2014-12-31,101.96000,76.49000,25.47000,24.97000,24.97000,0.50000,4.89000,4.59000,0.90000,3.69000,1.33000,4.36200,0.00000,4.36200,4.14000,0.50000,51.17000,51.80400,0.09000,0.09000,9.84350,,24.19580,0.49040,0.49040,4.50180,4.27810,0.16880,2.30260,39.08590,0.81170,0.85400,0.72200,0.81170,,0.2038,0.1992
2014-09-30,88.35700,68.11000,20.24700,20.10000,20.10000,0.14700,4.77000,4.92000,0.68000,4.24000,1.29000,5.66800,0.00000,5.66800,0.16700,0.14700,50.02800,50.24400,0.11000,0.11000,10.02460,,22.90710,0.16640,0.16640,5.56830,6.41490,0.14670,1.92080,46.85540,1.05560,1.11290,0.94110,1.05560,,0.185,0.1784
2014-06-30,82.02500,60.62000,21.40500,18.38000,18.38000,3.02500,6.34000,9.35000,1.17000,8.18000,1.29000,8.89900,0.00000,8.89900,4.84500,3.02500,50.01400,50.30300,0.18000,0.18000,8.55490,,26.07740,3.68790,3.68790,11.39900,10.84910,0.13700,1.26820,70.96860,1.69370,1.78940,1.48600,1.69360,,0.2679,0.2642
2014-03-31,74.99600,55.09000,19.90600,17.77000,17.77000,2.13600,4.76000,6.88000,1.16000,5.72000,1.03000,7.19100,0.00000,7.19100,3.91600,2.13600,49.94500,50.16700,0.14000,0.14000,9.54550,,26.53480,2.84820,2.84820,9.17380,9.58850,0.12880,1.21470,74.09200,1.39490,1.44180,1.23480,1.39490,,0.15730,0.15290
2013-12-31,83.74200,62.96000,20.78200,21.29000,21.29000,-0.50800,3.27000,5.65000,1.77000,3.88000,0.68000,4.08100,0.00000,4.08100,1.40200,-0.50800,49.94300,49.94300,0.08000,0.08000,10.48360,,28.27730,-0.60660,-0.60660,6.74690,4.87330,0.14400,2.54070,35.42310,0.78510,0.81290,0.70170,0.78510,,0.3032,0.2965
2013-09-30,70.36500,51.85000,18.51500,18.22000,18.22000,0.29500,4.10000,4.40000,0.77000,3.63000,1.01000,4.73700,0.00000,4.73700,2.08500,0.29500,49.94300,49.94300,0.09000,0.09000,11.52550,,26.30570,0.41920,0.41920,6.25310,6.73200,0.12480,1.50260,59.89770,0.93190,0.96630,0.83990,0.93180,,0.151,0.1451
2013-06-30,68.64300,51.00000,17.64300,17.60000,17.60000,0.04300,3.77000,3.80000,0.94000,2.86000,0.86000,3.41000,0.00000,3.41000,1.94300,0.04300,49.94300,50.10600,0.07000,0.07000,11.85620,,25.68360,0.06260,0.06260,5.53590,4.96770,0.12380,1.49480,60.20720,0.68070,0.70700,0.61490,0.68060,,0.1672,0.0786
2013-03-31,64.60700,47.84000,16.76700,16.50000,16.50000,0.26700,3.48000,3.74000,1.00000,2.74000,0.85000,3.38600,0.00000,3.38600,2.08700,0.26700,49.94300,50.11200,0.07000,0.07000,10.75650,,25.94150,0.41330,0.41330,5.78880,5.24090,0.11810,1.36240,66.05790,0.69070,0.71850,0.61880,0.69070,,-0.02690,-0.04450
2012-12-31,69.95500,51.66000,18.29500,19.57000,19.57000,-1.27500,3.54000,4.69000,1.63000,3.06000,0.14000,3.21900,0.00000,3.21900,0.41500,-1.27500,50.07800,50.27400,0.06000,0.06000,9.40040,,29.63330,-1.82260,-1.82260,6.70430,4.60150,0.12820,2.22080,40.52610,0.66670,0.69480,0.58970,0.66670,,0.0743,0.0612
2012-09-30,64.12600,46.82000,17.30600,16.84000,16.84000,0.46600,4.06000,4.53000,2.02000,2.51000,0.73000,3.66000,0.00000,3.66000,2.12600,0.46600,50.12800,50.17500,0.07000,0.07000,10.26610,,26.97810,0.72670,0.72670,7.06420,5.70750,0.11780,2.12550,42.34320,0.75430,0.78650,0.67220,0.75430,,0.1977,0.1931
2012-06-30,64.52500,41.91000,22.61500,19.80000,19.80000,2.81500,3.88000,6.69000,2.26000,4.43000,0.77000,5.17000,0.00000,5.17000,4.43500,2.81500,50.12800,50.21600,0.10000,0.10000,10.74790,,35.04070,4.36270,4.36270,10.36810,8.01240,0.12160,2.11560,42.54170,1.08860,1.13710,0.97460,1.08850,,0.2253,0.2125
2012-03-31,53.56800,33.89000,19.67800,13.52000,13.52000,6.15800,3.70000,9.84000,2.17000,7.67000,0.71000,8.67200,0.00000,8.67200,7.86800,6.15800,50.12800,50.40300,0.17000,0.17000,10.48030,,36.70100,11.49570,11.49570,18.36920,16.18880,0.10240,1.91250,47.05980,1.85580,1.94330,1.65720,1.85580,,0.00650,0.00180
2011-12-31,66.50900,41.18000,25.32900,21.70000,21.70000,3.62900,-163.30000,-155.25000,3.23000,-158.48000,0.99000,-109.46000,-4.71900,-114.17900,5.80900,3.62900,50.12600,50.12600,-2.28000,-2.28000,8.82880,,44.74580,5.45640,5.45640,-233.42700,-171.67450,0.12760,2.51640,35.76510,-23.93090,-25.12160,-20.99790,-23.92990,,0.5505,0.5402
2011-09-30,60.15600,30.24000,29.91600,18.51000,18.51000,11.40600,3.59000,14.99000,3.49000,11.50000,0.46000,12.25600,0.00000,12.25600,13.57600,11.40600,50.11800,50.95200,0.25000,0.24000,11.33720,,49.72070,18.96070,18.96070,24.91860,20.37370,0.09150,1.47120,61.17600,2.00460,2.87500,1.86470,2.00450,,0.2408,0.2344
2011-06-30,61.99000,31.74000,30.25000,14.19000,14.19000,16.06000,2.07000,18.13000,3.52000,14.61000,0.47000,15.50900,0.00000,15.50900,18.13000,16.06000,50.02900,50.02900,0.31000,0.30000,11.28090,,48.78210,25.90740,25.90740,29.24670,25.01860,0.09730,1.74330,51.62770,2.61830,3.74930,2.43510,2.61830,,0.4151,0.3743
2011-03-31,47.91000,23.44000,24.47000,10.91000,10.91000,13.56000,1.45000,15.00000,3.11000,11.89000,0.34000,12.76600,24.01400,36.78000,15.69000,13.56000,50.21800,51.32500,0.73000,0.72000,12.44420,,51.05410,28.30310,28.30310,31.30870,76.76890,0.07880,1.46690,61.35250,2.24350,3.25950,2.10010,2.24350,,0.35110,0.34510
2010-12-31,68.03400,80.37000,-12.33600,-29.79000,-29.79000,17.45400,1.83900,22.99000,3.99000,19.00000,0.51000,18.46500,0.00000,18.46500,17.45400,17.45400,48.46500,49.77100,0.38000,0.37000,7.98470,,-12.68480,25.65480,25.65480,33.79190,27.14080,0.11650,1.84670,48.73450,3.46520,5.49700,3.16180,3.46510,,1.1161,1.0462
2010-09-30,58.02700,26.96000,31.06700,13.27000,13.27000,17.79700,1.08000,18.87000,3.20000,15.67000,0.37000,16.41000,0.00000,16.41000,17.79700,17.79700,49.94000,51.59900,0.33000,0.32000,7.75210,,53.52680,30.67020,30.67020,32.51940,28.27990,0.10500,1.32480,67.93390,3.27480,4.90380,2.96880,3.27470,,0,0
2010-06-30,53.94400,,53.94400,38.13000,,15.81400,5.03000,20.84000,4.10000,16.74000,0.56000,17.30300,0.00000,17.30300,15.81400,15.81400,45.62800,47.56200,0.38000,0.36000,4.78720,,99.99260,29.31560,29.31560,38.63270,32.07590,0.12740,1.68730,53.33870,4.70180,8.24230,4.08510,4.70150,,0,0
2010-03-31,41.30700,,41.30700,30.66000,,10.64700,2.43000,13.08000,3.36000,9.72000,0.51000,9.86700,0.00000,9.86700,10.64700,10.64700,45.62500,47.12700,0.22000,0.21000,7.28470,,99.98310,25.77530,25.77530,31.66530,23.88700,0.11020,1.26790,70.98560,2.91740,4.29040,2.63130,2.91730,,0.00000,
2009-12-31,52.08000,25.99000,26.09000,10.00000,10.00000,16.09000,1.11900,17.28000,4.17000,13.11000,0.11000,13.21600,0.00000,13.21600,16.09000,16.09000,43.90700,43.90700,0.30000,0.29000,5.11690,,50.23040,30.89480,30.89480,33.17970,25.37630,0.13960,1.95790,45.96770,4.12560,5.74830,3.54340,4.12550,,0.8661,0.7136
2009-09-30,43.62700,20.46000,23.16700,10.31000,10.31000,12.85700,1.11000,13.96000,3.12000,10.84000,,11.26900,0.00000,11.26900,12.85700,12.85700,45.62300,45.62300,0.25000,0.24000,8.47810,0.00000,53.08640,29.47030,29.47030,31.99850,25.83030,0.12850,2.09850,42.88860,3.69210,4.59680,3.31860,3.69190,,-0.3092,-0.2089
2009-06-30,41.80000,20.70000,21.10000,9.06000,9.06000,12.04000,3.20000,15.26000,4.45000,10.81000,0.00000,12.40000,0.00000,12.40000,12.04000,12.04000,45.75600,45.75600,0.27000,0.27000,4.72970,0.00000,50.52630,28.80380,28.80380,36.50720,29.66510,0.11590,2.25950,39.83250,4.65820,6.02640,3.43700,4.65820,,0.3092,0.2089
2009-03-31,31.60000,17.80000,13.80000,7.07000,7.07000,6.73000,1.55000,8.27000,2.26000,6.01000,,6.70000,0.00000,6.70000,6.73000,6.73000,45.89000,45.89000,0.15000,0.15000,11.38560,,43.63920,21.29750,21.29750,26.17090,21.20250,0.10450,2.93410,30.67410,2.54350,2.70850,2.21650,2.54360,,0.00000,
