Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,33.80400,33.80400,24.49400,9.31000,1.57900,10.88900,2.29300,8.59600,8.59600,5.08300,10.29100,9.31000,9.67400,9.69000,0.53000,0.53000,1.21380,0.07940,100.00000,27.54110,27.54110,32.21220,15.03670,0.14740,3.81970,23.56230,7.35910,29.42930,3.74850,7.35910,8.07630,2.3362,2.3074
2021-09-30,33.46100,33.46100,25.28000,8.18100,-0.04800,8.13300,1.77900,6.35400,6.35400,3.72300,9.16100,8.18100,9.67000,9.69100,0.38000,0.38000,1.12820,0.09300,100.00000,24.44940,24.44940,24.30590,11.12640,0.15720,3.56500,25.24550,5.78560,29.46030,2.98430,5.78560,7.59090,2.0317,2.0076
2021-06-30,33.10100,33.10100,25.75900,7.34200,-0.08700,7.25500,1.59400,5.66100,5.66100,3.33500,8.33600,7.34200,9.66300,9.67800,0.35000,0.35000,1.06820,0.10520,100.00000,22.18060,22.18060,21.91780,10.07520,0.16330,3.51200,25.62610,5.34170,33.17510,2.79190,5.34170,7.33310,1.8159,1.7897
2021-03-31,31.23700,31.23700,25.54900,5.68800,-0.09600,5.59200,1.25700,4.33500,4.33500,2.55200,6.65600,5.68800,9.65200,9.66000,0.26000,0.26000,1.28120,0.11440,100.00000,18.20920,18.20920,17.90190,8.16980,0.16250,3.63690,24.74660,4.12330,27.85450,2.25520,4.12330,7.28680,-1.61430,-1.62900
2020-12-31,28.41500,28.41500,25.05400,3.36100,1.00100,4.36200,0.83600,3.52600,3.52600,1.87900,4.33400,3.36100,9.50300,9.51100,0.19000,0.19000,1.00170,0.12440,100.00000,11.82830,11.82830,15.35100,6.61270,0.13290,3.40670,26.41880,3.41010,26.77090,1.64920,3.41010,7.19400,1.7635,1.7452
2020-09-30,27.18200,27.18200,22.23300,4.94900,-0.11000,4.83900,1.35900,3.48000,3.48000,2.05900,5.91700,4.94900,9.53200,9.54100,0.22000,0.22000,1.13380,0.13660,100.00000,18.20690,18.20690,17.80220,7.57490,0.13510,3.14530,28.61380,3.44850,34.72360,1.72920,3.44850,7.02100,1.524,1.5143
2020-06-30,24.02100,24.02100,22.66400,1.35700,-0.12200,1.23500,0.45300,0.78200,0.78200,0.49000,2.37700,1.35700,9.51200,9.52100,0.05000,0.05000,0.91730,0.14570,100.00000,5.64920,5.64920,5.14130,2.03990,0.12410,2.74490,32.78760,0.77870,8.82320,0.40410,0.77870,6.98710,1.144,1.1246
2020-03-31,28.36500,28.36500,15.75100,12.61400,-0.17800,12.43600,2.74600,9.69000,9.69000,5.53200,13.62100,12.61400,9.39100,9.39600,0.59000,0.59000,0.94900,0.14890,100.00000,44.47030,44.47030,43.84280,19.50290,0.15000,4.07480,22.08670,9.33580,83.99070,5.12260,9.33580,7.22750,-1.60890,-1.62730
2019-12-31,27.83800,27.83800,23.69500,4.14300,1.54600,5.68900,1.49600,4.19300,4.19300,2.42000,5.11800,4.14300,8.79700,8.79900,0.26000,0.26000,0.84760,0.16760,100.00000,14.88250,14.88250,20.43610,8.69320,0.12990,3.10760,28.96110,4.28700,86.52510,1.95710,4.28700,6.81060,1.7019,1.672
2019-09-30,27.84500,27.84500,21.54400,6.30100,0.02300,6.32400,1.50100,4.82300,4.82300,2.65300,7.27400,6.30100,8.87100,8.87300,0.30000,0.30000,0.81060,0.18170,100.00000,22.62880,22.62880,22.71140,9.52770,0.13710,3.14030,28.65970,5.06430,307.58760,2.37470,5.06430,6.63150,1.3737,1.2982
2019-06-30,23.89700,23.89700,19.46700,4.43000,0.07900,4.50900,1.15800,3.35100,3.35100,1.86400,5.16200,4.43000,8.58500,8.58700,0.22000,0.22000,2.28260,0.00190,100.00000,18.53790,18.53790,18.86850,7.80010,0.15800,3.51940,25.57230,4.06040,7.28830,2.21500,4.06040,6.13270,1.5157,1.2133
2019-03-31,22.57200,22.57200,18.57300,3.99900,0.06900,4.06800,1.02300,3.04500,3.04500,1.70900,4.51000,3.99900,8.51900,8.52300,0.20000,0.20000,2.67630,0.00220,100.00000,17.71660,17.71660,18.02230,7.57130,0.15410,3.55350,25.32700,3.66690,6.59910,2.07920,3.66690,6.17210,-2.45750,-2.48300
2018-12-31,24.83300,24.83300,19.59400,5.23900,1.51600,6.75500,1.52300,5.23200,5.23200,2.90000,5.83900,5.23900,8.29900,8.30300,0.35000,0.35000,1.56840,,100.00000,21.09690,21.09700,27.20170,11.67800,0.18620,3.09560,29.07340,6.34960,11.05240,3.92310,6.34960,6.12540,1.7085,1.5728
2018-09-30,24.93200,24.93200,19.76600,5.16600,0.04000,5.20600,1.31300,3.89300,3.89300,2.16200,5.76500,5.16600,8.32200,8.32600,0.26000,0.26000,1.57650,,100.00000,20.72040,20.72040,20.88080,8.67160,0.20660,3.13650,28.69450,5.00460,9.20160,3.22530,5.00460,5.78230,1.8507,1.8384
2018-06-30,24.57700,24.57700,19.12400,5.45300,0.07100,5.52400,1.33100,4.19300,4.19300,2.33700,6.07300,5.45300,8.28800,8.29300,0.28000,0.28000,1.65350,,100.00000,22.18740,22.18740,22.47630,9.50890,0.22590,2.76330,32.56950,5.57710,10.67440,3.85450,5.57710,5.69130,1.7679,1.7218
2018-03-31,24.33100,24.33100,19.03700,5.29400,0.04700,5.34100,1.29100,4.05000,4.05000,2.23100,5.90700,5.29400,8.18700,8.19300,0.27000,0.27000,1.80840,0.01010,100.00000,21.75830,21.75830,21.95140,9.16940,0.24290,2.63780,34.11940,5.45210,10.66860,4.04400,5.45210,5.62710,-1.85160,-1.86900
2017-12-31,24.47100,24.47100,19.31900,5.15200,5.92400,11.07600,9.15900,1.91700,1.91700,-0.08000,5.90200,5.15200,8.11000,8.11700,-0.01000,-0.01000,1.42800,0.01030,100.00000,21.05350,21.05350,45.26170,-0.32690,0.20850,2.59340,34.70390,2.65810,5.41940,1.63340,2.65810,5.46310,1.9373,1.9101
2017-09-30,22.84500,22.84500,17.52900,5.31600,0.00200,5.31800,1.60400,3.71400,3.71400,1.87200,6.02000,5.31600,8.11900,8.12500,0.23000,0.23000,1.23160,0.01040,100.00000,23.26990,23.26990,23.27860,8.19440,0.20850,3.53750,25.44190,5.26050,11.12040,3.39020,5.26050,5.34820,1.5934,1.5824
2017-06-30,22.09100,22.09100,16.93700,5.15400,-0.01500,5.13900,1.53900,3.60000,3.60000,1.85800,5.83600,5.15400,8.10470,8.11190,0.23000,0.23000,1.16890,0.02420,100.00000,23.33080,23.33080,23.26290,8.41070,0.21740,4.04230,22.26470,5.26430,11.71650,3.54310,5.26430,5.27660,1.5059,1.4566
2017-03-31,21.95100,21.95100,17.20400,4.74700,-0.01500,4.73200,1.43200,3.30000,3.30000,1.68700,5.41200,4.74700,8.07860,8.08920,0.21000,0.21000,1.17470,0.03580,100.00000,21.62540,21.62540,21.55710,7.68530,0.23010,3.79840,23.69410,4.87950,11.18080,3.45930,4.87950,5.22640,-1.39170,-1.40320
2016-12-31,21.19200,21.19200,17.86600,3.32600,0.25800,3.58400,1.09700,2.48700,2.48700,1.28600,3.97800,3.32600,8.03120,8.03820,0.15000,0.15000,1.03610,0.03760,100.00000,15.69460,15.69460,16.91200,6.06830,0.18870,3.37990,26.62800,3.76340,9.03970,2.21500,3.76340,5.10700,1.0796,1.0256
2016-09-30,20.47000,20.47000,16.28900,4.18100,-0.24700,3.93400,1.04100,2.89300,2.89300,1.49600,4.85200,4.18100,8.03860,8.04920,0.19000,0.19000,0.97890,0.04020,100.00000,20.42500,20.42500,19.21840,7.30830,0.19960,4.53680,19.83780,4.56050,11.85850,2.82110,4.56050,4.90230,1.5203,1.5086
2016-06-30,19.33700,19.33700,15.83200,3.50500,0.06100,3.56600,1.46000,2.10600,2.10600,0.92600,4.18100,3.50500,8.02800,8.03500,0.12000,0.12000,0.88000,0.05790,100.00000,18.12590,18.12590,18.44130,4.78870,0.20230,4.51480,19.93430,3.39600,9.36500,2.20330,3.39600,4.88350,0.9645,0.9462
2016-03-31,19.26300,19.26300,15.63900,3.62400,-0.04000,3.58400,1.08800,2.49600,2.49600,1.30700,4.28900,3.62400,7.99600,7.99600,0.16000,0.16000,0.90080,0.07080,100.00000,18.81330,18.81330,18.60560,6.78500,0.20500,4.03500,22.30490,3.95590,10.81320,2.65670,3.95590,4.97210,-1.32780,-1.33380
2015-12-31,19.21100,19.21100,15.26400,3.94700,0.22100,4.16800,2.00300,2.16500,2.16500,0.87400,4.62800,3.94700,7.85500,7.85500,0.11000,0.11000,0.85700,0.07320,100.00000,20.54550,20.54550,21.69590,4.54950,0.17750,4.26720,21.09100,3.51250,10.01200,2.00070,3.51250,4.85900,0.9193,0.9127
2015-09-30,19.95300,19.95300,15.68400,4.26900,-0.05200,4.21700,1.43400,2.78300,2.78300,1.32600,5.02700,4.26900,7.87700,7.87700,0.17000,0.17000,0.79120,0.08650,100.00000,21.39530,21.39530,21.13470,6.64560,0.19570,4.98450,18.05590,4.67430,14.63270,2.72990,4.67430,4.69360,1.3415,1.334
2015-06-30,18.54600,18.54600,13.94300,4.60300,0.95800,5.56100,2.23400,3.32700,3.32700,1.72100,5.06300,4.60300,7.82200,7.82200,0.22000,0.22000,0.70950,0.10530,100.00000,24.81940,24.81940,29.98490,9.27960,0.19240,4.81840,18.67840,5.67560,18.89050,3.45170,5.67560,4.62110,1.1255,1.1111
2015-03-31,17.42800,17.42800,13.29000,4.13800,-0.03000,4.10800,1.29800,2.81000,2.81000,1.40300,4.59800,4.13800,7.77100,7.77100,0.18000,0.18000,0.87960,0.07450,100.00000,23.74340,23.74340,23.57130,8.05030,0.20410,3.93410,22.87700,5.14900,11.84550,3.29100,5.14900,4.39580,-1.31850,-1.33930
2014-12-31,17.70900,17.70900,14.90100,2.80800,2.07100,4.87900,2.13300,2.74600,2.74600,1.12200,3.28700,2.80800,7.60100,7.60100,0.14000,0.14000,0.81620,0.07820,100.00000,15.85630,15.85630,27.55100,6.33580,0.17760,3.90580,23.04250,5.17510,12.54630,2.75440,5.17510,4.31820,1.2443,1.2014
2014-09-30,17.81700,17.81700,13.34100,4.47600,-0.08800,4.38800,1.46500,2.92300,2.92300,1.35800,4.98300,4.47600,7.58400,7.58400,0.18000,0.18000,0.77140,0.22320,100.00000,25.12210,25.12210,24.62820,7.62190,0.18460,3.50660,25.66590,5.86310,15.94130,3.02880,5.86310,4.07700,1.1104,1.1044
2014-06-30,17.22600,17.22600,12.98300,4.24300,-0.11200,4.13100,1.33300,2.79800,2.79800,1.35100,4.74400,4.24300,7.52300,7.52300,0.18000,0.18000,0.69950,0.22660,100.00000,24.63140,24.63140,23.98120,7.84280,0.19080,4.20350,21.41070,5.67850,16.08420,3.09950,5.67850,4.02960,0.8947,0.8599
2014-03-31,16.72000,16.72000,12.92500,3.79500,-0.09900,3.69600,1.45500,2.24100,2.24100,0.94400,4.27600,3.79500,7.52300,7.52300,0.13000,0.13000,0.69360,0.22540,100.00000,22.69740,22.69740,22.10530,5.64590,0.19210,3.84370,23.41510,4.51060,12.84540,2.57470,4.51060,4.06140,-0.57200,-0.57560
2013-12-31,17.15700,17.15700,15.41100,1.74600,2.90000,4.64600,0.65800,3.98800,3.98800,2.02500,2.23500,1.74600,8.14500,8.37400,0.51000,0.48000,0.73090,0.23470,100.00000,10.17660,10.17660,27.07930,11.80280,0.17030,3.17430,28.35290,8.27990,25.65450,3.95920,8.27990,4.01780,-0.5683,-0.5876
2013-09-30,14.73700,14.73700,11.55000,3.18700,-0.11500,3.07200,0.82300,2.24900,2.24900,0.73400,3.68800,3.18700,5.36300,5.36300,0.14000,0.14000,1.22850,0.34490,100.00000,21.62590,21.62590,20.84550,4.98070,0.18930,3.74990,24.00080,5.26330,19.48870,2.88830,5.26330,3.56950,2.38,2.3721
2013-06-30,14.47200,14.47200,8.64700,5.82500,-0.02000,5.80500,0.33800,5.46700,5.46700,5.46700,6.33000,5.82500,10.90900,11.14600,0.50000,0.49000,0.99590,0.48420,100.00000,40.25010,40.25010,40.11190,37.77640,0.12660,0.27560,326.56090,15.94200,202.40650,4.78180,15.94200,3.04830,0.6413,0.6381
2013-03-31,13.68500,13.68500,7.91100,5.77400,0.01900,5.79300,0.32900,5.46400,5.46400,5.46400,6.22300,5.77400,10.33900,10.57700,0.53000,0.52000,,,100.00000,42.19220,42.19220,42.33100,39.92690,,,,,,,,,0.69810,0.69560
2012-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,-1.3446,-1.3311
2012-09-30,12.75900,12.75900,7.82100,4.93800,0.01000,4.94800,0.29000,4.65800,4.65800,4.65800,5.42700,4.93800,10.54700,10.69400,0.44000,0.44000,,,100.00000,38.70210,38.70210,38.78050,36.50760,,,,,,,,,1.3446,1.3311
2012-06-30,12.90700,12.90700,7.47500,5.43200,-0.07200,5.36000,0.24600,5.11400,5.11400,5.11400,5.43200,5.43200,,,,0.00000,,,100.00000,42.08570,42.08570,41.52790,39.62190,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
