Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-09-30,3.48750,3.48750,5.46270,-0.36110,-2.78690,-0.10570,-2.89260,-2.89260,-2.89260,,-2.89260,-2.33630,-2.78690,0.84320,0.84320,-2.10210,-2.10210,2.52440,0.00790,0.06420,100.00000,-79.91080,-79.91080,-82.94290,-82.94290,0.11960,3.01840,29.81750,-14.81520,-26.24470,-9.91860,-14.69790,23.15490,-1.6361,-1.7754
2021-06-30,3.46550,3.46550,5.09660,-0.33990,-2.41280,-0.12600,-2.53870,-2.53870,-2.53870,,-2.53870,-1.97100,-2.41280,0.83730,0.83730,-3.00300,-3.00300,2.99060,0.00840,0.09260,100.00000,-69.62190,-69.62190,-73.25730,-73.25730,0.10650,2.58550,34.80890,-11.34470,-18.64170,-7.80380,-11.24910,26.53900,-1.2651,-1.4056
2021-03-31,3.06430,3.06430,4.34970,-0.34550,-2.05310,-0.17630,-2.22940,-2.22940,-2.22940,,-2.22940,-1.63090,-2.05310,0.44790,0.44790,-5.10510,-5.10510,2.77220,0.00970,0.12460,100.00000,-67.00310,-67.00310,-72.75580,-72.75580,0.09110,1.65980,54.22330,-9.76420,-15.95860,-6.62970,-9.66940,28.56110,-3.90730,-4.05140
2020-12-31,3.46320,3.46320,4.12620,-0.47400,-1.52510,1.50040,-0.02480,-0.02480,-0.02480,,-0.34850,-0.89980,-1.52510,0.36800,0.36800,,0.00000,0.79950,0.20440,0.58270,100.00000,-44.03800,-44.03800,-0.71550,-10.06430,0.17540,2.28790,39.33660,-0.31710,2.95290,-0.12550,-0.25230,18.40660,-6.091,-6.2999
2020-09-30,3.47780,3.47780,3.92690,-0.42860,-1.30780,-0.16460,-1.47240,-1.47240,-1.47240,,-1.42970,-0.87760,-1.30780,0.39430,0.39430,-3.60360,-3.60360,0.62780,0.29560,0.71810,100.00000,-37.60240,-37.60240,-42.33660,-41.10760,0.17950,2.42620,37.09520,-22.68090,61.47120,-7.59980,-15.97640,16.46530,-1.3947,-1.4973
2020-06-30,2.57260,2.57260,3.83900,0.01060,-1.70950,-0.26570,-1.97510,-1.97510,-1.97510,,-2.03070,-1.25580,-1.70950,0.33910,0.33910,-6.00600,-6.00600,0.55790,0.14000,0.73950,100.00000,-66.44930,-66.44930,-76.77550,-78.93590,0.11770,1.72670,52.12220,-24.92620,164.85560,-9.03500,-21.43590,20.09740,-5.1865,-5.1947
2020-03-31,3.32160,3.32160,4.48520,-0.37980,-1.99390,-0.07620,-2.07010,-2.07010,-2.07010,,-1.73350,-1.54350,-1.99390,0.32000,0.32000,-5.40540,-5.40540,0.38140,0.04990,0.62750,100.00000,-60.03050,-60.03050,-62.32470,-52.19080,0.15740,2.33730,38.50660,-28.42550,113.10570,-9.80950,-27.00730,21.85040,-3.61570,-3.63840
2019-12-31,4.24350,4.24350,4.66120,-0.22590,-1.09160,0.08010,-1.01280,-1.01280,-1.01280,,-1.44830,-0.64360,-1.09160,0.25820,0.25820,-4.50450,-4.50450,0.42490,0.21510,0.46560,100.00000,-25.72290,-25.72290,-23.86600,-34.12980,0.20780,3.37240,26.68750,-12.75960,79.59000,-4.96010,-10.01460,26.74260,-5.7239,-7.3317
2019-09-30,4.35590,4.35590,4.62050,-0.95050,-1.63750,-0.07440,-1.71190,-1.71190,-1.71190,,-1.54900,-1.21510,-1.63750,0.27860,0.27860,-5.70570,-5.70570,0.36470,0.22340,0.48130,100.00000,-37.59230,-37.59230,-39.30100,-35.56010,0.20730,5.60080,16.06910,-22.05440,99.77630,-8.14520,-17.12680,27.58580,-3.8133,-4.8413
2019-06-30,3.75680,3.75680,4.54390,-0.92780,-2.11200,-0.08590,-2.19650,-2.19650,-2.19650,,-1.90080,-1.71500,-2.11200,0.26990,0.26990,-6.90690,-6.90690,0.65400,0.18440,0.40610,100.00000,-56.21770,-56.21770,-58.46800,-50.59600,0.16760,3.41060,26.38810,-23.65040,587.01900,-9.80190,-19.28850,33.53380,-1.6847,-2.9123
2019-03-31,2.76980,2.76980,3.39280,-0.43610,-1.34460,-0.68580,-2.03040,-2.03040,-2.03040,,-1.59920,-1.05910,-1.34460,0.19710,0.19710,-8.10810,-8.10810,0.63540,0.04790,0.51310,100.00000,-48.54540,-48.54540,-73.30460,-57.73600,0.15400,4.16470,21.61040,-28.65230,-221.29500,-11.28620,-27.27950,29.34020,-4.53570,-4.75090
2018-12-31,3.27200,3.27200,4.00300,-0.50830,-0.83750,-0.05170,-0.88900,-0.88900,-0.88900,0.00000,-0.93700,-0.73130,-0.83750,0.15100,0.15100,0.00000,0.00000,0.04830,-0.11370,-1.33700,100.00000,-25.59600,-25.59600,-27.16990,-28.63690,0.29540,10.77630,8.35170,22.60840,8.68870,-8.02720,25.17820,-26.04390,-1.2896,4.1826
2018-09-30,2.52560,2.52560,2.97370,-0.33990,-1.21220,-0.04370,-1.25590,-1.25590,-1.25590,,-0.97970,-0.78790,-1.21220,0.15100,0.15100,-6.60660,-6.60660,,,,100.00000,-47.99710,-47.99710,-49.72740,-38.78900,,,,,,,,,-5.8478,-5.847
2018-06-30,0.63470,0.63470,1.41470,-0.04860,-0.91780,-0.03220,-0.95000,-0.95000,-0.95000,,-0.73200,-0.82860,-0.91780,0.15100,0.15100,-4.80480,-4.80480,,,,100.00000,-144.60420,-144.60420,-149.67020,-115.32200,,,,,,,,,-1.0189,-9.0642
2018-03-31,0.26790,0.26790,0.78340,-0.03710,-0.58400,-0.10590,-0.68990,-0.68990,-0.68990,,-0.40470,-0.55270,-0.58400,0.15100,0.15100,-2.70270,-2.70270,,,,100.00000,-218.01660,-218.01660,-257.54990,-151.07690,,,,,,,,,-3.81860,-11.71110
2017-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
