Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,364.69000,364.69000,273.30600,91.38400,24.45800,115.84200,12.23500,103.60700,103.60700,41.81500,103.19000,91.38400,49.83400,53.60000,0.49000,0.50000,0.07460,0.03450,100.00000,25.05800,25.05800,31.76450,11.46590,0.08710,10.68190,8.42550,5.67920,12.25160,2.47380,5.67920,16.84660,1.038,1.0254
2021-12-31,410.46500,410.46500,292.73200,117.73300,24.34700,142.08000,15.78700,126.29300,126.29300,48.34600,129.51400,117.73300,57.87600,61.48300,0.84000,0.83000,0.08420,0.03450,100.00000,28.68280,28.68280,34.61440,11.77840,0.10170,12.57510,7.15700,6.94660,15.29560,3.12870,6.94660,16.79760,0.0082,0.0103
2021-09-30,281.76500,281.76500,173.40100,108.36400,5.35300,113.71700,-14.14500,127.86200,127.86200,62.07400,110.81000,108.36400,41.74500,45.90800,1.49000,1.45000,0.10900,0.06500,100.00000,38.45900,38.45900,40.35880,22.03040,0.07350,8.22340,10.94440,7.38340,17.54780,3.33710,7.38340,16.01580,1.1857,1.1848
2021-06-30,308.60500,308.60500,173.72400,134.88100,6.06100,140.94200,14.42300,126.51900,126.51900,41.65000,136.06100,134.88100,39.04200,42.88500,1.07000,1.06000,0.34530,,100.00000,43.70670,43.70670,45.67070,13.49620,0.19020,7.34700,12.24980,16.62240,16.88110,7.79650,16.62240,8.02750,1.76590,1.73800
2021-03-31,359.06600,359.06600,205.12200,153.94410,8.92200,162.86600,11.67100,151.19500,151.19500,37.84600,159.13810,153.94400,29.65800,33.27500,1.27000,1.22000,0.33800,,100.00000,42.87350,42.87350,45.35820,10.54010,0.27190,11.18730,8.04490,22.91900,23.35380,11.44750,22.91900,6.95750,0.8086,0.8014
2020-12-31,247.15000,247.15000,136.43200,110.71800,6.21700,116.93500,9.54600,107.38900,107.38900,25.57800,112.10800,110.71800,29.23800,32.70500,0.87000,0.87000,0.48190,,100.00000,44.79790,44.79790,47.31340,10.34920,0.24840,8.94180,10.06510,20.10510,20.61130,10.79480,20.10510,5.63330,0.8441,0.839
2020-09-30,242.91300,242.91300,133.12500,109.78800,-0.53800,109.25000,0.88100,108.36900,108.36900,-0.79000,110.98300,109.78800,29.23800,29.23800,-0.03000,-0.03000,0.48960,,100.00000,45.19640,45.19640,44.97500,-0.32520,0.29710,8.83770,10.18370,25.53490,26.40290,13.25250,25.53490,4.47590,2.8341,2.8086
2020-06-30,-61.41300,-61.41300,-15.13200,-46.28100,-4.92100,-51.20200,1.15800,-52.36000,-52.36000,,-44.70900,-46.28100,,,,0.00000,,,100.00000,75.36030,75.36030,83.37320,,,,,,,,,,0.00000,
2020-03-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-12-31,71.21500,71.21500,51.40100,19.81400,-1.58300,18.23100,0.99700,17.23400,17.23400,,21.72100,19.81400,,,,0.00000,,,100.00000,27.82280,27.82280,25.60000,,,,,,,,,,0,0
2019-09-30,131.87200,131.87200,84.34300,47.52900,-0.11800,47.41100,1.05100,46.36000,46.36000,,47.52900,47.52900,,,,0.00000,,,100.00000,36.04180,36.04180,35.95230,,,,,,,,,,0,0
2019-03-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
