Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi
2021-05-31,10929.98000,10615.35000,314.62790,186.70300,,186.70000,127.92480,128.27800,256.20300,-17.46900,273.67200,273.67200,273.59100,261.85580,127.92480,1.20410,0.14940,0.50790,2.87860,1.17040,1.17040,2.34400,2.50310,0.58760,3.02100,3.42470,26.27940,4.09250,3.05740,1.47130,2.60070
2021-02-28,8320.15900,8218.43900,101.71970,161.51000,,161.51000,-59.79000,53.10000,-6.69000,31.66800,-38.35800,-38.35800,-38.22900,73.24400,-59.79000,1.18350,0.15540,0.54180,1.22260,-0.71860,-0.71860,-0.08040,-0.45950,0.44810,1.93550,3.56030,25.27870,-0.59420,-0.43990,-0.20660,-0.37150
2020-11-30,8715.64300,8537.53900,178.10350,170.66100,,170.66100,7.44240,37.59700,45.04000,-24.32900,69.36900,69.36900,69.67100,142.13440,7.44240,1.26320,0.18340,0.47590,2.04350,0.08540,0.08540,0.51680,0.79940,0.48340,2.29640,3.10800,28.95800,1.06360,0.78960,0.38470,0.64470
2020-08-31,6945.62300,6822.77400,122.84860,156.20200,,156.20300,-33.35450,36.55600,3.20400,-18.47300,21.67700,21.67700,21.46200,108.28350,-33.35350,1.27370,0.15370,0.38170,1.76870,-0.48020,-0.48020,0.04610,0.30900,0.43430,2.48810,2.93550,30.65880,0.33070,0.24580,0.13550,0.20800
2020-05-31,7241.03100,7022.67200,218.35890,180.43900,,180.43900,37.91990,32.52900,70.44900,-27.05200,97.50100,97.50100,97.64800,173.88090,37.91990,1.25550,0.16730,0.45650,3.01560,0.52370,0.52370,0.97290,1.34850,0.43030,2.49140,2.81290,31.99530,1.49630,1.11050,0.57940,0.92460
2020-02-29,6598.22600,6283.17100,315.05520,199.57000,,199.57000,115.48540,12.33900,127.82400,2.13000,125.69400,125.69400,125.44700,251.49440,115.48540,1.18490,0.16730,0.44780,4.77480,1.75020,1.75020,1.93720,1.90120,0.38760,1.71270,3.23020,27.86220,1.97630,1.45750,0.73840,1.21370
2019-11-30,7621.48500,7295.94200,325.54300,168.33100,,168.33100,157.21190,28.18900,185.40100,6.66400,178.73700,178.73700,177.88200,293.85490,157.21190,1.16060,0.16680,0.45520,4.27140,2.06270,2.06270,2.43260,2.33400,0.44270,2.16570,2.89640,31.07320,2.81080,2.07280,1.03830,1.72710
2019-08-31,8434.68400,8172.17500,262.50830,173.29300,,173.29200,89.21680,35.72000,124.93500,-52.99000,177.92500,177.92500,178.99000,228.92580,89.21630,1.19320,0.16880,0.45780,3.11220,1.05770,1.05770,1.48120,2.12210,0.51280,2.86310,3.08830,29.14260,2.80040,2.06470,1.08180,1.71620
2019-05-31,8497.94100,8274.17000,223.77150,217.52700,,217.52700,6.24410,55.33500,61.57900,6.86600,54.71300,54.71300,54.62000,136.13110,6.24410,1.12070,0.17220,0.55650,2.63320,0.07350,0.07350,0.72460,0.64270,0.48360,2.47850,2.85510,31.52300,0.89000,0.65040,0.31130,0.53840
2019-02-28,6483.53900,6056.12600,427.41310,177.76800,,177.76800,249.64500,12.21000,261.85500,13.55100,248.30400,248.30400,248.76600,383.77700,249.64500,1.18100,0.17190,0.54220,6.59230,3.85040,3.85040,4.03880,3.83690,0.38280,1.70370,2.91130,30.91460,4.04520,2.95520,1.46610,2.44710
2018-11-30,8484.28900,8013.64800,470.64110,156.14300,,156.14300,314.49800,52.73400,367.23200,20.11700,347.11500,347.11500,347.50400,452.27700,314.49800,1.14930,0.17340,0.51960,5.54720,3.70680,3.70680,4.32840,4.09590,0.50340,2.51650,3.15860,28.49370,5.75830,4.18610,2.05960,3.46010
2018-08-31,8583.98300,8192.95500,391.02830,149.42800,,168.36900,222.65920,25.67700,248.33200,7.78700,240.54500,240.54500,240.44700,360.35320,222.65720,1.12790,0.17760,0.51470,4.55530,2.59390,2.59390,2.89300,2.80110,0.52400,2.95920,3.48890,25.79640,4.07640,2.94600,1.46840,2.42300
2018-05-31,9087.32800,8841.69600,245.63180,162.42400,3.81100,158.61400,87.01860,149.82000,236.83900,55.21900,181.62000,181.62000,181.80700,215.87260,87.01860,1.10250,0.18930,0.58530,2.70300,0.95760,0.95760,2.60630,2.00070,0.53660,3.00650,4.13400,21.77090,3.07910,2.22500,1.07240,1.80390
2018-02-28,6980.15300,6845.18400,134.96880,187.55800,11.34600,176.21200,-41.24320,19.51400,-21.72900,-187.68800,165.95900,165.95900,166.00700,95.37880,-41.24320,1.07850,0.19200,0.61470,1.93360,-0.59090,-0.59090,-0.31130,2.37830,0.40860,1.87530,3.95330,22.76560,2.86240,2.05850,0.97140,1.66330
2017-11-30,8031.88400,7711.39200,320.49170,140.34600,3.78700,136.55900,183.93260,23.85500,207.78800,20.60600,187.18200,187.18200,187.64600,320.49860,183.93260,1.06980,0.19610,0.56540,3.99020,2.29000,2.29000,2.58700,2.33630,0.47850,2.53160,3.89970,23.07880,3.29910,2.35810,1.11520,1.89560
2017-08-31,8054.68000,8001.34300,53.33640,151.86700,-42.04800,193.91700,-140.58010,-9.58000,-150.15900,-43.34200,-106.81700,-106.81700,-106.94000,-5.98210,-140.57860,1.02710,0.20800,0.54050,0.66220,-1.74530,-1.74530,-1.86420,-1.32770,0.50920,3.07550,4.25690,21.14240,-1.96300,-1.38620,-0.67520,-1.09790
2017-05-31,8614.09000,8366.98800,247.10160,153.49800,-323.90100,477.40000,-230.29790,21.13900,-209.15800,-163.01800,-46.14000,-46.14000,-45.18500,-95.77590,-230.29790,1.04650,0.20660,0.70760,2.86860,-2.67350,-2.67350,-2.42810,-0.52450,0.50020,3.11730,3.16420,28.44290,-0.82470,-0.58710,-0.26790,-0.46580
2017-02-28,7320.40600,7079.66400,240.74170,157.86200,-72.37300,230.23500,10.50680,13.09000,23.59700,8.62400,14.97300,14.97300,14.56700,148.99390,10.50680,1.06740,0.20490,0.76920,3.28860,0.14350,0.14350,0.32230,0.19900,0.39450,1.88680,2.71360,33.16660,0.26190,0.18810,0.08070,0.14950
2016-11-30,8048.25000,7695.55300,352.69680,147.84900,-18.35700,166.20600,186.49070,39.06300,225.55400,16.61200,208.94200,208.94200,209.15000,326.16470,186.49070,1.04910,0.19810,0.68000,4.38230,2.31720,2.31720,2.80250,2.59870,0.43670,2.46820,2.63620,34.14020,3.67390,2.63440,1.13370,2.11260
2016-08-31,8190.55000,8040.13900,150.41060,125.01900,-49.02000,174.03900,-23.62790,17.83900,-5.78900,36.86000,-42.64900,-42.64900,-42.52200,117.32100,-23.62700,1.06350,0.20940,0.63930,1.83640,-0.28850,-0.28850,-0.07070,-0.51920,0.47310,3.39150,2.84320,31.65460,-0.75860,-0.54220,-0.24640,-0.42870
2016-05-31,7796.58800,7479.07600,317.51170,143.43600,-26.01600,169.45200,148.05960,46.46100,194.52100,4.83800,189.68300,189.68300,190.27500,284.48160,148.05960,1.11710,0.23460,0.75790,4.07240,1.89900,1.89900,2.49500,2.44050,0.42700,2.60230,2.73970,32.85080,3.37360,2.41120,1.03890,1.84560
2016-02-29,6639.33000,6550.32600,89.00390,180.80700,,180.80700,-91.80320,15.34100,-76.46200,-46.28000,-30.18200,-30.18200,-30.97900,32.93280,-91.80320,1.13170,0.24020,0.70560,1.34060,-1.38270,-1.38270,-1.15170,-0.46660,0.37250,2.18370,2.68800,33.48240,-0.54530,-0.39190,-0.16930,-0.29770
2015-11-30,7728.79200,7316.97400,411.81790,152.00400,,152.00400,259.81400,30.04100,289.85500,23.68100,266.17400,266.17400,266.47500,378.68190,259.81400,1.42130,0.13650,0.39830,5.32840,3.36160,3.36160,3.75030,3.44780,0.46900,2.34000,2.58250,34.84990,4.72700,3.41310,1.61530,2.94730
2015-08-31,7986.34100,7645.12300,341.21780,144.22500,,277.27300,63.94530,7.59000,71.53600,-59.73400,131.27010,131.27010,131.47800,179.22530,63.94530,1.52350,0.14120,0.33860,4.27250,0.80070,0.80070,0.89570,1.64630,0.52440,2.88240,2.83390,31.75800,2.38590,1.71160,0.86200,1.47000
2015-05-31,8740.90500,8429.02600,311.87890,165.34100,,165.34100,146.53810,23.97000,170.50800,-7.32700,177.83500,177.83500,178.05000,243.88510,146.53810,1.57680,0.13170,0.33590,3.56800,1.67650,1.67650,1.95070,2.03700,0.55610,2.70260,2.84370,31.64840,3.20200,2.30310,1.13130,1.99970
2015-02-28,8355.72800,8110.08400,245.64360,170.77500,,170.77500,74.86820,15.59700,90.46600,-2.43100,92.89700,92.89700,92.81400,171.61920,74.86820,1.60880,0.13230,0.34990,2.93980,0.89600,0.89600,1.08270,1.11080,0.52310,2.19340,3.32260,27.08760,1.69140,1.21280,0.58160,1.05230
2014-11-30,9499.46800,8907.44100,592.02640,161.96800,,161.96800,430.05860,5.59900,435.65800,57.32700,378.33100,378.33100,378.70300,522.05560,430.05860,1.47790,0.14470,0.36820,6.23220,4.52720,4.52720,4.58610,3.98660,0.57240,2.43370,3.17560,28.34090,6.88890,5.28510,2.27960,4.52050
2014-08-31,9990.23800,9686.67000,303.56840,154.82700,,154.82600,148.74220,-17.03200,131.71300,-67.77200,199.48500,199.48500,199.72510,269.48720,148.74220,1.50870,0.17830,0.42760,3.03870,1.48890,1.48890,1.31840,1.99920,0.65310,3.50930,3.34280,26.92340,3.78050,3.08470,1.30420,2.53460
2014-05-31,11967.40000,11460.77000,506.62400,158.85900,,158.86000,347.76460,91.82500,439.59000,59.71700,379.87300,379.87300,379.45500,426.10460,347.76460,1.56960,0.17190,0.41120,4.23340,2.90590,2.90590,3.67320,3.17070,0.80080,4.03850,3.43720,26.18390,7.17480,6.01360,2.54180,4.98010
2014-02-28,9680.27400,9238.84000,441.43460,155.77100,,155.77100,285.66310,4.66900,290.33200,29.71100,260.62100,260.62100,260.06900,362.27210,285.66310,1.50050,0.18760,0.44700,4.56010,2.95100,2.95100,2.99920,2.68660,0.67670,2.73200,3.64070,24.72070,5.11600,4.57500,1.82200,3.71670
2013-11-30,11026.12000,10625.21000,400.91600,133.14100,,133.14000,267.77540,1.89300,269.66800,26.64000,243.02800,243.02800,242.18600,343.39840,267.77540,1.49430,0.19410,0.45970,3.63610,2.42860,2.42860,2.44570,2.19650,0.75440,3.50580,3.60430,24.97020,4.90160,4.37070,1.66280,3.52210
2013-08-31,10950.98000,10645.28000,305.70410,155.69200,,155.69000,150.01460,-24.78300,125.23300,2.63300,122.60000,122.60000,122.79700,262.30460,150.01460,1.54020,0.21970,0.48450,2.79160,1.36990,1.36990,1.14360,1.12130,0.81090,3.99490,3.73060,24.12510,2.53650,2.37930,0.90790,1.85670
2013-05-31,11936.56000,11479.64000,456.91110,138.76900,,138.77000,318.14260,-38.66600,279.47600,27.14700,252.32900,252.32900,250.79600,385.58860,318.14260,1.50520,0.20620,0.47060,3.82780,2.66530,2.66530,2.34130,2.10110,0.91020,3.90780,3.40980,26.39470,5.38300,5.03970,1.92400,4.00030
2013-02-28,9882.37800,9411.73100,470.64650,134.68000,,134.68000,335.96680,-36.58000,299.38700,23.86900,275.51800,275.51800,275.08600,402.80680,335.96680,1.48910,0.21070,0.46310,4.76250,3.39970,3.39970,3.02950,2.78360,0.75060,2.59510,3.59100,25.06240,6.07470,5.67510,2.09270,4.47920
2012-11-30,11709.94000,11164.42000,545.51860,124.48200,,124.48000,421.03610,-39.13800,381.89800,36.01700,345.88100,345.88100,343.70700,485.88710,421.03610,1.40890,0.21700,0.48470,4.65860,3.59550,3.59550,3.26130,2.93520,0.82160,3.06570,3.70730,24.27650,7.92270,7.38270,2.42680,5.78090
2012-08-31,10998.36000,10475.06000,523.30180,129.93300,,129.93000,393.36620,-38.22200,355.14800,-5.73600,360.88400,360.88400,360.88810,458.76820,393.36620,1.41780,0.22950,0.50160,4.75800,3.57660,3.57660,3.22910,3.28130,0.80600,3.26940,3.06300,29.38320,8.68770,8.06750,2.64480,6.21630
2012-05-31,11022.96000,10406.70000,616.25590,129.22400,,129.22000,487.03220,-46.31400,440.71800,34.00000,406.71800,406.71800,405.06200,552.12720,487.03220,1.59440,0.24130,0.48050,5.59070,4.41830,4.41830,3.99820,3.67470,0.96070,3.94980,3.29160,27.34230,10.02270,9.29150,3.54490,7.04940
2012-02-29,8843.81200,8612.23500,231.57620,126.55600,,126.55600,105.02050,-15.16300,89.85800,10.62300,79.23500,79.23500,78.47000,168.27350,105.02050,1.54760,0.25240,0.51380,2.61850,1.18750,1.18750,1.01610,0.88730,0.77800,2.60490,3.31280,27.16770,2.07530,1.91510,0.69710,1.43180
2011-11-30,9734.15900,9094.15200,640.00680,112.52000,,112.52000,527.48730,3.36000,530.84700,41.96500,488.88200,488.88200,416.20800,587.01030,527.48730,1.50220,0.25300,0.51940,6.57490,5.41890,5.41890,5.45340,4.27570,0.80200,3.01800,3.52720,25.51620,12.98530,11.96990,4.02810,8.94110
2011-08-31,10605.19000,10241.58000,363.60940,134.28700,,134.29000,229.32520,7.18200,236.50400,-0.45300,236.95700,236.95700,206.54790,298.30220,229.32470,1.46580,0.24860,0.52010,3.42860,2.16240,2.16240,2.23010,1.94760,0.86810,3.69940,3.55870,25.29040,6.00510,5.55540,1.93960,4.17430
2011-05-31,10471.67000,10032.18000,439.48830,103.59600,,103.60000,335.89260,129.87400,465.76600,59.84900,405.91700,405.91700,358.48400,399.74360,335.89260,1.32680,0.18730,0.58170,4.19690,3.20760,3.20760,4.44790,3.42340,0.85490,3.29380,3.22980,27.86550,10.68480,9.85620,3.31390,8.01030
2011-02-28,7706.11900,7413.19600,292.92330,102.39200,,102.39200,190.53130,23.62900,214.16000,2.34100,211.81900,211.81900,194.59800,251.59220,190.53130,1.26440,0.19490,0.69690,3.80120,2.47250,2.47250,2.77910,2.52520,0.65900,2.29350,3.23870,27.78920,6.00530,5.50670,1.81150,4.43360
2010-11-30,8132.85400,7826.02800,306.82620,98.22300,,98.22300,208.60300,22.62300,231.22600,24.89100,206.33500,206.33500,201.72500,265.88200,208.60300,1.33980,0.20020,0.53590,3.77270,2.56490,2.56490,2.84310,2.48040,0.80530,3.00540,3.43330,26.21420,6.05110,5.53290,2.04320,4.42500
2010-08-31,6618.21900,6369.06300,249.15630,97.99700,,97.99700,151.15920,19.96800,171.12800,3.92000,167.20800,167.20800,154.09200,206.91920,151.16020,1.43210,0.19510,0.34630,3.76470,2.28400,2.28400,2.58570,2.32830,0.76370,3.24720,3.46850,25.94750,5.08990,4.63890,1.92940,3.73380
2010-05-31,6575.97800,6324.00000,251.97800,96.02400,,96.02400,155.95410,25.52400,181.47800,21.98300,159.49500,159.49500,145.44900,211.03510,155.95410,1.66400,0.20370,0.34590,3.83180,2.37160,2.37160,2.75970,2.21180,0.85490,3.83140,3.22560,27.90180,4.89420,4.45740,2.07340,3.54930
2010-02-28,5878.49300,5711.76800,166.72510,92.05500,,92.05500,74.66990,18.45000,93.12000,6.96100,86.15900,86.15900,82.66800,130.67090,74.66990,1.55670,0.21570,0.36380,2.83620,1.27020,1.27020,1.58410,1.40630,0.74570,2.80640,3.29740,27.29390,2.72350,2.50010,1.09300,1.96090
2009-11-30,6195.24100,5992.58000,202.66110,80.50600,,80.50600,122.15530,15.95400,138.10900,15.57400,122.53500,122.53500,119.95000,176.76730,122.15530,1.47770,0.21860,0.38840,3.27120,1.97180,1.97180,2.22930,1.93620,0.73950,3.22270,3.00370,29.96280,3.92300,3.59740,1.46270,2.81090
2009-08-31,6655.81000,6469.54500,186.26460,78.16800,,78.16900,108.09570,10.82900,118.92400,16.12600,102.79800,102.79800,97.30700,166.43770,108.09620,1.52140,0.22870,0.39570,2.79850,1.62410,1.62410,1.78680,1.46200,0.84570,4.23880,3.64150,24.71490,3.36990,3.08410,1.30620,2.37870
2009-05-31,6163.11900,6004.85100,158.26810,90.41700,,90.41700,67.85110,22.94700,90.79800,14.22600,76.57200,76.57200,64.56900,123.60710,67.85110,1.48750,0.23130,0.49160,2.56800,1.10090,1.10090,1.47320,1.04770,0.73630,2.96860,2.94900,30.51900,2.44730,2.24450,0.91480,1.72540
2009-02-28,5177.06900,4962.09200,214.97710,98.97300,,98.97300,116.00390,-0.38600,115.61800,14.02100,101.59700,101.59700,82.28000,168.08990,116.00390,1.52000,0.23950,0.42400,4.15250,2.24070,2.24070,2.23330,1.58930,0.63350,2.50350,3.39260,26.52860,3.30140,3.02360,1.24330,2.29930
