Date,revenue,gross-profit,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,28.55130,28.55130,-38.99020,-11.20900,-0.45650,-11.66560,-2.46800,-9.19750,-9.19750,,-9.19750,-10.34810,-11.20900,10.63000,10.63000,-0.87000,-0.87000,0.40020,0.33810,0.51090,100.00000,-39.25920,-39.25920,-40.85820,-32.21410,0.09270,0.47290,190.30240,-15.73300,-15.86870,-2.98720,-10.41290,5.49540,-1.63580,-1.78300
2021-12-31,43.16960,43.16960,-38.88910,3.47020,-0.45650,3.01370,0.78600,2.22770,2.22770,,2.22770,4.41950,3.47020,10.58800,10.58800,0.22000,0.22000,0.43900,0.28270,0.39410,100.00000,8.03850,8.03850,6.98100,5.16030,0.13030,0.82050,109.68290,2.94390,2.96350,0.67240,2.11160,7.21790,-0.4638,-0.6109
2021-09-30,38.95800,38.95800,-51.36040,-13.22250,-0.45650,-13.67910,-3.06080,-10.61830,-10.61830,,-10.61830,-12.30010,-13.22250,10.52400,10.52400,-1.01000,-1.01000,0.43210,0.27670,0.38260,100.00000,-33.94050,-33.94050,-35.11240,-27.25570,0.12170,1.13680,79.17300,-13.64270,-13.73090,-3.31590,-9.86730,7.42950,1.4389,1.3636
2021-06-30,39.60050,39.60050,-36.67070,2.09210,-0.45650,1.63550,0.31210,1.32340,1.32340,,1.32340,3.04920,2.09210,10.67100,10.84700,0.12000,0.12000,0.53930,0.24840,0.33050,100.00000,5.28290,5.28290,4.13000,3.34180,0.12660,1.01770,88.43690,1.47100,1.47920,0.42320,1.10560,8.51860,1.1938,1.0882
2021-03-31,39.50320,39.50320,-38.60390,0.07700,-0.45650,-0.37950,-0.06840,-0.31110,-0.31110,,-0.31110,0.97500,0.07700,10.67600,10.67600,-0.03000,-0.03000,0.47710,0.25010,0.33360,100.00000,0.19490,0.19490,-0.96080,-0.78750,0.12870,0.81870,109.93320,-0.34950,-0.35150,-0.10140,-0.26210,8.34000,0.13050,0.03360
2020-12-31,35.60430,35.60430,-32.19800,2.61220,-0.45650,2.15560,-0.88060,3.03630,3.03630,,3.03630,3.54660,2.61220,10.72100,10.73100,0.28000,0.28000,0.49650,0.24210,0.31950,100.00000,7.33670,7.33670,6.05440,8.52780,0.11210,0.62160,144.79230,3.27180,3.28950,0.95610,2.47960,8.74070,-0.0669,-0.1673
2020-09-30,34.82250,34.82250,-35.53960,-1.42730,-0.45650,-1.88380,-0.65600,-1.22790,-1.22790,,-1.22790,-0.45720,-1.42730,10.67300,10.67300,-0.12000,-0.12000,0.54560,0.24890,0.33150,100.00000,-4.09870,-4.09870,-5.40980,-3.52600,0.10640,0.50170,179.40080,-1.37480,-1.38250,-0.37510,-1.03250,8.36660,0.043,-0.0641
2020-06-30,34.68930,34.68930,-27.98880,6.02740,-0.45650,5.57080,0.96270,4.60820,4.60820,,4.60820,6.94170,6.02740,10.73300,10.73500,0.43000,0.43000,0.50920,0.24800,0.32980,100.00000,17.37540,17.37540,16.05930,13.28420,0.11220,0.63550,141.61030,5.14180,5.17070,1.48990,3.86650,8.39940,0.4818,0.4192
2020-03-31,26.25360,26.25360,-32.24040,-6.67390,-0.45650,-7.13050,-1.68630,-5.44420,-5.44420,,-5.44420,-5.83760,-6.67390,10.80800,10.80800,-0.50000,-0.50000,0.54670,0.27750,0.38400,100.00000,-25.42100,-25.42100,-27.16000,-20.73700,0.08970,0.48060,187.25030,-7.08300,-7.12940,-1.86100,-5.11780,7.12950,-1.41160,-1.45160
2019-12-31,37.16840,37.16840,-34.40540,2.09320,-0.45650,1.63670,0.18210,1.45460,1.45460,,1.45460,2.94050,2.09320,10.77400,10.77400,0.14000,0.14000,0.52320,0.25040,0.33410,100.00000,5.63180,5.63180,4.40340,3.91360,0.11570,0.69530,129.44140,1.64880,1.65820,0.45290,1.23590,8.17090,0.959,0.893
2019-09-30,38.44770,38.44770,-39.54480,-1.74330,-0.45650,-2.19980,-0.47470,-1.72520,-1.72520,,-1.72520,-0.95820,-1.74330,10.78000,10.78000,-0.16000,-0.16000,0.47770,0.25330,0.33930,100.00000,-4.53420,-4.53420,-5.72170,-4.48700,0.12880,0.93930,95.81760,-1.98900,-2.00050,-0.57810,-1.48510,8.04300,0.8109,0.7294
2019-06-30,34.60540,34.60540,-31.48540,2.49230,-0.45650,2.03580,0.39640,1.63940,1.63940,,1.63940,3.23420,2.49230,10.77200,10.78500,0.15000,0.15000,0.48860,0.25100,0.33520,100.00000,7.20210,7.20210,5.88280,4.73740,0.11950,0.75330,119.47190,1.86990,1.88070,0.56630,1.40050,8.13640,0.7503,0.6296
2019-03-31,34.89860,34.89860,-43.09480,-8.79860,-0.45650,-9.25510,-1.91990,-7.33520,-7.33520,,-7.33520,-8.03360,-8.79860,10.75800,10.75800,-0.68000,-0.68000,0.46530,0.25940,0.35020,100.00000,-25.21190,-25.21190,-26.52010,-21.01860,0.12580,0.82080,109.64810,-8.75580,-8.81740,-2.64440,-6.48480,7.77930,0.25120,0.15370
2018-12-31,29.63790,29.63790,-29.93040,-0.80560,-0.45650,-1.26210,-0.38230,-0.87980,-0.87980,,-0.87980,-0.15960,-0.80560,10.68700,10.71700,-0.09000,-0.07000,0.54590,0.24830,0.33040,100.00000,-2.71810,-2.71810,-4.25850,-2.96870,0.11110,0.73490,122.46420,-0.99230,-0.99990,-0.32980,-0.74590,8.24950,0.3941,0.3286
2018-09-30,30.88590,30.88590,-25.76800,4.67750,-0.45650,4.22100,0.28720,3.93370,3.93370,,3.93370,5.27200,4.67750,10.68100,10.79100,0.37000,0.36000,,0.24250,0.32020,100.00000,15.14450,15.14450,13.66630,12.73630,0.11730,0.80220,112.19590,4.30550,4.34140,1.49360,3.26130,8.53730,1.1361,1.0713
2018-06-30,27.54620,27.54620,-23.11310,4.00890,-0.45200,3.55700,0.79970,2.75730,2.75730,,2.75730,4.53240,4.00890,10.66500,10.82000,0.26000,0.25000,0.56520,0.24770,0.32920,100.00000,14.55360,14.55360,12.91280,10.00970,0.10790,0.65230,137.97420,3.10760,3.13730,1.07960,2.33800,8.32260,0.5146,0.4541
2018-03-31,25.70190,25.70190,-28.34460,-3.05220,-0.45650,-3.50870,-0.79080,-2.71790,-2.71790,,-2.71790,-2.48780,-3.05220,10.67000,10.67000,-0.25000,-0.25000,0.66880,0.24860,0.33080,100.00000,-11.87540,-11.87540,-13.65170,-10.57490,0.10100,0.57160,157.44080,-3.08290,-3.11560,-1.06830,-2.31660,8.26480,0.03560,-0.02850
2017-12-31,25.78320,25.78320,-23.06510,2.33860,,2.27830,0.34670,1.93160,1.93160,,1.93160,2.86650,2.33860,10.38800,10.58200,0.19000,0.18000,0.81750,0.23550,0.30800,100.00000,9.07020,9.07020,8.83620,7.49170,0.10130,0.58950,152.66970,2.04230,2.06440,0.75880,1.56150,8.89560,0.7221,0.6347
2017-09-30,24.61470,24.61470,-18.11830,6.11790,,6.11790,2.04390,4.07390,4.07390,,4.07390,6.64400,6.11790,10.62600,10.83300,0.38000,0.38000,0.65270,,,100.00000,24.85460,24.85460,24.85460,16.55080,0.11430,0.64160,140.28010,4.34240,4.39370,1.89130,4.34240,8.83160,1.2471,1.1878
2017-06-30,21.72430,21.72430,-17.66280,3.73530,,3.73530,1.22490,2.51040,2.51040,,2.51040,4.19570,3.73530,10.62250,10.82260,0.24000,0.23000,0.62740,,,100.00000,17.19410,17.19410,17.19410,11.55570,0.10310,0.45570,197.48860,2.77950,2.81630,1.19150,2.77950,8.50300,0.4724,0.4129
2017-03-31,20.64720,20.64720,-18.15020,2.17830,,2.17830,0.70770,1.47060,1.47060,,1.47060,2.62110,2.17830,9.66400,9.84800,0.15000,0.15000,0.70870,,,100.00000,10.55010,10.55010,10.55010,7.12240,0.10190,0.45650,197.15990,1.66920,1.69360,0.72550,1.66920,8.29400,0.20880,0.14810
2016-12-31,20.25150,20.25150,-16.81370,3.14820,,3.14830,1.09240,2.05580,2.05580,,2.05580,3.57660,3.14830,7.73660,7.80730,0.28000,0.28000,0.60420,,,100.00000,15.54570,15.54580,15.54580,10.15160,0.11950,0.46190,194.86190,3.62710,3.71560,1.21330,3.62710,7.15480,0.257,0.2486
2016-09-30,19.82840,19.82840,-14.30810,5.25790,,5.25790,1.79730,3.46060,3.46060,,3.46060,5.66370,5.25790,7.91100,7.97300,0.44000,0.43000,0.59560,,,100.00000,26.51720,26.51720,26.51720,17.45290,0.11700,0.46400,193.94640,6.10680,6.26550,2.04190,6.10680,7.16140,0.6952,0.6714
2016-06-30,18.91190,18.91190,-14.34190,4.28090,,4.28090,1.43860,2.84230,2.84230,,2.84230,4.64490,4.28090,7.79430,7.85330,0.36000,0.36000,0.63770,,,100.00000,22.63580,22.63580,22.63580,15.02900,0.11260,0.40580,221.78700,5.28390,5.43750,1.69250,5.28390,6.80040,0.6317,0.6149
2016-03-31,18.44490,18.44490,-17.42960,0.73140,,0.73140,0.19040,0.54100,0.54100,,0.54100,1.10790,0.73140,7.32200,7.36100,0.07000,0.07000,0.47080,,,100.00000,3.96550,3.96550,3.96550,2.93320,0.11700,0.39790,226.17300,1.17050,1.21350,0.34320,1.17050,6.31730,0.36310,0.33830
2015-12-31,17.36230,17.36230,-14.39200,2.68790,,2.68790,0.83560,1.85230,1.85230,,1.85230,3.03610,2.68790,7.33110,7.37790,0.26000,0.25000,0.64240,,,100.00000,15.48140,15.48140,15.48140,10.66840,0.11640,0.41450,217.15270,4.09100,4.25620,1.24210,4.09100,6.17780,1.0416,1.0288
2015-09-30,16.65740,16.65740,-12.92900,3.46100,,3.46100,1.11530,2.34570,2.34570,,2.34570,3.83370,3.46100,7.33400,7.38200,0.32000,0.32000,0.51040,,,100.00000,20.77760,20.77760,20.77750,14.08180,0.11520,0.37610,239.29600,5.32820,5.56550,1.62170,5.32820,6.00180,1.2679,1.1939
2015-06-30,15.54250,15.54250,-11.71050,3.58550,,3.58550,1.20630,2.37920,2.37920,,2.37920,3.90450,3.58550,7.33780,7.36300,0.32000,0.32000,0.55550,,,100.00000,23.06870,23.06870,23.06870,15.30760,0.10910,0.30260,297.44280,5.66150,5.94380,1.67010,5.66150,5.73000,0.3422,0.2807
2015-03-31,14.61360,14.61360,-13.80320,0.57470,,0.57470,0.19220,0.38250,0.38250,,0.38250,0.89060,0.57470,7.31830,7.34460,0.05000,0.05000,0.65980,,,100.00000,3.93260,3.93260,3.93260,2.61740,0.10640,0.30820,292.01910,0.93480,0.98580,0.27840,0.93480,5.57130,0.11360,0.09100
2014-12-31,14.96060,14.96060,-12.10680,2.62090,,2.62090,0.85780,1.76310,1.76310,,1.76310,2.90970,2.62090,7.28770,7.35700,0.23000,0.24000,0.68490,,,100.00000,17.51830,17.51830,17.51840,11.78500,0.11080,0.32650,275.66600,4.35320,4.60730,1.30600,4.35320,5.54120,0.9581,0.9461
2014-09-30,14.01570,14.01570,-10.97590,2.79090,,2.79090,0.90730,1.88370,1.88370,,1.88370,3.14420,2.79090,7.29500,7.37800,0.26000,0.26000,0.67630,,,100.00000,19.91300,19.91300,19.91300,13.43980,0.10870,0.30210,297.95000,4.82970,5.13970,1.46100,4.82970,5.34640,0.8007,0.7028
2014-06-30,10.97290,10.97290,-8.77920,1.98370,,1.98370,0.62920,1.35450,1.35450,,1.35450,2.21140,1.98370,7.28790,7.35830,0.19000,0.18000,0.75130,,,100.00000,18.07850,18.07850,18.07850,12.34410,0.08360,0.20040,448.99490,3.58790,3.83930,1.03180,3.58790,5.17780,0.5423,0.5423
2014-03-31,10.10230,10.10230,-9.43920,0.47990,,0.47990,0.15280,0.32710,0.32710,,0.32710,0.74600,0.47990,7.26660,7.37210,0.05000,0.04000,0.78380,,,100.00000,4.75060,4.75060,4.75060,3.23820,0.08140,0.19250,467.64910,0.90350,0.97310,0.26350,0.90350,4.98260,0.05490,0.05490
2013-12-31,10.92830,10.92830,-10.65180,0.10250,-0.01740,0.08500,-0.00600,0.09100,0.09100,,0.09100,0.34500,0.10250,3.97510,4.05970,0.00000,0.00000,0.90700,,,100.00000,0.93760,0.93760,0.77800,0.83260,0.09360,0.23690,379.87110,0.25480,0.27570,0.07790,0.25480,4.91390,0.4876,0.4876
2013-09-30,10.33910,10.33910,-7.89310,2.28050,-0.01920,2.26130,0.59910,1.66220,1.66220,,1.66220,2.49180,2.28050,3.81120,3.88780,0.44000,0.43000,0.71920,,0.05620,100.00000,22.05670,22.05670,21.87120,16.07700,0.10940,0.23320,385.85960,9.75820,11.70090,1.75820,9.75820,4.46860,0.8931,0.8931
2013-06-30,7.77950,7.77950,-7.48030,0.14520,-0.01790,0.12730,0.05920,0.06810,0.06810,,0.06810,0.34360,0.14520,3.82770,3.90640,0.02000,0.02000,0.73360,,0.05630,100.00000,1.86580,1.86580,1.63590,0.87540,0.08670,0.18130,496.30730,0.43710,0.53910,0.07590,0.43710,4.08800,-0.1355,-0.1355
2013-03-31,7.51930,7.51930,-7.04210,0.32420,-0.02120,0.30300,0.11200,0.19100,0.19100,,0.19100,0.52230,0.32420,3.84090,3.91440,0.05000,0.05000,0.70640,,0.04490,100.00000,4.31190,4.31190,4.02980,2.54020,0.08470,0.18330,490.94520,1.14910,1.40900,0.21510,1.14910,4.32760,0.57350,0.57350
2012-12-31,6.46660,6.46660,-7.86420,-1.54660,-0.02090,-1.56760,-0.56070,-1.00690,-1.00690,,-1.00690,-1.35730,-1.54660,3.80670,3.87180,-0.27000,-0.26000,0.72230,,0.07350,100.00000,-23.91710,-23.91700,-24.24090,-15.57020,0.06920,0.13860,649.53360,-6.18390,-7.68780,-1.07690,-6.18390,4.23910,0.8963,0.8963
2012-09-30,7.65480,7.65480,-6.87480,0.62960,-0.01980,0.60990,0.16200,0.44780,0.44780,,0.44780,0.80110,0.62960,3.82400,3.93600,0.12000,0.11000,0.74480,,0.06220,100.00000,8.22530,8.22530,7.96690,5.85030,0.09590,0.20860,431.54580,2.54030,3.12620,0.56090,2.54030,4.60530,0.6307,0.6307
2012-06-30,7.53420,7.53420,-6.49630,0.88740,-0.02010,0.86720,0.30690,0.56030,0.56030,,0.56030,1.07190,0.88740,3.78960,3.88380,0.15000,0.15000,0.74710,,0.05870,100.00000,11.77780,11.77780,11.51080,7.43700,0.09860,0.20620,436.50920,3.30080,4.13440,0.73330,3.30080,4.45430,0.1712,0.1712
2012-03-31,7.42220,7.42220,-6.09480,1.18090,-0.02080,1.16010,0.39470,0.76540,0.76540,,0.76540,1.36030,1.18090,3.77100,3.77100,0.20000,0.20000,0.71840,,0.06110,100.00000,15.90990,15.90990,15.62990,10.31260,0.10220,0.21770,413.47100,4.69060,5.99090,1.05350,4.69060,4.31710,-0.05160,-0.05160
2011-12-31,7.96240,7.96240,-5.68850,2.12850,-0.01260,2.11580,0.73280,1.38300,1.38300,,1.38300,2.26100,2.12850,3.83700,3.92100,0.36000,0.35000,0.66370,,0.06840,100.00000,26.73140,26.73140,26.57280,17.36910,0.11420,0.25360,354.85600,9.03300,11.87130,1.98410,9.03300,4.07200,0.3701,0.3701
2011-09-30,6.84180,6.84180,-6.52410,0.17360,-0.02360,0.15000,-0.06960,0.21960,0.21960,,0.21960,0.35770,0.17360,3.83800,3.91300,0.06000,0.06000,0.75650,,0.05280,100.00000,2.53710,2.53710,2.19260,3.20920,0.09920,0.21140,425.77180,1.55230,2.11840,0.31840,1.55230,3.04640,0.9625,0.9625
2011-06-30,6.71260,6.71260,-5.36160,1.19630,-0.03890,1.15740,0.38350,0.77390,0.77390,,0.77390,1.45050,1.19630,3.83800,3.91900,0.20000,0.20000,0.75270,,0.05290,100.00000,17.82220,17.82220,17.24260,11.52950,0.10320,0.20860,431.52740,5.47780,7.56530,1.18940,5.47780,3.04300,0.1926,0.1926
2011-03-31,6.17590,6.17590,-5.80330,0.21410,-0.04580,0.16840,0.04170,0.12660,0.12660,,0.12660,0.39610,0.21410,3.83840,3.83840,0.03000,0.03000,0.70710,,0.11080,100.00000,3.46720,3.46720,2.72620,2.05030,0.09810,0.20910,430.36180,0.96420,1.38930,0.20110,0.96420,3.42160,0.32470,0.32470
2010-12-31,5.94800,5.94800,-5.24820,0.54830,-0.04610,0.50220,0.20300,0.29920,0.29920,-0.13890,0.16030,0.72160,0.54830,3.43000,3.43000,0.04000,0.04000,0.67430,,0.11290,100.00000,9.21860,9.21860,8.44330,2.69460,0.10140,0.22110,406.97730,2.31120,3.39670,0.50980,2.31120,3.37260,0.537,0.537
2010-09-30,5.75010,5.75010,-5.20440,0.39050,-0.04630,0.34420,0.12830,0.21590,0.21590,0.01620,0.23210,0.56590,0.39050,3.83400,3.83400,0.06000,0.06000,0.74110,,0.11110,100.00000,6.79030,6.79030,5.98580,4.03730,0.09940,0.20730,434.13470,1.63550,2.41340,0.37330,1.63550,3.43980,0.0208,0.0208
2010-06-30,5.08070,5.08070,-4.20450,0.72430,-0.08450,0.63990,0.29150,0.34830,0.34830,0.01000,0.35830,0.89340,0.72430,3.07900,3.07900,0.11000,0.11000,0.76780,,0.11720,100.00000,14.25640,14.25640,12.59420,7.05260,0.09080,0.18670,482.06920,2.77130,4.25060,0.62220,2.77130,3.27830,0.6115,0.6115
2010-03-31,4.81710,4.81710,-4.21480,0.44570,-0.08260,0.36310,0.14460,0.21850,0.21850,0.01380,0.23240,0.61970,0.44570,2.99240,2.99240,0.08000,0.08000,0.78840,,0.13650,100.00000,9.25170,9.25170,7.53790,4.82430,0.09030,0.18370,489.90460,2.01560,3.44190,0.40990,2.01560,3.56910,-0.08440,-0.08440
2009-12-31,3.91800,3.91800,-3.60970,-0.06810,-0.30200,-0.37010,-0.04120,-0.32890,-0.32890,-0.02570,-0.35460,0.11570,-0.06810,2.97600,2.97600,-0.11000,0.22000,0.72420,,0.10460,100.00000,-1.73730,-1.73730,-9.44610,-9.05110,0.07440,0.15130,594.79570,-3.16740,-5.69860,-0.62470,-3.16740,3.47390,0.2425,0.2425
2009-09-30,4.11540,4.11540,-3.54190,0.47900,5.34730,5.82630,0.18420,5.64210,5.64210,-0.05660,5.58560,0.58470,0.47900,2.97800,3.62700,1.87000,1.54000,0.81960,,0.07400,100.00000,11.63960,11.63960,141.57170,135.72270,0.07820,0.15400,584.24110,52.72130,94.49660,10.71420,52.72130,3.59120,0.4241,0.4241
2009-06-30,0.24540,0.24540,-0.38500,-0.14380,-0.04870,-0.19250,-0.12200,-0.07050,-0.07050,-0.16810,-0.23860,-0.13960,-0.14380,2.97300,2.97300,-0.08000,-0.08000,0.81300,0.09730,0.11260,100.00000,-58.60070,-58.60070,-78.45850,-97.25420,0.03280,3.50430,25.68290,-1.45090,-1.45090,-0.94420,-1.30980,1.63500,-0.2841,-0.2841
2009-03-31,0.11200,0.11200,-0.28190,-0.17430,-0.06930,-0.24360,-0.08780,-0.15580,-0.15580,-0.01570,-0.17150,-0.16990,-0.17430,2.97300,2.97300,-0.06000,-0.06000,1.17580,0.09730,0.39090,100.00000,-155.58430,-155.58430,-217.43710,-153.08690,0.01210,1.54210,58.36260,-3.05990,-3.05990,-1.68060,-2.76210,1.71300,0.02050,0.02050
