Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1016.35000,709.91900,306.43100,101.63900,101.63900,204.79200,-16.01600,188.77600,46.28000,142.49600,,142.49600,142.49600,207.39800,204.79200,33.53060,33.94220,4.25000,4.20000,0.35590,0.55250,20.14980,20.14980,18.57390,14.02040,0.29080,7.78730,7.91880,4.07660,5.01600,55.38660,3.22410,3.05200
2021-12-31,1206.80100,868.17910,338.62200,107.64900,107.64900,230.97310,-18.79500,212.17800,47.21300,164.96500,,164.96500,164.96500,233.56110,230.97300,33.70700,34.44500,4.89000,4.69000,0.36150,0.56610,19.13930,19.13930,17.58190,13.66960,0.34510,9.34910,9.51290,4.71750,5.96950,52.26470,-8.2412,-8.3037
2021-09-30,958.03200,688.98900,269.04300,90.15400,90.15400,178.88900,-33.12800,145.76100,31.78400,113.97700,,113.97700,113.97700,181.55800,178.88900,33.76090,34.47100,3.38000,3.31000,0.38510,0.62620,18.67260,18.67260,15.21460,11.89700,0.29840,7.11900,7.25680,3.54970,4.37780,47.42210,-1.8223,-1.8887
2021-06-30,1042.91200,771.66800,271.24400,99.65600,99.65600,171.58800,-19.45400,152.13400,34.22400,117.91000,,117.91000,117.91000,174.43700,171.58800,33.73860,33.95660,3.49000,3.47000,0.37710,0.60540,16.45280,16.45280,14.58740,11.30580,0.36030,7.92060,8.08560,4.07390,4.93370,44.09400,1.387,1.3431
2021-03-31,1008.56900,766.52700,242.04190,92.15100,92.15100,149.89090,-18.84200,131.04900,29.39700,101.65200,,101.65200,101.65200,152.69690,149.89090,33.56400,33.88400,3.03000,3.00000,0.39530,0.65380,14.86170,14.86170,12.99360,10.07880,0.34170,7.40270,7.57030,3.44390,4.47620,40.73720,2.83670,2.75080
2020-12-31,987.77780,749.58800,238.18980,95.57900,98.91090,139.27890,-18.11500,121.16400,29.34700,91.81700,,91.81700,91.81700,142.33190,139.27900,33.31300,33.61000,2.76000,2.72000,0.41130,0.69870,14.10020,14.10020,12.26630,9.29530,0.34720,7.16930,7.34350,3.22720,4.22030,38.40120,0.7707,0.716
2020-09-30,794.36100,629.41000,164.95100,85.80600,85.80610,79.14500,-14.26000,64.88500,15.12100,49.76400,,49.76400,49.76400,82.39100,79.14500,33.35100,33.73100,1.49000,1.48000,0.43050,0.75600,9.96330,9.96330,8.16820,6.26470,0.30650,4.19960,4.31020,1.92040,2.39160,35.52990,4.169,4.117
2020-06-30,776.44400,623.03900,153.40500,86.70600,86.70600,66.69900,-16.59600,50.10300,11.65300,38.45000,,38.45000,38.45000,70.12600,66.69900,33.34000,33.46200,1.15000,1.15000,0.44280,0.79480,8.59030,8.59030,6.45290,4.95210,0.30430,3.40420,3.49830,1.50680,1.89680,33.86670,5.5632,5.4966
2020-03-31,602.60900,484.69300,117.91600,73.61900,73.61900,44.29700,-10.20900,34.08800,7.96200,26.12600,,26.12600,26.12600,47.71200,44.29700,33.20800,33.47600,0.79000,0.78000,0.45330,1.31030,7.35090,7.35090,5.65670,4.33550,0.20710,2.40900,2.47840,0.89770,1.31700,32.55000,-0.36970,-0.44990
2019-12-31,792.54190,632.72200,159.81980,84.53800,86.55280,73.26710,-19.29900,53.96800,0.61000,53.35800,,53.35800,53.35800,76.85610,73.26720,30.88640,31.18700,1.70000,1.68000,0.45790,0.90930,9.24460,9.24460,6.80950,6.73250,0.31700,5.02570,5.17380,2.13430,2.72460,32.10710,2.6136,2.5287
2019-09-30,590.36200,474.45800,115.90400,72.83400,72.83400,43.07000,-8.23000,34.84000,7.81600,27.02400,,27.02400,27.02400,46.66700,43.07000,30.58700,30.90600,0.88000,0.87000,0.48510,1.23540,7.29550,7.29550,5.90150,4.57750,0.23710,2.84110,2.94800,1.08550,1.46280,30.43870,-1.7776,-1.9488
2019-06-30,619.95000,504.80500,115.14500,75.21700,75.21700,39.92800,-19.09800,20.83000,5.33500,15.49500,,15.49500,15.49500,43.05000,39.92800,30.34200,30.56900,0.51000,0.51000,0.49810,1.22890,6.44050,6.44050,3.35990,2.49940,0.25720,1.72700,1.79670,0.64280,0.86670,29.47630,-1.0912,-1.189
2019-03-31,533.05700,434.37100,98.68600,68.93600,68.93600,29.75000,-6.75300,22.99700,5.88000,17.11700,,17.11700,17.11700,32.82400,29.75000,30.20300,30.44400,0.57000,0.56000,0.47340,1.22670,5.58100,5.58100,4.31420,3.21110,0.22950,1.95530,2.03710,0.73680,1.02970,28.88750,-1.95110,-2.05850
2018-12-31,651.94600,535.51700,116.42900,72.85000,72.84990,43.57900,-7.51600,36.06300,9.86800,26.19500,,26.19500,26.24700,46.80700,43.57900,30.08490,30.39140,0.85000,0.84000,0.47730,1.14890,6.68450,6.68450,5.53160,4.02590,0.28920,3.04820,3.17950,1.16200,1.59320,28.49810,0.6665,0.5358
2018-09-30,561.72900,461.23700,100.49200,70.97500,70.97500,29.51700,-6.65900,22.85800,5.81000,17.04800,,17.04800,17.04800,32.80800,29.51700,30.23200,30.55500,0.56000,0.56000,0.48360,1.21730,5.25470,5.25470,4.06920,3.03490,0.26100,2.02760,2.11780,0.79200,1.04700,27.33490,-4.4207,-4.5603
2018-06-30,531.89200,428.23700,103.65500,63.63400,63.63400,40.02100,6.48100,46.50200,13.30900,33.19300,,33.19300,33.19000,42.80700,40.02100,29.90200,30.17100,1.11000,1.10000,0.49160,1.12890,7.52430,7.52430,8.74280,6.24000,0.26790,4.13000,4.31160,1.67160,2.09950,26.68440,-1.1871,-1.3574
2018-03-31,401.84600,320.46000,81.38600,56.52200,56.52200,24.86400,-1.75700,23.10700,3.08800,20.01900,,20.01900,19.97000,27.59000,24.86400,29.51600,29.83400,0.68000,0.67000,0.50630,1.02550,6.18740,6.18740,5.75020,4.96960,0.23090,2.64310,2.74800,1.15020,1.30490,25.42610,-1.49400,-1.57340
2017-12-31,523.94310,427.30400,96.63900,62.70700,62.70690,33.93210,-0.08400,33.84800,16.65300,17.19500,,17.19500,17.08100,35.83210,33.93200,24.28100,24.55600,0.62000,0.60000,0.51360,1.05580,6.47630,6.47630,6.46020,3.26010,0.30200,2.33870,2.43920,0.99110,1.13760,24.92060,0.3434,-0.1463
2017-09-30,379.71600,313.46900,66.24700,46.16500,46.16500,20.08200,-4.92600,15.15600,5.68600,9.47000,,9.47000,9.41800,22.33700,20.08200,25.44600,25.72600,0.37000,0.37000,0.54300,1.18840,5.28870,5.28870,3.99140,2.48030,0.23280,1.45020,1.50380,0.58060,0.66270,23.95580,-3.1174,-3.2166
2017-06-30,291.82400,235.63400,56.19000,34.22000,34.22000,21.97000,1.13900,23.10900,8.27800,14.83100,,14.83100,14.73000,23.40500,21.97000,22.14600,22.36600,0.67000,0.66000,0.59820,1.48870,7.52850,7.52850,7.91880,5.04760,0.20760,2.84210,2.97670,1.05520,1.14200,23.03970,-1.2917,-1.3722
2017-03-31,228.31600,183.46800,44.84800,33.21200,33.21200,11.63600,0.41500,12.05100,3.25200,8.79900,,8.79900,8.68200,13.01900,11.63600,21.51200,21.72300,0.40000,0.40000,0.47430,0.90230,5.09640,5.09640,5.27820,3.80260,0.22250,1.77230,1.86210,0.85760,0.93170,22.27200,-0.46570,-0.51410
2016-12-31,297.28900,241.02510,56.26400,34.71200,34.71190,21.55200,0.34000,21.89200,6.81900,15.07300,,15.07300,14.77600,22.91700,21.55200,20.67900,20.79200,0.71000,0.70000,0.35360,0.95870,7.24950,7.24950,7.36390,4.97020,0.29510,3.18240,3.36400,1.49600,2.05710,21.90630,0.7994,0.6697
2016-09-30,253.41300,203.07000,50.34300,30.94400,30.94400,19.39900,0.33200,19.73100,6.38900,13.34200,,13.34200,13.10100,20.81700,19.39900,20.67400,20.82200,0.63000,0.63000,0.50260,1.01060,7.65510,7.65510,7.78610,5.16980,0.25310,2.99420,3.16930,1.33240,1.48920,21.17450,-1.3424,-1.394
2016-06-30,259.64200,209.35400,50.28800,31.38300,31.38300,18.90500,0.19200,19.09700,5.95500,13.14200,,13.14200,12.86200,20.29800,18.90500,20.65000,20.74700,0.62000,0.62000,0.48940,0.95840,7.28120,7.28120,7.35510,4.95370,0.26740,3.05080,3.23900,1.35330,1.55780,20.45540,0.2131,0.1252
2016-03-31,184.09600,146.89500,37.20100,25.18500,25.18500,12.01600,0.41300,12.42900,4.44600,7.98300,,7.98300,7.75100,13.42000,12.01600,20.62600,20.64500,0.38000,0.38000,0.49910,0.99650,6.52700,6.52700,6.75140,4.21030,0.19220,1.91660,2.04160,0.83360,0.96000,19.73880,-1.81950,-1.92360
2015-12-31,206.26500,168.53700,37.72800,21.92100,17.70700,20.02100,0.38000,20.40500,7.24700,13.15800,,13.15800,12.55400,21.22200,20.02100,20.56900,20.56900,0.62000,0.62000,0.48800,0.95300,9.70650,9.70650,9.89260,6.08630,0.22480,3.21340,3.43260,1.43370,1.64530,19.22080,-0.7807,-0.9262
2015-09-30,182.73200,144.74800,37.98400,22.17500,22.17500,15.80900,0.14000,15.94500,5.36200,10.58300,,10.58300,10.22500,17.05100,15.80900,20.60100,20.60100,0.50000,0.50000,0.47850,0.91740,8.65150,8.65150,8.72590,5.59560,0.21250,2.67960,2.87470,1.23050,1.39750,18.53580,-3.6207,-3.7059
2015-06-30,189.05400,152.25200,36.80200,22.81200,22.81200,13.99000,0.44100,14.43100,4.63300,9.79800,,9.79800,9.43700,15.27200,13.99000,20.55700,20.55700,0.46000,0.46000,0.44280,0.79470,7.40000,7.40000,7.63330,4.99170,0.24200,2.55740,2.75490,1.25440,1.42490,17.95680,-1.6685,-1.6582
2015-03-31,156.43800,126.31200,30.12600,20.93200,20.93200,9.19400,0.33000,9.52400,3.17300,6.35100,,6.35100,6.35100,10.18200,9.19400,20.51000,20.51000,0.30000,0.30000,0.41310,0.70400,5.87710,5.87710,6.08800,4.05980,0.21780,1.70440,1.85120,0.88430,1.00030,17.44440,-1.84170,-1.90090
2014-12-31,140.90700,111.99100,28.91600,15.88800,17.69600,11.22000,-0.20300,11.01700,3.82800,7.18900,,7.18900,6.89300,12.37100,11.22000,19.22700,19.22700,0.34000,0.34000,0.38040,0.61400,7.96270,7.96270,7.81860,4.89190,0.21010,1.96850,2.14320,1.07200,1.21960,17.49400,-1.5738,-1.6138
2014-09-30,91.96100,73.07100,18.89000,12.58400,12.58400,6.30600,0.39100,6.69700,2.57000,4.12700,,4.12700,4.12700,6.90600,6.30600,21.13400,21.13400,0.19000,0.19000,0.36350,0.57110,6.85720,6.85720,7.28240,4.48780,0.14400,1.12220,1.18380,0.64630,0.71420,17.11750,-2.2215,-2.2384
2014-06-30,79.85300,60.35100,19.50200,11.32000,11.32000,8.18200,-0.13300,8.04900,2.71100,5.33800,,5.33800,5.33800,8.88900,8.18200,17.67500,17.67500,0.30000,0.30000,0.35660,0.55410,10.24630,10.24630,10.07980,6.68480,0.13030,1.46980,1.54720,0.87110,0.94570,16.92970,-1.8486,-1.8458
2014-03-31,49.67100,37.27400,12.39700,7.00300,7.00300,5.39400,-0.19800,5.19600,1.82800,3.36800,,3.36800,3.36800,5.87700,5.39400,17.07500,17.07500,0.20000,0.20000,0.26750,0.36520,10.85950,10.85950,10.46080,6.78060,0.12110,1.22370,1.23280,0.82130,0.89640,15.94830,-1.10030,-1.10480
2013-12-31,63.63100,97.15700,-33.52600,10.39000,-38.17700,4.65100,0.06000,4.75000,2.32000,2.43000,0.00000,3.05000,3.05000,5.27100,4.65100,17.07500,17.07500,0.18000,0.18000,0.00550,0.00550,7.30930,7.30930,7.46490,4.79330,0.20350,1.12320,1.13300,0.97560,1.11700,15.73510,-0.8739,-0.8537
2013-09-30,41.49400,31.94800,9.54600,5.68200,5.68200,3.86400,-0.08000,3.78400,1.34600,2.43800,,2.43800,2.43800,4.10200,3.86400,17.07500,17.07500,0.14000,0.14000,,,9.31220,9.31220,9.11940,5.87550,,,,,,,0.6226,0.6217
2013-06-30,41.29100,30.63700,10.65400,4.28300,4.28300,6.37100,0.15400,6.52500,1.98300,4.54200,-0.62700,3.91500,3.91500,6.37100,6.37100,12.16500,12.16500,0.32000,0.32000,,,15.42950,15.42950,15.80250,9.48150,,,,,,,-3.7013,-3.7206
2013-03-31,24.71700,18.49900,6.21800,3.27600,3.27600,2.94200,0.08500,3.02700,,3.02700,,3.02700,2.97500,3.01400,2.94200,,,,0.00000,,,11.90270,11.90270,12.24660,12.03630,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
