Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2014-06-30,15317.09000,,15317.09000,,,15317.09000,,15317.09000,,15317.09000,-817.65600,-817.65600,15093.70000,15093.70000,-0.05000,-0.05000,0.69270,2.27780,100.00000,-5.33820,0.01080,-1.05900,-1.16590,-0.05760,-0.32540,0,0
2014-03-31,17003.09000,,17003.09000,9674.64000,,7328.45000,,2265.96000,342.62000,1923.34000,1940.12000,1940.12000,17937.50000,17937.50000,0.11000,0.11000,0.73490,2.77160,13.79680,11.81290,0.01180,,2.86140,0.13910,0.75870,0.00000,
2013-12-31,12358.12000,21633.36000,-9275.24000,46629.91000,49665.62000,-58940.87000,,-31280.68000,1127.51200,-32408.19000,-1818.20900,-1818.20900,17093.75000,17093.75000,-0.11000,-0.11000,0.75220,4.14480,-97.18430,-5.64890,0.02430,-2.95390,-3.31600,-0.13720,-0.73190,-1.4217,-1.5034
2013-09-30,19624.40000,,19624.40000,,,19624.40000,,19624.40000,0.00000,19624.40000,-2108.62000,-2108.62000,18111.11000,18111.11000,-0.12000,-0.12000,0.76540,3.26190,100.00000,-10.74490,0.01450,,-3.29990,-0.15630,-0.77430,0,0
2013-06-30,9136.13900,,9136.13900,,,9136.13900,,9136.13000,0.00000,9136.13000,46.43700,46.43700,17668.00000,17865.00000,0.00000,0.00000,0.76290,3.24890,100.00000,0.50830,0.00680,0.06920,0.07700,0.00340,0.01640,0,0
2013-03-31,30586.43000,,30586.43000,4661.10000,,25925.33000,,3169.54000,776.85000,2392.69000,1993.60200,1993.60200,17329.54000,17329.54000,0.12000,0.12000,0.76980,3.34450,30.62970,19.26570,0.00740,,2.95100,0.14300,0.67930,0.00000,
2012-12-31,23296.21000,,23296.21000,,,23296.21000,,23296.21000,,23296.21000,-592.82700,-592.82700,18700.00000,18700.00000,-0.03000,-0.03000,0.77220,4.19460,100.00000,-2.54470,0.01590,-0.83700,-0.93790,-0.04050,-0.19070,0.2584,0.2239
2012-09-30,23745.90000,,23745.90000,,,23745.90000,,23745.90000,,23745.90000,-595.62200,-595.62200,18850.00000,18850.00000,-0.03000,-0.03000,0.78200,4.53210,100.00000,-2.50830,0.01590,,-0.82080,-0.03980,-0.17890,0,0
2012-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2012-03-31,814.48930,6555.78000,-5741.29100,4973.78000,4973.78000,-10715.07000,,452.44000,436.73000,15.71000,3.24400,3.24400,17180.00000,17180.00000,0.00000,0.00000,0.81210,4.32290,1.75050,0.01260,0.01700,,0.00440,0.00020,0.00080,0.00000,
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2011-09-30,5192.25000,,5192.25000,4154.12000,,1038.13000,,1038.12000,,1038.12000,1038.12000,1038.12000,,,,0.00000,0.82200,4.61860,12.47570,12.47570,0.00520,,1.39020,0.06540,0.24740,0,0
2011-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2010-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2009-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
2009-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
