Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1.49300,1.49300,39.64900,18.57100,0.97600,-55.75100,-0.87300,-56.62400,-56.62400,-56.62400,,-56.62400,-53.73500,-55.75100,92.16400,92.16400,-0.61000,-0.61000,3.19640,0.38390,0.62300,100.00000,-3734.15900,-3734.15900,-3792.63200,-3792.63200,0.00470,,,-69.94420,-69.94420,-17.70110,-43.09510,0.87800,-0.72090,-0.75300
2021-12-31,7.22100,7.22100,36.75200,20.50600,0.60500,-49.43200,-0.56900,-50.00100,-50.00100,-50.00100,,-50.00100,-47.32100,-49.43200,91.70300,91.70300,-0.54000,-0.52000,3.69120,0.15780,0.18740,100.00000,-684.55880,-684.55880,-692.43850,-692.43850,0.02030,,,-38.02160,-38.02160,-14.09040,-32.02110,1.43120,-0.5437,-0.5639
2021-09-30,126.72500,126.72500,39.88200,19.56300,1.12700,68.40700,-0.18900,68.21800,68.21800,68.21800,,68.21800,70.54300,68.40700,91.75800,94.95300,0.74000,0.72000,3.79330,0.08400,0.14490,100.00000,53.98070,53.98070,53.83150,53.83150,0.31980,101.38000,0.88770,38.81800,38.81800,17.21400,35.55710,1.91350,1.3715,1.3299
2021-06-30,5.26300,5.26300,35.95400,17.45100,,-48.14200,-0.18800,-48.33000,-48.33000,-48.33000,,-48.33000,-45.86300,-48.14200,91.66000,91.66000,-0.53000,-0.53000,3.99810,0.15850,0.25070,100.00000,-914.72540,-914.72540,-918.29760,-918.29760,0.01950,4.20700,21.39270,-47.82020,-47.82020,-17.92340,-40.24080,1.10200,-0.4326,-0.4605
2021-03-31,5.71800,5.71800,29.30300,11.74100,,-35.32600,-0.13900,-35.46500,-35.46500,-35.46500,,-35.46500,-32.88100,-35.32600,91.52800,91.52800,-0.39000,-0.39000,5.26460,0.13210,0.17540,100.00000,-617.80340,-617.80340,-620.23440,-620.23440,0.01870,2.19590,40.98640,-24.67900,-24.67900,-11.60140,-21.41900,1.56900,-0.32230,-0.33690
2020-12-31,17.56400,17.56400,24.86700,10.59500,,-17.89800,-0.35400,-18.25200,-18.25200,-18.25200,,-18.25200,-15.28700,-17.89800,79.78900,79.78900,-0.20000,-0.20000,5.79070,0.12360,0.14360,100.00000,-101.90160,-101.90160,-103.91710,-103.91710,0.05120,1.87110,48.10010,-10.44460,-10.44460,-5.32220,-9.15400,1.91070,-0.2672,-0.2702
2020-09-30,1.41700,1.41700,23.86100,7.55100,,-29.99500,-0.28500,-30.28000,-30.28000,-30.28000,,-30.28000,-28.42200,-29.99500,83.53200,83.53200,-0.36000,-0.36000,6.72950,0.11720,0.13280,100.00000,-2116.79600,-2116.79600,-2136.90900,-2136.90900,0.00400,0.41760,215.50460,-16.10190,-16.10190,-8.50080,-14.21400,2.06160,-0.2264,-0.2267
2020-06-30,6.04500,6.04500,20.09900,6.49100,,-20.54500,-0.16900,-20.71400,-20.71400,-20.71400,,-20.71400,-18.89000,-20.54500,73.30600,73.30600,-0.28000,-0.28000,1.64340,-0.61070,-0.37920,100.00000,-339.86770,-339.86770,-342.66340,-342.66340,0.06000,2.06380,43.60790,31.58830,31.58830,-20.57450,50.87940,-0.87280,-0.3372,-0.3403
2020-03-31,8.18900,8.18900,21.74300,6.13800,,-19.69200,-0.18900,-19.88100,-19.88100,-19.88100,,-19.88100,-17.95600,-19.69200,70.82200,70.82200,-0.28000,-0.28000,1.82620,-0.67090,-0.40150,100.00000,-240.46890,-240.46890,-242.77690,-242.77690,0.07400,3.92950,22.90390,32.24870,32.24870,-17.97250,53.88540,-0.86020,-0.34240,-0.34340
2019-12-31,7.62200,7.62200,21.03200,5.78200,,-19.19200,0.41400,-18.77800,-18.77800,-18.77800,,-18.77800,-17.19600,-19.19200,56.64900,56.64900,-0.18000,-0.18000,2.17840,-1.04110,-0.51010,100.00000,-251.79740,-251.79730,-246.36580,-246.36580,0.05760,4.27000,21.07710,38.85860,38.85850,-14.17850,79.31240,-0.68890,-0.4576,-0.4643
2019-09-30,7.03100,7.03100,18.31700,5.89700,,-17.18300,0.77400,-16.40900,-16.40900,-16.40900,,-16.40900,-15.39400,-17.18300,69.94400,69.94400,-0.23000,-0.23000,2.12080,,,100.00000,-244.38910,-244.38910,-233.38080,-233.38080,0.05660,4.09490,21.97840,50.92960,50.92960,-13.21700,50.92960,-0.46030,0.0855,0.0889
2019-06-30,12.53100,12.53100,17.90500,5.57400,,-10.94800,0.18900,-10.75900,-10.75900,-10.75900,,-10.75900,-9.02700,-10.94800,45.14100,45.14100,-0.24000,-0.24000,2.53040,,,100.00000,-87.36730,-87.36730,-85.85910,-85.85910,0.08580,7.81230,11.52020,59.87870,59.87870,-7.36450,59.87870,-0.25700,-0.1892,-0.1961
2019-03-31,7.32100,7.32100,22.88700,7.49500,,-24.55300,0.22000,-24.33300,-24.33300,-24.33300,,-24.33300,-22.54700,-24.55300,41.02800,41.02800,-0.59000,-0.59000,1.62990,,,100.00000,-335.37770,-335.37770,-332.37260,-332.37260,0.06840,1.09810,81.96010,34.84460,34.84460,-22.73220,34.84460,-1.69930,-0.78950,-0.79700
2018-12-31,10.62900,10.62900,24.76700,7.53300,,-21.67100,0.38400,-21.28700,-21.28700,-21.28700,,-21.28700,-19.69300,-21.67100,40.74300,40.74300,-0.52000,-0.52000,2.20420,-0.16420,-0.14100,100.00000,-203.88550,-203.88560,-200.27280,-200.27280,0.08820,,,44.30640,44.30640,-17.66970,51.58110,-1.17360,0.308,0.3128
2018-09-30,9.05500,9.05500,23.67500,7.59100,,-22.21100,0.26200,-21.94900,-21.94900,-21.94900,,-21.94900,-20.30400,-22.21100,40.80600,40.80600,-0.54000,-0.54000,2.03660,-0.33590,-0.25140,100.00000,-245.28990,-245.28990,-242.39650,-242.39650,0.08300,,,71.81080,71.81090,-20.12890,95.93090,-0.74830,-0.5611,-0.5727
2018-06-30,4.61200,4.61200,24.05300,8.69500,,-28.13600,0.34900,-27.78700,-27.78700,-27.78700,,-27.78700,-26.26400,-28.13600,40.66100,40.66100,-0.68000,-0.68000,2.76130,-1.58080,-0.61250,100.00000,-610.06070,-610.06070,-602.49350,-602.49350,0.03470,,,209.63440,209.63400,-20.89970,541.02420,-0.32520,-0.6309,-0.6481
2018-03-31,3.97100,3.97100,23.46000,8.77700,,-28.26600,0.34700,-27.91900,-27.91900,-27.91900,,-27.91900,-26.37500,-28.26600,40.62800,40.62800,-0.69000,-0.69000,3.59760,0.46020,0.85260,100.00000,-711.81060,-711.81060,-703.07230,-703.07230,0.02490,,,-278.27070,-278.27160,-17.51140,-150.20710,0.24680,-0.65870,-0.68220
2017-12-31,3.05600,3.05600,24.04200,8.78900,,-29.77500,0.82200,-28.95300,-28.95300,-28.95300,,-28.95300,-27.92200,-29.77500,40.44900,40.44900,-0.72000,-0.72000,4.90370,0.12900,0.14810,100.00000,-974.31320,-974.31350,-947.41530,-947.41530,0.01610,,,-47.69930,-47.69930,-15.27690,-41.54660,1.49610,-0.511,-0.528
2017-09-30,23.01500,23.01500,22.21000,8.11900,,-7.31400,0.37900,-6.93500,-6.93500,-6.93500,,-6.93500,-5.49800,-7.31400,40.49400,40.49400,-0.17000,-0.17000,6.53470,0.09930,0.11020,100.00000,-31.77930,-31.77930,-30.13250,-30.13250,0.10860,,,-8.11000,-8.11000,-3.27300,-7.30490,2.11070,-0.086,-0.0973
2017-06-30,3.01400,3.01400,23.06000,8.37000,,-28.41600,0.39800,-28.01800,-28.01800,-28.01800,,-28.01800,-26.71300,-28.41600,40.39500,40.39500,-0.69000,-0.69000,6.85960,0.10080,0.11210,100.00000,-942.80040,-942.80040,-929.59520,-929.59520,0.01390,,,-31.86440,-31.86440,-12.95100,-28.65180,2.17560,-0.6347,-0.6664
2017-03-31,3.01500,3.01500,20.14300,8.76200,,-25.89000,0.41600,-25.47400,-25.47400,-25.47400,,-25.47400,-24.21900,-25.89000,40.36900,40.36900,-0.63000,-0.63000,7.05700,0.08460,0.09240,100.00000,-858.70640,-858.70640,-844.90870,-844.90880,0.01230,,,-22.85630,-22.85630,-10.40390,-20.92360,2.75960,-0.63540,-0.69100
2016-12-31,3.03700,3.03700,20.25600,8.46900,,-25.68800,0.41400,-25.27400,-25.27400,-25.27400,,-25.27400,-24.06300,-25.68800,39.84700,39.84700,-0.64000,-0.64000,6.51310,0.07480,0.08090,100.00000,-845.83440,-845.83440,-832.20280,-832.20280,0.01110,,,-19.05590,-19.05590,-9.26990,-17.62960,3.28650,-0.5065,-0.653
2016-09-30,13.01500,13.01500,24.14300,7.96700,,-19.09500,0.40700,-18.68800,-18.68800,-18.68800,,-18.68800,-17.93900,-19.09500,40.23600,40.23600,-0.46000,-0.46000,6.53850,0.06520,0.06970,100.00000,-146.71530,-146.71530,-143.58820,-143.58820,0.04370,,,-12.13530,-12.13530,-6.28140,-11.34410,3.81600,-0.3128,-0.4545
2016-06-30,3.00400,3.00400,22.17400,8.97000,,-28.14000,0.22700,-27.91300,-27.91300,-27.91300,,-27.91300,-27.48800,-28.14000,39.60000,39.60000,-0.70000,-0.70000,7.94350,0.05170,0.05450,100.00000,-936.75110,-936.75110,-929.19450,-929.19450,0.00980,,,-16.67480,-16.67480,-9.11540,-15.81340,4.19970,-0.6665,-0.8309
2016-03-31,2.71000,2.71000,15.41600,7.21000,,-19.91600,0.21200,-19.70400,-19.70400,-19.70400,,-19.70400,-19.53000,-19.91600,39.18600,39.18600,-0.50000,-0.50000,12.36190,0.02330,0.02380,100.00000,-734.90780,-734.90780,-727.08490,-727.08490,0.00840,,,-10.37990,-10.37990,-6.07270,-10.13810,4.84020,2.58800,2.50130
2015-12-31,,,13.90000,5.88800,,-19.78800,0.15400,-19.63400,-19.63400,-19.63400,,-19.63400,-19.45400,-19.78800,23.53200,23.53200,0.65000,0.65000,19.01190,0.00280,0.00290,,,,,,,,,-9.55920,-9.55920,-9.05210,-9.53200,5.25550,-0.9847,-1.0898
2015-09-30,,,9.85000,4.71100,,-14.56100,-0.05900,-14.62000,-14.62000,-14.62000,,-14.62000,-14.37900,-14.56100,38.98100,38.98100,-0.38000,-0.38000,45.88590,,,,,,,,,,,-6.57970,-6.57970,-6.43930,-6.57970,5.68920,1.3319,1.4425
2015-06-30,,,8.78400,3.55600,,-12.34000,-0.21500,-12.55500,-12.55500,-12.55500,,-12.55500,-12.22000,-12.34000,8.64000,8.64000,-1.45000,-1.45000,16.67510,0.00760,0.02030,,,,,,,,,-13.22790,-13.22790,-12.39620,-13.12740,3.12040,-0.8765,-1.0363
2015-03-31,,,5.56100,2.60600,,-8.16700,0.19600,-7.97100,-7.97100,-7.97100,,-7.97100,-8.07500,-8.16700,6.91300,6.91300,-1.15000,-1.15000,30.59210,-0.03150,-0.06670,,,,,,,,,23.97650,23.97650,-7.33790,24.73240,-4.69500,-1.20640,-1.23740
2014-12-31,,,5.06000,2.16000,,-7.22000,-0.97000,-8.19000,-8.19000,-8.45400,0.00000,-8.45400,-7.14300,-7.22000,6.74800,6.74800,-1.25000,-1.25000,22.38740,-0.05130,-0.09370,,,,,,,,,31.63800,31.63810,-7.20440,33.26120,-3.87820,-0.6114,-0.6669
2014-09-30,,,2.46600,1.11300,,-3.57900,-0.58200,-4.16100,-4.16100,-4.16100,,-4.62200,-3.53200,-3.57900,6.76800,6.76800,-0.68000,-0.68000,,,,,,,,,,,,,,,,,-0.4022,-0.4485
2014-06-30,,,2.16000,0.45800,,-2.61800,-0.05900,-2.67700,-2.67700,-2.67700,,-3.00200,-2.58200,-2.61800,6.72600,6.72600,-0.45000,-0.45000,,,,,,,,,,,,,,,,,-0.3074,-0.3418
2014-03-31,,,1.03200,0.64000,,-1.67200,-0.01700,-1.68900,-1.68900,-1.68900,,-1.92200,-1.64200,-1.67200,6.68600,6.68600,-0.29000,-0.29000,,,,,,,,,,,,,,,,,-0.21280,-0.22480
2013-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2012-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
